,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.01664927014063708,,,,,-0.019085622543337365,,0.2427474576370868
BMP1,-0.0722492533380947,0.02459017271979012,0.002653229374269925,0.08404500223740245,0.009346668456990309,0.023947226273501602,0.01111041330896952,0.0005064253235938802,0.0669786973893053,-0.006107791783112599,0.032229005599901564
NDP,-0.004167382577825018,0.01800456728085582,0.006979215819115389,0.01253555111567262,-0.02739752803059258,-0.029360255175801604,0.06864735262221332,0.06535948631819662,0.031054483327964552,-0.07751370251480698,0.046674168429208046
TNFSF18,,,-0.014925470238414834,0.17654413923603893,-0.011674763952453069,,,,-0.019682665647922582,,0.06337822081310546
IL36G,,,,,,-0.018982332491689242,,,,,
RTN4,0.03879914941311737,0.0250829850390391,-0.008693442535692032,-0.12712370455948205,-0.03489993288268982,0.08573213155893063,0.10316905010317677,-0.03876234369616471,-0.040586833319647055,0.0690797343214238,0.07747775113447751
HEBP1,-0.026662023198605493,0.03425075859620154,-0.009609398169298875,0.03384271345445695,-0.01423943046207095,0.041397736664190915,0.12027158797569651,0.02428100704038402,-0.06550471915341866,-0.01604519520254737,0.03917645527227059
WNT7B,0.06468576687133946,-0.04862831479377789,0.06957462511962775,-0.02346779444117898,0.04264832629527928,-0.004195157455287231,-0.02087060579862346,-0.023169118708117453,-0.028149976651690858,-0.014926050242957881,0.07561289836656106
PTMA,-0.002829754174853722,-0.002962436945729022,0.002523556757247709,-0.019168334845191582,-0.015545371455889462,0.047618401513729425,-0.020298409821362638,-0.0138384036167643,-0.0734894577459516,-0.00676560766047199,-0.0508262852594459
FASLG,,,,,,,,,,,0.060429149176743885
CEACAM1,-0.020928868040699856,-0.018417546954130306,,-0.03253493674087975,-0.01836162237105636,,0.06110034289040953,0.0871243748850118,-0.02828193563795816,-0.00810644663081897,0.09076482848659918
PDAP1,-0.011959488467607996,-0.07456265086195968,0.0391203197441832,0.09201268600808099,0.03516108454648315,0.04343550896951761,0.02631155264607493,-0.04087180900223995,0.02866929366400465,-0.004657724486327261,0.031497242101306444
QDPR,-0.008693266733204886,0.038880944099402855,0.04075205363435407,-0.10363198480603335,-0.042313936945242055,0.07177054015420807,-0.040694684089690084,0.016006701335085954,-0.020980209600691926,-0.047949044950810336,0.0624501004848064
POMC,0.02315481792326175,-0.03706045970835426,0.019088746252048948,-0.04193933718757123,-0.013546472871840229,-0.013914608422317907,0.14008828323206135,-0.027153369595618888,0.009369616083957024,-0.0290907921591991,-0.00916071486567179
CCL18,,,,,,,-0.038150564530196045,-0.05666415653401953,,0.026815719638341347,
CCL17,-0.018054781028885948,,,,-0.014560703655432758,-0.017340899639394843,,-0.021967620713937278,-0.025163290842039568,,-0.018911103627802024
VEGFD,0.008905848631209318,0.1494760885386988,,0.03007618831462572,-0.0155131981836042,-0.018584779249063717,-0.04298087546548488,,0.12734204723773526,,
TNFSF13,-0.012453783875794319,,0.035547277381726694,,,,,-0.04215256456279244,0.03112183110777881,-0.02702121766476029,-0.03081406491581904
WNT5A,-0.023997709059940565,0.01025817769319326,0.014472462628091508,0.03364081217767706,-0.02545200605024841,-0.015728820481409517,0.013431403267421343,0.020122555724185132,-0.046605022595523,0.04187510132970081,-0.018861154748520088
