,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.021110089014371405,0.014074764437176965,
BMP1,-0.004931251908109187,0.03996225527004465,0.008656284439838841,-0.0010755790260982426,-0.007192547100826968,-0.032985834260510195,0.02502248742612312,-0.022434262072020938,0.04246764361214556,0.003509606964985049,0.05217231277134079,0.06882210947587789,0.008875742570952097
NDP,0.004989621475291998,0.026583853606389346,-0.0021817056923903832,-0.037017021204010306,0.011430261402042204,0.0014579434501655923,0.025745708202689444,0.12280269287978506,-0.09083639867028587,-0.08738227794168783,0.04145597050310388,0.010723345830667731,-0.009771618149238903
TNFSF18,-0.013427889416606161,-0.0318027557957458,,,-0.01433915972666538,,-0.023736424227479482,,0.036128366071504464,,-0.0217704621855683,0.08792649806351834,-0.02226048928224228
RTN4,0.03349132745847933,0.0066245493952451495,-0.0088827711257773,0.041094811464938936,-0.02071308274988378,-0.03239936416020644,-0.1009041456787349,-0.05509064507210154,0.011749153623129066,-0.02883475804572696,-0.05402718928083295,0.01236242600506681,-0.03079602012711374
HEBP1,-0.0525705673901152,0.04736140736888985,-0.01720200269910641,0.011093489165260591,0.003251992918144384,0.04379951418831495,0.03070734138739401,0.03572776537707735,-0.049084868954466745,0.10349658592094291,-0.013837548562717048,0.05539411698097663,0.029414561753695213
WNT7B,-0.04199148789013112,-0.019754886054434533,-0.0264124404457968,-0.024679096348213782,0.019021410514318327,-0.01743575331198885,-0.02613148627103949,0.025104693341532563,,-0.03572384759813035,0.10490909843807841,-0.013231188294174719,-0.024927812397085046
PTMA,-0.03716541722752148,0.0606096413422974,-0.03472371822509188,-0.012798570627909543,-0.03632521137714726,0.05251657697775155,-0.04784582057222624,-0.011964639552394943,0.0048405299100852395,0.04986395851676034,-0.045098612896677354,0.045800901317802616,0.013309098030521996
FASLG,,,,,,,,,,,,-0.025275108665368386,
CEACAM1,0.011576963081469178,0.02854420609724792,-0.030498796384532127,-0.01716092436098998,0.026881524037268924,,,-0.013675689934460188,0.08231149794585021,-0.032037718727310406,0.06560629723525743,0.015212034823851585,
PDAP1,0.029616320369748508,-0.010461260077449321,-0.004733322192382862,-0.025702438408519233,0.01815725155116063,-0.025775855160495117,-0.031579888856579114,-0.06575140698949586,0.03591587322937337,0.015098339030525494,-0.010039131044084793,0.042372061543962496,-0.011995834485728723
QDPR,0.0010248420331807838,-0.04570097483615616,0.030848173131534862,-0.0506535109186074,0.05099871563492515,-0.028355248307649995,0.035937825368079164,-0.04572946392725591,0.017083801168756584,-0.04546438001275646,-0.008234262377731904,-0.049039324389866884,0.019456348655057333
POMC,0.04930524701193879,0.0481320186072897,0.06654142510247978,0.052289706362674666,-0.016638027032781447,-0.033999099430977606,0.08189494661407322,-0.058812616192915036,-0.005590138272455416,0.03933580720653892,-0.0031336974460492205,0.06701412702416604,-0.015934886474310912
CCL18,-0.0007090594136728225,,,,,,,-0.035828145424763036,,0.03966759069736241,,,
CCL17,,,0.015280782567434453,,-0.002686378992535581,0.004933052852846469,,,,,0.13574400665743527,0.10660836456690947,
VEGFD,-0.02658321136751396,-0.021714642262837324,0.02426858095472343,0.27467607684509454,0.009552120368107863,-0.015829612651041835,,-0.04036441074003444,-0.04515376265900148,,-0.02935462629102724,,
TNFSF13,-0.020060544348174978,,0.05935742478083526,,,,,,,,-0.029846684952161657,0.0528489175708126,0.01152471947184866
WNT5A,-0.014205984846913822,0.03151185400095371,0.010198502742909189,-0.06157763065241748,0.02118902211507093,0.0039484721034870746,-0.023667496999231905,0.051278108249407074,0.03540305199691954,-0.05428558864331773,-0.00496478789916824,0.041975837006362496,0.10850642374085488
CXCL8,0.07879480708474333,0.011647492579461646,0.036793271172640085,0.040538064575510395,0.011687925900251975,-0.014741223595090766,,-0.017421611528440146,-0.023845220241722098,0.08486806348540685,-0.03951598773362308,-0.04093222375741527,0.008559820991933597
GRN,0.026420505308675322,-0.0007248551946950966,0.030143284450832974,-0.02182020570842522,0.08112431061519149,-0.06420393782821265,0.06721408759280773,-0.011104547575127622,0.014148109665686422,0.003973593825881184,-0.04200916387685834,0.04141045669616302,-0.04225749344604816
MIA,0.009275572340002923,-0.01931148426232327,-0.028993368978298458,0.09933418457287954,0.021895211304825146,-0.0023665647813099944,0.15346135625151544,0.12749901247550646,0.022505108169177758,0.009774071581318891,-0.00869799928864046,0.013553833359817575,0.018837274586341518
COL4A4,-0.031926210731944994,0.10697629661433314,-0.014330290561357676,-0.018467544422617565,-0.018671161079281965,-0.0010508635426807183,,,-0.03535628543064965,-0.028719197891170382,0.038032361644552704,0.07144924205088728,-0.043691314151692216
TAC1,0.01887704318829296,-0.04231487527415533,-0.009972474474264512,0.0014479600093298085,-0.03846465819229516,0.0017303415053763257,,,,,,0.12783334907231692,-0.02758109210453209
RARRES2,0.003214503638341469,0.025748326790480572,0.017227202904956964,0.06824415529979644,0.040891432750436496,-0.04154239018434755,-0.02855424316768342,0.02586262663616808,-0.00936245828775221,0.012377510837646596,-0.016008686098335986,0.02598826424838633,0.034871943805421114
FGF7,,-0.010870478985913694,0.008568843597124962,-0.03143684556018757,0.041011868530005074,-0.04277885669230328,-0.06076027778396048,0.003331503484172389,0.04479946646500091,0.009198041129318818,0.013217248635133835,0.017286396698912534,-0.025701996873694993
HBEGF,-0.04343484916632265,-0.012121306055008114,-0.07861078827446476,0.04403066175772869,0.012490840765411772,-0.04065196307240841,-0.007586795711701515,-0.0814697150511628,0.08428075168951342,-0.028584807018578823,-0.07446165672129179,0.014118745569425583,0.04689702844178527
CSF3,,,-0.021070014337738984,0.015529216993419701,,,,,,,,0.09911055994028264,-0.03434384190982892
PI3,-0.015962957816862158,,-0.027860041220701785,0.031213419755228507,,,,0.02008166517163264,,,0.020463525207697102,0.009992123204280796,0.02831830927552055
PCSK1N,0.0018666912775077333,-0.00753121454091364,-0.06072465245973312,0.04145266196060577,0.022639771561892785,-0.04324576763335543,-0.016181196095524028,0.020794753707478318,-0.023313087220644187,0.040654171862470195,0.05611169659618988,-0.02430956887779261,-0.043330251592093645
NTS,,,,0.017993682255563144,-0.021329631149647022,-0.019186326528111468,,,,,,-0.03571797556337532,
SFRP1,0.07875897990912792,0.01824616103934647,-0.015424284254678053,0.0005128285907826122,0.01182145903222956,-0.02158057508845403,-0.02354833704239461,0.06751179082287445,0.0423786074905062,-0.05024494243174098,0.02744218331737842,0.053399572123695435,-0.05733663408671244
CXCL13,,0.05361185331093102,,-0.018562442382649827,,,,,,,,,-0.037278394625325596
MICA,0.01673870552312315,0.03132831706955989,-0.0012053950623446099,0.1452318690172876,-0.005198156648096417,-0.013186692856953085,0.04148969425154281,-0.08762114972816992,0.02028204091458567,0.022732966808330556,-0.010702603377196241,0.008780580040766373,0.05868350084111492
TG,-0.01445181996681894,-0.020615479503270445,-0.016645246445605878,-0.03972726601122551,0.04202679643583704,0.05740786955378863,-0.005884452968968125,-0.03796858135096466,-0.01425763714072487,-0.036985769247725994,,-0.047038000971851616,0.06241489505733096
ADA,0.025676854903752665,-0.009224549559442623,0.010786927644827247,0.05224495241380949,0.019789386446795742,-0.0019293427624325267,0.12175534037881543,0.06633166852780813,0.018099706174013096,0.007179188681797809,-0.026175239262244347,0.06898682583462748,-0.005585951917817878
LAMC3,0.022568454065945577,-0.01699862010680467,-0.0133199419788674,-0.0694381339936872,0.040660341702911384,0.009884916253239786,0.08007848099294303,0.11403184637313432,0.045368149075352124,-0.02524363375757656,-0.01208173670900397,0.036257728669080204,0.03765394872863644
CCL7,0.06401325898432546,,-0.012034486585574999,-0.024610371469355238,,,,,,,,-0.025275099677841435,0.04697702223450711
NGF,-0.02903219274916874,,-0.027574082519743397,-0.026269010063426444,,,,,-0.03320597740652401,-0.03375632435397782,,0.008181489053463536,0.09030408779726168
TNFSF15,,,0.07279160798189967,-0.01822143552252014,,,-0.028038927358888223,,0.02623796279305045,0.006655558916497543,,0.01935567285721736,-0.05086411879367113
HMGB1,-0.013016974197162787,0.03888747289732668,0.0030092164441737268,0.01797993262975993,-0.044622786375347646,-0.039600373391197256,0.03171579315606661,0.056649865693332344,0.018689482200907364,-0.009660651328613233,-0.039848121849868565,0.013328971592314543,0.0014146271802072921
ITGB3BP,0.03783128401411614,0.033846302102810824,-0.017795944596964826,0.018329641921439113,0.032468785624041145,-0.02161246923815859,0.045209406899339354,0.0381059251352218,0.08713268924283668,-0.029454692330513576,0.011495245420167008,0.0008423067808063517,0.03511106001764217
AANAT,0.004084510666609236,,-0.012193531100239748,-0.016418603152506837,0.050820585261604614,-0.018002851706541156,,0.06232667851477213,,-0.023658905187259452,-0.034427826625426684,-0.026742109485866927,-0.00928953847346358
RELN,0.011062341091455116,0.06260288553766873,-0.021165239309186207,0.05355657148351674,-0.035673667413969004,-0.02557507875701486,,,0.054103661275497886,,0.0286991422271985,,-0.05745011158433392
