,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.06098342210583687,,,,,,,,,,-0.02205952788198235,,,
BMP1,0.02431698470917095,-0.04469620036862313,0.03776688998641906,-0.0025531412061624683,-0.04172750078941376,0.018616952087925943,-0.1277620246106947,-0.03226808428135145,0.01430423665649076,-0.10551356969810158,-0.10563096127900183,-0.08858052013199431,-0.04830129515057463,-0.011294404646510466,0.017976808614825906,0.0241955952559464,-0.06497553687421577,0.011238131114758023,-0.08252730048820749,-0.04359542201288313
NDP,0.029250843178470824,-0.014007568898105737,-0.03415829603347694,-0.036614307569252276,0.02582252365238049,0.0421749551754588,-0.02856250612214043,-0.014719238537563874,-0.003808507166245455,-0.04639128592418593,0.049996770486811525,-0.11205009777007321,0.03289314270651296,0.07091033163496754,0.06613127369706566,0.02867106605665917,0.015347368946809065,-0.024237745006748877,0.03028552606566775,-0.011271549735321193
TNFSF18,0.005094048840096671,-0.008282551387939987,0.04174923627275564,,,-0.0362627830626506,0.012784812418126006,-0.0013944353824195943,,,,-0.022941421964171177,-0.023499498820380015,,,,0.020482514148311443,,-0.05503595293792469,
IL36G,,,,,,,,,,,-0.020126427489116885,,,,,,,,,
RTN4,-0.06445746892495792,-0.017949738297348177,0.03756958879607079,0.023795062622884226,0.09412722978247114,0.04821601776217664,0.16849345863903278,0.031220076904276008,0.05722020775712479,0.24939795688406483,0.14074844984318285,-0.06774585837540661,-0.03915701806692332,-0.02782673421939149,-0.011870185304785768,-0.018599581883563122,-0.029194715321670454,0.02173924069950573,0.042430591875280144,0.04003410388789052
HEBP1,0.03487870376954228,0.008062402313499322,0.008357031248486493,0.023368651358839195,-0.03728514113935248,0.046668557015489796,0.005901367538699132,-0.013533567565249347,0.00945888314204047,-0.08242692205045918,-0.016544013239943568,0.048841267898609125,0.01546966470807512,0.04953670943278662,0.03401770172099145,0.05668472943849351,0.01938524478289552,0.002838261227915953,0.023707328415489583,-0.15149257188179008
WNT7B,0.019537215262385818,0.006494522505612819,-0.0023095482891006,-0.034964482050005935,-0.005623641180446583,0.017614104143312808,0.08284941216738713,-0.020011695873458513,0.04601688507416535,,-0.006516654208381157,-0.025256266375658802,,0.13176844029375154,0.028188501560437663,0.051400925105511676,-0.047571257614738086,0.03997537509920313,0.04093967419587997,-0.008497115497254437
PTMA,-0.031865177293414274,0.015816866650956458,-0.0206431138125835,0.00378331554733633,-0.09376620007250441,-0.03780150559456704,0.052020233194212236,0.014774254648498792,-0.10263050899915471,-0.31154015020931264,-0.13583057794100112,0.009846883921678708,0.035899271771717894,-0.11797241173514587,-0.026053829267073152,0.003511269110835043,-0.005704810690063987,0.020669491207099492,-0.08337504956587037,-0.11610150514856564
FASLG,-0.014706215178459072,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.039023065348549074,-0.03289562443159852,-0.024970754602195014,0.0213096690769784,-0.023376152943158902,,-0.011056123448412891,0.04897017147269628,,,,,-0.0310520088808219,0.023248871251632313,-0.009942599327854936,-0.01933440728422434,-0.017276462874548502,-0.021128843228200626,,
PDAP1,0.11797099680224592,0.052294581540010356,0.03462736965059902,0.050636803468830795,-0.05206102170326375,-0.012963479052793653,-0.031996871249985646,-0.019116630125990904,0.018376284841324298,-0.03792062175431632,-0.06912894517903283,0.0012148114310774922,0.006685256204478357,0.0020773883180400356,0.022539317393745557,6.906211537068325e-07,0.005014402854824899,-0.018190791668132283,0.04896935534522613,0.03002599558855189
QDPR,-0.08557845753239221,0.11031352470793822,0.004130919983332156,0.011763276506733897,0.11207561655509383,0.008928358183582103,0.009219993741612273,0.0027384479923950717,0.0686238062664198,-0.25537225998643087,0.06833197959751998,-0.012208317003183042,0.016571808522308735,-0.0014478280056243371,0.057388559422662466,0.06900269239339808,-0.03225455353225739,-0.013265098192525795,0.06795016591506674,0.03750940579941748
