,UKF243,UKF275,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.041629247022244895,
BMP1,0.04723678220429747,0.027827313890011033,-0.08936789028482739,0.061127185623804516,0.051251534338486684,0.04302837132437944,-0.0629229160541197
NDP,0.020017774802150466,-0.028470548009152222,-0.04973841195150233,0.01097943939901885,-0.03691237181004366,0.017132578400105757,0.04832343844176065
TNFSF18,-0.018058820223927224,-0.010647509681371023,,,,0.03072285269679664,0.05645899922477933
RTN4,-0.022753858202880797,-0.0343111910720549,-0.003933771375954012,-0.09108437786507237,0.031735061655575714,0.028671135252010344,-0.03185017612331466
HEBP1,0.07195443422469751,-0.024391846428270882,0.028112644533833917,0.02428077175342558,-0.025407190854007854,0.08117217261137726,0.02729672234300488
WNT7B,0.021425585283169124,0.0048855407834756505,0.09685886116678005,-0.019184896780611877,0.05754031638874634,0.06600644698788331,-0.04652913054021028
PTMA,0.005053122833725693,0.018522284310943354,-0.07672370604436617,-0.034965760113157614,0.024500017187675045,-0.03135711462612994,-0.10348183517452239
FASLG,,,,,,0.011536666823449959,
CEACAM1,,-0.016745996129576765,-0.039299071999343765,-0.018489883452971145,-0.013320729736191837,-0.03299988958130196,
PDAP1,-0.020462144064106666,-0.005960832263913945,-0.081641641570913,0.0017994319126274684,0.002684709983826016,0.03889298193081156,0.0009127016791651638
QDPR,0.05020084123355764,0.026514396102825775,-0.10467056341093656,0.002425607233801406,-0.009517434399942666,0.05153555596338225,0.038817691211531294
POMC,0.019772798160923036,-0.012354528249030876,0.11793989633621495,0.0282857068600772,0.09532935175774235,-0.003027850780247896,-0.02871662494747501
CCL18,0.04557876786156838,,0.014873849728083161,0.07174736116894287,-0.03622171567626423,,
CCL17,,-0.013279517579130084,,-0.013117677374367899,,-0.02002815587939722,
VEGFD,-0.006768255393325363,-0.014148202783512946,0.04301990632645754,,,,
TNFSF13,,,,0.06380177056908862,0.05889529859087381,0.07867951223714696,-0.032046839784919845
