,MGH258,UKF269,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,-0.014513724260411373,,,,,-0.02488233167783383,
BMP1,-0.008019599778893712,0.09655673862584134,0.048020810285678714,0.07192196018837646,-0.017490006433977523,-0.04244468628541669,0.023778741384996947,0.049459786305882256
NDP,-0.04222687499928903,-0.010963861078018161,-0.030519574187589393,0.05450246022790345,0.040454529347325775,0.09081585460133393,0.04238411837516263,-0.008482369025044146
TNFSF18,-0.003712104258899848,0.06987724730422026,,,,,-0.02566070946040394,
IL36G,,,-0.016645198382872445,,,,,
RTN4,-0.00022399584905495975,-0.07378321154868352,-0.02957870119976768,-0.02234523170223808,0.03119813556466862,-0.05988202384207118,-0.12177033938951833,0.028273839623760108
HEBP1,0.02290561777489154,0.04696252636553177,0.0006370892632285956,0.11518597134114081,0.01731759320007693,0.05488278262868828,0.06082728036705924,-0.0034731297431723246
WNT7B,-0.020986966634803237,-0.0600718564609398,-0.018294991238733172,-0.03919342370216257,-0.01841619372570227,0.02168698045728029,-0.05365861937908443,3.985333813525673e-05
PTMA,-0.07298310283169826,-0.09943953372065073,0.058975537900238295,0.05016163176319058,-0.09003033129659647,-0.01810713346099841,-0.15720060878072284,0.021469193128907885
FASLG,-0.020986972567764946,,,,,,,
CEACAM1,-0.029140595081760968,-0.02836178983813323,,0.01784631948453534,0.13619653129945558,0.03672448673007275,0.056465696873615426,-0.032401070851869024
PDAP1,0.03158313807902675,0.05122069342858539,0.015454745044489168,0.001361324987599746,-0.011334011159086266,-0.03144085054648735,0.010746265874616882,-0.009083036599979454
QDPR,-0.040251035905888514,-0.030574153836327323,-0.013221790366219763,-0.09059859653240533,0.010418540869605876,0.10955419770211366,-0.04877719683577368,-0.04157882329317437
POMC,-0.009532314328801349,-0.004791289091842105,0.0020130495404928036,-0.06084541949023347,0.04817909042437428,0.04109539584618052,-0.0022246894155353476,-0.009636016698467123
CCL18,,,,0.10563459833677032,0.047970395695355474,-0.04815838588018871,,0.04383701857527847
CCL17,,,-0.01520586127977585,,-0.026284166449603207,0.06632371813165382,-0.032805916988859284,
VEGFD,,-0.02431438135222386,0.025026038966752425,-0.06701764349678441,,0.006834099339310697,-0.004178145760621893,
TNFSF13,,,,,0.018228743810014734,0.004208210273578306,0.023181505635260478,-0.015257146905083525
WNT5A,-0.002330274005770755,0.022040581832618023,-0.009749579124101218,0.03301891870707202,0.00959323981426808,0.05268620037727369,0.06781390247502081,-0.016890903888384014
CXCL8,,0.09574486337171198,-0.034217466483372,-0.10466712797749961,-0.09905956049841409,-0.11168523636534468,0.02245973850837312,0.05940236012622528
GRN,-0.04208218563439733,0.10802625948897879,-0.02538003658396973,-0.03698756997503739,0.05207811033850175,-0.021492835420829692,0.09642809032225982,-0.00841732388645324
MIA,-0.027470136919627543,0.037781424766001354,0.02368241353758517,-0.02747007174451488,0.026247990970686537,0.15701802935749645,0.017106251351025125,0.0011670263011356959
COL4A4,-0.024305471482457684,0.01233844487400345,-0.021650190379176728,,-0.04795769918179087,0.07252043728850996,-0.050534863254188135,0.017511092241960076
TAC1,-0.0209869611496167,-0.058779841526627664,-0.038368668352554494,,,,,-0.021896322211494013
RARRES2,0.026854709384146625,0.11745655695892303,0.014581025495185229,-0.06252305383201423,-0.08567012077390368,-0.01881013909310992,0.005689889885843154,0.03595670434973672
FGF7,0.0262719837845271,0.1497884571324774,-0.010136494324664277,0.03149745889160933,0.04520028365145531,0.04416796941916341,0.04994321254679188,-0.023173366119238738
EFNA2,,,,,,-0.013658620208660483,,
HBEGF,0.011179763301383849,0.10995688334017296,-0.002542021863061978,-0.003910476855618683,-0.06690032523603995,0.022947581867993602,0.026102538206886832,-0.015573425599515942
CSF3,,-0.015131450174450889,,,-0.05863195653508792,-0.08467650588500836,,-0.04645136100920592
PI3,,0.02768828753030845,,-0.04212369723684994,-0.085957178415996,-0.12523233079860738,0.11758336849857196,0.01050272633796966
PCSK1N,0.09452742574228107,0.016251304030641824,-0.02297901166327993,0.15434700333347437,0.023682999896118166,0.01545968058538074,-0.03633394008270037,0.04596552753406663
NTS,,0.0018885352158952485,,,-0.028449685796970235,-0.028503967060373607,,-0.0739663835821921
SFRP1,-0.03053655859885956,0.041229250839073896,0.035507757350762184,-0.026697534670777963,0.011571205199741953,0.060486368222050106,0.04803210699432044,-0.017825824845040743
CXCL13,,,,,-0.027962162035256102,-0.025050371975890818,,-0.0467164714268121
MICA,-0.010756976040917817,0.07470634110345074,0.028945691376876866,-0.0008522985321541543,0.004886569669225661,0.027365655541470434,0.05265072352510657,-0.02658120434477382
TG,-0.024305466005126106,-0.0182623065803507,-0.022841349233936742,-0.027916497121063345,0.10773405007140066,0.004267210951133714,,0.005527776655471657
ADA,0.045752827830118616,0.11185323309825941,-0.01887413795127027,0.18068967754047963,0.08544489248669226,0.12884103660463642,0.017614638479233884,-0.005762657132447169
LAMC3,-0.002360081976036599,0.05269516048193441,0.030044580717907002,0.13986936884918122,0.09266940968646886,0.04686291593338596,0.012253201363025651,-0.0062034035694978305
CCL7,,,,,-0.03939390699124347,,,
NGF,,,,,-0.03580130813981081,0.06987929788229648,,-0.0078838058068354
TNFSF15,,,,,0.029005460144794354,,,-0.028845497715244774
HMGB1,0.01807152277549651,0.03273119170476155,0.060357329085468085,-0.010364307133620451,-0.0033281351714873064,0.008873209221661354,-0.088548248579352,0.020525724621089973
ITGB3BP,0.05299869255702146,0.06743493110042281,0.024809088083588223,0.01897671323580048,-0.012403804046016716,0.00695818066563003,0.07545838305571917,-0.031392108668323836
AANAT,,0.014412271351468022,-0.02039720845047795,0.06792617212139704,-0.021700032571547807,0.07843676361479664,0.10733611667039203,
RELN,0.002882926923115959,-0.04005038261632846,-0.022581470309945912,,,,0.010282659708664816,-0.012653962473897133
IL15,-0.006018221288648614,0.10180420221593259,0.08869209901269916,-0.008150766513375669,-0.025402561592075962,0.02587449881757995,-0.0505348568500876,-0.041983015889468324
UTS2,,0.024204725225790945,,0.017857330868602965,-0.029430004898430583,,,
BSG,-0.02093623141641993,-0.025543430735650158,0.032678718533863324,-0.03911754597305437,-0.01826080542621051,0.0045953810671359,0.11589206825992163,0.02042289636624987
ADAMTS3,-0.03291702564070377,0.037910747514560625,-0.031434726504556455,0.08242556150426177,-0.033882179637842,0.04984026649101495,0.03930362307284722,-0.008861685869804563
CD34,-0.0067978657729782736,0.05024729491716666,0.023921240591154604,0.1648248242136283,0.13649182491462333,0.07126064589416316,0.05735693911301076,-0.01739320867954703
CCL23,,-0.015530369811875352,,,,,,
PLAT,0.049191510139565575,0.08336028725778888,0.032197589278083846,0.08654684377818742,0.053453191936115134,0.10795041465959947,0.10731363047718598,0.09755058542741361
NTF3,,,,,0.10468192413498073,0.09434814778049373,,0.019840938768212503
LTA,,,0.017492308883748694,,,,,
CKLF,-0.005005811673918567,0.10457448496953425,0.037849007031908244,-0.0016335756137817422,0.0822751027623927,0.09737942691926316,-0.010351825565172614,0.009706644587106813
CD24,-0.03863408303076355,-0.024626419779501724,-0.022655420164144312,0.14932398428407154,0.031789154837190546,0.07624762280375529,0.015003773281014076,0.0012078584040948667
HSP90AA1,0.05010271897301644,-0.10021202744903211,-0.06058135320421497,-0.03508969108496167,-0.14738523856150113,-0.1924570701861599,-0.06847186463818992,0.0671511446672372
BMP4,-0.006796945998792711,0.019046879942799237,-0.016119638685879817,0.06351809653077298,-0.002846842810625795,0.08066017277240564,0.021454218583234447,-0.020495815873792168
SCGB3A1,,,-0.013200360692524261,0.09796024890681262,0.0859030038630799,0.10618878870904458,,0.02396868428362452
IGFBP4,0.03951574827184294,0.08550392195635803,0.0005664629914552098,0.12200834039410202,0.08485563997395874,-0.06722570109068216,0.08400520530460423,0.013875185057695718
RSPO4,,,0.026078290688873167,,,,,0.04345878847250492
LEFTY2,-0.02406515109710797,0.10278567430149986,-0.023353405981653235,0.07245562528925964,-0.0065199907610207115,-0.023392144404192107,0.12985713552300227,0.0009399701311746855
PF4,,,,,,-0.034648854523650165,,
ANGPTL2,-0.048509894530827005,0.09583786346155775,0.03958957922118733,-0.0609619490961986,0.11574784467932696,0.10255368767686693,0.002933065801467985,0.09623576229243427
LRIG2,-0.03599804335306748,0.0658573075735004,0.024249294714344737,0.05354975712074322,0.010013572933025926,0.0813396841744184,0.009483065527041628,0.011987597835609688
