,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08128887017201859,,,,,,,,,,0.0031473126726579608,
BMP1,0.038001192635751496,0.017240973240379553,0.03425628993154374,0.015789648264447002,-0.0679667233347437,-0.12307843801966833,0.004715630349310079,0.09987012625181613,0.05141212838352097,0.030001969900399987,0.03968912501595422,-0.009916199100090515,-0.00261683013470841,0.07789393982927728,0.09450701411701615,0.027975058003126108,0.1032452336549335,0.051557391750610776,0.04453504994273671
NDP,0.12030353625878573,-0.08276085260744376,-0.0635868803176878,0.053334937078782424,0.006674861299950716,-0.10700710659760947,-0.00958026157420927,-0.027947793009449794,-0.06756161575021195,0.06854774372415826,-0.02913888914942629,0.029888239823992132,0.16857713586649686,0.05432985970794794,0.03612334828385691,0.009702003492370681,-0.06404867267135313,-0.048227178501317226,-0.11526546366971602
TNFSF18,-0.02115380653898456,0.09097060468603756,-0.028831490054234264,-0.04114160929291245,,,,0.04306556756670661,-0.023304518349358573,,,,0.012449160720540376,,,,,0.027053557855322072,-0.0147707507336683
IL36G,,,,,,,,,,,,-0.01375290926188028,,,,,,,
RTN4,0.07210897443107146,-0.010955238259132718,-0.04954592702741521,-0.0669916698090683,-0.0376510823537978,-0.06251687841039005,-0.005921828973188461,-0.035269022476152476,-0.0778976467806064,-0.0645852358498696,0.06511199282468876,-0.06026484062773586,-0.014017158318226716,-0.08589417057943993,-0.02304091871344134,-0.04758904577262074,-0.082505645779523,0.06549041618109598,-0.12947121941235573
HEBP1,-0.008920738527175927,0.052251843615462035,-0.024029985021829767,0.0037525298657206676,0.0781366084473095,0.0010727313119559569,0.013615950986163547,0.02258868014372434,0.03560539205855743,0.022527648639164847,0.032136283298109095,0.004637502686021051,-0.09169218620609336,-0.05260075996282474,0.10313622339975324,0.041235079791644466,-0.0226710484650232,0.0096671931652119,0.03669295575566806
WNT7B,0.15824133542925914,-0.040976590598667074,-0.042667442769575424,0.07767825959227703,-0.011287170771882342,0.12637787839326814,-0.04604341397473379,-0.03947090991990446,0.04268669094406389,,-0.018893204070020753,-0.01511603218331676,,0.02497729990159537,0.046725312482597973,0.004292720181078708,-0.041538988288557864,0.05457090701357995,0.17181297883600707
PTMA,-0.039020748036222186,0.13686347913049285,-0.060155118326815894,0.05564911342231885,-0.12517810237840196,0.08314338311842989,-0.006429099204142967,-0.07609731871538432,-0.03960213548321756,0.06779442206284769,-0.029026599230460096,-0.020247492880359267,-0.10281370959165466,-0.08183938129582397,-0.18058710652405424,-0.004999141416718784,0.0852244386809735,0.07006935510635205,0.10375661055385976
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,,,0.06368255005359216,
CEACAM1,-0.007194365623997237,,-0.018350453272438148,-0.019612610298294295,,0.0323448564411187,0.060450933855931296,-0.030991715992241802,0.055522082681650375,,,,-0.06425441733418845,0.03937735279357206,-0.07420608029669161,0.07725440881708387,-0.03376857962230611,0.01667543196969257,
