,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.033391018502386564,
BMP1,0.030785578630708063,0.019883797268140532,-0.036675491617938705,-0.056901747935307674,-0.07923087281263795,0.028672655988260364,-0.042398058988207116,0.14721419710553077,0.01395390743079109,0.005883515256532554,0.0390447786235062,0.17516889606939004,0.09445637454211754
NDP,0.060715995406996334,-0.009319856082117304,0.0015968501207664608,-0.048173592875224755,-0.002520565065425372,0.02582355777002095,0.02820747830456958,0.07489103631439382,0.05976420486947615,-0.04455346138589397,0.02050699861594528,0.03537349653299242,-0.020929964605834194
TNFSF18,-0.010207042218277906,0.09377716960078689,,,,-0.010647508884629552,,0.2568853837607238,,,,0.06354989325158385,-0.024659570985751694
RTN4,-0.06257072272588135,0.04862205964934177,-0.06401895809359831,-0.03261159699042089,0.002489634441086716,0.0069385240991832195,-0.009959274600309332,-0.061965472079373675,-0.017279670613272808,0.0793690082284536,-0.057245381911558986,0.022665760951251165,-0.07278488042470124
HEBP1,0.050127477747344135,0.024250777646700753,0.025943688242924343,0.008050188047370293,-0.012678281803495015,0.008568054234158077,0.05189956859414146,0.03441920165048148,0.052222675570033364,0.037874068803601314,0.042701088768378,0.023444629270708704,-0.022970146884712706
WNT7B,-0.022813956718857095,0.008793152570649795,0.1591017476068244,0.016359401420900026,-0.019434715648501983,0.006742614865053199,0.01915783538430486,-0.02613147395818145,-0.06415454264429428,0.01149746480962663,0.04271803604067257,0.06436173928497405,-0.05361756328847374
PTMA,-0.02832878296475766,-0.07498966839212001,-0.02989901549924423,0.004114236771761773,-0.010107895117173487,-0.014820251050234432,0.014759415640457248,-0.005942815869830589,0.011712995519528396,-0.03296458423469267,0.03181473317418553,0.027261731328725804,0.048144006164917354
FASLG,,,,,,,,,,,,0.11924699773471328,
CEACAM1,,0.04898309631321221,,-0.016696244937243396,-0.017345621505464145,-0.01674599487649224,,,-0.04830997940454558,-0.017930263643805577,-0.016479391185968875,-0.020779617204557795,
PDAP1,0.06730667019937096,0.016350166011940077,0.004792446950888183,0.02285326180693116,-0.016140954311241063,-0.0016875825108647285,-0.021248034762675217,0.09705079113710857,-0.022016913925527203,0.004240646761162335,0.030783673600471465,-0.028899934518162095,-0.03763476884251539
QDPR,-0.012542984836745001,-0.01824029547906874,-0.01924050210208995,0.01899808236689149,0.023265075189564024,0.002835385233208268,0.004272127123396777,-0.06814601309635356,0.016395572210582316,-0.013853279188623668,0.014248749965163876,0.052315592312764364,-0.03668415013365456
POMC,-0.04885614860382407,-0.017330809388023307,,-0.0033799796877556553,-0.012517901819694659,0.010036862407871735,-0.024285202083512803,0.18935304026944932,-0.035476527447600624,-0.043051790458660914,-0.038605329858812376,0.0002359414246396857,-0.006922931775108087
CCL18,0.0509382827274328,-0.025260397609448915,,,,,,,-0.041423281699892275,-0.032812162524897055,0.01900658731725737,,
CCL17,,,,-0.022722727094064758,,-0.013279516585438347,0.011024401721699037,,,-0.012720654206125072,-0.023789035743795626,0.01566580749842074,
VEGFD,0.08147243382907718,-0.02526040563080828,,-0.01372110364098578,-0.01659530857927972,-0.01414820172481845,-0.020940435434170488,,0.0705085581969866,,-0.016479391185968875,,
TNFSF13,,-0.019062312690669776,,-0.01567362859983684,,,,,,-0.006852849063028724,-0.02585786853224967,0.011626133055964428,-0.026826095799030773
WNT5A,0.07837950542381739,0.006471641246024155,0.00778000762932289,-0.04528474619471308,-0.06444702716039477,-0.00451791145423619,-0.0480002298995782,0.010315298543724264,0.033833306478226924,0.05905958402688368,0.07502227158710056,0.04069105047856475,0.01114958007862669
