,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08731426867525907,,,,,,,,,,0.03834468209085708,
BMP1,0.007643783416107754,0.1807049960953361,-0.040066457820282786,-0.03482311780530804,0.026582003617385056,0.01712863924212759,0.04254796720355307,0.06954626554940159,0.040117311935042727,-0.01566696022580566,0.04987918627075259,-0.09693559936701604,0.06115070994782995,0.169965289073596,0.020667713207266354,0.06367253933286902,0.1727737644228989,0.04751758904815774,0.12527763424484648
NDP,0.06567133921251127,0.006394025605936612,0.003973873065726001,0.06305987966075237,0.0032975338613016538,-0.06046365306249893,0.028416463785048668,0.044785752287838494,0.016001243702806613,-0.016822220561258677,-0.030599369940312524,0.031883502105837874,0.08413855684117165,0.04579012730932149,0.17086174368522652,0.001711555779807632,0.024191933638561373,0.14000801497136753,0.04316226898401538
TNFSF18,-0.02382260501456111,-0.0022275091074497313,0.043216284202263006,,,,-0.012213188126481068,0.04888693519398484,-0.03173175018707793,,,,,0.1732228577313188,,-0.015577962627520758,,0.03151812556230503,0.021589780164308892
IL36G,,,,,,,,,,,,,0.018049033251206013,,,,,,
RTN4,-0.02054553305383402,-0.011651925151817831,0.07559613542414283,-0.03141214428501361,-0.051971414529306065,0.05340822446253488,-0.10310425262173732,-0.11016520409553122,0.007985221745079409,-0.0010929320593044863,0.04768186149029816,0.005261603052990969,-0.06046082176400628,-0.1017061178053059,-0.028695821496085707,-0.01365935053617616,-0.11670913104947138,0.020023989800531675,-0.04846827695982693
HEBP1,0.004399170810252191,0.0388055327970281,-0.010773901849218089,0.0325057957979875,-0.03645597438836334,0.0048656552757965306,-0.0018358840870380422,0.041047733937894904,-0.024114709263412908,-0.02241937809278624,0.005756160457035657,-0.08104860643176941,0.012784027742851712,0.04628828206393897,-0.01874504262708508,0.04730084177160085,-0.031357957016904615,0.10535685416589986,0.07565393988297271
WNT7B,-0.020986968873090543,-0.0029192017410833338,-0.008466546263729854,0.0777201161312198,0.018151600689406175,-0.033023362208522,0.027203578009071583,-0.06150855238408652,-0.01774958710499879,0.10507505872275166,,-0.04638318704319726,-0.031894181481890854,0.06961210591336763,-0.07413918984929269,,0.11010656362774444,0.014027842237984508,0.0419083613471065
PTMA,0.09417700380662011,0.07034929081174443,-0.012102103022715943,0.014957557072594064,-0.007890009905944498,-0.014779870346815598,0.061725120307911774,-0.058289046661410736,0.041980138159947,0.0322105898471091,0.005630892084723316,-0.07013090775118808,0.08247009366106717,0.056229509444036,0.03762912353736581,0.005027215584886215,-0.09414658082907221,-0.04607879509296405,-0.027589995779948077
FASLG,-0.020986974806052883,,,,,,,,,,,,,,,,,0.07838370550558485,
