,MGH258,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.013038939590569667,,,,,,,,0.008484092840500583
BMP1,-0.024770777443934362,0.05863132063140288,-0.02748737585974378,-0.01077011960155023,0.1361178258837026,-0.01857731011139791,0.04579566706816467,0.0769926615106541,0.055225306129534864,0.07283090010115023,-0.009059327619101113,0.028319370302115433,-0.01952670080133133
NDP,0.030454087731211187,0.03411180425707177,0.06533668228813368,-0.008124753081993608,0.002215144473149698,0.0023828618760821842,-0.0270602223017873,0.04767439257886522,0.13491851955051537,0.02551722973198799,0.008715072782846908,0.014412589115737432,0.06372387624535275
TNFSF18,-0.021153800663678328,-0.029141447597407128,,,-0.019362433852302813,0.05307013697755947,,,-0.06254492853568058,,,,0.0025456694037455413
IL36G,,,,,,,,-0.019986682015030698,,,,,
RTN4,0.07409344895958685,-2.9623168717565923e-05,-0.06549603842457782,-0.03982457813589004,-0.08969792389810742,-0.048047713597957,-0.012294973641433147,-0.043765280438347244,-0.0010521732161053632,-0.037552643463284095,0.019997315404694398,-0.016878101382486563,0.0415549134579734
HEBP1,-0.004765117413449294,-0.014006573961990504,-0.012120320483470974,-0.014706920197225302,0.01573876741684791,0.039573980735663254,-0.003151250208751631,0.020361295907492305,-0.010943608544289045,-0.011058663782614298,0.07480496015103703,-0.04118427361158701,0.04481529951557705
WNT7B,-0.018635835829239524,-0.008036171729993541,-0.005160734314417849,0.014393176069865564,-0.036591358188128996,-0.046718599392907637,0.0397846095261714,0.008745545706028226,,-0.03139837175171816,-0.03673614857804061,-0.02365267837790454,-0.0350545156303702
PTMA,0.04041879570188517,0.02994433961541962,0.09935373937054584,0.05524264382712642,-0.05847562714576853,-0.04755849682145941,0.011866556953873649,0.10819789546287424,0.017607740020893256,-0.09738361190868329,0.02976259872720199,0.03932049083445857,-0.08851468541271698
FASLG,-0.01863584109754257,,,,,,,,,,,,-0.014244071276387714
CEACAM1,-0.02587602845899,-0.01854773275406515,0.023995420985542002,0.05500746189621478,0.05243274463406099,0.006817212480358497,,,-0.04397969953386249,-0.002910003440699793,-0.020585075943705504,-0.015698626636884344,-0.01981853310782655
PDAP1,0.007885972190322344,0.02354326156594218,0.02395547805130948,0.07697832960688578,0.11738468024514302,0.027516366711358674,0.01862141445298142,-0.039429814719357095,0.08765170538475575,0.028092784988857998,-0.01498417247471972,-0.006879697938196604,0.03824894565141213
QDPR,-0.0033970250838906064,-0.05248359579733406,5.022984539645565e-05,-0.01656864029245171,-0.09715640060735727,0.002682169417566677,-0.004992835162398308,0.0014767241194066738,0.06316743911607811,-0.12515556588076965,-0.0017303916442248952,0.013354006651580945,0.05102962724396937
POMC,-0.011349727158532474,-0.01032792068635749,-0.0022995541953953393,-0.03877289390711704,-0.03284495232752276,0.0996503726970606,0.0007841963195238959,-0.03427607143356433,0.0021428592579419135,-0.012116466976491973,-0.04942617653088429,-0.01141144214688564,-0.016122819673643738
CCL18,,-0.023145818012587863,,,,,,,,-0.019964883929448833,-0.03767043646820888,0.002047845546807697,
CCL17,,,-0.021643795260366024,,,0.047444328159850724,-0.013718239766713701,0.019357043152264216,,,-0.014604115036376809,,-0.012910650723387802
VEGFD,,-0.023145825362469164,-0.024113578038308298,-0.018435064742227857,0.014885704861961075,-0.021657344460945877,-0.010062494769395698,0.0506743657569999,0.05551238209721147,,,,
TNFSF13,,0.020620252434505954,0.11821015688957409,,,,,,,,-0.028023103183075056,0.003589999610784451,-0.021036827745529955
WNT5A,0.06876226694009127,-0.0668656474578336,0.006013928754681093,-0.0073788012007742956,0.0546595174199,-0.048152196311169466,-0.0013342381747875154,-2.1792081626287432e-05,0.020216605902134664,0.08111719795425142,-0.009674888441511015,-0.009233619602301905,0.029903015952131323
CXCL8,,0.03280567326269379,0.06706744332796939,0.02663744947291313,0.03651798665255809,-0.014232098944795062,-0.009370632661079712,0.041121600249503745,-0.043599698228686756,0.04236174465051614,-0.03286555225212989,-0.07703505561816176,-0.024176393504445465
GRN,0.05135182059579319,0.03200529230385829,-0.027229101000149955,0.005967630747694268,-0.016682865513227268,0.06563798517718715,-0.0445612970993945,-0.03400773413119735,-0.017739398380527786,0.004385077382267221,0.10249934652542725,0.0737512378804507,-0.02877938377109321
MIA,0.052830484601163685,0.03536285291027903,0.07271825014502599,0.02076192058884445,-0.004327565293564438,0.0702261689278302,0.01359457714568646,0.03784943213634081,0.012191997603368223,0.1537152295930547,-0.005962732830157368,0.046837469929474386,0.05293121017680935
