,MGH258,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,,0.06186838744835202,,,,,,,,,-0.010240882600971316,,
BMP1,-0.040824826700804645,0.10705025919740206,0.03255613899728326,-0.05269833560815846,0.011487721485469308,0.1345967425303426,-0.0680375172326216,0.022010203931160797,0.07256467083723972,-0.04958615981071918,0.10056684307088973,0.060768391375479805,0.00018062357954695986,-0.05128204661319951,0.08414395144440638,-0.0010846433835083843,0.039997563708246114
NDP,0.06803252117404522,0.04507485786912315,-0.029020648672806394,-0.006597270373018631,0.030370031293398148,-0.04280754017643388,-0.02660368993961759,-0.04479577357891869,0.06787942653585671,0.020693168790256813,0.09683765138704732,-0.05570779835148315,0.06680003480307782,0.001703739024393087,-0.02373740371740598,0.07366416995888572,-0.04384633085599171
TNFSF18,-0.01983219606196541,-0.02233791596763941,0.019016780738201802,,-0.012941578442751457,-0.027970834510553936,-0.016905245668615315,,,0.025044026389600613,,0.07682986522095543,,,0.006840130485560796,,0.12255928487555989
IL36G,,,,,,,,,0.07437357065006693,,,,,,,,
RTN4,-0.00782161070433734,0.0866591574157612,0.014730437701739065,-0.0033430824084933826,-0.0732657471947237,-0.15419923875314517,-0.010258915151631253,-0.017134272428045973,-0.09822572429569254,0.0685267924014931,-0.002280167254533169,0.046842803553889145,0.016997958463126364,-0.024980275811257394,-0.07129300131929726,0.05263245479221945,-0.018965630680953253
HEBP1,-0.03687066738300862,0.009606607543800483,0.0008996417135865751,0.03914251377915913,0.05344619757358371,0.05699177105009251,-0.01042372851853487,0.0010105203608297287,0.021181066199629117,-0.04759584162835214,-0.057212940597908844,0.01950056512223641,0.06224716684004555,0.01748027670305639,0.07391856345231135,0.049763024233170756,0.0011090748480924186
WNT7B,-0.017471543568937643,0.1256332046749211,-0.044374858131912845,0.028147202378667188,-0.014001663249107404,-0.04891516667973121,-0.012972745665156724,-0.022741230300683216,-0.030646337507749272,0.011378328831680863,-0.021392071478875466,,0.0007353696023978929,0.02584880773214019,-0.01991558186610958,-0.022067361681561096,-0.04234968035268165
PTMA,0.0037361639665022934,0.023734129592435732,0.058784309274794895,0.050044291787183406,0.06354484603461255,-0.07416249062017274,0.09346128963658455,-0.009073213523024948,0.08196308223405976,-0.02402371083663029,0.014653256904093831,-0.07568911408332903,-0.07141374749639004,-0.048631855806496475,-0.020779741539477238,-0.023835835617778724,-0.02811809088121666
FASLG,0.009249665866527116,,,,,,,,,,,,,,,,
CEACAM1,-0.024259398009022,,-0.028636613719622308,-0.011714774811566506,,-0.003287501575167121,-0.026587924031802688,,,,-0.08502609043640684,-0.028269129024228856,0.08834894848694337,-0.024678016599856144,0.029408049344030556,-0.014646428889150053,
PDAP1,0.060197353476459124,-0.06530997162042528,0.011888099067776601,-0.002631596243101836,0.019276464565472808,0.13340705864014113,-0.01613105088990219,-0.022692865820377106,0.03570035161017136,0.019712587260279264,0.05913441286325263,0.015259733297587575,-0.007625498610344238,-0.07513138821544094,-0.017410712813303756,0.0011721529449596198,0.10099059588343272
QDPR,0.0685787496736787,0.08538867286382783,0.03428577918349605,0.02542210288139982,-0.07073602418305866,-0.17278332425169993,0.053711718819481086,0.03918385156899325,0.03220729844151994,-0.018178504749447755,0.025741015891581363,0.026377698237735683,-0.01611456542276917,0.0948354643370212,0.007845591351008709,-0.002808879492897608,0.02670346254465154
POMC,0.07336557116442197,-0.013867925132430068,0.08947967301543104,0.031532808267054506,-0.011608622961206586,-0.014048005597193314,-0.01961551023852381,-0.020258639465600532,0.013414788999794008,0.010513916987113492,-0.043919881660500135,0.04298016341830841,0.055672678338105165,0.04250595917856598,-0.028433158761454563,0.07031298896701077,
CCL18,,-0.02995698203046801,-0.005319398066134483,,,,,,,,0.10739444241006368,,0.010787672462079706,-0.038082840181260805,,-0.05043857665087697,
CCL17,,,,-0.004987463012999884,,,0.03149477327231324,0.002235266160770488,0.040458041756294534,,,,-0.014246138465690662,0.04833286988793398,-0.03799225227965416,,
VEGFD,,-0.033752762779217634,-0.006261537440639774,-0.010695154669925575,,0.09000523718858217,-0.022463360070302897,0.0741541038021937,0.07478942465863318,,0.054624171663324575,-0.03843126142361324,,-0.024678016599856144,0.05368735383365796,,
TNFSF13,,,-0.0018384347590332422,-0.00017290062232901964,-0.012550631323911947,,,,,,,,0.0524390735896088,-0.0053891841215521165,0.034586618881679,-0.01644695800171898,
WNT5A,-0.02893492115217631,-0.07762213268542137,-0.008695583860843898,0.07018592179269363,0.006202701831661126,0.10151787742253293,-0.06780999422210433,0.029794729116731443,0.021249247922103552,-0.0008912401073116393,-0.05676490226085913,-0.06537279307008563,0.007030927906885568,0.0055840045649543,-0.020790149663134683,-0.029389235011672826,0.003238064105554336
CXCL8,,-0.10108816650873059,0.026882572454910207,0.0034186012689932546,0.10954723148871962,0.001053786610322758,-0.008565856638795897,0.011490940367768604,-0.02853900033322643,,-0.034335714362512954,0.039356540526378776,-0.06102506384875103,-0.11232133605533519,0.02372830185873431,-0.03179753328627145,-0.026549821892293712
GRN,0.06827592338079182,-0.023975903022353834,-0.03383183217405269,-0.001509188442041438,0.0572763230551563,0.08443215380955212,0.06429082306688581,0.025482227537262595,-0.004620658020774268,0.12529560886526916,0.053550452227277584,0.10454964296644043,0.018524800665503292,-0.0651657216901027,0.043293770805136536,-0.07096385310219917,0.1527132280609703
MIA,-0.02286875003841901,-0.014868691427157672,0.06095544875419662,0.04488861572035222,-0.02269396196360901,0.10923650239954853,0.000546668345001649,-0.023480888185870935,0.03883503950424938,-0.024537811584602075,-0.013135999523345149,0.07069753585007509,0.05679621291633856,0.07886899036904349,-0.008262285813519666,-0.03529290821909675,
