,MGH258,UKF260,UKF266,UKF269,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.012843355361334186,,,,,,,-0.016653375222468614,
BMP1,0.011474760938878803,0.006462706479616807,0.06771242196803405,0.08448363831954742,0.0636094056630586,-0.020282616042821226,0.11272996794511768,-0.006784959843411254,-0.005630711152776763,-0.02457753834880502,0.048040756895033246,0.023321627606563287
NDP,-0.06656572723386317,-0.03428893578491696,-0.03452312892411716,0.003669352887907173,0.015859807919951986,0.04597900295194389,-0.01843065050054602,-0.020989067410455694,0.046596990642449015,-0.02003280859616731,0.10350260911782186,0.04646879954480234
TNFSF18,0.028378730697152653,,-0.012399101177060105,0.22974131095929598,,0.02791430521508263,,,,,-0.02809126668242958,0.10413168972247977
RTN4,0.0502524522820355,-0.008934182512087841,-0.10478276145337104,-0.12702314895456274,-0.16407821954892843,-0.0005175370712024861,-0.016079576468482723,0.02047360329585057,-0.007307154761150289,0.048172005747579336,0.019350076188334273,-0.11148449748000444
HEBP1,0.022395790864907502,-0.007780847052573552,0.023272065081617523,0.05725894262342962,0.06988025142491787,0.035238567681115225,0.04990342319436663,0.03639991149725887,0.054827692315469266,-0.006059994726081643,0.055218039362787734,0.013151081563760042
WNT7B,-0.017471539348928443,0.075117618992944,-0.014576142386482447,-0.02274527656177444,-0.05731181489214596,,-0.03139837175171816,-0.036288514373323845,-0.03370906728123284,-0.020366671197185545,0.0012567276151407496,0.026475031169823166
PTMA,-0.03138067972328333,0.04455678709067658,0.13261288493064832,-0.055515309112888454,0.041627945222088056,0.04680967624818581,-0.021630330714080433,-0.06426067788291479,-0.07606020023125715,-0.016125002505700734,-0.07968013795852001,-0.009369067018014182
FASLG,-0.017471544288087858,,,,,,,,,,-0.014443466649065975,
CEACAM1,-0.02425939214950064,-0.016785831687894284,,0.08468029414600903,-0.043157233813168536,0.052357667165746996,-0.028158562705595063,0.022172341614805285,0.00987133603300305,-0.013517655880337041,-0.02009596248305878,
PDAP1,-0.00037195158358191134,0.008094287046872789,0.06367974447199276,0.12532895474044145,0.10747700034362044,0.05543460475226501,0.002758377037525428,0.0020387642912400323,-0.021618183921639743,0.052853050771048626,0.007769063410405153,-0.06283602251523848
QDPR,-0.007993505304528081,-0.040433675030863876,-0.04491518552602915,-0.08178853509819008,-0.041919185525652734,0.019823324274228973,-0.05114594371605307,-0.008186819067427633,0.013966886770254306,0.005798808498810499,-0.00460435483246128,0.022968489984645894
POMC,-0.01940641980215693,0.04145057923021077,-0.021303606024971073,-0.03235227770159684,0.0769627022712407,0.05382248827985532,0.038519534221568626,0.02319246343460909,0.06519739504779053,-0.02211310926482989,0.01088386319431705,0.026334637758655032
CCL18,,,,,-0.0370050717401628,,-0.019964883929448833,-0.037211417857862236,0.016936631923521756,-0.01482477575018996,,
CCL17,,,,,,,,-0.014426162211354522,-0.03499076747257634,,-0.013091380232708373,
VEGFD,,-0.016059733376097517,,-0.0039953621094934435,-0.04169034979276355,-0.054614185086851966,,,-0.006494118094589088,,,
