,UKF243,UKF248,UKF259,UKF266,UKF269,UKF296,UKF334,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,,,-0.013794949874939667,,,,,-0.021305655482122078
BMP1,0.008034297773239003,0.003604017411090236,-0.02059365952373042,0.04192388001956748,0.07293155884396832,0.008111159981746012,0.019618966031928465,-0.031368174098234614,-0.035846366596901456,0.14624718599888792
NDP,-0.06638562232054675,0.025526693746372436,0.02737775538167255,0.025836567988484837,0.06126636774719525,0.006330432903609145,0.033939028308004014,0.11896925791873693,0.010464958446940073,-0.04879815653152217
TNFSF18,-0.021544818991217265,-0.029448333988326178,,-0.0120245458366092,0.01643550342041166,,,0.07592147437699938,,0.02107194279797033
IL36G,,,,,,,-0.017456439008537245,,,
RTN4,-0.024095948865905107,0.01986830151596043,0.005070429372158885,-0.03756814430403479,-0.09367963954284517,-0.008678743726549124,-0.0480384841005877,-0.033283886578264095,0.11407792639485666,-0.01327142342755535
HEBP1,-0.029468407273802403,-0.043857273780261975,0.028952645679260522,0.02192994396157365,5.177063405593002e-05,-0.06310545126926724,0.06301623856423746,-0.09233891051277307,-0.0027683169237903253,-0.006347994268929042
WNT7B,-0.024020790845018278,-0.006709068258100981,-0.02641243778578088,-0.011623717694506508,-0.035345621274824705,0.006698815010663817,-0.019186638174843805,,0.01874557951463111,0.05744060439115491
PTMA,-0.019079788522169037,-0.03580881268094565,-0.08023057329890221,0.04956697311596137,-0.045385031557535684,-0.04571486598344828,0.07155396577193993,-0.11189953092812478,0.021402952603269167,0.08142002183442403
FASLG,,,,,,,,,,0.06889809866836376
CEACAM1,,-0.01874305753144967,0.077020841855137,,0.04295491985068588,,,0.01615259607998772,-0.01291832456131179,-0.025709962546693457
PDAP1,0.1079452815687406,-0.017141207069886606,0.03518675023408395,-0.009727026235969057,0.04726658200615057,-0.03817135034679353,-0.004723701874595184,0.13368363889317642,-0.006949161290140433,0.019788327880557514
QDPR,0.008416235908725514,0.000881410038922774,0.004446590237018241,0.009492473133270249,-0.08263125220650211,-0.022810609230193325,0.005056212726787788,-0.04654897584272594,-0.0013636345193347229,-0.006179164345056118
POMC,-0.04068021379886975,0.006339299092955545,-0.028401713776552685,-0.019535509355053167,-0.013082323697156494,0.0042511598137563306,0.020556135291001233,0.022039291969167,-0.0211326819584418,-0.02809918116748573
CCL18,-0.02889337377330044,0.051346966890835725,,,,,,,-0.044487424785800006,
CCL17,,,0.04892865874977565,,,0.0826189110828544,-0.015946952622434195,,,0.2021667404612694
VEGFD,0.07308210548750975,0.006162606738587226,-0.01969466241724389,,-0.023110241449811653,-0.012475429226626243,-0.0170908430557966,-0.05059080828412593,,
TNFSF13,,-0.01765052182981561,-0.012193528570828342,0.01938492165488004,,,,,-0.014506412663489838,0.06426018025194066
WNT5A,0.015183493467732402,0.018191622674889205,0.019382466633845994,0.05963832424642275,0.023438351320103832,-0.00650688931199957,0.02845835610025454,0.04577127437412738,-0.025883480833617495,0.07677255739493029
CXCL8,-0.04506990790970525,0.010906816852903057,-0.02523616971255394,-0.01658744433000421,0.07897306177540421,-0.01161766214553102,-0.031323605370852756,0.0797435715994081,-0.02899702977389666,0.00038052367832641334
GRN,-0.014943348888594069,0.04128967914284054,-0.06382698996373128,0.06985736592522565,0.09392612543604467,-0.05652395664034777,0.009888015865328056,0.07697281549742521,-0.06510666411407179,0.09224246185965795
MIA,0.030407021632963122,0.0013455335377487575,-0.00442007542815471,-0.021085881220194138,0.05743532418126506,-0.014188173444355736,0.005860973424066333,0.0069330133082305175,-0.09108012193466973,-0.0356867489418032
COL4A4,0.04241489407597733,-0.028090677385768682,0.016936019505364764,-0.011095212700131725,-0.013593899169293008,0.0004760345519394474,0.03912984702086374,-0.0396135992335569,-0.02603488897727015,0.031083145906932844
TAC1,0.022062617151000403,0.03722289143658867,-0.05883197843945515,0.0016161731960560618,-0.059207833851123895,0.015626149552297235,0.006496064991186764,,-0.022287790072761163,-0.022017715411620228
RARRES2,0.027992370027947865,-0.01001969866250574,0.042672059365238886,-0.0013620788752806857,0.04393618961771183,-0.026843140557076782,0.015658452686484584,-0.09153441809589502,-0.012303335660050133,0.03249783081882867
FGF7,-0.05354944352117521,,0.03585020076666663,0.038086241607623174,0.1515189478242053,-0.036878353711026705,0.0013432343387098232,-0.09611542888953166,-0.021693484292311403,-0.054024497369981585
HBEGF,0.012310685258729897,-0.02347636125124864,-0.0196236616587487,0.12526546118950546,-0.022220212973459875,-0.012660524978568547,-0.0032227941526929227,0.05095191489215418,0.0026088302620656096,0.07056799081428203
CSF3,0.003685492225740647,,-0.007332973330015668,,-0.014382083671043966,,,,-0.018520182884541023,-0.017633674117518965
PI3,0.05527043618330015,-0.02460680839852152,-0.03636047984976305,,-0.01619441603655342,,,,-0.08397110879061781,0.034306895255801884
PCSK1N,-0.02843797334274571,-0.045923248180563425,-0.0253186854992214,0.06679004645478512,-0.010359247751688248,0.01041704627329617,0.02160423817940927,0.08734839523831331,0.09035634312815886,-0.03363701540424048
NTS,,,,-0.013544733783801392,0.06718613284834492,0.0227373663006581,,,0.012640591373721767,0.03570803639020731
SFRP1,-0.0007663787302660552,-0.01818638682442598,-0.015424282701287262,-0.0043892702076020265,0.05757383429187901,0.0670159082779899,0.025035080072836644,-0.0755745169956409,0.04060889980343867,0.057751725207977264
CXCL13,,,,,,,,,-0.030210272258244984,
MICA,-0.004446291428171692,-0.023834905425912236,0.06703319906994777,0.07935626751804123,0.04058032065569909,-0.041274475434628005,0.056629064545807156,0.00016294179364532407,0.09902994695858802,0.022767590539006857
TG,-0.026124232717547772,0.015166717516629324,-0.016645244769251104,-0.015634193358136872,-0.017357888255042416,-0.012308473215599839,0.07262458879872821,0.0002153939237511026,-0.015242395105864335,-0.010525330056953249
ADA,0.037119231512151865,-0.019228346787104115,0.0704540806534829,0.008428645637289282,0.023089676511911128,-0.019989950350208962,0.019981736638133494,-0.025300834165382653,-0.018577659906896866,0.08777203868367671
LAMC3,0.07135093085616265,-0.01728020994927135,-0.046689711615554325,0.03530799224736686,0.08472401124429664,-0.042375106435526465,0.01629473925691954,-0.005291019168046333,0.0017295659536666062,0.04357587392954583
CCL7,,-0.014877739161654822,-0.012034485373573177,,,,,,,-0.018478381160420967
NGF,-0.018880676926667575,-0.025544339325629332,-0.006151720183142475,-0.014919213820473847,,,,-0.06360889056270917,-0.031795106818168634,0.056721152768334046
TNFSF15,-0.02335775373108183,,-0.013400988062613495,0.002621955098386861,,,,0.0808309620252991,-0.011500715618990557,0.012226825489797095
HMGB1,-0.0330191606941117,-0.01757873384060692,-0.009428235020327256,-0.04838326093918647,0.06348026269772285,-0.037938517645410084,0.037416022022901646,-0.07506935515647584,0.020483726082462878,-0.0841415437382362
ITGB3BP,0.018646071647336393,-0.029257409251141297,0.008118807130586292,0.007341040227757548,0.06654794219263854,0.01710338741227097,0.04966190067362901,0.042925136760776215,-0.040600274437439576,0.024951287400049132
AANAT,-0.033840627985304475,-0.021585336033579646,-0.012193529872220438,,0.10556875642153597,-0.01418817423353817,-0.021391311600501537,,,-0.01955089785646931
RELN,0.043910318150658476,-0.005286811044774742,0.03347147985991223,-0.006987584887292212,-0.03806693655958615,-0.020499929081898897,-0.009791567988335668,0.06309604927847788,-0.013891618108415701,
IL15,-0.033202643740867496,-0.02396882693091332,0.03839699164732592,0.016373784037827663,0.03613438719591562,0.006715166997674415,-0.01983945281912614,0.02558124523378497,0.03960983565625474,-0.03398972735049981
UTS2,,,,,0.034822994987852365,,,,,
BSG,0.041254592720258026,0.020433893693018387,-0.002299846307565603,0.012925640150450623,-0.04470974593869849,0.027245563947079773,-0.020952205858932114,-0.030414329378597373,-0.04731851574542645,-0.006246928300590956
ADAMTS3,-0.061928588282787175,-0.0029847022839323023,0.01686482841226462,-0.020762124141722745,0.058529583463509234,-0.015334692324774711,0.062461632116750467,,0.10639761534640459,0.027912150175530358
CD34,0.014011161736956214,0.023923591814775255,-0.060753515140127244,-0.002581650717455687,0.06320111319024643,-0.0265456887523307,-0.023257110157263537,-0.04453123712310937,-0.053045687263392885,0.10465748661224664
CCL23,,,,,-0.014761247302904477,,,,,
PLAT,0.045869937738071465,-0.02134763631326625,0.02820448311079808,0.03778303528007578,0.11323664622268739,-0.04568718962280349,-0.0043692621119129655,-0.013014892834999415,0.04132759416417501,0.05536108813741686
NTF3,,,,,,0.02957413001899048,,,0.08237259090504438,
LTA,,,-0.015424281979715073,,,,-0.0031016053217327866,,,0.005429377575968675
