,MGH258,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
IGFL3,,,,,,-0.025796206004385168
BMP1,0.05625701321393932,0.07468845709505083,0.056135883158374686,0.06086102228506865,0.013057774745215425,0.041050343235056595
NDP,-0.041390820983435286,-0.10113743081234783,0.05249570482706031,-0.00998028445434928,0.016979814577855024,0.077499539284444
TNFSF18,-0.024278993747163576,,0.008586747046540704,,,0.017559976262625402
RTN4,-0.03237622558044868,0.02839663926041518,-0.054364512075185,-0.038300635745026436,-0.01115666935393465,-0.05876759344258663
HEBP1,-0.018210055532066907,-0.09419373297643713,-0.05265649206722427,-0.044799965760852496,-0.05193144412857623,0.09582498823051948
WNT7B,-0.021389033052020705,0.014979032789186072,,0.004249120041430316,-0.023395451103494433,0.07919340677181018
PTMA,-0.08910205932788202,-0.0761575959610018,0.007566215664808264,-0.14309731676247703,-0.007368722449072897,-0.0530410244174729
FASLG,-0.02138903909864556,,,,,-0.0033623242557420793
CEACAM1,-0.02969886797864922,0.08180653368488301,0.022935688556015948,-0.056070580462936,-0.015527901153821931,-0.031128800086721097
PDAP1,0.04026632363318421,-0.04869053034194889,0.0052354889685350785,-0.022389846212354608,-0.013925470211500061,0.005505930876248964
QDPR,-0.053806618778994064,-0.05313899869773747,0.044755460418541046,-0.10036330603410624,-0.028300051143649897,0.027914517419162975
POMC,-0.026372817340429663,-0.04849939520081323,0.0047249391024133175,0.05948712971861965,-0.02540160645511129,0.09109661786991029
CCL18,,-0.05581233388212996,,-0.039754963436997706,-0.053474142980646976,
CCL17,,,,,,-0.02027864843332467
VEGFD,,-0.06287883289714358,-0.09195539831247146,,,
TNFSF13,,,,,-0.017436792276439565,0.01673755834851198
WNT5A,0.018281180115339333,-0.013967018827980722,0.013657424114029391,0.07844421704332308,-0.011140322016787179,0.04353932289257303
CXCL8,,0.1021248696965549,-0.04118495875978404,-0.059942145199004565,-0.03009651580882118,-0.03858804674291278
GRN,-0.029850953775399487,-0.06504278950944062,0.08033725462204308,0.12436435267983573,-0.012726613444780236,-0.04183219165340778
MIA,-0.02799640732944618,-0.05618765748559086,0.017312032339918123,0.06909634637353498,0.018014872119198718,0.10014104794173533
COL4A4,-0.024771113516763265,,0.027628829870325517,0.15068328938200518,0.05784590901270308,-0.01612971729887879
TAC1,-0.02138902746174946,,,,0.0019208736349361525,0.03940547860322512
RARRES2,-0.0011286897302295645,0.12808369279451293,0.012834396376624944,-0.038646876494608934,0.017897522113367363,0.009670704842274907
FGF7,0.021990439705916968,-0.007136043316598278,-0.020003177321677952,0.031172932248461908,-0.021459741201167896,0.03233986980124085
HBEGF,0.025922550852406176,0.0133754576055252,0.04947542563224078,0.06077034037631166,-0.011027365383567975,-0.04554808244801061
CSF3,,,,,-0.022261367394585372,-0.021350288449534575
PI3,,-0.007736522201815895,,,0.035872110642110024,-0.0463870838628515
PCSK1N,-0.001953801035092059,-0.1113541445057011,0.0012839842258025825,0.13499833756717655,-0.04608324479205347,0.05110356846091161
NTS,,,,,-0.005218716170975159,-0.031616865842434054
SFRP1,0.031688596882594504,-0.05343229643788854,-0.08334051309376159,0.06077188145529338,-0.059221089862692644,-0.030882169979747857
CXCL13,,,,,-0.0029933630466325314,
MICA,-0.02184432433108193,-0.004728387292359696,-0.04059205483746374,0.003739458616129639,0.006541956216455301,-0.006033845140034797
TG,-0.02477110793449746,-0.03687583299477379,-0.0883285852076682,-0.06473037510065882,0.023384800674371188,0.008656437984314199
ADA,0.004518993291022272,0.0011593149725024896,0.08069033982356578,0.07148018159149698,-0.04500860086030947,0.02960972499752485
LAMC3,0.005370169136119165,-0.03560064853094277,-0.0169086785672602,0.04776745036285596,-0.040635043306381374,-0.0013869168602730839
CCL7,,,,,,-0.022373032711514203
NGF,,,0.02395319758970093,0.0036931396778389406,0.01660604831935374,0.016889116257750962
TNFSF15,,,0.06833167657701086,0.14010240798765303,-0.013823926971514893,-0.025458438307155145
HMGB1,-0.05829531504019047,-0.024960326490319984,0.00937162976752143,-0.08303366862957086,-0.0400726366103886,0.02604585326821647
ITGB3BP,0.010007613337435474,-0.009792062053548002,0.011377319619030275,0.13539471950374585,-0.00684226240089629,0.026181171427346172
AANAT,,-0.01868885485731869,,0.0933895197517418,,-0.005528675875087027
RELN,0.0019185337570662411,,0.01157576342543074,,0.027971379849910886,
IL15,0.07228275771907315,-0.04718870963433219,0.10136859399939317,0.026274856828635694,0.036132663032834376,0.04165753679359029
UTS2,,0.05396985296349792,,,,
BSG,0.10109298890587552,0.013018551425304075,0.08742364765529864,0.0673845072407809,0.023199752779220564,0.06809490498213322
ADAMTS3,-0.019504440026083373,0.0001917904976310913,,0.07756525824068111,-0.0011165379686757706,0.07390093447869282
CD34,-0.007273764125435949,-0.03815180458766957,0.0035812484437900342,0.09271785213908385,-0.021572224157902078,0.0059814720555503385
PLAT,0.0053204518827308965,-0.02810240071084855,-0.0008313470856963241,0.061651013283901185,-0.05797740205526133,0.019936524945409314
NTF3,,,,,-0.04136592068260551,
LTA,,,,,,-0.03185840837508879
CKLF,-0.03343011481418427,0.09583042627189824,0.014783657442840135,0.08575945948480462,0.02131323620278746,0.05987661000052326
CD24,-0.012228579227549552,0.057136585592129426,0.03089431185682475,0.09157677911256408,-0.0014552665694388843,-0.021669469016316258
HSP90AA1,-0.06370208762754404,0.06391006883470493,-0.10808272159477281,-0.13811173269480573,-0.03092003894263207,-0.010658754519792053
BMP4,0.10570136254958577,-0.05744587645373505,0.05795039278951877,0.055547306394985035,0.02121116269680686,0.03623924698694346
SCGB3A1,,0.10372878266330501,0.04744908449016932,,0.025294038147251927,0.008896071852741116
IGFBP4,0.01865891638880531,-0.06472099659202638,0.07030252763794285,0.09461979204810177,0.0264017236999809,-0.003994707013482905
RSPO4,,,0.07046954182183676,,-0.019333571983110087,-0.009509759187562888
LEFTY2,-0.00486899794421404,0.014651380235740353,,0.046928071611199544,0.04851709380656685,0.05137877122399161
PF4,,,,,,0.06525652843274131
ANGPTL2,0.049036329891855565,0.014638667616105182,0.014663147347140214,0.04800939903000528,-0.11237442486656389,0.04232414186721717
LRIG2,0.01681729538637624,0.014085021360898153,-0.0833799696917179,0.13483690762722192,-0.003923356476719601,0.03975438494178348
ICOSLG,-0.04647082798970376,-0.06732975665335122,0.07989623131589656,0.10552010667625852,0.010836661440442052,-0.02037392617214684
WIF1,,,,,-0.01797242784493438,
NPPC,-0.008469423257322032,-0.048100012314716736,0.045471765833698115,-0.03412150105241799,0.021100923781551092,
LYZ,-0.051599193271799314,-0.08810032586538602,-0.02634909426212328,0.050215802315507686,0.04183214680141909,-0.004228578195678475
EREG,,,,,0.08585090744514029,-0.038635268761540574
SPTAN1,0.03364518192200892,-0.024454188290138016,-0.044463871186237645,0.10573240908587565,-0.0031686392036326637,0.03828912407466191
PTH2,,,,,-0.005369699491150773,
LIPC,0.012118457314789938,0.04964796510933145,-0.008647140254597558,0.043721046007293034,,-0.018307762119603707
COL8A1,-0.042256421958683774,-0.024858933653423683,-0.010944046695770399,0.020679396183925457,0.008659841121852243,-0.03726911746478042
GSTM2,-0.0014199214869878751,-0.05201223878254561,-0.007486990096503428,0.08523529786210557,0.006234497871630144,-0.009669451208308116
IL4,,0.031042064337540316,,,,
SPX,-0.03140537842762239,,,0.01016691406315532,0.05207762051292386,0.10616706921532493
MFGE8,0.03890364021350859,-0.03268878110052421,-0.04743396295668124,0.06732191976810602,9.631052716445645e-05,0.007840378646423209
TGFA,0.04551960533773728,0.08407740871251677,0.09700705027189471,-0.07669742844497272,0.034572633514364445,0.058167338414753286
SLIT2,0.047462273159734954,0.03573856153149065,-0.029219994072627993,-0.05607051195450569,0.07541531686071713,0.004266368230399915
PLTP,0.026063430087352138,-0.08355504834263887,0.0321551030633748,0.07547245149699372,0.06334701278386817,0.04562996900233477
APOD,-0.009150623679050871,-0.020653648968624334,-0.003395261794157867,-0.12267805071191773,-0.08553055397952873,-0.03497130256463326
B2M,0.03666053918435509,-0.08872939684270667,-0.026908558981725488,-0.019862316667649184,0.015459697445937505,-0.0785739557925953
OMG,0.008067548228276811,-0.010569650252363299,-0.015721899882844954,-0.06296332854696729,-0.010851334790642535,0.09410678383020729
CXCL3,-0.019948251784682777,-0.08628837785209126,,,0.0356839727532473,0.021517193842439518
CXCL10,0.10073241989969126,-0.03091320941323614,-0.05448065663544702,-0.008271248380226732,0.0033963045419656192,0.02233542852086667
RSPO3,,,,,0.005870293066143169,0.05385642761414586
CORT,-0.024771113118029865,,,,-0.006552944821846444,
NCAN,0.03598263761699348,-0.05798214724608322,0.0383381559353972,-0.024854889199765202,-0.06350959912772398,0.110236825339412
PRG4,,,,,-0.046103220023832034,0.004161365034029429
ZG16B,,,,-0.04603012196717024,,-0.02830976052222876
TGM2,0.034189519183885346,-0.012126524637215409,0.004269889912987097,0.04529570736885764,0.00475706929158254,-0.029665305994328164
VEGFC,-0.024771114712963567,-0.0613678669002385,0.053174947448308404,-0.005819954351394696,-0.032996930503267796,-0.0031635081475521265
WNT6,,0.09110678767432344,,-0.043774651394885164,-0.025658805241452972,-0.02182521644431391
NRG4,,,-0.051240873933810244,,-0.02553048342653734,0.033976432066726465
PMCH,,,,,-0.0146993982636442,-0.03035943298846865
COL9A1,0.027613496363811527,-0.022623075961440278,0.038741588509206,0.09126536527339965,-0.005846881086790223,0.0629498409473718
GDF11,0.03883741098301729,-0.14390614294834456,0.042225478296312714,0.08140344533298295,0.02807531607736577,0.06675821880639972
RAET1E,,,,,,-0.02490640741925462
SORBS1,0.019340938010933163,0.04865155433025159,0.0013005035888839476,0.06701282361400114,-0.05157171372014322,-0.01888651580917778
DLL1,0.01847333236171013,0.029893929527479175,0.10487587416513271,0.13946922134216105,-0.006810840609085657,0.08780765620820252
TLN1,0.035584822341790216,0.04514119328721546,0.02647435505038039,0.02884711537433387,-0.007527744075456464,-0.03572694705324221
COL2A1,0.059616814878805637,,,,0.022073440489286684,-0.007250973441907725
SHH,,-0.028009573510503382,,,0.0940117086890708,0.03964877086224407
PON2,0.013062740261602148,0.022027028052276233,-0.019081009816533108,0.008805367890134173,-0.026123115984925574,0.01956873201948907
ICAM5,,,,,0.04336969387990194,-0.022743154088643136
HPX,0.11418896266376197,-0.02999333709888164,-0.014341519031934397,-0.06404752064933736,0.026353154445169783,-0.01149666787151791
SFRP2,,-0.009990972373551421,,0.004611127285512239,-0.022512439167246868,0.057490260519583794
CD70,,,-0.04633955101705058,,-0.03717883524412573,-0.034639444743176755
HP,-0.04616573614155087,0.02883882325071191,0.027894449389929285,0.07652614154621126,0.0472440247573955,-0.03396308358508825
CXCL2,0.0017585415627311971,-0.07665073720357508,0.08457763069684925,,0.03270976344013402,0.005539646576168237
NPPB,,,,,-0.0219697699562772,-0.00431835199319248
CCK,-0.04426469643022126,,,0.00578523309605359,-0.04068251508748771,-0.029877345269809355
SEMA6A,0.00996826472594053,0.039206483135008144,-0.07688929878413514,-0.0009229789040723679,0.029949288955464514,0.043124539265542605
IRAK4,0.05224068661108413,-0.07591463074130338,0.01331564681337542,0.1368015890257329,0.02670375796820466,0.0651232543201423
