,UKF243,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.07179186644706957,,-0.014040635356901648,
BMP1,0.07361015096037597,0.019582684555989396,-0.030516733465723308,-0.07718985932815554,0.08207398266706534,0.012200626665429728,-0.012660588273671943,-0.019836204485653486,0.0008731836666038481,0.03409429856969449,0.15132773755463116,0.009572897633286762,0.07995809364555599
NDP,-0.0025309454838532814,-0.035705970356773774,-0.01741186232990438,0.06649686184220689,-0.05309881103256429,0.008279484266688402,0.017167957364430587,0.04017404125765051,0.0778927047209987,-0.033956133823862394,-0.0029831097238369945,0.0578142869689804,0.0375213879266667
TNFSF18,0.004674442743613664,-0.018156217356347357,,,0.092914821538986,-0.010647509681371023,,,,0.035587689028903045,-0.03947957751932804,0.004293231138118193,-0.016894172657689555
RTN4,0.0683064714210027,0.006106683408907879,0.002826888304163388,0.05837112624428848,-0.037946149795447116,-0.014061138695851325,-0.06369216944227128,-0.062383790945511775,-0.08049697530591561,-0.05850654997755519,0.025044902697431894,-0.0238245157565054,-0.10284044589719459
HEBP1,0.04768061777788445,-0.0006398841332222316,0.010497376764404518,-0.054345533787027056,0.04243875893818063,-0.0021844845227528896,-0.04953994349717575,-0.010457312197422105,0.039341045538699014,-0.005141478326747373,-0.004390316935888319,0.07030840257979755,0.040778019390549015
WNT7B,0.1494488137877791,-0.023141891717890405,-0.026976179549281325,-0.03151254559334848,0.04416332797399568,-0.011205260589219742,-0.02143402216862063,,0.013273064143379337,0.02289646013260287,0.016466930389843825,0.06578541436962332,0.0023578530368780796
PTMA,-0.09235354688043493,-0.04610108133332548,-0.04406116933513894,-0.09660324589474253,0.02939532036377282,-0.048698626439387216,-0.012102978448251226,0.04260723848721397,-0.07299026794484025,-0.016208971211218913,0.040879012920015056,-0.0901155427445307,0.003141370069827612
FASLG,,,,,,,,,,,,-0.025034086781756053,
CEACAM1,,-0.017760010002419443,0.06497651296916993,-0.02223043752664204,,0.048097420303331535,,,0.016533778061285455,-0.03591071427276651,,-0.022516316587419625,
PDAP1,-0.01957984818754331,-0.022402090447038104,-0.014497698578953916,-0.02543958861831384,-0.0026327650382225276,0.06916882954270646,-0.01532313699329924,-0.029823062972231612,-0.009169979975188536,-0.04982342122402546,-0.00011060664321580907,-0.0013566201008833423,-0.03230901418733013
QDPR,0.08447126792591321,-0.04908965600013059,0.039703501436093,0.03576986217671594,0.019317562049760782,0.012821218896197736,-0.03302774977618686,-0.006559707152005331,0.028272435032919933,0.015682073894069365,0.054521114442896285,0.04265423431172986,0.006113258216408915
POMC,0.12134923701182665,0.011099378454479988,-0.01826067067901379,0.04473952334856315,-0.01714489480245696,0.010243446402489323,0.04139092529884627,-0.016019159760216842,0.0024714074078787886,0.04068252608690619,,0.08265010467574455,0.052593534610920555
CCL18,-0.028893361255063976,,,,,,,0.08062422488900386,0.010669486807550104,,,,
CCL17,,,-0.018054782359879236,,,-0.013279517579130084,0.027313718485185292,,-0.030954215385044143,0.018454520655296756,,0.014183358482731832,
VEGFD,0.04102035732932376,-0.02543765114891685,-0.020115021333474647,-0.0212688239790548,,-0.014148202783512946,-0.019459570367390457,-0.019515862184670465,0.09278397339400382,0.07746623763355646,,,
TNFSF13,,,-0.012453784793883699,,0.09391318141873545,,,,-0.008663826194587899,-0.022161287442786663,,-0.03697241899283765,0.0924218589714648
WNT5A,-0.04067482208460279,-0.026726524968715814,0.015278489773768356,0.07364751922666027,-0.0009693806362093634,0.061031058540967305,0.021277889510788548,-0.03145902618246608,0.009967354422633395,-0.04309241618899865,0.029438029387535373,-0.014354110213612475,0.005622606813365038
CXCL8,-0.06128365911703947,0.05956772634595635,0.05329395409044978,-0.021504641258116616,0.05969382433838826,0.0029257068944268994,-0.018121598056363403,0.008318042240064744,-0.09777944924551796,0.033795642129894575,0.047484247275101824,-0.05630470026185623,-0.05217712510469602
GRN,-0.025465498819912884,0.05379469087230439,0.0004935877503190302,-0.05542976415579517,0.02693905479671439,-0.04102658421986518,-0.009393170558942773,0.05480913390454127,-0.051498772772792335,0.02730711192795317,0.062219546652918595,-0.018110808038406565,-0.08848824079003201
MIA,0.023300123732450096,-0.022622468005079163,0.03473346277245522,0.02812671322222588,0.005083756994646195,0.018094123627227725,0.029328526275170887,,0.12530154466807075,0.008774283402507473,,0.07303744962211482,0.06546836509089907
COL4A4,0.03838486884590517,0.058562413058937036,-0.029371072140119914,-0.050538664416636465,-0.012887220633989931,-0.013864227203243833,0.1224350487978028,,0.0373638759984719,0.0007974919829825417,,0.05268301399727788,0.013965994276432787
TAC1,0.12422629516384255,-0.02823368399033198,-0.040339913776776044,0.009813223712880237,0.019417470331840405,-0.016546164138371858,0.007507002433741408,0.019882966530546924,,,0.04734743332211577,-0.029829085003037038,-0.06813698316048693
RARRES2,0.03409200858194846,0.01572771701921385,0.0061915351698284245,-0.07237535606383479,0.008183697672572926,0.016089970525977534,-0.04161231710948436,0.02808147743063188,-0.06407279666363393,0.0186233775768513,0.14083171724084348,0.005508945523897404,-0.0011794625903841307
FGF7,-0.0409320814922999,-0.028711092945024923,0.10087221972883145,0.014563859891466944,-0.026728262249941532,0.007058366704835002,-0.012130428633040782,-0.03143203113948581,0.030399752160844496,0.00949362051861308,0.010531510506722816,0.03717117169452573,0.059875309913373406
EFNA2,,,,,,,,,-0.02038006977685902,,,,
HBEGF,0.025526845360807786,-0.021933369980748345,0.02885471341367353,-0.04577741093197006,0.008534982355836012,0.02537961912653865,0.03491776781461006,-0.006533610976192101,-0.040641601447854045,-0.02245716267087273,0.07731224679056484,0.002330430279815667,0.04272683041172902
CSF3,-0.032771631945408414,,-0.021519726321663338,0.0009991814957495497,,,,,-0.08726218308762662,,-0.03548312916714909,-0.02388968856822101,0.008510618448293154
