,MGH258,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.009626399774656015,,,,,,,,,,-0.019211063032007845
BMP1,0.01524877617274629,0.06008291343811616,-0.020331117206016523,0.046220171588079825,0.04323989369275777,0.042555521559133884,0.038765074669394196,0.008754593554956424,0.020920013253379655,0.0799402838013009,0.06548268411808628,0.008503622865151111,0.08460113152411737,0.039616611422718086,-0.026503774567531155,0.014123639016681129,0.11976718123998033
NDP,-0.03679336500468492,-0.011399179755493934,-0.011718755490600563,-0.0028540189642113265,0.047229439959787387,0.0015471568929653079,-0.006778084310433082,-0.0059256613423427085,0.043019959279536356,-0.015314940607836688,0.016570012125007413,-0.011787992056813893,0.05557902846415764,0.047526612845776486,0.04824299797222434,-0.024110720437079902,-0.005051983823736029
TNFSF18,-0.018998240576325594,-0.0019655484020480265,0.10424597141477,,,0.02769442123572747,0.04634154982977554,-0.019510022856911703,,,,0.043945675647400595,,,,,0.03323426844590262
IL36G,,,,,,,,,,,-0.013552787509216431,,,,,,
RTN4,-0.040722988684375065,-0.03381355639357376,-0.007454076483178269,0.010389026064963029,0.012172121518209986,-0.08744102583345616,-0.07296585396987917,0.013949436547544651,0.022542262645342676,-0.06157601138815071,-0.03844581081541121,0.06127442542830583,-0.0004179689328629464,8.086575133389128e-05,-0.003911616699932579,0.024935440472701163,-0.040972826222251
HEBP1,0.009124194208817233,0.013214970953938837,-0.029879897171170584,0.01411025362308331,0.00011883649518392355,0.016706114951902197,0.033941318420756636,0.026594834152398193,-0.018187730671697887,-0.018227629339981254,0.011435409928767536,-0.029457103227021324,0.08166606298684963,0.03551864887415666,0.08400344332383183,-0.0030119279468500105,0.019275450064381788
WNT7B,-0.016736854906301127,-0.029803946473271465,-0.01722763696686439,-0.006166786100267857,0.04985088602388918,0.006380566201597862,-0.058145238468087196,-0.023218335516871486,0.07253577186230292,0.02370758459825359,-0.014896075314828347,,0.05544232042513292,-0.02161322233063007,0.026196033154338456,0.053855816612191305,-0.010042594038823738
PTMA,0.025420628986335726,0.05184574473925925,0.09866928114866548,0.05734117337897965,0.019747582868660813,0.0939722488524801,-0.08555824111004597,-0.058588621536042454,-0.03813182633698721,0.17514411090709647,0.028265545628083304,0.03556584415393916,-0.13254026378581024,-0.030950829828985137,-0.07940507882066644,0.014304405223123528,0.07096408739260608
FASLG,-0.016736859637767134,,,,,,,,,,,,,,,,0.08024663029783967
CEACAM1,0.08088351180464164,0.02333984435173357,0.03540934720752354,,-0.0543199527186985,,0.049893139124984436,-0.021673853056358175,,,,0.20191497551353116,-0.03969403698076259,0.013041998589605095,-0.018834313443031152,-0.0258596029439234,0.08578069118857312
PDAP1,0.028507046464402244,0.027270026553931313,0.018454427652079428,0.08409450903592657,-0.03924582032088327,0.03711698354664777,0.07869713500522134,-0.030143586635294595,0.03961005152774302,0.10723356396270263,0.014762343386921539,-0.1090676929808513,0.04258022043921242,-0.01338294254069002,-0.015931880796113924,0.010584718454907948,0.002075744515369493
QDPR,-0.03266397196705037,-0.06829069064809712,-0.003494075852631262,0.006869221565457762,-0.017756393509041592,-0.04748384656221153,-0.10067395101846961,0.02770267524927641,-0.05532080542500817,0.07211853551628704,0.0357283198475187,-0.06365349463055399,-0.09993158908980158,0.03273087447693036,0.062463264916058685,-0.004277563908364207,-0.01794234453691203
POMC,-0.054259682932124624,0.07734978904520097,-0.023491918988836902,,0.005432249427765899,0.008187342875745919,-0.019784483216675038,-0.010389560333413806,-0.01793889758295568,-0.012331665666062802,-0.005257770003092091,-0.07010161666911816,-0.06478670027234198,0.060572143764666485,0.001688997329264883,0.06427275333347494,0.03141933211119433
CCL18,,-0.02136672896148612,,,,,,,,0.113023561442318,,,-0.028143724851933196,0.04737591379392424,0.10122199218365575,0.00047542201591266954,
CCL17,,,,,0.05515864548874099,,,0.06586458408041733,0.05290631140753816,,0.014283389192300737,,,-0.01691332867854371,-0.027188513862551174,,0.17332544664943084
VEGFD,,-0.021366735746423324,-0.0013967473691128113,,0.013895401526557815,,-0.026022436858389578,-0.014907486639326926,-0.012105160741197574,-0.017992959130356787,0.08677081736761556,-0.00040618652009554584,,,0.002451944505016515,,
TNFSF13,,-0.016124024448779216,,,-0.021717314801424737,0.005529860292646431,,,,,,,,0.11487579753664816,0.0859236427435965,-0.0023509773826747315,-0.007649710618337527
