,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,,0.06550264699600651,,,,,,,,,,,-0.022279437337540262,,,-0.026554069167188197,
BMP1,-0.019708784230983257,0.05476714742339678,0.0019211268424186745,0.059673755020203036,0.023057796317392652,0.0021260614214605265,0.24252449628380607,0.0376679870582847,-0.07026517770665361,0.02394644305871105,0.11228779032122103,0.11242377201384168,0.055691588725103075,-0.017536344495195928,-0.06012582399344887,0.005024646416422252,0.03906466161202166,-0.0343698052816359,-0.07620956241403805,0.012125993668462414,0.12736059806315447,0.19801263612575817,0.04138270359144827
NDP,-0.011791361361234666,-0.007164552747632182,0.08029171018900563,0.06617463317924475,-0.002249011814005188,0.015080364081304778,-0.025152254482953232,0.056510419372385864,0.04118863437843798,-0.037802707665988186,0.1544291674374306,0.006805323926704989,0.07403037926225053,-0.04142188430437062,0.05178764712420776,-0.046894780788808044,0.11184259554632828,0.10096392201705115,-0.029922346997851727,0.02327696419550986,0.06415396493832448,-0.08679679981699838,0.11941866782848937
TNFSF18,0.08085435988322705,-0.059274608223788584,0.06543333727828773,,,,0.0638640719229532,0.01074884446382153,-0.00876004287300699,,,,,-0.07771743343088075,0.021171163697312066,,,,0.012455450407361086,,-0.0020678253088411117,0.014575765579996965,
IL36G,,,,,,,,,,,,,0.03900519029870232,,,,,,,,,,
RTN4,0.0846137761679987,0.0466873358821085,0.07644041966816827,-0.006387567487557711,0.003808629723848458,-0.02596795680228465,-0.3482250409315358,-0.10731634959601316,-0.013716695917874144,-0.01083864135181135,-0.18319486814553582,-0.05550926911835643,-0.025179864590112577,0.18693816246908215,0.06697333742716036,0.08059693944720635,0.011628692587392216,0.03078247285387528,0.22992605828676752,0.04948071070474296,-0.034693696863935766,-0.007217815637177174,0.006532637070492228
HEBP1,0.053416592939219576,0.07611630443923731,-0.05395034856597598,-0.010266840843298186,0.0037961138949252774,-0.005158374800714802,0.1310401370758363,0.024367294431743403,0.03154333955925345,0.08682244974413639,0.22732973987304958,0.05743925578739695,-0.024400135080107903,-0.0638918480398906,0.016157401975598024,0.09421636659065294,0.05568489519649119,0.07694765453196034,0.03914728828023135,0.04515059593324003,0.08109178468841485,0.030004681207258233,0.050541944733938596
WNT7B,0.022524050243073926,0.009577156108121024,0.010672492858236852,0.0011028463337743187,0.03122248936570188,0.04398939751792882,0.022337781911673318,-0.10626003783383987,-0.05724094272951777,-0.019671247927211335,,0.03453440139181967,-0.02766449362872819,-0.035609263544261534,,0.008825274738226328,0.05997664192239859,-0.007477884371841386,0.02703716418150055,0.027188609902848385,0.02119058570128399,0.060024709633161435,-0.04103941274353262
PTMA,0.07488987101466002,0.06204624428982137,0.04439387267042563,0.2095330110839412,0.005400255578795666,-0.048867511285808775,0.4773533899515735,0.0849069994001082,-0.0026364055047094935,0.1277219790951374,0.3836080699721422,0.1365362531645378,0.08764646070676736,-0.03275552961623512,0.052578585769215876,-0.0971615435341049,-0.0735613783628489,-0.008065378650048265,0.20551514357869743,-0.006079773610572265,0.013639579421457491,0.15940107743629173,0.038847956993215416
FASLG,0.0013139782122775184,,,,,,,,,,,,,,,,,,,,,0.12013572419142898,
