,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.030932259658957385,,,,,,,,,,,,
BMP1,0.06646071029918844,0.059458532484324866,-0.045590915865263204,0.019195609200364686,-0.04860204989543098,-0.0024689509846157072,-0.22055058223873047,-0.05207583421148422,-0.025419968392768718,-0.07667600633775216,-0.13967037515670008,0.04832844093502335,0.06739569488528034,-0.017486839045189252,-0.028580833035559045,-0.028374441179350614,-0.012362336020024978,-0.049445513249220384,-0.03724517936300476
NDP,0.00999183998522075,-0.010745374252751625,0.07028370432833306,-0.031585784750569,0.06411584349870153,0.06099051106660701,-0.012927442071140363,0.012632752217742934,-0.018995433619285303,0.01320310647474901,-0.05932154596762074,0.08702026705140652,0.004559681658170958,0.01796069607102122,0.05556118399647999,0.012036222017646394,-0.066605945930787,0.07453963931822975,0.04764344690281556
TNFSF18,-0.02551761131803097,0.07949620752512092,,,,0.014242486807640743,-0.045933476981669975,-0.0064038316226628375,,,,-0.01736177053627654,,,,,0.0007041605078313595,-0.036564221428013084,
IL36G,,,,,,,,,,,-0.029018040051225522,,,,,,,,
RTN4,0.1335692532072378,0.01443053501422631,0.01387375792787086,0.06904997672734933,0.1539792461734863,0.18627652852780385,0.22723050643833023,0.10326028493314665,0.08497474897664278,0.27250181241657856,0.16105845526241397,-0.014601313366193948,-0.13420611659013446,0.007148730080732429,-0.03162484033395098,0.018334958344035264,-0.03972775747301653,0.17486210631295912,-0.08518256185376201
HEBP1,-0.0026023040530135386,-0.005665512405329813,0.02707223892536181,0.029520181656015755,-0.005428863528738402,-0.0873559117065634,-0.16255289933367967,-0.05937833522655963,0.0016341946602566313,-0.10235465589690576,-0.04257879731319233,-0.1359480014267825,-0.016348790254517236,0.03315018978983807,0.0003435126853756387,-0.038657127191978446,0.10201434544741075,-0.016198824944602057,-0.10278083798557891
WNT7B,0.2995639836182488,-0.0007895337199638845,-0.0030712321972434097,0.004897629978346546,0.022923021295292473,0.09131758179258774,0.08155880636519307,0.01663681264062577,0.017996927035539866,,0.1254654151200376,,0.06757737684212074,-0.024051669303889484,-0.0006841287630255323,-0.008932635063855488,-0.0316419208879267,0.04924095771461634,-0.0012708201505762834
PTMA,-0.08761520899785517,0.007963760472365375,0.0695182881116629,-0.011505433203838808,-0.10802558790523825,-0.17793457634925477,0.0046245887187551776,0.020712048430615443,-0.0739691571361075,-0.30272469007425495,-0.1584975082694509,-0.0026224779024256743,-0.12146299674091138,-0.07277785300089504,0.0013873251764669429,-0.09593244962516173,-0.0030241134421270023,-0.05033012924952684,-0.13548455162068174
CEACAM1,,-0.02422715398438611,,0.0631082154350607,0.035787098434944944,,-0.06044583953264731,-0.008826860640288106,,,,0.08549396594308398,-0.052953856411699265,0.022510033468118078,-0.015873065937791885,0.049836555354150464,,,
PDAP1,-0.05327480066216563,0.07216693808015007,-0.01252473663684788,0.028081240078035336,-0.05194632893582768,-0.07210730559648658,-0.13279361026320213,0.05015436363081566,-0.011967379493064494,0.029722547142775644,-0.0669826595333315,0.025301521707974395,0.06056738992001981,0.04795336421158496,0.010620330299556214,-0.01470132721595387,0.04832586755413714,-0.04608462453227219,-0.04393452817051851
QDPR,0.11415561180619625,-0.054369309323218235,0.008419372793323386,-0.010329544959734196,0.1217640329484907,0.004355167240815908,0.07451817185760186,0.035541309450545885,0.027201343839460355,-0.24131599824615013,0.07934117241255872,0.0016415771538798385,-0.15322956050630201,0.04152344545272606,0.09292943884701724,-0.02838023696148508,0.051677085356837196,0.12225610235559427,0.051623253930401104
POMC,0.17994354666022686,0.014415685114681432,,-0.029895386861053547,0.1736962656552207,0.0037023151614061353,-0.04946317918357268,-0.013766293394273882,-0.01983401593153319,-0.07257947138907875,0.15581301066611053,0.01607690386500928,0.013592475014673361,0.036004425986135194,0.05074358761585785,-0.025824081962236366,,0.10031690278515297,-0.007828975392083106
