,MGH258,UKF248,UKF251,UKF269,UKF275
IGFL3,,,,-0.013231780539485666,
BMP1,0.04146289281663162,-0.018653461758743887,0.01633474146947448,0.08837962545764248,0.02273349330044082
NDP,0.01710237939771086,0.036558223448102604,0.030745083227205785,0.04911026849601636,0.016816297844965994
TNFSF18,-0.006927413685746012,-0.013071367433238498,-0.024969516516060258,-9.527825304092974e-05,-0.010647508906761256
RTN4,-0.13615137761192936,-0.01387984752466606,0.041256616478826655,-0.09962924044645419,0.0035786845415575496
HEBP1,0.015274675682703057,0.04144769389333773,0.031678794411164,0.06379617269250808,-0.004089977149737757
WNT7B,-0.04171006138570433,-0.004598555550193197,0.004007783646000354,-0.03367173961999345,0.0438837744847529
PTMA,-0.06806552072894081,0.06510679994431452,0.04760578779408385,-0.06836287287119969,-0.01841408936720832
FASLG,-0.041710073177031834,,,,
CEACAM1,-0.05791480163982256,0.08799066718377434,-0.014281033762367739,0.11243108039135641,-0.01674599491130014
PDAP1,0.05570487143979108,0.05059967211929518,0.04170353008479138,0.04255256045326028,-0.03226774257282355
QDPR,-0.1305214051850405,-0.009862950935890583,-0.0097243592368071,-0.10373112726485749,-0.000994565777416291
POMC,-0.04189515160077694,-0.028700074266889926,-0.004723248775927371,-0.021772916869139777,0.009573954227720708
CCL18,,-0.026583206233168292,,,
CCL17,,,,,-0.013279516613040892
VEGFD,,-0.02658321467458135,0.007172375350628054,0.04656436176533398,-0.014148201754226626
TNFSF13,,0.015001397490087913,,,
WNT5A,0.02414745673847459,-0.0168872804185281,0.04631542409241649,0.039938724011753204,0.04791815138491353
CXCL8,,-0.013932433360451484,-0.007423053004876877,0.033335964091379205,-0.007041657206661276
GRN,-0.14799628768206963,0.029557599689287853,-0.029178978619457573,0.05924573033872666,-0.0020393466739290758
MIA,0.03343540506996551,-0.01799218044841729,-0.03371175985282573,0.020121819002258304,0.03892721266427553
COL4A4,0.05451859545856422,0.023312106632398025,0.02489845409608784,-0.013038937590541137,0.06629882953710721
TAC1,0.01793521060332644,-0.031959180391689136,0.053921718367282837,-0.07117643501532214,0.030721263824321155
RARRES2,0.10201239896108068,-0.006270711965441746,0.0754071407003775,0.09496032371622057,-0.034218127725751016
FGF7,-0.014033431732495341,,0.04432541941455562,0.005636577173033526,-0.03160527621344244
HBEGF,-0.05284790516462215,-0.04052761093197233,0.056132055083725096,0.08597866334361257,0.03377816288213522
CSF3,,,,-0.013794945002408457,
PI3,,-0.027966653751900154,,-0.015533290146278205,
PCSK1N,0.1683617332064683,0.05905308104527795,0.0005332926937208001,-0.010886580060181074,-0.023012301018246827
