,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
BMP1,0.032481444050958694,0.02552963211486943,-0.0005989119878470331,0.003565225742866445,-0.06623897981243537,0.0382241910830004,-0.0413775318369707,0.05586277930868523,0.015429222243332066,0.10453988064141491,0.017803890382342615,0.0035511845049491647,-0.03747723073328148,0.08334759929337304
NDP,0.00769265206821843,0.04038311399569916,-0.047806235727158315,0.05379240007337426,0.05685592437675825,0.0747510474453178,-0.07109994044993895,-0.0178441294524768,-0.044787704701736875,-0.005035300459308719,0.06644390859217227,0.040252880132501716,-0.03758549186190978,0.13416801371870934
TNFSF18,-0.022076405213501273,-0.026566996377869103,-0.02106515132077581,,,0.01236053001289213,-0.015670680444212902,,,,,,,
RTN4,0.20939706645213524,-0.02067901994894088,-0.027776244997247745,0.023904130285320256,0.057350427737499356,0.08995802934753919,0.06927723739941048,-0.04752606376583383,0.13105369347876367,-0.037562876565199015,-0.013142760165605682,-0.03655415996240678,0.08232935887696446,0.1162381445268395
HEBP1,-0.07884642375262729,0.06502848806330432,0.008537628143639543,0.008981150427958726,0.029956451233289504,0.01802166668441729,-0.015311650208262974,-0.006565708224234941,-0.07105179702958958,0.02920657220726743,-0.019764802661536823,-0.002084636552536533,0.09118310749461406,-0.04749863422513267
WNT7B,0.20722035905166344,-0.03931624051965266,-0.01938625203753967,0.030722199198971983,0.05299732562192527,-0.002973349100569754,-0.02632726010516299,-0.01598316566201685,,0.013545472336666427,-0.030098685613277647,0.03518468790768703,0.1422198981416556,0.07905092301502642
PTMA,0.019892944578621525,0.049553178575370144,0.009850178044541146,0.025501054118300736,-0.04474745481371887,-0.03121870983842258,0.08172796516593897,-0.004456941940612663,-0.15585676015609562,0.14939980714652343,0.043459134849230245,-0.02158711502620621,0.039172504310712716,-0.0558392160330237
CEACAM1,,-0.016909165107459396,-0.014877782434266566,0.022384509784154592,-0.016974341501999068,,0.02015919858503615,,,,-0.03079076351566189,-0.020563754874068387,0.020476502299560793,
PDAP1,-0.11354814783090371,0.014109031940978178,0.0371960193759903,-0.0242762056227123,-0.07908706896019782,0.0063990730350039875,0.0038092354392883975,0.03423150926300953,0.04515866158664883,0.020707062916477233,0.04696676418481286,-0.03901114117752708,-0.04573477002346044,0.05719464859379151
QDPR,0.08068642355504836,0.010785594363200937,0.054467659058579976,-0.006923667486775574,0.14808374848197714,0.004305654661041997,0.02145532597314012,-0.0250535362231476,-0.15363042764379536,0.058809176062862095,-0.014931576341856802,0.0518163998896754,-0.06886441799225258,-0.04162455752848599
POMC,0.06082822838934528,-0.0024746389269717614,-0.02643544574563597,0.10713179954693372,-0.0004435519156176346,0.008605435984558072,0.012742494913907427,0.04084078614245522,-0.028435213306353284,0.033787603547697866,0.05326137612503893,0.0246404923318177,-0.050418772535777846,0.12451415968558753
CCL18,0.011643418866067831,-0.02110104040809392,,,,,,,-0.05967719481939583,0.03349492735708387,0.023082702722142228,0.04747497671379154,-0.015337248812922366,
CCL17,,,,-0.01522893233101075,,,-0.01954438950170172,-0.019782678561384322,,,-0.021844556399516258,-0.04792009800270147,,
