,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH8811Bbulk,ZH916T1
IGFL3,,,,,-0.01649412063688682,,,,0.026294684644011124
BMP1,-0.0800324147448163,-0.028793231496572355,-0.034570006083481514,-0.026489939803761516,0.044180919837129996,-0.015040164635132795,0.052320996253082896,-0.005661259229808473,0.02533169313979443
NDP,-0.0030911512329098076,0.02390393922269946,-0.020129706217332236,0.010944590606259335,-0.029613934895110956,0.0004535616627000373,0.024597190745896537,0.06761428146600135,-0.01753626865171343
TNFSF18,-0.021000991683611865,-0.011672676199619883,,,0.03758664845918351,-0.013506325325882383,,,0.036240807029086296
RTN4,-0.01337981314115005,0.002785463265403822,-0.036770387632899665,0.0264477316648902,-0.12575438610896603,0.010439527988678464,-0.03007575903923437,0.06318953352593294,0.05854245885762851
HEBP1,0.03307721823016433,-0.027412033536047997,0.005456166340366068,-0.0479692905053039,0.07438495370129315,-0.07248449608353291,0.035215572507196716,0.03281729929313809,0.03980147406983437
WNT7B,0.04139573998836903,-0.015709237640347627,0.03958820786550536,0.07183750812344199,-0.000741792820647916,-0.016909007397469745,-0.018070104470926794,-0.018178193196570835,0.028904082695922883
PTMA,-0.021440804702904104,0.023387182839206905,-0.01206919328434855,0.00630878357139507,0.004829924423323878,-0.03865976774777957,0.04479854948055125,0.033508442680763244,-0.029945957286807507
FASLG,,,,,,,,,0.00939782819532305
CEACAM1,,-0.012055895041945642,0.00579999625050945,0.03374530497096231,0.15380136031715555,0.04414810430527066,,-0.015399749879281405,-0.022447903032727062
PDAP1,0.022717939674783076,0.03694246455727134,0.044717546643963164,0.00731880328706314,0.09887754634987063,-0.002961155168884126,0.011575630712143301,0.07397080173363721,-0.0033819584030680455
QDPR,0.0013956148024395574,0.0014340113797570737,-0.027299352283679235,0.007476360323886985,-0.08914348929499975,-0.015573533705294249,0.06509226681047801,-0.019690563100996296,0.04097108267315343
POMC,0.017344481206116542,0.008054134342138534,0.047495640106753015,-0.016477347394997576,-0.0041619656260758415,0.019296079269436283,0.014200402545546324,0.07474315321956847,0.08961537486953133
CCL18,-0.02816405663802184,,,,,,,-0.037605169439507556,
CCL17,,,-0.017867073563118747,,,-0.016845017282145363,-0.022365723779520046,-0.022230505738322217,-0.014623536159372208
VEGFD,0.060882440236973104,-0.017267650881006902,-0.019905893005253503,-0.014138101226719284,-0.027632076511799775,-0.017946941142961692,0.0006368927764961508,-0.015399749879281405,
TNFSF13,,,-0.012324307466925234,,,,,0.04353678314173524,0.010606688827047
WNT5A,0.008815068383565038,0.06863651848916362,0.0002494401373133256,-0.04857455948092322,0.10673411113465921,0.012529699478868622,-0.020996615718956287,0.07020621010293478,-0.039451264925463816
