,UKF243,UKF248,UKF259,UKF269,UKF275,ZH1019inf,ZH916T1
IGFL3,,,,0.03177268019388017,,,0.023593820844040908
BMP1,0.012682092356570437,0.03568790208512262,0.04940430255706164,0.021968281720038813,0.03549085136224521,0.003895903059518158,0.009241456892668186
NDP,0.012623839113772264,-0.01650553589477127,0.03405759908889833,0.037189559381594385,0.05357563705414246,0.028247690184357552,0.0049462865668559374
TNFSF18,0.09637111675535985,0.02793693485571552,,0.04186386244353848,-0.012622088769382658,,-0.03240562798854626
RTN4,-0.008816444602047167,0.062116091516554235,0.0285768066654603,-0.03974241294054831,-0.023447200146639157,-0.05559356348439201,0.04997834223206624
HEBP1,-0.03981244776001944,0.01800365393989738,-0.02802498608626397,0.04197075178173332,0.0040252268473954566,0.037173964297968536,0.022329755874809423
WNT7B,0.10361221146199043,-0.010075737250391417,0.002016209583615589,0.014962103434709408,-0.036180042496678506,-0.03653402358105616,-0.01961937232609827
PTMA,-0.06153883341729093,0.03836593282687971,0.011321201181073215,-0.005813927873723455,-0.008813330109232381,-0.12340122590334322,0.057476320883591295
FASLG,,,,,,,-0.016661748022468517
CEACAM1,,-0.02130226010418618,0.00045100242978797186,0.04507703223491966,-0.019851538623070725,0.09658365596925883,0.05129065469453889
PDAP1,0.00361537794565539,0.023175276414479227,0.03649382558053486,0.036048344976042396,-0.03902877075324584,0.03647172931461831,0.04318978230122421
QDPR,0.08262356189920025,-0.014135313495658535,0.03993890664443084,-0.047355532469405805,-0.007196951745489878,-0.11767158919009629,-0.03515176156068162
POMC,0.044194895120017307,0.01608057030692369,0.047485440729183204,0.020683235126788387,-0.014645673676723425,-0.032632271889477135,0.008828551928490297
CCL18,-0.026259927486422936,-0.02658320788670192,,,,-0.023230425642425848,
CCL17,,,-0.0196680265624145,,-0.015742202140620595,,-0.015102003141179255
VEGFD,0.05136444433364302,0.00018061103194379408,-0.008402278628902445,-0.027105351737419667,-0.01677198488705506,,
TNFSF13,,0.049746399665427404,-0.01356656453932113,,,,-0.02460745360556661
WNT5A,0.041933078891607904,0.039085382267206384,0.022665114654556173,-0.036136797841227204,0.021600205308169508,0.10715915347945933,0.031095924122501322
CXCL8,-0.06441161424865681,0.08789349788659565,-0.021987559711323667,-0.028744706119413606,0.04775792984439967,0.029048023332731245,-0.011366888783623552
GRN,0.03135449920202291,0.04330047628370579,0.019575427598223574,0.005067809900372242,-0.03570876261479199,0.015756517481192764,-0.03411246399132032
