,UKF248,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk
BMP1,0.03530387730699464,-0.009582457832278783,-0.07595246319920934,-0.015795448150530807,0.07001992871767758,-0.03658101342769141,-0.09400231918899263,-0.00705911462482089,0.022691482403135968,-0.08898065705413702,-0.07970064129307318,0.024683651177577228,0.00030451391539516854,-0.09590555851730492
NDP,0.05074626969319157,0.009818093497272069,0.04801790994807361,0.0030681946336488003,0.08009328233174519,-0.03842056732947667,0.010535713900858354,0.056184338120024005,0.07551224945479866,0.03405542899362157,0.07990937865785497,0.010877858275499164,0.05703018219275512,0.0005115877092135643
TNFSF18,0.026780538730418246,,0.02936780872149998,-0.012622089446573373,,,,-0.02604727825527357,,,,,-0.0289947393535526,0.031008994022492152
IL36G,,,,,,,-0.001962608477909996,,,,,,,
RTN4,0.02118332116429799,0.037488966606897475,0.10840088494833626,0.021589778794631125,0.10524849195204784,0.1666807547654689,0.19983164353435776,-0.0108306444449267,-0.007076864715723015,-0.0032695758234608566,-0.04550175504078252,0.11995750846936311,0.042254761790692284,0.08677067616683022
HEBP1,0.016203238922904033,-0.028247983967758145,-0.023417636575323517,-0.022341101755936097,0.02443440371310816,-0.104838612097997,-0.02304908269187373,-0.04751748311294633,-0.016408854686952197,0.019981741856448514,0.10223542332879773,0.041853108045269365,-0.11256620896295459,0.04817846003922231
WNT7B,-0.002690565811964434,-0.004594040149421643,0.0357511456237643,-0.003727212203476814,0.04575390028976153,,-0.005923518498512822,,0.006964629846942326,0.024556494409031886,0.08639957569052711,0.02558978654176584,0.18512119559939572,0.0633709761888926
PTMA,0.028530551425978438,-0.08511302865876581,-0.13034381592446131,0.001129274947849009,-0.08601137622118528,-0.22754947452160412,-0.19525495961493372,-0.07592109923907411,-0.03883891859801021,-0.013939837046480654,-0.015697067783229678,0.04258371777970231,-0.02599109067321791,-0.1145518264861771
CEACAM1,-0.030820955750360826,-0.01770962713989339,,-0.01985153968813039,,,,-0.03279150131003207,-0.03938757792170285,0.1004975314356576,0.019245754191742404,0.006353523819228183,,
PDAP1,0.006631249118283503,-0.03469816650930052,0.012062358558463077,-0.0022039495039903314,-0.0487787280733198,0.03232447308975294,-0.059237002231298554,0.07482914033670034,-0.0003221433823551856,-0.06699812217688698,-0.0914568570721179,0.05358234190575332,-0.1430351661649394,-0.03536216863630383
QDPR,0.01544449797233417,0.10601356273757125,0.10598446100907674,-0.003739177098532437,0.012701496585782217,-0.23187425398499067,0.04674616653549527,0.04045204519060002,-0.0016865141253199236,0.16433131191155492,0.15832456155268942,-0.047283852751494576,-0.06460008108934515,0.09184292443540616
POMC,0.012707041116147096,-0.004310211758816149,0.039064743737472866,0.023054778137614276,-0.015419354321717423,-0.09227996164893457,0.06642465995748628,0.01446390864548178,0.1150053239562199,-0.010222026874872534,0.06837632547407929,-0.0060062450656374125,,-0.0021059307155862662
CCL18,0.015949181216524045,,,,,-0.03505058784683754,,,-0.027926440340389564,-0.06151963732409872,-0.008223056942244683,-0.07474726199679765,,
CCL17,,,,-0.01574220298520926,0.014581915367393379,,-0.017870434550505562,,,-0.04148842774749312,-0.021577938175776717,,,
VEGFD,0.04392337970233702,-0.016943568560972903,,0.04970953009856332,0.014894384293128579,0.039265303644682635,-0.0191522982147642,-0.00107672599454967,,,0.010554698005672682,,,
TNFSF13,0.02023157151512973,,0.008990591744655873,,,,,,,0.08043967514266935,0.024884477375048793,0.02920805702175728,,-0.0373824628019325
WNT5A,-0.04240731656410773,0.007047861766970123,-0.06870503827252376,0.01696278802845498,0.009234201375564313,0.1200536284505924,-0.06415677042290169,-0.015697909983189994,-0.037197523577242965,0.012156813021217664,0.020698673412393582,0.03307453994594976,-0.011686073438062699,-0.0957566915739279
CXCL8,-0.02893074765552644,-0.07144940265205865,-0.010115812191962427,-0.040426340335068166,0.005884506848778385,-0.04184365268497809,-0.05171252094194346,-0.07319262295309993,-0.0195893926003037,-0.1606173520558456,-0.2556361118217789,-0.07739115238998637,0.05268545809440255,-0.06157051165327377
GRN,-0.02680031152517995,-0.0498999544471497,0.026775857174292716,-0.011048751968941466,-0.006508881824785541,-0.13027927385236293,0.06565845139217491,0.0836202026390378,0.06718484351775597,-0.08527512204804084,-0.10992362766618917,-0.07086657743699147,-0.01580309843293993,0.01811019990419847
MIA,-0.0016587446820823784,-0.05141264151646524,-0.012574967946327613,0.0057701938420458895,0.04294325618728448,,-1.3402227103766121e-06,0.08867843236344362,0.026028932260459176,0.1969792904469005,0.1990877231748227,-0.03724955961578891,,0.01633538577392801
COL4A4,-0.0009727745902930981,0.02493157452334365,-0.01352845875678786,-0.016435346959405277,0.01821263741383803,,-0.025444024712473652,0.0710576196587389,-0.013632932321077264,0.11038148395528186,0.02714536278114114,0.03422347412255638,,-0.01714694334256376
TAC1,0.0481844905531093,0.043040222867934776,0.14875861591472145,-0.042917245229409776,0.07906300584847856,0.1632116664746626,0.13255356255832293,,,,,0.025288445504696864,0.012255322417615148,0.15034806059228042
RARRES2,0.05443625761651514,-0.05042509840229858,-0.06333878022631449,0.0069544000601303975,0.012652617964283859,-0.06681717476304627,-0.088698585340839,-0.035393087825925144,-0.04114799714808757,-0.1291624037723403,-0.1326297110748495,0.007027061272582122,-0.004403328259509701,-0.03593062455011822
FGF7,,0.09363362624994048,0.045093434804607896,-0.02273237324976979,-0.039877731878466605,-0.005606562290954766,-0.03733177650931801,0.016796882749268573,-0.022456986815484376,-0.024132699525713716,0.1151901492155853,0.01595564314689578,0.0339846241512756,0.07412195813788186
EFNA2,,,,,,,,,,,-0.038697998461968586,,,
HBEGF,-0.0024141309034086222,-0.10095962650033147,-0.008064456536509682,0.01780446044360715,-0.01074402384387042,-0.02768146661688297,-0.0024499351683647586,0.03574774777424126,0.08267989594203703,0.041541591217125994,0.019713833179881464,0.03134891608431466,-0.05562088347333127,-0.07804701767807382
CSF3,,-0.02941883150989257,,,,,,,,-0.1115530259314277,-0.1283309880580777,-0.05446572528160866,-0.02605965276974521,0.08022696822292402
PI3,-0.04046326761446912,-0.02462225765849743,,,,,,,,-0.27168736661661114,-0.27437478288902495,0.02496393978907682,,0.037911101122035364
PCSK1N,0.054925550018104445,0.03950988903487977,0.045557849103832274,-0.004906308142893379,0.02976371325903224,0.22610998243529531,0.1778089399557723,0.11095135866998879,0.01952531416518126,0.0765583152992335,0.050216326656357835,0.05423505268771754,0.02138843274647478,0.08719304933042527
NTS,,-0.016484714998306945,-0.05826592927326802,0.010033108781674288,0.011594594989280406,-0.03435176846413079,,,,0.009247982970680404,0.05499579063979395,0.06965908616507759,,
SFRP1,-0.03675321963896736,0.11206373992118088,0.010467631813367394,-0.03486211516793087,0.026983100025984117,-0.05218360183300718,-0.005971567683125308,-0.010578393432591777,0.03727100237239729,0.07170092012856158,0.07951030127509713,-0.0026215113975798367,0.01758410936770048,-0.04587200774773337
CXCL13,,0.05551564590272423,,,,,,,,-0.05344596132214454,-0.05860977595580151,-0.007407641335409953,,-0.016169710830478547
MICA,-0.014106229786943049,0.014888878077193517,-0.041634647602158174,-0.03256810045520086,0.01368980174630399,0.02531668415569716,-0.03323286985126975,-0.033275275167702546,0.018073081011964597,-0.012139471294419482,0.023700567124498403,-0.017611065570546702,0.17260260821088275,-0.005813388242293321
TG,0.04612067107491793,0.06258955218703725,-0.03439605491135486,0.019917411010962408,0.003741114753271983,,-0.0268439142656919,-0.024654888469155978,-0.045470774016038266,0.06873589365896572,0.016373219658748012,0.018315279398039754,,-0.004575429378177913
ADA,-0.002471634313689764,0.004496672938680704,-0.020578836584584616,0.01822598333152584,-0.020306219613579618,-0.08860858244078051,-0.06322846520295468,0.06327748086219104,0.002972069106088045,0.06534265339627703,0.08575516649621555,-0.00011004576956194436,0.020052906414402185,0.01384564456264151
LAMC3,0.004999901302668213,0.011437131404108057,-0.04587359603641024,-0.03372148359367959,0.05261852341492745,-0.05272539767920124,-0.0035660623528426362,-0.03273691459806356,0.02547965559975649,0.05348483996257171,0.10783359156636595,-0.019792456032335152,0.051275348488845,0.044524305428821354
CCL7,-0.02446485263129359,-0.025397262602432955,,,,,,,,-0.062181590085096335,,,,-0.011960043602037581
NGF,0.008888983754428287,-0.0008694259442560843,0.05866685013525766,,,0.10677040562752141,,-0.029809957584471896,-0.041500453486071176,-0.018295895805664375,0.05175422689732411,-0.01857695314580908,,0.014749332263465484
TNFSF15,,0.0011919695044766557,-0.0328858277872911,,,,,0.02438299091480797,0.042023004472176655,-0.018979142960034636,,0.02139993292076257,,0.0045362036642517395
HMGB1,0.03386931182493603,-0.07624659662288835,-0.09177545053662817,0.0005489740549898887,0.0288128459361665,-0.08236936329989927,0.022718834296246878,-0.039137492590699256,-0.08263719160659834,-0.1375778806447543,-0.06677938996567644,-0.05182204025345441,0.03406458940621128,-0.0034871440819975513
ITGB3BP,0.04098509679189814,0.0076810551985448585,-0.046827955334182346,0.000666552891928565,-0.030237831833698207,0.050290157037997316,-0.112840751740436,-0.0059447777800122,0.00599587648047359,0.01185321458141085,-0.04312148013466514,0.029413939440540996,-0.044768962713098104,-0.06751110254104341
AANAT,-0.005014814820208094,0.004238628667914988,,-0.014262697303464704,-0.02591981387925415,-0.03229573560480068,0.005366273944852495,,0.022711884123510544,-0.020740693527855302,0.04170525608978725,,,-0.04086172432033475
RELN,0.013472282307867562,0.09379395327223178,-0.007498517108004021,-0.013200139710366212,0.10051562700114221,-0.03412798901177244,-0.013435223514860678,-0.019556333493194987,,,,0.07360027493271898,0.15672221386719398,0.046622530006013276
IL15,-0.023087934187880257,0.03223758954480009,0.0201960773153,-0.04045520577072669,0.02073035698504649,-0.03322421434168081,-0.022232438480018428,0.022376261890002976,-0.049169023555586576,-0.03349885632765966,-0.005834375706410949,0.05166568494932742,-0.02756204313743398,-0.010839086521176414
UTS2,,,,,,,,,,0.012431849319551793,,,,
BSG,0.002691604884676791,-0.049500774495333584,0.016534558947334434,0.03859695184510278,0.022378450709953136,0.14919566667290976,-0.13906110245648917,0.05882399364555342,-0.012173654981943418,-0.05856315280215046,-0.050204915923084535,-0.04160033936580808,-0.056383311838226195,-0.03854136133835303
ADAMTS3,0.027199880500569356,0.025158632563582497,0.03972581317052557,-0.04544971720933613,0.01315363262270875,0.016024372742423038,-0.026966155177249554,,-0.034828192356782375,0.08286175443236289,0.09723483125422742,-0.003928745570843661,-0.03168828728486999,-0.002600244022483664
CD34,0.03134183717421334,-0.005075904220541954,-0.03780646276878224,-0.04322294145549024,-0.003948902302125991,-0.019085826562197976,0.042114641408058824,-0.01583305474654595,0.017805231645681048,0.09929321172531054,0.06043242322319892,-0.010313577264628794,0.0033232553231778024,-0.010405678927203505
PLAT,0.051151260921183765,-0.07195234158569339,-0.057379801726357114,-0.019942039815714144,0.001489021815201655,-0.005683641592996191,-0.07675387527239022,-0.046540604310897966,0.004890422378638247,0.13690796079948797,0.20644411009569094,0.0654277707678046,-0.014108818112447758,0.05276931072713139
NTF3,,,,,-0.04184076288994434,,,,,0.1187832592913448,0.2977907831699919,0.030173733318385014,,
LTA,,,,-0.013736463908757535,,,-0.022232441224401014,,,,,,,
CKLF,0.014568576908151495,-0.016088225984552763,-0.06762781151186328,-0.020196945673812014,-0.0116584841928572,-0.08404843098720229,-0.0847434362087074,-0.07704391770247702,0.025987482206085218,0.05320115665080615,0.10221111432335898,0.026109072968271006,0.015204676859142847,-0.04951432042225714
CD24,0.04041697228844007,0.04298492225565864,0.02668454957569718,-0.056152147698240895,-0.09855923886334544,0.011616384286592073,0.024914411414821983,0.04470739434951597,0.05698203101244029,0.14050222482528002,0.09641658248888153,0.07013727838093237,0.022439874322057678,0.011272970780652309
HSP90AA1,-0.03335486617203212,0.020804021186640733,0.1723825239721199,-0.005366982544335647,-0.038303080551143134,0.23850546262488573,0.20116023995591392,0.020793358963644065,-0.09474006763863677,-0.22083021874662126,-0.3230647487515875,-0.019581478198943597,0.04990730638063098,0.14519820490575586
BMP4,0.0010208966248365554,-0.03288173652431032,-0.10939720903827281,-0.006502349518606298,-0.02796441128320627,0.131540811027039,-0.0011435829652110337,0.04744433127687333,0.06553622654780475,0.10130292917812939,0.10423233386503011,-0.009875721861033939,,-0.06650035446000285
SCGB3A1,0.003238305173473219,-0.020177701359797486,0.007196290642070997,,0.045671760775256705,-0.008787280727213525,-0.015513503474648195,-0.04783261223095387,,0.004009053907750027,0.03512242734236211,0.053416266894294795,,0.0999609014149854
IGFBP4,0.03955509399950836,-0.04485099768426594,-0.10117221231994401,0.011322941045124574,0.024816945333039925,-0.08052103353550316,-0.07208370077002192,0.048656505225218714,-0.005948138805158677,-0.0700805181054347,-0.11312545739490597,-0.10544883953758656,-0.004732078238085448,-0.025691092274285596
RSPO4,,-0.023288347358739296,,0.05251527329305637,0.003909229364032267,,-0.030839896072129554,-0.04373593106358667,,,,-0.024022688868150333,,-0.05152501579814999
LEFTY2,-0.04373129841455239,0.01348780142575145,-0.04372187382343848,-0.010074960104561778,0.0015133360653702597,0.04349296340400427,0.03481901054337175,,0.056823773035202405,0.05968940473495123,0.004009088827606992,0.021545163403467623,0.007339919877951555,0.03588729876030144
PF4,-0.02537835488387901,,,,,,,,,,-0.04462753077892768,,,0.02546053594930039
ANGPTL2,0.008583817438198936,-0.052113463736726706,-0.08351760734389017,-0.021364535451400584,0.0358034107475509,-0.14416863447880307,-0.16446913319147038,-0.10954771325210437,0.06781539597915405,0.1227622190222744,0.20129498344841273,0.02923748835279815,-0.017410776613413753,-0.01585685846705718
LRIG2,-0.005584656473309274,-0.0028222479630223185,-0.045421313859038054,-0.0477659395157404,-0.01564617858781242,0.08729777121429691,-0.046640117885667,-0.008120156889872155,-0.010347552234007028,0.02461046263497372,0.0666732195295622,0.03207617286322204,-0.08879417873599588,-0.02935442848427694
ICOSLG,0.027833514709844957,-0.04516821821727556,-0.05750671552506785,-0.013109806882851911,-0.014058873799500606,-0.11284320617944418,-0.08024987936749985,-0.024362130592519057,-0.030119679327568944,0.08418561324218045,0.15336992734761334,-0.00977756115507722,0.005754340186884692,0.01818118799392338
WIF1,0.025385096895900433,0.026908051742739737,0.12125738992392619,-0.012328566084821505,-0.0050238368457615964,0.07612125442010782,0.07852375046973012,,,,,-0.04397220082194155,0.15800797575920986,0.055291237868757254
NPPC,0.019594493580790767,0.03305885669528178,0.05130441016629008,-0.011891103394804963,0.05674885306276109,-0.019778430007598703,-0.12621996273379257,0.05008221520379849,-0.03482812546715338,-0.023866455335921206,0.04744025849530822,0.004737221681526895,-0.0021232504346344505,0.14982861733484015
LYZ,-0.03784286498825651,-0.0592217354798032,-0.03851199560233898,-0.000913986853185519,-0.027904119720446933,-0.15788607514861577,-0.03739860602305496,-0.02874797036199542,0.03507331100613582,0.04185016053526865,0.05418545967143978,-0.04850438850868044,0.08226301345817187,0.02416850925573257
EREG,,-0.0327722303481308,,,,-0.0021168480810875826,,,,-0.026037278377141582,-0.08462541605275055,-0.029246566510801857,,0.045644536382469486
SPTAN1,-0.0052056730220793575,0.051673295864803175,0.11135194549317552,0.04617332877251322,-0.03336728396400431,0.20303444676128576,0.14019551875185965,0.11123631735594415,0.05248557127265164,0.012651513388449748,0.1443706952564709,0.01657576464216274,0.04741178914972509,0.08177506118428042
PTH2,,,,,,,,,,,,-0.009815080352022188,,
LIPC,-0.019321649627683995,0.07504858903973291,-0.01888362753740805,0.02022931163724398,,-0.03013277676969839,-0.03492508610505167,0.052693184885737425,-0.012687708229980658,,,,,0.10832938367479043
COL8A1,-0.010311878586949957,-0.04094417347313614,-0.0029760103610727475,0.009163518007316507,-0.04882717150278424,-0.11492992562447708,-0.09880619549066037,-0.04331169979255544,0.0519751068255644,0.10947875298221828,0.030488542197307275,-0.009567532347333211,0.04691166268019617,-0.034170862595107626
GSTM2,0.05144456855519428,0.02191731891232129,-0.004551735981424039,0.00855154632766608,-0.0028805430567372327,0.011461175849139882,-0.009564942987598845,0.006837567687525052,0.007285787321951446,0.14739115310628964,0.08622524573135469,0.013171352898112838,0.03478620311888592,-0.024147393392398697
SPX,-0.014136771390551226,0.03768263067221863,0.02122487625192368,0.05279020536999208,0.023098096435341796,-0.0070174228276106525,0.08209720425137243,,-0.020360728408902472,-0.02506128024513144,0.021725618403266575,-0.014125399443235664,-0.008487018024311989,0.06947217479100876
MFGE8,-0.02880888802214175,0.04701419410774696,-0.05443919302903733,0.010219593217106552,-0.035266386623496876,0.06017658828858055,-0.06331320675907354,-0.038875908441985255,0.00713097472934354,-0.00474907019810768,0.0537212269788408,-0.05940466035194124,0.05565201817040259,-0.09404341089461107
TGFA,0.040425284256707425,-0.02655873392872859,-0.06019679144911152,0.05526037072061212,0.007953493117930838,-0.08185683743697884,-0.06800243088662125,0.13461050468036223,-0.00744320490471164,0.014063536154306113,0.14056009690670743,0.06089099553023955,0.0073443911137562245,-0.017033726561928208
SLIT2,0.05119296178463753,0.03325161063236644,0.1351276730012799,0.06777708759521811,-0.015018991407222529,0.05967462530907075,0.09915068052491412,0.06621836695325418,0.1222851703636444,0.054111940611110076,0.05385121809002655,0.03661023188462532,0.04010612910702867,-0.01675041943117016
PLTP,0.011788485407351616,-0.08409767874496034,-0.04051345236807414,-0.020059171040296517,-0.12568720242280312,-0.2054657947869481,-0.0871354376495247,0.10215086356831937,0.07211467631715483,-0.07220473633536782,-0.13380441868891976,-0.063914609444007,-0.12055029397172207,-0.033426461650425184
APOD,0.03939397500201466,-0.007649863018988637,-0.05973682515913032,-0.0419113807424449,-0.0347566580251135,-0.18829737483131165,0.09322441524437675,0.1251349246656826,-0.054588364833404866,0.23615482227303228,0.3104580428628511,-0.054188304116262166,0.07374664599080515,-0.02878074847961649
B2M,-0.011043857842868907,-0.08977198190676836,-0.13384600056020504,-0.02549571437273766,-0.04897679581534056,-0.22575566594581814,-0.16812308562055503,-0.12337930169996619,0.021275501755741177,-0.06748904588138616,0.04354422356622363,-0.10137079523638737,-0.05094433026819033,0.053877182697296896
OMG,0.023584088125579005,0.030999319218480346,0.04728575033677965,-0.027158116305848762,0.05119365679033197,-0.05414918154733103,0.14536605617794812,-0.03403598964039244,0.006482652317527542,0.20592685385677043,0.3014585232468087,0.020887371241246473,0.11608288113099811,0.06855599364434346
CXCL3,-0.015241894585360037,-0.04103307692320134,,-0.0013642970394633993,-0.023389444797176424,-0.04974682105288455,-0.016011383674074252,,,-0.1865107028035426,-0.09676251905939547,0.004872027920986577,-0.01053294214956822,-0.08280278066049063
CXCL10,-0.004492657433639529,0.021248270512885373,-0.0028762813767869203,0.02297667524124238,-0.0033439765654691344,-0.051258864987818877,-0.025444026319909493,0.040614406635100124,-0.03207333574571919,-0.046580822403555246,-0.006167656288658836,0.019797792533299448,,0.061005606577995856
RSPO3,-0.022532485612094543,0.056954381284858885,0.04182796590164966,0.060799805768893954,0.02201291505510483,0.017534790818460575,0.1273596756767841,,,0.10670557956023805,0.12811790765898626,0.009884530289364691,-0.04818482195052275,0.16490660026498127
CORT,-0.013754177656065672,0.01463514952276506,0.0811343763112419,-0.017170886439930443,0.04585207545839878,-0.03087092724710513,0.006636714331845791,,,0.07936006018719804,0.0008140649727542288,0.01077772300537003,0.060220171112214026,
NCAN,0.0394702475037785,0.06143953891958536,-0.03436516034823507,-0.0074798498495222444,0.026297548925940273,0.08864283981330218,-0.15344517712518135,-0.027145110333881634,-0.007238005840828713,0.22073487532138528,0.31475267639833043,0.04183568065677078,-0.12031292622550797,0.0443077196822668
PRG4,0.06831668893432687,-0.01614352765173811,,0.007228108551030668,,,-0.01956199144582016,,,0.06225543136444204,-0.021776060318680415,-0.01613690141213662,,-0.0004021622956442853
ZG16B,0.02643181065934793,,,-0.01091486755085125,,,,,-0.03233451483395736,,,,,-0.034433318288973544
TGM2,-0.04391358862856609,-0.02474046933677901,-0.01602140035317762,-0.030329006296652392,0.0453062212560694,0.003467705110548422,0.09059150203914472,-0.04835341314311608,0.040366472625062225,-0.07613760371948351,-0.08430951810394663,0.003746983215120243,0.04868988062670332,0.02302558251818952
VEGFC,-0.014646603918830551,-0.024850238503986814,0.0045489129338885026,0.042040638891374715,-0.006461920835041887,-0.03993173428127099,-0.019963792008764924,-0.05636371084066889,-0.02535525913082808,-0.07276009138608355,-0.04092611794461662,0.005535807608278057,,-0.0352375345228174
WNT6,0.03397762030306594,0.010068970336070689,-0.02379458898586398,-0.02429064842695862,,,0.021270757118379068,,-0.030750127403284873,-0.01616560717827178,0.03221771107762679,0.056078803258708655,,-0.0355799485334494
NRG4,-0.022532988174100335,-0.007388801558875698,-0.013108101709785498,-0.020969227839597978,-0.011396928947347357,0.14499245724388485,0.06642503932713988,-0.03490645283904217,,,,-0.017455403846917267,,0.08624440547751176
PMCH,-0.025970481504295893,,,-0.015976343009491033,,,,,,-0.06320330602067825,0.04853556068862928,-0.003214832796441155,,-0.02032051621662974
COL9A1,-0.052389633913252374,-0.014284688299432479,-0.02075490986691345,-0.029253270587196505,-0.03395261785864346,0.12000412350975202,-0.013564727470512187,-0.059108704083845914,-0.004105605713596344,0.13123196202769324,0.2472545273896474,0.03612370487006275,,-0.04040668235029939
GDF11,0.04812280585517543,-0.012182688636012217,-0.04587596022821518,0.003070955698640649,0.022557261678010577,-0.03087841702018514,-0.04980791626889802,0.01735280488030408,0.025973881455101912,0.009474500394413953,0.06589626383884778,-0.023212101756598987,-0.06505472960716087,-0.00572152080485026
IL24,,,,,,,,,,-0.03610604810280838,-0.043915967490128584,,,-0.00020079701394497322
SORBS1,0.06152659790441439,-0.05187662076621385,-0.05534869364941144,-0.05143544158982738,-0.01011348952945653,0.027735620966698408,0.01488878196412189,-0.028744231547952852,0.03371053985271055,0.07770033878647631,0.0026270532606793894,-0.013092412392661072,0.0849956676045745,0.07025167956779982
DLL1,-0.002169133210108642,-0.007271846833454563,-0.036660016456475424,-0.03802367041680915,-0.003646314219728551,-0.0415925812818614,-0.056564852140762234,-0.045398320296701766,0.056652999714765555,0.21354088585796863,0.29779867914536345,0.07228136127739,-0.03305177479493229,-0.05936933347811782
TLN1,0.06479327493140384,-0.016485447590964916,-0.08866660488957784,0.014058971710357276,-0.0029806276889876265,-0.14646396370573012,-0.11772339484684427,0.031277357781027575,0.05527058091200299,-0.13737910440975376,-0.10497109997625283,-0.025448593281680712,-0.013015482472769636,-0.04299923224705373
COL2A1,0.0380634353977609,0.035705930518342165,-0.03499859228560832,,,,-0.016254841614549678,,,-0.05468715094107332,-0.0600956139193974,-0.01311963174111653,,0.03807099706077286
SHH,,-0.03655217519593607,-0.03022454227442999,-0.051820083711105226,0.04362506375866841,,-0.015513502118671417,,,0.014635579560524139,0.03505278559038496,0.0034974581228362058,,0.014113017119611224
PON2,0.019004053089334273,-0.02937510598228124,-0.0020727966515155416,0.01964651905738844,-0.02994988387679629,-0.042544558896899023,-0.11180681621138594,0.036127668290994515,-0.03892097026774882,0.13557855526706278,0.193047029088059,-0.08635488883440232,-0.09771115828179129,-0.02514687729501815
