,UKF248,UKF259,UKF260,UKF266,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.011160460581112763,
BMP1,0.018731819375938437,0.024982062899309578,0.0680134498570974,0.07539182602906118,0.037802482075011974,0.09336339605165715,0.04844038744764292,0.09732475183896623,0.01351906567662784,-0.021380040517827503,0.014462542394783312,0.008505586546156213,0.13622325198839172
NDP,-0.006614019338151433,0.014168983330324113,-0.057601302886936726,0.0049338937993076695,-0.0020379813190396843,0.01888612435913885,-0.0023015800429546985,0.04433276863138999,-0.06128124133926655,0.07050954253235733,0.0006382945448835713,0.005708290594002327,-0.002208228547980879
TNFSF18,0.03203227660606169,,,-0.014292939119376203,-0.02183875869835583,,,0.08264388127402646,,0.07657037375690554,,0.014493734204907736,-0.03256831302240008
IL36G,,,,,,,0.03594386280373779,,,,,,
RTN4,0.044234809530246805,0.02502066802963903,-0.04427476707873354,-0.020425675639935744,-0.005422724300934047,0.002027760779661511,-0.02981061397631888,-0.043152794706537,0.010542471845480109,-0.036951030273643326,-0.09054443696176033,0.08263597349050412,-0.16137492326444006
HEBP1,0.00616935501072108,0.04637926251922516,0.04334220114404846,-0.030835602390259093,0.06349504853210804,-0.03987419124771417,0.041438659728968846,0.058788620000215334,0.06482568257099969,-0.015474079292657317,0.018690357546977114,-0.0187897981678926,0.0671741958951714
WNT7B,-0.03674642317934705,0.07090352641193548,0.0005517014942605946,0.044804589543213084,0.011186378004733452,-0.02725920609256483,-0.01467296784552413,-0.029394550276375983,-0.0309591434197369,,0.029988880671836794,-0.05064603746878876,0.061028551079667016
PTMA,0.01532698278532089,0.01618961794598383,0.006397510739230816,0.05849945928710593,-0.09963801365014019,0.12141264975722799,0.05076626420120928,-0.03367059919842825,0.03152555775405075,-0.03835851151511264,-0.06573934128098992,-0.009082354986078263,0.03932276539811458
FASLG,,,,,,,,,,,,-0.0004654185659487885,
CEACAM1,-0.01580393568753256,0.02952525569538035,-0.018762225391423196,,-0.018030058808035848,,,,0.08328672929653776,0.04350499012928065,0.020020997890199864,-0.028633405776852663,
PDAP1,0.04845405653029601,0.015515158589098492,0.024705726902907735,0.06485329305238267,0.04027388056372696,0.0872751659076635,0.00880741951158916,-0.02210633222301248,2.2381754176439735e-05,0.03847509709081081,0.028774331967808445,0.05702492342894375,0.005319165522581375
QDPR,0.024993880791000744,-0.0015628016884644505,-0.038826456572800545,-0.047033230421620366,0.029903041564487292,0.12762863235270017,0.02202192598519034,-0.006591874207933198,-0.07059256902539082,0.05223659459098512,0.05848403859223709,0.032699859602281715,-0.07084663054771792
POMC,0.02847938018650768,-0.024467731281694095,0.02326462222936447,0.0022262488559643455,-0.025339968625214173,0.15735717971490787,0.018886953973324776,0.14622722108443095,-0.08235740662072258,0.02873184233830419,0.05369350402658556,-0.009372141335594612,-0.056908201307479145
CCL18,-0.019721818518551773,,,,,0.058036309903851745,,,-0.004542246407687426,,-0.015614739610540393,,
CCL17,,-0.01522893233101075,,,-0.02723718397256752,,-0.012195420632357783,,,,-0.02925173076751168,-0.01865304051489009,
VEGFD,0.05045034709465572,-0.016966712343486373,0.06361293276250288,,0.01790847557318605,0.08346546675116848,-0.01307021002456802,,0.06523296821202401,0.07461821278485516,-0.02026356676983805,,
TNFSF13,-0.01488272184950288,-0.010504576688361371,,-0.013861169270498276,,,,,,,0.06053818513908057,0.02766507702887443,0.22050610214489103
