,UKF243,UKF248,UKF259,UKF266,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.018656941389491838,,-0.01763944162368014,
BMP1,0.04679334421237283,-0.018202951502661078,-0.06669675378798931,-0.0010745624960903505,0.013558770998318538,0.050055519103037786,0.09976371533301628,0.032188732719026135,-0.04348613020730315,0.04764635492147643,0.013458846837299265,0.0328000575386281,0.006648416819889097
NDP,-0.060930349467381864,-0.006446334227124735,-0.07470399748143217,0.017103458143477822,-0.022024171546043508,0.04863050812815804,-0.07297979509685683,-0.012014929806903886,0.0015826235824715326,0.001740006948450841,0.025996384148917515,-0.027921622353170666,-0.019706616627355657
TNFSF18,-0.02016012825740634,6.483357519509565e-05,,0.020346452349799444,-0.014339159142729778,,-0.043522674970237984,,,0.0064985891860446475,,-0.004960193505210521,-0.033635497447131825
RTN4,-0.007583301033241565,-0.04602759089519108,-0.04431379473778097,0.024559321117245358,-0.03594239184061773,0.0441961188921316,0.07119588660515969,-0.02570313507491404,0.027087315466220695,-0.05577850281083451,-0.029441050012799556,-0.02727455775629757,-0.028760140387050413
HEBP1,-0.0045640441292899596,0.05499139669005627,-0.02218578528474445,0.004777854687904763,0.01606079155597145,0.04733538925861982,0.06036330298422415,0.06668312456916409,-0.008246542896541257,-0.06621629842797203,-0.023521882128678007,0.01454048467771865,0.019629387855804932
WNT7B,0.003827257945179634,-0.03981127232138905,0.035128063637477565,-0.009268613290095352,-0.027517988641247673,0.041555823855159976,,0.0792066208493229,-0.017893854589818205,-0.0259683202997854,-0.019769033755041746,0.04959050007172604,-0.04974943529779559
PTMA,0.09621853689974834,0.030644879573545863,0.0680083591824715,-0.009443253206325764,0.0013379770566267458,0.099600078244177,-0.030806554930826676,-0.013482524950298348,0.044218208852599576,0.01992349936303945,-0.10176276670697686,-0.008832652617984322,-0.0156046236908536
FASLG,,,,,,,,,,,,0.06977951821418057,
CEACAM1,,0.0024484067215204625,-0.04884164670395675,,-0.022552081255738165,,-0.030603826927535167,0.013069597404572225,-0.01901833986752702,0.04900524434585368,0.07328031976000503,-0.03776036087194953,
PDAP1,-0.07370494309827,-0.023344500813587923,0.040867991556538315,0.008077537272732211,-0.04465350249330427,0.04737255663055135,0.025704808501516154,0.058151713715874825,-0.03563444835898982,0.09010369330821073,0.00819077805033203,0.024252625505362106,-0.04935284724672999
QDPR,0.004013611986247235,-0.04912529173106749,-0.020647788057159947,0.008228025983210095,0.0056978827553803,0.07082575294783149,-0.022389028873390098,-0.08079139065944807,0.005064242327472438,-0.0179008996804248,0.010760054779287133,-0.004205983447389569,0.01572502652939372
POMC,0.05898966736061614,0.037541929719245665,0.011817943491350319,0.019652416947088868,-0.016638026355228753,-0.02405024777090689,0.0883952665759068,-0.03233608264630471,0.034518311946849636,0.05364249237974191,-0.021464224529031458,-0.017878094939365284,-0.02512881511759043
CCL18,0.015891265465374893,0.07771181827597079,,,,0.01586558602467873,,0.00906481591150877,-0.007821508916080546,,0.013277749757273857,,
CCL17,,,-0.002448933770622299,,-0.017883723199517667,,,0.1422628686708195,-0.02745416755938572,-0.024598099503469282,,0.06373493834632776,
VEGFD,-0.030462108804447566,-0.021366730938821868,0.0015376210308142512,,-0.019053594442966653,0.009143423467757851,-0.01806806409071057,,-0.01901833986752702,-0.025943402789504494,,,
TNFSF13,,-0.016124020820808882,-0.02543407755129404,-0.018115191684248733,,,,0.16191759887436796,-0.0017241562646465567,0.1278141448133138,0.08695597466885696,-0.04008158439125603,0.005573410772540258
WNT5A,0.042714997497101725,-0.037349784120038004,-0.0292012908118192,-0.05370332379413899,0.0012718816835518767,0.04454594483747876,-0.10223983218975866,-0.012920531246516587,-0.01249705165706173,0.0034240548155205683,-0.06109058513077894,0.07194797601535301,0.047508240801915666
CXCL8,0.1208705702150763,-0.021478343576832343,0.17645592786456168,-0.02576768523480777,0.08573034771779213,-0.001951278535863049,0.05390803891392393,0.009546689389205587,-0.0397530053514326,0.023426743043581354,0.035522543192489466,0.06315220402954576,-0.05148973010706961
GRN,0.01492190396856387,-0.021637260254780688,-0.0721761839585871,-0.0404375076241218,-0.05006053443655115,-0.026171274136758713,0.10305197682641282,0.04533815918504609,-0.02991707743761486,0.0555478459965818,0.02497256137484273,0.0389991907173463,-0.04252356983285214
MIA,0.020297076351244617,-0.0425698998639235,0.036114686318292816,-0.009566174941406541,-0.018980902915999763,0.018139350461920608,0.09753108847177877,-0.08230976288719684,0.06214791893735107,0.09593734082059832,-0.06800224559400019,0.0902565594897331,-0.05936838135366581
COL4A4,-0.030665428788263126,-0.025661262109183264,-0.0077960574516421875,0.06673962387746761,-0.018671160318933667,,-0.032577716086824096,-0.0030271266584383063,-0.03045133581485331,-0.03789138389708387,0.0026042683727483264,0.10175294182127105,-0.02761827494445926
TAC1,-0.03840605885087436,-0.039743783469340564,-0.06675721933965423,0.05771844738016564,-0.05180382080482934,,,,,,0.11513813060907052,0.006619730542923744,0.024145202039713615
RARRES2,-0.04045654649761776,-0.011023193425733527,-0.03443513658213622,-0.026997325956611883,-0.023742976695034702,-0.057711317443544616,-0.011993143934972071,4.618022522421377e-05,-0.02186192571047515,-0.08824974664799673,-0.014166123143928244,0.05045370074182072,0.00925767223155291
FGF7,-0.06122728497099418,,0.031917246848315435,0.020838679778347337,-0.022600016795619352,0.012586421796255803,-0.03856340701441792,0.046548509418150974,0.0029082900829368458,0.11228297470867869,0.02216916555003184,0.0003953675121374043,0.07689901981113378
EFNA2,,,,,,,,,-0.018075659278257692,,,,
HBEGF,0.08225295939908943,0.019575819501566245,0.04092868813121651,0.01521758127766939,-0.00509921390963692,0.05942107947182336,-0.00460916620924986,-0.03376765920955758,0.039270070032107376,0.05173151573919002,-0.04692832430275876,-0.004305233403061873,0.0028548931829113643
CSF3,0.13643550589352216,,0.29593129412393654,,,0.008671388711376524,,0.011511585117945675,-0.004923244531829678,,-0.018810738955625912,0.0077546324319549935,-0.043017452328576684
PI3,0.04515260559629506,-0.022478694668460156,0.1364835366222983,,,,,-0.01777557587465803,-0.04511292433240934,-0.0209000973875904,-0.03312883951339145,0.022483320624414264,-0.026449397920463042
PCSK1N,-0.10573214219059561,0.032705613048191945,-0.1667471349032927,0.017439214043990802,0.016097293528727418,0.011855209857917489,-0.022859823527632404,-0.10650601186240535,0.029764667433227917,0.014763814426836285,-0.004442216176420862,-0.021124809018432604,-0.05782618413080244
NTS,,,,0.015183418177311078,0.03213917273074625,,,0.008230563150875076,-0.022021760731564408,,-0.04349303653012744,-0.015492658197420971,
