,UKF243,UKF248,UKF251,UKF255,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.041900148876758234,,,,,,,,,-0.016293831111490426,,0.21816826210858956,
BMP1,0.029161017704476367,0.11796771160664973,-0.04483477264955159,-0.02523972956699072,0.03677377169547981,0.25651200729431795,-0.016694682900488398,0.11094862728513025,0.022796392306958044,0.09955922629751461,-0.00048787255563120915,0.1611137752147136,0.06788994983418217,0.03768475763541021,0.008191263677221337,-0.0163290251648939,0.03184241460578273,0.07425602276541084
NDP,0.054729184609558036,0.012914404336702143,0.05223066191586275,-0.017357319546035446,0.0037433335548485293,0.001666702125129006,0.005406879891641821,0.023856597067247517,0.037070177382879994,0.07824478672801048,-0.032219580967639314,0.021752141869215973,0.02686243563904999,0.06296123507287608,0.013653748018444408,0.054149639204338525,0.07672841850282976,-0.009949080658005583
TNFSF18,-0.01492631435232577,0.032268008207306846,0.016082293642136113,,,0.1119875051618966,-0.011674764661574738,,,-0.024124924442879357,0.05107532512068854,,,,-0.04322907319412382,,0.05446719997087724,-0.007772022170993092
IL36G,,,,,,,,,-0.02121444983869763,,,,,,,,,
RTN4,0.05617890222550937,0.04332997746963532,0.0022501128279828744,-0.007510506240042665,0.02675918095930938,-0.22931018296415098,0.014482461835636227,-0.026441426358359155,0.011931592858922339,-0.0700725898704469,0.04282739431619141,-0.05224678340999092,-0.00806005145245174,-0.05630252546536754,-0.00970034973700631,-0.03349047555705372,-0.056437788969905194,-0.13767314979217657
HEBP1,0.011349265106938,0.050581359729160696,0.005147060526770921,-0.0048119933198550935,-0.02126333549082183,0.16205003977206495,0.03895826198730887,0.011890972661109443,-0.01951740943998276,-0.0340920875697144,-0.017570707148117502,-0.05523886968054128,0.07840264675733438,0.02514237465508816,0.03897736080418631,0.04685579976876625,0.07103838140406178,0.038102999704478106
WNT7B,0.02899461027318614,-0.012628682711386284,0.051278930528368884,0.07289526456930254,0.035160670338262145,-0.09392057600612544,-0.015915913824214704,,0.11219432117767898,0.03191428729349692,,0.04875475836390729,0.04184985043952626,0.07852596831803309,-0.027142046790235297,0.17356931710603662,0.028330841924992786,0.09789775807402733
PTMA,-0.08190363935365372,0.05476494347344459,-0.04302981055275694,0.00018539836483949586,-0.018409541721910287,-0.17126229818062436,-0.05187920719341606,0.033853092346976484,-0.038941669657434494,0.02260933122993758,0.012785258988638432,-0.17775040400503156,-0.0678514040613629,-0.07645318473028037,0.014584377404565902,-0.018547097550340414,-0.023465816249572467,0.056918978922223015
FASLG,,,,,,,,,,,,,,,,,-0.015216438237114304,
