,UKF243,UKF251,UKF255,UKF260,UKF269,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013609670067065644,,,,,-0.015610219779152789,-0.01595431421854351,
BMP1,-0.018179871080327377,0.03984043350657288,0.056935482305317156,0.09263643441460055,0.0024634954545773016,0.007250733715104332,-0.02409547643267069,0.054353856068460216,0.06129335820799866,0.002956327223713868,0.07961608492741354,0.03593476782870054
NDP,0.004799443147578321,0.0420432141074389,0.13395324522859917,-0.01046516540078017,-0.08101047133460239,-0.03446777977219685,-0.04313836040787568,0.01919752984816535,0.044840519717581136,0.07320424035720992,-0.05804434289107885,-0.005896894148656786
TNFSF18,-0.021274475262787845,-0.0249219608413804,,,-0.020209951476100916,-0.020868318775014032,,,,0.04627904865449292,0.035950548900943825,0.13300965911741772
RTN4,0.04290367914102472,-0.04541640634835431,0.043504870244448324,-0.054886406878525966,0.08187011715192548,-0.013118652636915478,0.1405033888227792,-0.032614902262495506,-0.09280494958259485,0.04797840596192215,-0.007729455453523293,-0.10506654642194957
HEBP1,-0.018933333257585384,0.017747342541605697,-9.144724480339906e-05,-0.03068824061589945,-0.03931630570013105,0.02731244551154509,-0.04562650757350898,0.05428115783574082,0.0066925686744350845,-0.027524668965839993,-0.021428089794697937,-0.03910043776765126
WNT7B,0.0816635823991794,0.06931792024379589,0.07474614947216798,0.04034378372041747,0.05308363563052944,-0.03180703541205851,,-0.012183650303097808,-0.017505826152620717,-0.017105376300102674,-0.021215014114566163,0.0350988276481476
PTMA,0.012208869119183912,0.008181167790135621,0.10685462760464001,0.013908142418218543,-0.08294849657955934,-0.013778285449479979,-0.15022328920238553,-0.013216392133880496,0.01354683161332126,0.009466661173006706,0.03868343784099896,0.02852373371305912
FASLG,,,,,,,,,,,-0.013837171278849843,
CEACAM1,,-0.01188054415595134,,-0.017889045421047686,-0.02659514506978155,-0.03282089388926114,,0.03790213270667519,-0.01956087469855794,-0.023131927192099912,0.06545727786825487,
PDAP1,-0.017950970425516424,-0.008369937754548994,0.06256141972953347,-0.017837102872597474,-0.01910613950797104,0.0031666051608543787,0.012789338212977414,-0.00542434009284564,0.015275234251120899,0.030708485029910807,-0.005822360085616817,0.007942846384230174
QDPR,0.07444617773202497,-0.05751242149343767,0.029934866625559085,-0.02829991595854131,-0.0360554815344364,-0.01483514358688786,-0.14978293779928156,-0.016473719093721948,-0.022883610835754756,-0.005496603488368391,-0.0054201438958014,-0.06137660610038072
POMC,-0.009856024872327028,-0.02110983151225029,,0.01920543001032688,-0.03428261642299357,0.04837836078088929,0.03411227501527947,0.08708150307327188,0.02469239786424354,-0.05002963472957263,0.05295902093758918,-0.07600351137003575
CCL18,0.05488990441570697,,,,,,-0.06075321852063456,-0.04085618822190873,0.08675233646971625,,,
CCL17,,,,,,-0.026026856449310673,,-0.0193802520374043,0.032750772352265596,-0.020581173054169257,-0.012541841578472383,
VEGFD,-0.032145895697587544,-0.017016495917357172,,0.0045767783824293765,0.09590852412727482,0.03386945020697043,-0.019823602243480593,,0.02156171837571998,0.025032736640592575,,
TNFSF13,,,,,,,,0.02347281914442671,0.027009467360651532,0.001282742500708714,-0.02043588402713882,-0.03453645222767429
WNT5A,0.004178531381596029,0.06883543858270635,-0.004228611764000923,0.03780079944926461,-0.023268063528148333,0.03303064001067281,0.001661924116407286,0.023774099391977683,0.014283969176032767,-0.01212114092449851,0.0495065144158608,0.0526588575897777
CXCL8,-0.03905549897594783,0.06496103030269973,-0.023269139394188117,-0.05500279428456436,-0.00032838113510647157,-0.02692943403563448,-0.04517136108967298,-0.06188028746043202,0.028672212863762786,0.043606494467447,0.09067588121541484,0.08372968949455646
GRN,-0.06267428558083867,-0.056274833401565506,0.020846316447208323,0.007115533332814149,-0.09950368506354296,0.05589483423395293,-0.14204431437229956,0.05702072313741047,0.005061348471832033,-0.014959540117299584,-0.007748026593484511,-0.04705095078501316
MIA,0.1389512253539912,0.13479684924470692,0.07556501996947389,-0.03559055863559778,-0.038877278628576754,0.03212498450913127,,0.09477705493999546,0.0798762592552295,-0.019638926037281564,-0.07438249651380067,0.05260458715583133
COL4A4,-0.03236045415231987,0.025970238481761627,-0.04586292369169811,0.04648024680446828,-0.013411319671057863,0.05560551265045447,,0.027752372710189963,-0.004362108831960964,0.03407198382872712,0.04546545848865955,-0.03859971479967539
TAC1,0.12703520662697693,0.0013672115811127585,-0.01445995743430619,0.02003900194631779,0.10902352207601486,-0.03176573758076584,0.16833085626143027,,,,-0.01648752606303147,-0.056982093094930304
RARRES2,-0.060257519800404294,0.07184527480841227,0.054511867428416634,-0.02158548315830458,-0.07127522738058968,-0.001639048536310218,0.04501967125949994,-0.004084239022978749,0.03631098212725398,-0.009056170950948367,0.002482668812930432,0.04236888854499076
FGF7,-0.020329116344531255,-0.019206262127809796,0.034740577550708106,-0.032770679847470306,0.04816785802805455,-0.024003147682355543,-0.0336329026786179,0.0549874150097424,0.0035363624827481305,-0.029302531019123966,0.04423661081285126,0.02922998721137321
EFNA2,,,,,,,,,-0.018591302327052212,,,
HBEGF,-0.04562802645294299,-0.0406202761963159,0.008847289458489744,-0.010729690252126856,-0.007796664816483085,0.07669289136105278,-0.04193724170773364,0.015419256005877093,0.06065597565933314,0.05751763253685397,0.0658910229494876,0.05908676614320412
CSF3,-0.03236042853245165,,-0.03907681146478733,-0.05702342232792947,-0.01418891807613014,,,-0.014751275408812468,0.05774247905831146,,-0.013204624374704956,-0.015795451424783634
PI3,-0.03833575321561243,,-0.05345726261135774,-0.05250261640302908,-0.015976909027170555,,,-0.04927885147655824,0.019658765848714167,-0.017487063223007183,0.04385672432455278,0.033860684790866506
PCSK1N,0.01512822746310762,0.027513475537127727,0.022441029428943923,0.011155535974983982,0.07539225782647392,0.06795514856652417,0.17470150792416078,-0.029667473672953068,-0.029954369120794043,0.027257470372995894,-0.045445482350130774,-0.0973744299124697
NTS,,,,0.011633328124606577,-0.0174398871198843,0.03112065328370173,-0.01784760989733427,-0.045212110593377104,-0.02264997393633012,,-0.01955424810028186,
SFRP1,0.002313290099265979,-0.026536652032141724,,-0.019525508693313806,0.021678714457946634,-0.02667546366883902,-0.03844391520747961,-0.012474879157988035,0.01017215895191017,-0.043138886590516214,0.024390125332248738,0.05182749800096834
CXCL13,,0.06419207293932007,0.030478301397338075,-0.019350028467210567,,,,-0.0435320195844174,-0.010107133943191897,,,-0.017788557071319332
