,UKF255,UKF259,UKF269,UKF275,ZH1007nec,ZH8811Abulk,ZH916T1
IGFL3,,,-0.014337208851859289,,,,-0.01042090848311337
BMP1,0.028902579065521655,-0.019763869087099487,0.027259898070242154,0.03752501041919183,-0.089532272636312,0.05472219306959004,0.08670902826351443
NDP,0.06489369682636212,-0.03256447835601627,-0.009364594221283336,-0.007235143639195345,0.028991892495049694,0.05401153417905944,0.01278129827937983
TNFSF18,,,-0.02129032473020664,-0.01787456525458399,,,0.020331047116571528
RTN4,-0.04470091946411386,0.001814440447002522,-0.011850305476111041,-0.0056864093273143596,-0.013376325054999543,0.00948519185800375,0.001657146526112864
HEBP1,-0.022502740109059328,0.06465310821955218,0.024390301958292084,-0.03226478120411964,0.0011557062334655835,0.0048331552070225775,0.04133627545326563
WNT7B,0.0005914023161826702,0.027160812568163314,-0.01605426492649016,-0.022451523851189963,0.14462062298923306,0.0648787271563067,-0.011542845674379543
PTMA,-0.04608552208263724,0.018183376659274407,-0.053525971102016436,-0.030349062273050866,-0.04416361383326747,-0.029422155299334875,0.014711894787024695
FASLG,,,,,,,0.0135753989052676
CEACAM1,,0.052621115136666244,-0.028016854738725148,-0.00852788871882702,-0.056914044219304516,-0.024272240129959294,-0.018584185031592208
PDAP1,-0.00700060940538652,-0.00885875893647969,0.017166567195768662,0.05124330490216029,-0.010314368020270089,0.0542634083449528,0.04136652715439296
QDPR,-0.020518801135314877,-0.0380026856084429,-0.04695202907829807,-0.03094484564663811,-0.10729821228911572,-0.017708448148062765,0.02597923265177796
POMC,,-0.0287063289845,-0.03611527900548254,-0.0069947789533643355,-0.0035726153765415223,0.025794003648689185,0.06712216310767803
CCL18,,,,,-0.04880081745914694,0.030297245724448488,
CCL17,,-0.017867073025432317,,-0.022293062943427314,,-0.01721997956276077,-0.02075644487516628
VEGFD,,0.09961892372674047,0.025398410859548613,-0.02375137299301571,-0.05497957588976931,,
TNFSF13,,-0.01232430709604117,,,,0.044363288085007176,-0.009444758946827413
WNT5A,0.05721720073205624,0.07219197364585542,-0.007829950136535662,0.03652690076533233,-0.13538555492360857,-0.021351583643344614,0.06424392661892209
CXCL8,0.003337318188624752,0.058615707720606966,-0.02054986792642339,0.013006459115860148,0.1737681341343401,0.10363033314183887,0.009875125195927316
GRN,0.0034380290476386677,0.018177858020037282,0.016327715341279296,-0.0462049804925512,-0.10961848135255717,0.0643073613452684,0.0034720621790587003
MIA,0.07675102271910626,0.02913696461653743,0.05746442155414193,0.048852021084449186,-0.06891139805114203,-0.04331016698451833,0.0566841143874754
COL4A4,-7.708676618981685e-06,-0.014864029212628877,-0.014128255141784106,-0.011057036778217455,,-0.00675155495024585,-0.005756959142981278
TAC1,-0.03150132855540955,0.009626544726491892,0.029872334621079178,-0.0029856690536616596,,,-0.027286457392556487
RARRES2,-0.03681523754872256,0.025965595216720476,0.052697821718942175,-0.06729031183280032,0.030374959892251457,0.1145652191572435,-0.043232341958335564
FGF7,0.01745386210857172,-0.02219933794137342,0.12132319775149648,0.06796755369100847,-0.037807046913347284,0.01689988876903766,0.00089480548983713
HBEGF,0.029627786452313943,0.0847622763131409,0.0004690231213209891,0.05254078606735608,-0.12851877374465084,0.07271297300770517,0.01476303858078803
CSF3,-0.02310722911308018,-0.02129599316194962,-0.014947422004864248,,,0.07986911294450445,-0.02185333439399288
PI3,-0.01604400668328903,0.09606221545655666,0.006029012941645399,,0.06826941944305263,0.14253881669527824,-0.047480035579527874
PCSK1N,-0.026619912436255857,-0.03700710375061499,0.035479343465254866,0.01953348118887028,-0.17142800004888065,-0.06012160759061805,0.010607064307415513
NTS,,,-0.01837217968977131,-0.026588579185123272,,-0.01920185070476339,0.0870022302782921
SFRP1,,-0.015589711841213657,0.09368951914118732,-0.021377922011022468,-0.017469545103864174,0.01914036804448158,-0.03160980185231503
CXCL13,0.013472233415572072,,,,,-0.027168354630056964,
MICA,-0.023959364523863637,0.020552434630707328,0.08568184299599518,0.001027838991025724,-0.021883038163268018,0.0414924752688943,0.08749800053826527
TG,,0.050599595139048784,-0.01804020104428737,-0.022459417268124008,-0.01152852427901552,0.01698571533754373,0.09861919003055417
ADA,0.03978784929026111,0.003880148823923789,0.04977623200920981,0.032047574808697826,-0.10321010026677889,0.04000202865605525,0.06625443620732711
LAMC3,-0.04313301308309186,-0.042604973744222584,0.045018051195666424,0.01894098870269189,-0.003304565770461162,-0.03430384014983863,0.04275007214475867
CCL7,,0.08188606386709248,,,,0.07432822716199852,-0.022900176098703682
NGF,,-0.02786981837671136,,,,0.0304345896316596,-0.005417580431563823
TNFSF15,,-0.013544716881145655,,,,-0.025160662568806433,0.03440040679981484
HMGB1,-0.047454331092861915,-0.050797274923310196,0.02457225244685788,-0.05526396543543937,-0.111503800227622,0.013142960359912621,-0.04914192446028646
ITGB3BP,-0.05892001753643027,0.07553502949308841,0.03237331967419259,0.044620706139583015,-0.06841083136390143,0.01014925451434684,0.03870445034851741
AANAT,,-0.012324308411391005,-0.013482979154334501,-0.006202009094728715,-0.015155818470708059,-0.022641582522877915,0.043942088269129424
