,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,0.03427507464207503,
BMP1,-0.0002682259502099461,-0.22084580826634015,-0.11910655570764285,-0.1222742459826236,-0.023785456176643467,0.04473501981901232,0.03779389140947928,0.039744882841205274,0.03341608392701177,-0.23089564474164703,-0.02046049982549668,0.023374745710445396,0.15234352243478827,0.18031019861680544,0.021658379910792336,-0.12004085678104681,0.09836688746079456
NDP,-0.01275177162472519,-0.12323179364935077,-0.028954440398069575,-0.20070896047266987,-0.10230234814376607,0.0336540399816804,-0.06387611263582087,-0.01476889873197173,0.023557773945529572,-0.33862157384004826,0.1683513587958849,-0.02019275220549955,0.05124667146302858,0.013664142354462465,-0.08955691525189935,-0.03496744722788698,-0.034725824511308526
TNFSF18,-0.042627711829290774,-0.06128259393597429,,,,0.03448834133415593,-0.006732431399885639,,,,0.03373572548916991,,,,,0.0010000871694847992,0.028108381304808302
IL36G,,,,,,,,,0.01148106032455295,,,,,,,,
RTN4,-0.04027146129509542,-0.007873192638040318,0.056562301625477075,-0.04371127033158589,-0.035342192304748395,-0.057186138427866615,-0.07155157697787803,-0.04704701279966089,-0.06857183902068326,0.26788053968505937,-0.0370507179771797,-0.09939397027065013,-0.001979214851263747,-0.06326790576526696,-0.06555664481379336,0.041404044445698104,-0.09013790944714825
HEBP1,0.06499715913626462,0.0013772977792243636,0.034002775685842763,0.02801264044134585,-0.05210019960341239,0.0629639956462639,-0.010252541656399322,-0.0030693973087967228,0.01701538710926437,0.007157210413632309,-0.11751575478909868,-0.016470106208908857,0.0004227363144458339,0.1009319442736213,-0.05897918472813647,0.030877387836710797,0.04646883920716205
WNT7B,-0.047890212320456954,-0.004139478029931282,-0.040868424668422325,0.0973603426458251,0.017026792861231706,-0.023264528384620876,0.07551001860018963,0.015148643277576267,0.07967747171273555,0.21807913829404135,,-0.016557632252229303,0.06485392984155905,0.03543426364387243,-0.014997372474697637,0.07171217516360515,0.09097149016346519
PTMA,-0.01846189362795572,-0.2913535320178781,-0.14785098158567753,0.16377402739139432,0.03312696189596429,0.1495084215826218,-0.026085904176051004,0.008830016704805292,0.14160003895196402,-0.1547089701559364,-0.04412074908936287,-0.061896225718857834,-0.16208872933185706,0.043773778757643704,0.06147154363456585,-0.11040484949938195,0.01338583944237507
FASLG,,,,,,,,,,,,,,,,-0.0005879732252247372,
CEACAM1,,0.01092904306674413,,0.0013667087139989282,0.026184863132649165,,-0.015129113447262959,,,-0.06432438446012004,-0.06859068377993482,-0.02616291753029452,-0.03247329806379757,0.030192681293882234,0.020742714099365553,0.016882620365726138,
PDAP1,0.009193138873048859,-0.084572799045639,0.026197532746840856,0.06447838390154886,0.09082008894212831,0.022545274299220836,-0.030813251702972406,0.012811217041000494,0.01667650521390189,-0.20722450962304204,0.003902157331043995,0.10567298532151159,0.045811341023421055,0.01362857201712406,0.03665174668754883,0.10728083407450587,0.08599808420102481
QDPR,-0.07594637377037358,-0.07707751810897565,-0.057399067597735116,-0.06751019644320877,-0.18009932059567316,-0.04530015201563689,-0.1659735921663947,-0.014685774987676476,-0.11045330781884143,-0.23064165170613932,0.0072878536515314125,-0.07280759164816221,-0.06287195360841047,-0.09909299500728816,-0.03287089731072238,0.055591853578784295,-0.18863504165669964
POMC,-0.030974122529140224,-0.03648668217867414,,0.04644935463244198,-0.059173171704315325,7.262863577246684e-06,-0.023828454775700884,0.07128585345839823,0.02885622321873031,0.04582295187264752,0.0674451039191945,0.04800617186245117,-0.04388465140403368,0.01933698181651548,-0.03439607002240363,0.03641100514442951,0.04488696716430358
CCL18,0.0594843718572259,0.1895930001277639,,,,,,0.022926152939727617,,-0.12383824017465027,,-0.030245763005737003,0.05696861206014013,0.06341089772234731,0.14815256980552113,,
CCL17,,,,-0.045801273476554716,,,-0.02561250237152907,,-0.028665289837218385,,,,0.11842554603349999,0.12986717409817972,,0.029510242907999525,
