,UKF259,UKF260,UKF275,ZH1019T1,ZH1019inf,ZH881T1,ZH916bulk,ZH916inf
BMP1,-0.036134081492231435,-0.00019626974022787216,-0.005374413946260104,-0.07369900391240948,-0.07472204685484336,-0.005618140810502327,-0.0280254319122958,-0.002180117211129355
NDP,-0.05125745021785869,-0.004896792167831178,0.016689777363319894,-0.03951704877727208,0.00563560666533167,0.011089624216212469,-0.015160733224437338,-0.035653239466394315
TNFSF18,,,-0.010647508552653994,-0.04155875764038226,,,0.017642162394496137,
RTN4,-0.021590944785060847,-0.03712032944460088,-0.05684475143199,0.0038205282855920814,-0.015076219589114884,-0.03307787621947449,0.03598829227772451,-0.033397975336953586
HEBP1,0.002484059135693368,0.0239178332709248,-0.02955927262917039,0.0595469169849092,0.0394414962787079,0.03514859542042007,-0.006634587062013875,0.013923408766073299
WNT7B,-0.026412441843432614,-0.07863412956834362,-0.0012561393633054249,,-0.030936027544056333,-0.0013961517755773705,0.07380826710057178,0.1261470620209981
PTMA,0.01421308478928592,0.004187078652924905,0.007365252455507082,0.03376760957924499,0.010053532776358577,0.02655627734930925,0.02298387574369254,-0.055646121722795844
CEACAM1,0.059770682982181494,0.042148395060637764,0.13347940593135443,0.0044260043699823615,-0.027743925014635757,0.0407122225520479,,
PDAP1,0.03434486203898453,0.03272962696466952,-0.01765190431019885,-0.004028842449597776,0.05465763581826018,-0.0010069893295837466,0.026541166129809453,-0.10737044813424435
QDPR,-0.0025657184289558034,-0.12153833170899621,-0.03272986423780229,-0.012319279708621152,0.029070578201440146,0.05014559731034945,0.0768438526644344,-0.0674126445847961
POMC,-0.02840171813981003,0.005930287957818098,-0.01235452693935689,0.0908188655412154,0.1230938666216514,-0.02211311218353496,-0.05819558484978331,-0.012191004942491259
CCL18,,,,,-0.019670898989261096,-0.030080091280123858,,
CCL17,-0.01767748054186004,,0.0287652759260072,,,,,
VEGFD,-0.019694665442866962,-0.021685645957439142,-0.014148201283695814,0.13710558614441246,,,,
TNFSF13,-0.012193530444078088,,,,,-0.015179423569579693,-0.026444423419343416,
WNT5A,-0.030549960374134363,-0.010666832878606532,-0.024873173564703917,0.1153941882829448,0.09142731631247548,-0.021932651981747504,0.059912146310851885,-0.023607374819758654
CXCL8,0.026725777305280595,0.05770122313534123,-0.03316215942545936,-0.011907909615147521,-0.03463371472053144,-0.04033127696122924,0.03297358946161037,-0.040487233971848606
GRN,0.012988435084342768,-0.003153076278518897,-0.023413764199216272,0.01951649572102962,-0.023692198393120287,0.08986060782117124,0.037618420339468925,-0.037224024980610775
MIA,0.010170990804782043,0.03148001285598884,-0.026101064695115323,0.018272161318226055,-0.003483640268832049,-0.02693674649719628,-0.04844218041182066,
COL4A4,-0.002851801352750791,0.010984169972721062,0.006177468736369046,-0.031107679117961667,-0.024870162559168185,-0.013800604798216957,-0.02955564732878326,
TAC1,-0.058324806083058595,-0.042434969463128476,-0.044039359094982786,,,-0.007142206647684727,0.06492029123655303,-0.028268397219878436
RARRES2,-0.03333901993572884,0.11830940486226009,0.0019318092508942876,-0.01597942947033139,0.048639126762799335,0.022648976453848304,0.030546697787299997,0.09346616193340535
FGF7,0.026916844158422427,-0.04152170521603654,-0.014204506374680136,0.02698639393951,0.013148483599281124,0.046717214762143036,0.009752878433551956,-0.029837798002153044
HBEGF,-0.014892942570631335,0.0179772579926839,0.07648467416234772,0.054873643034863404,-0.03598874156997744,0.0015003973977096288,0.03800616018283672,-0.011498023080612827
CSF3,0.07500304994373025,0.0035698142437995306,,,,-0.019379408756106446,0.020949226936701697,
PI3,-0.001702427769566291,-0.005235093154860174,,,,0.003360464866331757,0.048816646128620494,
PCSK1N,0.03903224286998576,0.028452980596041417,0.013418744532172648,0.008868600372686749,0.022913657745134517,-0.028341699774996662,-0.006178268981458309,-0.09945680387554753
NTS,,0.02932163950574561,0.0018749186765879007,,,-0.008957409078328319,,
SFRP1,-0.015424285070866623,-0.024739566586059646,-0.009253635635718821,-0.059346988652418046,0.08724965080104519,0.024179083624534276,0.07180252531302861,-0.0651407868532388
CXCL13,,-0.024517226425482708,,,,-0.00709598029660632,-0.004847796907078578,
MICA,0.02287940141926848,0.0183587831105967,-0.002498192738366355,0.06692789214848881,-0.07344157331339579,-0.044514802562459425,0.03164632125083028,0.03011757816107879
TG,-0.016645247326402657,-0.052471671344983754,-0.013378609999403915,-0.029836646477109943,-0.03202882256853111,-0.01594955120152648,-0.027789850051587073,
ADA,-0.046607484318506844,-0.018213676182595055,0.0830003491106875,-0.052993229168022966,-0.013162313393071575,-0.04507062856682811,-0.015884457815973297,-0.06142485013164285
LAMC3,0.0295150476478881,-0.05810052324150447,-0.024014139524138802,0.002604465361928995,-0.039587138667516786,0.015230157717506384,-0.01384345051603384,-0.04093783695905543
CCL7,-0.012034487222389664,-0.0325053156956002,,,,,0.0524239305428846,
NGF,-0.01694760678562362,-0.03469604130867457,,-0.035808092073858266,-0.02923219782337811,-0.009617479558363555,0.06838613884847444,
TNFSF15,-0.013400990121361079,-0.02406682543674983,,-0.0447036636382061,-0.02952204826345096,-0.012034280134144542,0.024950015001718593,
HMGB1,-0.0441374481116803,-0.02766330631185267,-0.04597700980784675,0.04745199054264264,-0.030508149064618777,0.016952660009941115,-0.04687379972838271,-0.032891158245804124
ITGB3BP,-0.0408459303484834,0.01843283389038289,-0.00667413426790641,0.02960433627592567,0.008469640922141886,0.07093651256342536,-0.02796415277464534,0.00791115503249305
AANAT,0.15236972680023012,0.04467083840015088,0.010766723292677492,,0.11773215431124126,,0.034350194838635086,
RELN,-0.021165240429162093,-0.018409917640843366,-0.026489395901519892,0.027265542816242702,,-0.014536106219093087,-0.01570803311986573,0.007323080793005267
IL15,0.01837663857541591,-0.014891034679490864,0.0029479069735481654,-0.0009042045816409682,-0.034633805238818725,-0.029355313048465385,-0.016661928506498357,
BSG,-0.0014781320145969927,0.009875323704666645,0.02365770310918757,-0.05547215989653507,-0.03350777407103306,-0.015830140515804683,-0.05673464675157805,0.03711148655597194
ADAMTS3,-0.05339747873288016,-0.06826472050814607,0.0044454665216330305,,0.0052328762789417066,0.03376465097719003,-0.022647251043209835,
CD34,-0.014362944006247581,-0.03164297465388315,-0.034411036048937756,0.014607102991814079,-0.00978010622442868,0.04887740887347948,0.025958854194635176,0.10144386693095327
PLAT,-0.00416041978195882,-0.01887957905413103,0.04179726617910307,0.008837382738768365,-0.06874470965554526,-0.10790627308909648,-0.07843733071832977,-0.03873961331319551
NTF3,,,,,,0.05147844260496018,,
LTA,-0.015424284349294324,,0.15563489432658734,,,,,
CKLF,0.01920947952114571,0.0308587976669957,-0.007814681964465846,-0.005879048636292941,0.02929835288733127,-0.007333702546716625,-0.023584711398866764,-0.04741376062658606
CD24,-0.034824240854421255,-0.06657533244565168,-0.011893314770355795,-0.013503723615311637,0.032317896609840496,0.0911586897840205,0.07446955018910983,0.1640794626741765
HSP90AA1,-0.008108106312523223,-0.06172934424012879,-0.05472940990676263,0.03385055901170274,-0.030591069988106734,-0.005843755471545908,0.08346785831072291,0.08075748311296899
BMP4,0.006767725839296574,0.06384632195972734,0.048588340304066724,0.02816597813157617,0.010197447868992484,-0.004724863611682142,0.030320263639268975,
SCGB3A1,,-0.025824930937593558,,-0.04262707294156709,,-0.008922449539684428,0.08714865236124718,
IGFBP4,-0.020370786916527342,-0.04760595748690608,-0.009924920645541537,-0.07503577881427391,-0.06961598443699052,-0.012446109291141542,-0.0030107732981375676,-0.06784013383189784
RSPO4,-0.010748970183162301,-0.029806168277840335,-0.013477028329048252,0.04077783389925872,,-0.016830646003687517,0.06164801859101008,
LEFTY2,-0.00758745031963677,0.12350471083953568,-0.014106662874684057,,-0.02618201181508052,0.01017966431718075,-0.007648043902358399,
PF4,-0.010499853007999351,,,,,,-0.018751060946555858,
ANGPTL2,-0.009187339110996411,-0.013791237486492042,0.04468539384847247,0.03268256706267486,-0.05128225206837909,-0.06370474871949787,-0.048583640620757394,-0.04289263185288229
LRIG2,0.0040480030417896894,-0.010239397635934915,0.0294336681776256,-0.0016208881379238863,0.06610876311006221,-0.026014752309024062,0.017518176925155938,0.10070767827603411
ICOSLG,-0.017524010309466848,0.03329007231497319,-0.007819275102604875,-0.09210238458624216,0.02265412783835305,-0.026253207729227797,0.00818378911858406,0.03566954866778764
WIF1,,-0.05370509441030477,-0.010399903548911507,,,0.03178707666797491,-0.03440779620785816,0.18571962726213218
NPPC,-0.01628786134662546,-0.036237483049983525,-0.02028690739232821,-0.06792342464516464,-0.024532325985665855,-0.01641729314608968,0.02402025211930242,0.07619470561681138
LYZ,0.03777417081486817,0.0483880693347733,0.008236826359134718,-0.12262454666170271,-0.06172576428929635,0.03679762068303912,0.02872843421770017,-0.06920480265346365
EREG,,-0.032950357037097276,,,,-0.02096285336347065,-0.021588025828585485,
SPTAN1,0.019739171813866037,-0.08497137089730465,0.011120821861035675,0.07011778632755929,-0.05675960964023272,-0.000480481315549171,0.08112258406010532,0.07061200477630528
PTH2,,,,,,-0.012604356924519746,,
LIPC,-0.018869017856630636,-0.02885727670759231,-0.025196676930744902,-0.06182821341135789,-0.05040594579891304,,0.03998267275961304,
COL8A1,0.0036066621119107585,-0.019851656723416766,0.041678123331693746,0.06954402003769536,-0.03342420827555633,0.07328709032899729,0.027835632872469464,
GSTM2,-0.030764357571953605,0.06742019568578196,-0.01347351777674532,-0.030456671277712358,-0.0034017297474184687,-0.0029004548607898975,-0.018656935533111433,
SPX,0.03008264444726585,-0.03046692789424373,-0.0341574378571775,,0.04476929731551718,-0.0025381871327702058,0.02612798908201923,0.02455791265808761
MFGE8,-0.07394849810804649,-0.10649090823412359,0.02099698639621176,-0.007672100197118504,-0.07095753990804432,0.0641642841439424,0.020361927721181824,0.01907346489724595
TGFA,0.014202160000508461,0.008732135350605751,0.034528363353217253,-0.058223699318720366,-0.012784592053822756,0.009033375193569565,0.09429423628795262,0.019744151599288405
SLIT2,-0.01794222663692554,-0.026910212647480874,-0.016820323210577026,0.1728834253897914,-0.02774389111641788,0.027349415863395458,0.012411206380557822,-0.009548203412206423
PLTP,0.051714224255997115,0.013175735737764352,-0.03744807287258277,0.11356223575539223,0.05932140267376435,0.05206401700697867,0.04814083935063192,-0.0023797850046338395
APOD,-0.021743619001791864,-0.08236773244318417,-0.009033978891005786,-0.03273611683033649,0.0076145187354498605,-0.036530422839025516,-0.0075727509890137,-0.02422377325301327
