,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0346950944275643,,,,,-0.018872400086073726,,,
BMP1,-0.06841675198785943,0.0164956852080261,-0.04320426442936388,0.00424802934783109,-0.06267129789847299,-0.06592676386510202,-0.24726470366639658,-0.06800734251471145,-0.04936931174743237,-0.11630476838838728,-0.18947120593742672,-0.0029142038724605753,0.06781757563957677,-0.03527950756325282,0.004507197103343546
NDP,-0.04435246766673202,-0.015089977834782109,0.07041934268179999,-0.0012920244412710537,0.18496797517029165,-0.006101799254167053,-0.04475192624956124,0.043764240767359464,0.004630308579669812,-0.11774792274341897,-0.0016713373805640897,-0.027971239895738152,0.00604306340606954,-0.09614890869290209,0.018768843757439826
TNFSF18,-0.03217504635142055,-0.02450719547118353,0.01656694630723964,,,-0.04537337099316061,-0.051521173649655964,-0.028349645095107612,,,,-0.019462773091343977,0.12753810550075823,-0.06538311138120402,
IL36G,,,,,,,,,,,0.009494079789581751,,,,
RTN4,0.23723087763336148,0.011422580281800048,0.031488050849631334,0.00022868905860244627,0.22205411495865554,0.1318750429255391,0.27683796239174413,0.14759584770851272,0.1308653044944909,0.3026613528747399,0.2671008091140708,0.010612175337516797,-0.04274076601842903,0.20178881559325407,0.04915669706692669
HEBP1,-0.10510133716264532,-0.03072085268469973,0.021589670911072997,-0.051734620732079996,-0.012618621544917387,-0.07204597409640418,-0.11462914806748023,0.0024226548395388106,0.0035857538729894773,-0.14862700876895832,-0.006720904414172422,-0.011866872090030468,-0.07613914377016302,-0.04181719654689207,0.03236458911039557
WNT7B,0.2604638963354705,-0.010718883086462865,-0.015480750617120726,0.029588428240672853,0.05284897546841195,-0.016735656529859932,0.20535474733033066,0.03666733525465204,0.15245913437717712,,0.055273740235548346,0.01591495042671634,0.07203525203911586,0.057059693588494,0.07450819636922605
PTMA,0.03198376691550415,-0.02842556674596177,-0.09270024685751914,-0.042965246434760594,-0.16796428417974218,-0.1305540848587984,0.09517858748588763,0.10426478957051243,-0.06528667348869943,-0.40774771484834343,-0.2388313434850887,-0.003692889054002184,-0.06979803023831964,-0.060376184605067794,-0.0617968939813633
CEACAM1,,0.03910590611774009,-0.011880544994188062,0.10662885976177683,0.001926518566275484,,-0.06779893009631116,0.007706769420740338,,,,0.04901780466838309,,,
