,UKF243,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,-0.006556946383805512,
BMP1,0.06919115660686144,0.0168969920867008,0.08841125818032593,0.006213914506020657
NDP,-0.007414652583154242,0.02459816363137476,-0.009653809507665733,0.006748306681547469
TNFSF18,-0.019285635566145987,-0.05237696330153936,-0.0011322365589886427,0.06661351830616682
RTN4,0.07706215496686716,-0.08605509619530033,-0.0010787633030531275,-0.07576834274400657
HEBP1,0.05359693303400786,0.06560665352486789,-0.01603535135698095,0.012862776843569656
WNT7B,0.0071399103089250324,,0.01986278407311489,0.11802267981564996
PTMA,-0.14985761387328705,0.03307739257426228,0.022816881509563403,0.08354700163132717
FASLG,,,-0.013458559970155508,
CEACAM1,,-0.03682989432442522,0.00321653197882591,
PDAP1,0.013598708097984316,0.07900474792726848,0.015526571143065515,0.038887710547145404
QDPR,0.07286467590594647,0.025974565475167046,0.03364405944970416,-0.07555759799154128
POMC,-0.036414498464699276,0.026193801156079596,0.018020274706574455,0.014770502558823357
CCL18,0.14877857328065566,,,
CCL17,,,-0.02600360439778068,
VEGFD,0.04900582052003094,-0.012245243474153993,,
TNFSF13,,,0.02989956588541299,-0.010143185210403945
WNT5A,0.026738311309761124,-0.031521184294370584,0.07305212269016116,0.05317100758596003
CXCL8,0.00918975023082047,0.010590530325174884,0.0005654419615621785,0.0302353079253429
GRN,0.0920506882200267,-0.02300267290833456,0.03661884633109078,-0.03218826691138714
MIA,-0.012595597549855812,-0.04071443639480349,0.027304484998762348,0.02321099541603163
COL4A4,0.08551657611097098,-0.03920535309684859,-0.04282883796088274,0.04073640757004964
TAC1,-0.0367401062668244,,-0.0216750390882872,-0.04098725664866964
RARRES2,0.014192537996119458,-0.042018246083549274,-0.01081203075642122,0.10819567322387985
FGF7,0.06844954672255842,-0.010063046760648205,-0.02012275970345765,0.017404756647080653
HBEGF,0.10511460752886895,0.08482191186333843,0.025019502690863386,0.04743520123550715
CSF3,-0.029335220903558626,,0.05001793135610812,0.037480572961061026
PI3,0.15104776062191197,,0.03757713775061473,-0.002300375334906077
PCSK1N,-0.03061505925685402,-0.03003287266678022,-0.0032293653720505927,-0.13612595128625024
NTS,,,-0.01851862497002229,
SFRP1,0.09128699884913882,-0.07479566818629232,0.002930134955095147,0.04424345140334566
CXCL13,,,,0.047101249807889344
MICA,0.03429061158208704,0.01565904559654737,0.0514372609726064,-0.04799762265456368
TG,-0.023384853307015337,0.08481640515963115,0.030838872390882233,0.07741637999213596
ADA,0.033847437713306665,0.058861416316724806,0.04907176729967716,-0.023941859413585592
LAMC3,-0.038206920396631455,-0.0012450640936008076,0.02772035916925415,0.004830567158836702
CCL7,,,0.030881319343529123,0.0677708403527742
NGF,-0.016900854660152294,-0.08626219015710763,0.02760935757645081,0.03436271738319836
TNFSF15,-0.020908466498839665,-0.04015509492974808,-0.035257204135467936,0.020923906150734566
HMGB1,-0.042121855462880255,-0.06772827299503548,-0.01732787788537386,0.02332641438797361
ITGB3BP,0.022961036997181827,0.10980720061934049,-0.018830562611896026,0.08596179743660493
AANAT,-0.010938306259303358,,0.04110023235462515,-0.036050590243900026
RELN,0.05068542137378331,-0.02265708837759519,,-0.03639656128872302
IL15,-0.02972102421839703,0.009724255221081323,-0.044380673658671384,0.08281163890522883
BSG,-0.0622032505792613,-0.03940011041092306,0.03438665265746423,-0.02314559294735073
ADAMTS3,0.0447113048785408,,0.06333738961588521,0.02176901760783686
CD34,0.08012241171631586,-0.04806888239543555,0.039975369463184196,0.07207831613725711
PLAT,0.044683375056763515,0.044174295028343885,0.04945417652095214,-0.010788569383976314
LTA,,,0.023028180802951267,
CKLF,0.1105705171649651,-0.026357124304586012,0.045341517902406425,0.020939704678062873
CD24,0.008497027663106588,0.04603070936104949,0.010972670745149472,-0.019659648569125054
HSP90AA1,-0.1753094432306505,0.009002910888198986,-0.003109181939256428,-0.046610608277289536
BMP4,-0.0365775836516089,0.028590480664430467,0.05391700510405334,0.12149109724819722
SCGB3A1,,-0.013509744894291407,0.03894360057444744,-0.012698419735329132
IGFBP4,0.04072718052149658,0.021280982771821787,0.053292821832072956,-0.022319362339513392
RSPO4,0.15034970128582187,-0.0491221705289671,0.03729969127947953,-0.002420099951350272
LEFTY2,-0.00017822434819286272,,0.025481720575027716,-0.0033432745424010124
PF4,,,0.0981552846831964,-0.035610110571192594
ANGPTL2,0.12765495302858196,-0.018123153418259336,0.04999997910071587,0.012490690694988352
LRIG2,0.021291851170659952,0.04173762448102022,0.017108040256113826,0.059613904877534
ICOSLG,0.07841044846882661,0.03295160332568327,0.04757391340549762,0.00840000352843804
WIF1,-0.04804683658565923,,,0.08453365470603436
NPPC,-0.0421357429773431,-0.06083391862676743,,-0.04519568105951943
LYZ,-0.015429216141542747,0.10089446776161716,0.020909718462654523,0.05648135633551818
EREG,,,0.010135941755914249,-0.015732249490514633
SPTAN1,-0.009438712105913188,0.11884303183554512,0.028518777534728642,-0.05669712779165632
LIPC,0.011844944004843615,-0.07792278327636382,0.11873083862447888,-0.037578865494029154
COL8A1,0.18217955135016387,0.09130899463212405,0.025563643973915886,0.08139357810133013
GSTM2,0.11377199882777494,0.03705648990187747,0.002837216564625712,0.03546147902649082
SPX,-0.050911987309468595,,0.010626977681563041,-0.03164336687864249
MFGE8,0.08664727957102557,0.05947095900286263,0.06777320455032983,0.0277509961380017
TGFA,-0.005730435925539875,-0.022870759433096976,0.06059307181385927,0.009527055366095391
SLIT2,-0.04184077042899389,0.025854624067353563,0.02432462039123097,-0.002881493394297953
PLTP,0.0014118184282256206,0.006258429573669515,-0.01855174662942172,0.013648274928184748
APOD,-0.08880745486856276,0.05388915272777723,-0.07101347044597554,-0.05432040927202811
B2M,0.1243298082454418,0.03463849734919538,0.05399890225272454,-0.04975822682056593
OMG,-0.017724984684866083,0.003691017437495531,0.024305599813455567,-0.05005113531196269
CXCL3,0.10760324692694512,,0.01620229631960816,0.0013417562834328787
CXCL10,-0.06941514741247048,-0.046246201241843234,0.10310487821801118,-0.05546438855914399
RSPO3,,,-0.029113992714971813,0.01665906542746973
CORT,-0.023147945647184434,,,
NCAN,-0.07691766549850759,-0.00510832278226915,0.024977215236476596,-0.054401450739283375
PRG4,-0.03159151089715322,,-0.052455933809247575,0.12052531238307804
ZG16B,,,0.07919929385378077,-0.030379076483461647
TGM2,0.14091046847968727,-0.001248974188918058,0.042435536806394766,-0.031667647821414964
VEGFC,0.1809463306674814,0.0332409192442746,0.03369745561213831,0.06072857931368887
WNT6,0.07495244649501703,,-0.0030761185203696923,-0.03139070038804296
NRG4,-0.021424386595869507,-0.039205309849877024,0.029299758437648492,-0.0472067987116131
PMCH,,,0.08275145512846896,0.029238088113307508
