,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.01913350681956395,,,,,,,,,,,,-0.019505711137750594,,-0.012368222339909543,,
BMP1,0.04871468481793865,0.04117981114530045,0.014777554439202454,0.059819564842978304,-0.030960024795939515,0.024667412426896296,0.050454695349890305,0.14979674294868675,0.016934972321332058,-0.024435127822428813,-0.058873897514531655,-0.0136055296177537,0.0012637493195191238,0.024447105490531192,0.07102343082788665,0.06121062207234636,-0.011966675025255554,-0.011385667057100594,-0.0005994914658793904,0.006575460800102475,-0.006139979373503223,0.06484984220317476,0.060375171617954505,0.08260696328117027
NDP,0.14454495124917552,0.014783050619736901,0.007384188690742291,0.032001236909865775,0.04476055210926386,0.03326399411694518,0.009978236809279487,0.01363451049832793,-0.03764212972822063,-0.009196946157703946,-0.060712931265768114,-0.032703029004837056,0.005197872564894297,-0.01633754367120427,0.03675204081485075,-0.011878719638886544,0.06723380112549691,0.03324132982641985,-0.03960904402626041,-0.018950104164396856,-0.0022211259226529423,0.08948258496713021,0.040049508868304946,-0.0351225896953356
TNFSF18,-0.06191451523640924,0.00896348080780269,-0.005435667586565314,,,,-0.02207219569788197,0.029655080651604725,0.0022017163459512037,,,,,-0.0256251865197901,,-0.019931874682870682,,,,0.029024531400571648,,-0.040838717543695426,0.0006303660386973133,
IL36G,,,,,,,,,,,,,0.05656535995384379,,,,,,,,,,,
RTN4,-0.024777294215340116,0.07448386681417934,0.07482018888439326,0.03601526581658545,0.019116162412424965,-0.027828637740926938,-0.0429324606812289,-0.13012965310125552,-0.01954121960691204,-0.0063134117206853834,0.07402855353719032,0.0350601395355316,-0.010383984896672582,-0.019183637861636054,0.1295913317366644,0.020144638623132517,-0.01764053076562404,0.01798094661430163,-0.055554808129402534,-0.04177231062645522,0.04658736601692001,-0.07942835728859153,-0.07623520399945447,-0.00838071503730518
HEBP1,0.0303619255880576,0.0014262372008283831,0.02701108868236199,-0.006889824800199038,-0.013123904786500986,-0.01604130894415331,0.008026373005828967,0.016587164027736915,-0.00287855034698298,0.032557374715373386,-0.04534462075133193,0.017542215058605322,0.04643255285370868,0.028822608018428092,-0.040194028788385266,0.0040464431109195976,0.03520356425639846,0.015516980828406707,-0.008165302122758263,-0.004138659547135819,0.020278585248537827,0.014083783708299562,0.0362088791463529,0.04084135811429682
WNT7B,-0.014358796739746086,0.044355850071878186,-0.0243757574242819,0.00034805376517587744,0.027093899990481115,-0.032303745752386724,-0.006721892366843609,-0.013342071215317948,-0.009246845160258152,0.00603972585248221,,-0.03154042919561734,-0.02020831990704166,-0.028210829201455803,-0.06656662097131197,,-0.035312641897248864,-0.04723487505233939,-0.010073120943120248,0.031051892155065573,-0.0007339920691925518,0.00996167356100381,0.03559793291955096,-0.04503261391593406
PTMA,-0.1706706925093201,-0.011855361065878514,-0.041683522047304876,0.0663704515135053,0.05514030648129394,-0.008886594026679783,0.08682029780062475,-0.016048040585828285,0.019087573530749465,0.06502617335771026,-0.06328703177009949,-0.03704183550416186,0.07050846495707351,-0.018457909060154955,-0.022225324455028866,-0.020099895522089444,0.009629640808486412,0.013486419691631498,-0.03560638503828782,-0.03161500218678949,0.03393941575471001,-0.05833960899479777,-0.013736906630170808,0.009825790449751489
FASLG,,,,,,,,,,,,,,,,,,,,,,0.03521302999548849,,
