,MGH258,UKF248,UKF269,UKF275,UKF313,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,-0.01397790798456315,,,,,
BMP1,0.004297176286654035,0.03805895864610605,0.07782194349386946,0.010177492028146577,0.05907280885631959,-0.012291572492519892,0.045814769174308004,0.017592392401528573
NDP,0.024344505086315662,0.018346506047200877,0.007825247310762196,-0.046699601240233445,-0.02514198665681755,0.03540339283459175,0.05013008962738681,-0.029425055911940334
TNFSF18,0.07937661017918646,0.033314178382641786,-0.0015049570292959872,-0.013506324090673308,,,,-0.002280677205775345
RTN4,0.00643543918646259,-0.023747057212379956,-0.07460343511368411,-0.03710302110198228,0.009397196150325048,0.06152718288028075,-0.03977654867448462,-0.03954673841770841
HEBP1,0.02713275509568345,-0.00990656672500075,0.0350419877594719,0.0532726456793905,0.02307098547249757,0.01239907973693703,0.017906583156985515,0.05031891143082328
WNT7B,0.011084877102326645,-0.011171304259735419,-0.03131937396153142,0.03781289397979479,0.10069651281641644,0.023444923762673937,0.005868010761706818,0.046595338476169465
PTMA,0.01589339575201217,-0.003381532572395501,-0.029133296638230333,0.007799323230860679,0.10000627117006727,-0.06497599727501988,0.0028618615543410525,-0.0028561629875732135
FASLG,-0.016485147707189434,,,,,,,
CEACAM1,0.13834693808954776,-0.02248078155289535,-0.027314732009639808,-0.021242230128510297,,0.07379784598309874,-0.01603498306079712,
PDAP1,-0.027678535992261784,0.01544143931430582,0.07395504500553673,0.00369610698554659,0.06287739988188222,-0.033078810579241565,0.010945227922057772,-0.00896258740748007
QDPR,0.03382307297755622,0.02215785549439548,-0.04387337943878425,-0.03353831616958466,0.03608200030420497,0.01606062051060745,-0.015658197238191437,-0.038757478980763094
POMC,0.07299556902586202,0.09570291697203646,-0.023773281772355756,-0.015671670419866987,0.011250817714719323,-0.03566080872826124,0.05962176207389505,0.08348139327462091
CCL18,,-0.028053891303238394,,,0.024001786261364483,0.0167782152564871,0.01808150386157607,
CCL17,,,,-0.01684501574159916,,-0.013311995888596209,,
VEGFD,,0.0553113086910242,0.01026942390917714,-0.01794693950164001,-0.015492195442295563,,,
TNFSF13,,-0.021170373344097906,,,,0.046271776889943106,-0.018006211272057714,0.0329819125653135
WNT5A,-0.06506858159326069,0.002292495209135449,0.04341067992174583,-0.00994765961864464,-0.022531977701559885,-0.06159010772203758,-0.06724033530556017,0.06312018311476648
CXCL8,,0.01708674102345136,0.06786119116793199,0.0592624299152017,0.00819713194695417,-0.010014283057938647,0.06965061207791827,0.08532817758557211
GRN,-0.06611975958322941,-0.02569191927304206,0.04278722841560286,0.01534669550359838,-0.011759405388492052,-0.0011948389056433808,0.011652224677932711,-0.015871576530308018
MIA,0.06479059176720062,-0.0493553212694305,-0.03026535357599036,0.021449491586179353,-0.021010200237890044,-0.023821189734608242,0.05854052848561726,0.16140062129539695
COL4A4,0.052277275669967725,-0.0136799140391023,0.09779058407528704,-0.017586717596637925,,-0.009981321455517979,-0.03231603307061273,0.007340232598898009
TAC1,-0.016485138738298866,-0.03750433593399794,-0.0751900060875771,-0.04155771933188535,,,-0.01352962445811216,0.03454423225167863
RARRES2,0.021108291679273805,-0.0064512688263506585,0.052066179631357894,-0.006147906618922087,-0.02441516359251841,0.03465095840326562,0.025591182816089145,0.04258984593473921
FGF7,0.03634685624804789,,-0.017287569229059642,0.016771402785505155,0.013551485586232712,-0.052503344928447514,-0.020563177259575988,0.022681079834400784
HBEGF,-0.03170088812579692,0.04715823415156473,0.035750182805023685,0.09440998942914255,0.04026175208477355,0.041115862731307296,0.0041411578971944744,0.09653278605127358
CSF3,,,-0.014572828752740935,,0.04528143566836978,-0.0038668169640704003,0.11179958358956317,0.10445363589188769
PI3,,0.0320158115397444,-0.016409197516106776,,,0.01943956093767631,0.07368505526222659,0.0702685344181071
PCSK1N,-0.004449959565332921,0.006123196663208349,-0.04375106880149252,0.007778417856587194,0.011115070211912392,-0.011586129275934491,-0.06370530820121605,-0.0690121408619062
NTS,,,-0.017911759522578216,0.03375125922699929,,-0.0032273443762049353,-0.0030181561225340946,
SFRP1,0.052776793620108044,0.05064689566987942,0.060502788543704666,0.030053798114931182,-0.007608690946165054,-0.00011527666113376773,-0.03112709226817283,0.08640298770293117
CXCL13,,,,,0.03649302155106241,0.030547221799251074,-0.016629985365859922,0.038022956225769566
MICA,0.09511210353167539,0.051729135237210865,0.06771683090115904,0.02432039782770942,0.011102604104636895,-0.03518232192783674,-0.0022491567508681593,0.03700663829018989
TG,0.10012772740219433,0.05948003100980289,-0.017588100503074383,-0.016970715885420137,-0.010364649429472149,-0.017688314346227595,-0.018919755899343405,0.12310473526953969
ADA,0.07296988422561934,0.013713009595922214,0.0672067957022544,0.023220819923556072,0.05755919782730119,0.029793935011111976,-0.04862885747053728,-0.0044735894581835545
LAMC3,-0.03288000670459599,0.032404168010549406,0.1001977962125729,-0.01773150190819346,0.0736673130867295,-0.049589357081239675,-0.05752579325264669,0.07156726325221709
CCL7,,-0.01784464479890276,,,,0.08906617433847211,,0.022416524614604933
NGF,,-0.030638368970961147,,,0.08092050180051999,0.014906220776850896,0.07502669717867766,0.15340930851209
TNFSF15,,,,,0.08781428694749757,-0.019450582705372813,-0.01427536359396378,-0.01705272590375906
HMGB1,0.018486177864784705,0.022195648766478764,0.059560663405735445,-0.018940821348596263,0.024635130282525494,0.056084011718505675,-0.014074356652154214,-0.06982873175566981
ITGB3BP,0.025133380866628034,-0.016264132492854196,0.07730895115638516,0.022517416891673206,-0.009277617437842067,0.023958472358504956,0.09042134148840471,-0.022775772035628344
AANAT,,0.025979092705333846,0.04495819631354618,-0.015261863972930667,,-0.017503194609340193,,-0.018423646487854033
RELN,0.012940770333222332,-0.0006449881767469137,-0.0385718064442351,-0.033601697922365344,,,0.025394057966256205,-0.023473915489214025
IL15,-0.04411533967464687,-0.005767450127017295,0.1190327617094312,-0.03058845301291226,0.009768856402885976,-0.016920170565666623,-0.013267694578749128,0.03337579902751824
UTS2,,,0.016160726771136717,,,0.013388596247547537,,
BSG,-0.006822255597075679,0.04390957692588421,-0.0008497864218583257,7.446954482932937e-05,-0.004033213193616271,-0.015988105958695546,-0.002821316245897015,0.09099200212788135
ADAMTS3,-0.036344077518986995,0.014573507313728421,0.10212025422418733,-0.04771267362267158,-0.029079212223674756,0.05566287479221386,-0.029166192100867266,0.06672685985179072
CD34,-0.0008700826467447232,0.042328136715992976,0.008973763655069345,-0.008076146815994834,0.034849066904031466,-0.02800580469739662,-0.0655532279467466,0.0529429408807961
CCL23,,,0.03683684478410373,,,,,
PLAT,0.08803725432107139,0.028404439057220992,0.060241257753842994,0.032828465550682244,0.00497958798843271,0.01127353223131277,-0.030497434716142986,0.009764643727906573
NTF3,,,,,0.018035075399259377,0.04718820376055281,-0.011350779392587104,
LTA,,,,0.059662526739609756,,,,
CKLF,-0.028536669146712944,0.03656301200182991,0.11134133657496686,0.03935801698001084,0.0706141689326557,-0.0377894575346138,0.014216827706675667,-0.002402636188671762
APELA,,,,,0.001019181444369465,,,
CD24,0.06683772649330175,0.024981881343457007,0.08466125879281793,-0.022992576214661355,0.04880599659352664,0.03629554164561779,0.010628368981251189,0.03740274145669925
HSP90AA1,0.005121264406605627,-0.011279066339421414,-0.08425069225442425,0.0581913394649517,0.0036177735720162277,0.030834063136174292,0.009381607486686821,-0.01923427276145339
BMP4,-0.019648239465235896,0.027175325867828563,0.007604557128210934,0.030138947473113742,-0.04609193800360719,0.02440476815548927,-0.013513181658128301,0.046107129509186565
SCGB3A1,,-0.01784464301446212,,,-0.03103016321312629,0.025175150476221028,-0.029645425678961557,-0.02262784725214009
IGFBP4,0.01832768926638402,0.062042980655970414,0.03709862460642139,0.06800459788759329,0.036282719944820595,-0.03990459839475042,0.0337244854805744,0.05107523128965625
RSPO4,,,,-0.017095559162142164,,,-0.019964932554813918,0.04112553173585622
