,UKF248,UKF251,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.012843355196754693,,,,,,,,-0.007957228557836636,
BMP1,0.11986138984405327,0.009827406519860618,-0.010826660041073343,0.009661542630257902,-0.005068067888161421,0.02371343617058448,0.009448761507350002,0.07468785026716979,-0.024236825947929693,0.055397398913238284,0.03279562918468397,0.02795700204786829,0.10488563712013164
NDP,0.017750170872970938,-0.02559188360992179,0.0508822973807005,0.011619464434921487,-0.0019151689104952708,0.019803313462295132,0.006953952035544348,-0.01736718981270875,-0.0073159402655861485,0.0725622016257593,0.05326814042654845,0.0014079733938462962,-0.00625737027031051
TNFSF18,0.0012608569795321343,-0.027602421542893572,,0.0009822300861993083,0.11767289632155076,,-0.024885271196180607,0.026271019966864446,,,0.058065563222801625,-0.007187936303029751,-0.03202299290173912
RTN4,0.0884018984776236,-0.01589198300931538,-0.02068396089253929,-0.024627273500898276,-0.01600133197084061,0.017726681128593477,0.06897815255954295,-0.0070592721434010785,0.027221929154118082,-0.07699067479197626,-0.05468007516979417,0.03555657706249466,-0.12195185297470408
HEBP1,0.04943162243080441,-0.007829047534762521,-0.01955927182399244,0.020775210275421785,-0.004213355204625487,-0.035466777468862884,0.07641212308664039,0.0879735049814245,0.0009135292649169945,0.044318303593933184,0.010289069669561295,-0.008315827533091506,0.056620657117225186
WNT7B,0.03293387090108505,0.004446487421466449,0.03564247462226057,0.0589172757177669,-0.03618004443778265,-0.007792069850050772,0.16422816524851214,,0.01764750436151587,-0.012672912658157736,-0.033140116222762944,0.02406705328168978,0.007248145619048749
PTMA,-0.016455668393845196,0.0008357542097218259,0.0030977496499953704,0.05015116403459906,-0.04987295704798414,0.02030746955982013,0.007807728005488185,-0.034613784421822835,-0.02569929985661245,-0.1176778714112072,0.07698172403168471,0.022148620729994222,0.08073071259279109
FASLG,,,,,,,,,,,,0.0038926565246851863,
CEACAM1,-0.007836206476174218,0.019750256394697144,-0.026152736865774788,-0.025097661659484245,-0.01985153968813039,,,-0.041588676737298706,0.09178835019005051,0.005513098647387049,,0.03795402875588085,
PDAP1,0.03822670505614947,0.019514538011911883,0.019515030940535427,-0.004641174596908136,0.05361324751706594,0.04332803230872752,-0.04395170445976794,0.0956513270181202,0.06555921966389705,-0.05024042598556073,0.04580502309009206,0.027806711014551913,-0.017099638119110895
