,UKF243,UKF260,UKF266,UKF269,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,-0.01451371815106687,,,,0.10096562015525554
BMP1,0.010446059584013765,0.04307095067712605,0.0023052804690761766,0.03615292186418186,-0.08551728317566644,0.0057546302141418424,0.05752182534956552,0.05853488190463019
NDP,0.05271678352570943,0.0311182144578736,0.03801387735338959,0.006468099251100669,-0.0612580762554009,-0.02178954017710128,0.04802712967255802,0.02784749935268241
TNFSF18,-0.019285636488894146,,-0.01528818391529402,0.048631094419504736,,,,-0.0015589640974009572
RTN4,-0.02756677837005762,0.06797177970223559,-0.019961745773055893,-0.04864597571873618,-0.022731355731689214,-0.020899032018391755,-0.0224686551597553,-0.06793329487439141
HEBP1,0.06558356941115502,-0.019053719581101216,0.026161885407898523,0.05073710608046106,-0.11029862353015858,0.05186244102125593,0.03654288766939351,0.0163776608275294
WNT7B,-0.045012889947451354,-0.07524863187298263,-0.0003304959696865137,0.06951790179636994,0.023676558586684365,0.08660502630394455,0.013218979642166534,0.08637952801119118
PTMA,-0.11827025463461797,0.033054779083440886,0.012957116160253166,-0.026252698516798966,-0.07759096524164338,-0.07243849173375487,0.026085157079862357,-0.022472679449707933
FASLG,,,,,,,,-0.015216432521302215
CEACAM1,,0.06320991798657281,,0.0821124747129049,0.14727783953705562,-0.025323600246369274,-0.02364305791796789,-0.021171430966253485
PDAP1,-0.011083444626224433,0.0021006958602432877,0.01691443822456528,0.03358716052635387,-0.08469712155612295,-0.00539987273521617,-0.02351787308126393,0.008424942176641734
QDPR,-0.015167787727835924,-0.024380762325023977,0.002771754586895788,-0.08313135929402056,0.003701068891285035,-0.021543193074322346,0.03388011542430199,-0.03739796848466859
POMC,-0.0364145002070018,0.025802961823429865,0.12433264615105807,0.02033787078509671,-0.06262489509432517,-0.06080369776616351,0.03117551157709738,-0.0004038564503302021
CCL18,-0.025863624278151205,,,,-0.03815055329778557,-0.046341877816529084,-0.021982422754301473,
CCL17,,,,,,-0.01796586867809361,0.0019346540144052071,-0.013791986976658312
VEGFD,0.0499612279866417,-0.021268827517252488,,-0.024314371117433023,-0.04298086281091891,,0.04632474074127057,
TNFSF13,,,0.038115129347195444,,,0.05716733407777632,0.11821200595452991,0.052731719066971564
WNT5A,0.07470856836594221,0.03068175553734602,0.06421792836919053,0.06402840736279727,-0.04775663024472508,0.01217928623123351,0.07380486839955774,0.010968714173813733
CXCL8,-0.037219914879743576,0.03799120928911153,0.020438436571848104,0.08895985578907012,0.04939230032335542,0.03344065788864388,-0.05296744301229475,-0.0003153144497459026
GRN,0.0741468570129556,-0.05315882919958703,0.0037219064883598618,0.038335942758378906,-0.01891013240377554,0.0005804134080603264,0.008416754657007924,0.003989315066795614
MIA,0.1320307244996547,0.022379020530667232,-0.01847069964028425,-0.021433983754294325,-0.04299930535377945,-0.034343825238235356,0.0437220368462282,0.027435242110577643
COL4A4,0.05334876426405135,-0.04268326940669261,0.03446169194510458,-0.014302191954720943,,-0.007483499610881012,0.007795827642628038,-0.01622833272145403
TAC1,0.012613651485847014,0.005970840573375991,0.030881904286463143,-0.036863111959115645,,,,-0.018130969309081466
RARRES2,0.044502912868332474,0.010720959123050667,0.029474961987573503,0.05652318821108007,0.11386155460550342,0.02085874988969099,-0.0004567062646519153,-0.04349034920984629
