,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.040906484647744136,,,,,,-0.03142206739068722,
BMP1,-0.03913371793282598,0.12621376512353072,-0.014044199645971655,0.025140194520392168,0.041177912523508185,0.00824590926441251,0.2582275600954748,-0.03643316986390192,0.058920675276564166,0.026217082447647557,-0.045724031583677036,-0.05651820610357225,-0.007553686622115737,0.0020788799659001538
NDP,-0.0421782161132676,0.04371350814290751,-0.006660229557909736,0.05533414072331182,0.09303333601599058,-0.007197043554323726,0.036205438365720384,-0.05606603559011391,0.06641931364424625,0.0472214741747563,0.04108097193973935,0.0010999424155323245,0.039808038740684774,0.007408504498778172
TNFSF18,-0.032728961990768385,-0.024510718258436027,0.052951501634435724,,,-0.01640752917177131,0.06304649554314916,-0.032376983909106524,,,,,0.0430734832727669,-0.007290363057417375
RTN4,-0.040263363055178296,0.10118476172821705,0.02072727156531613,0.0294426043649629,0.03432418981095933,-0.01682513492717447,-0.32349120727125474,-0.06555194957899539,-0.07612673482711185,-0.08957118252821668,-0.018020147582032856,0.02939982605363761,0.014738240397709546,0.04789771406317014
HEBP1,-0.006471475715885068,0.0606420022558699,0.007819829650931705,-0.009795295780264305,0.03674902566158453,0.03653898215010752,0.16986923483821847,0.009771205722012627,0.0501899753366163,0.03520649713987405,0.01497722279978831,0.07666958082798184,0.1386642284399271,-0.005633927885101614
WNT7B,0.0061875854249174725,0.022529394767376303,-0.023649617104458336,-0.01344322007249217,0.06750704331443187,0.019282226814094437,-0.10996717468573798,-0.047265205481455574,,0.012489693682094552,-0.025292544524474582,0.00903324684995248,0.1299653376133413,-0.008763437009828371
PTMA,-0.05699380094346162,0.03140574373844558,-0.021437228238503362,-0.02277658147778822,-0.08137052932297763,0.036488962697924794,-0.14976796523390995,-0.0448504781480756,0.13218066117111807,-0.06116581148683455,-0.013676678937673962,-0.005810715323358454,-0.030828714086861875,-0.098722937479858
FASLG,0.038429176737792996,,,,,,,,,,,,0.0371117545785905,
CEACAM1,-0.01629209531533326,0.029719844570346727,0.009890305804165816,0.019481305038467355,0.00022696348436550262,,0.07443019110681556,-0.002099126060991858,,0.016893626184472488,0.0269446095956531,-0.028977602990040804,0.018122179504645983,
PDAP1,0.07223748203892753,0.016143757223143457,0.023707907005643642,-0.00327044962696725,-0.0037094644033732866,0.03765729177148929,0.23062581182083627,-0.002227350713399146,0.028696614397069997,-0.028949871980931855,0.003488069134889267,0.011847076429416731,0.01795016264300901,-0.029733886300688284
QDPR,-0.029732995044182572,-0.11621125633302307,0.08167885926030063,-0.0006567488813815196,0.010789471741298191,-0.0005478472621573825,-0.2647655418899307,-0.039018913890335814,0.05009841376763152,0.031269646001010766,0.0639799665509071,0.03082390753519344,0.017614218525858483,0.04766205510314921
POMC,0.007318079222709105,0.06594931250311928,-0.016259411903709876,0.015092832187664636,0.0009755384903373584,0.010217506213100538,0.045795429901349875,-0.03756769181654958,-0.013140469337949582,-0.04744609146178252,-0.016949604956006677,0.03554065696380167,-0.01828479846533638,0.00810357479458629
CCL18,,-0.04062290989293441,,,,,,,-0.01675402929701564,0.09586209534046407,-0.011373847519834711,0.021244015195073504,,
CCL17,,,,0.029867563711207804,,,,-0.040380402539801165,,-0.024987303965432743,-0.0025256453069191845,,0.04260833309239412,
