,UKF259,ZH1019T1
BMP1,-0.044057714538002946,-0.07603385027065136
NDP,-0.04053884951504757,0.08707341808192888
TNFSF18,,-0.05071175637369425
RTN4,0.044538605070210735,0.010411924186708199
HEBP1,-0.010100639797939875,0.07497616800194687
WNT7B,-0.022753995280856167,
PTMA,0.030125583731011953,-0.07545433407904685
CEACAM1,0.05168466009845917,-0.035658971244601816
PDAP1,0.020336243264414605,-0.13601939083008444
QDPR,-0.02222581092419931,0.07827767619118364
POMC,-0.024467732455495543,-0.0722081425111236
CCL17,-0.015228933061595151,
VEGFD,-0.01696671315743807,0.14122507255649563
TNFSF13,-0.01050457719230214,
WNT5A,-0.00427429828129726,-0.03370006337768447
CXCL8,0.04956342918393294,-0.09501733458324972
GRN,0.0002444081720249632,-0.09031256573594643
MIA,0.014446760715746,0.049552289893250785
COL4A4,-0.03670378531127175,-0.037958907685158076
TAC1,-0.033290153256379,
RARRES2,-0.006749983614436005,0.058707527091512474
FGF7,-0.026994696835559745,-0.009277951298462359
HBEGF,0.007182277699301089,-0.032638504192106225
CSF3,-0.01815156035249213,
PI3,0.015022451196785627,
PCSK1N,-0.04661524963069803,0.04594345088264961
SFRP1,-0.013287832749183917,-0.03218326102497442
MICA,0.01206782504924408,-0.04827928000119318
TG,-0.01433967678409954,0.003940065704209708
ADA,0.01646472958757365,0.006017177835574618
LAMC3,-0.011093802241591018,-0.07666122057972895
CCL7,0.04426362326381634,
NGF,0.14030054664754116,0.06701469077827707
TNFSF15,-0.011544788921364697,0.014750817349039581
HMGB1,-0.056849546520711655,-0.06509902390992797
ITGB3BP,0.009819197493848119,-0.10743867118247577
AANAT,0.0988353840875123,
RELN,0.04667447372526616,-0.07241772765966079
IL15,-0.001779132381426213,0.06431512216991121
BSG,0.012023970738749994,-0.027156145514541284
ADAMTS3,-0.0044280468341022965,
CD34,0.0027577071280960423,0.006242549645588459
PLAT,-0.0271609653533866,-0.011899166667817464
LTA,-0.013287832127558213,
CKLF,-0.0129405481504281,-0.054910442312302105
CD24,0.04579501777483456,-0.04829204236809105
HSP90AA1,-0.06124781561775939,0.01732883646097167
BMP4,-0.002874407132165892,0.009622213513084914
SCGB3A1,,-0.05201535995474386
IGFBP4,-0.017853002847187164,0.018879388354288342
RSPO4,-0.020339355104761304,-0.02649698600184923
LEFTY2,-0.02969050525186518,
PF4,-0.009045494816796198,
ANGPTL2,-0.0004334619848260556,-0.009880894861372521
LRIG2,-0.017177890893167208,0.0348291203369051
ICOSLG,0.03765374121174844,-0.042231509531046756
NPPC,-0.014031793137994459,0.0012012684635233416
LYZ,0.0019821955796530933,-0.051361803166560714
SPTAN1,-0.038146074694948046,0.07713211876340868
LIPC,0.001792135681351915,0.02344543199869809
COL8A1,-0.015479226162743494,-0.015779121166925987
GSTM2,-0.009411065065175757,0.05221060419181667
SPX,-0.026636346035933473,
MFGE8,0.026276182567285623,-0.030985709590153062
TGFA,0.09687471162547599,0.025910210915850142
SLIT2,0.042454508222724126,-0.0396062558217715
PLTP,-0.04122200323969848,0.025072448023420082
APOD,-0.043287416135381146,0.040861110620865074
B2M,-0.02449938709759803,0.00737940175224505
OMG,-0.016315665478608493,-0.06535383338194133
CXCL3,0.027297080652331877,
CXCL10,0.01234741728335252,-0.09831436576224091
RSPO3,-0.010504577537266264,
CORT,-0.023557321722760653,
NCAN,-0.048841893558567294,0.0001805544043456749
PRG4,0.04412442269940507,
ZG16B,-0.012032827155778336,
TGM2,-0.026719233738394535,0.08487329426824448
VEGFC,-0.0025367795379578296,0.0005977321716865847
WNT6,-0.014339677379490526,
NRG4,-0.012617800902182839,0.0154745572566804
PMCH,-0.017483192420608553,
COL9A1,-0.013178372122963642,0.052282892192836404
GDF11,0.03387063374772185,-0.08624450879077246
SORBS1,0.018073116311300787,0.012563540068697797
DLL1,-0.004928252944962249,0.08474211723369714
TLN1,-0.017144867500200143,0.027203131091456764
SHH,-0.010773602265091888,
PON2,-0.06860994806335112,0.11458411237755846
ICAM5,-0.016791423799277706,
HPX,0.027774550791538986,-0.029890550098492855
SFRP2,-0.01226996544616715,
CD70,-0.007096876034298556,-0.04119639022096005
HP,0.028878666437040325,0.015476033174851802
CXCL2,0.029881918534417063,-0.0373955794384626
NPPB,0.091851089176817,
CCK,-0.006393208079645703,
SEMA6A,0.015193094828030237,-0.00349282136401661
IRAK4,-0.011285014113724614,-0.08534918156137393
GSTP1,-0.011115127923872387,-0.006623672065952009
VCAM1,-0.004580192982648921,0.1044638593497163
NXPH3,-0.009047394609644065,0.06909151202095108
