,UKF243,UKF251,UKF255,UKF260,UKF266,UKF269,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.013977898667874971,,,,,
BMP1,-0.05924953307959966,0.035827427134213,0.07553300456058513,0.03110723268169874,0.0033449560808290093,-0.0662086536756336,0.08848808790374686,0.047643348684736575,-0.01862082727407427,0.02532896047374514,0.04642539356971381
NDP,-0.05341210825179262,0.014679935405295573,0.09859444488834382,-0.06846333619150129,0.04210471976734719,-0.04163327211827916,0.010216364427884334,0.03779824904822134,0.07773507351967636,0.017761460056065725,-0.0023468418736096123
TNFSF18,0.028392822906885766,-0.045582922987233834,,,-0.013117670484606115,-0.020756759893777243,,,,,0.02596804131883563
RTN4,-0.03720472351718761,0.0015333815708165688,-0.0031151285345788226,-0.005390655958102769,-0.038629612213134976,0.11030357415661159,0.013999572396329322,0.01843388825137226,0.0018709013030085485,-0.01003765079019812,-0.11788088587935648
HEBP1,0.06011518335244545,0.0387676108575163,-0.019794622675509365,0.017599543922714535,0.0071661745306413616,-0.0018690457942795525,0.03190557662492271,0.004012385418183246,0.028461506576345077,-0.01457014448308267,0.03814703689010427
WNT7B,-0.053930448865705555,-0.028314698745739678,-0.05710544921184745,-0.04905869192280466,-0.008961692805558637,0.06399913110167543,,0.10261936941524864,0.006048577281441274,-0.03572846061987698,0.09074217925144046
PTMA,0.09869948102612522,0.05556488544986362,-0.0392136662748672,0.006435352825669257,0.06484518270679542,-0.00287792964629582,-0.007188762794818808,-0.015844492491950555,0.020311021688477864,0.019999894092717213,0.01830793215655651
CEACAM1,,-0.021729828272901063,,-0.024067675582037776,,-0.027314713803564834,,-0.021798927173719555,0.08112115181906457,-0.023713498937441044,
PDAP1,0.05449823836918022,0.04893203486208366,-0.004162485592244634,0.032646275156825076,0.023160240407814267,-0.03993956575500204,-0.03988343446449282,0.014734357397026596,0.013459001989567834,0.006947967938747188,0.03297811945000667
QDPR,-0.047062976572373356,0.023615877846613342,0.051753621201723284,-0.07177436943396175,-0.020254018158569986,0.004713478114585081,-0.024870555953218982,0.03562611571659049,0.05214642255934733,-0.05501623747429724,-0.05260442383662545
POMC,-0.04362862157209991,-0.004230232867903694,,-0.04842985460568204,0.03394316999393193,-0.011697953781727381,0.056166558007043454,0.04017883981757277,0.039623995630336285,-0.019394162389831285,0.025503122497304503
CCL18,0.0446777060508114,,,,,,0.00995767484425573,0.03731382135380392,0.022012397358997727,0.02669921662089504,
CCL17,,,,,,,,-0.015465283732020765,0.012930706221014747,,
VEGFD,0.03625286047040721,0.11771455126886443,,-0.02302658932942195,,-0.023416729752851244,-0.019515878033373013,,0.07774867129486393,,
TNFSF13,,,,,-0.012721403869638822,,,0.043201374301514286,-0.01521644178738502,-0.026628669967927815,-0.006544866130188066
WNT5A,-0.011622281218155523,0.04917096071853919,-0.0030251754129520365,-0.08789588592236278,-0.015254144174296701,-0.025375477575455822,-0.020104697110316292,0.007797142805090199,0.06992702462934228,-0.013861730933199867,0.06621721434725474
CXCL8,0.08247318111259228,-0.029142312412257693,-0.030239297652191622,0.1595740701182339,0.024067041475433273,-0.02786551095716314,0.033506585257985964,0.017301115811649743,-0.09528798136637168,0.01497706946089881,0.05411296601013792
GRN,-0.028963809743129332,-0.07059263913112393,-0.010639328307566354,-0.03843915758396667,-0.0036601696193526885,-0.04828545803884771,0.02138669173651782,0.027409226467808082,0.028979292816256757,0.025226906225986827,-0.06139983970543276
MIA,0.027907504009169092,0.018743859374160964,0.10777875123050237,0.05806164557911009,0.04131328896545498,-0.03992915761183868,,0.02608806331044822,0.08623092111421003,0.055739610999617814,0.21228606482040763
COL4A4,-0.0006784035616926034,0.16911992019668576,0.009152833302861202,-0.018320502143040665,-0.012103853745048106,-0.013774181625326017,,-0.01854262052992036,0.01829835996416382,0.0009721520968387884,-0.02581559169203532
TAC1,-0.04401873595452401,-0.036714367791160316,0.0697388846748333,-0.06654399371462294,-0.03181047414292707,0.1094099739790352,0.017189571466486735,,,-0.003411522649882368,-0.10888272095437689
RARRES2,-0.0692783916378606,0.025191520054996502,0.022237983760028838,0.043509776615991425,0.0013451094184639331,-0.07385172472091422,-0.009252306600010142,0.04852976803845924,0.053669638758265185,0.0140058335880526,0.01434904413387858
FGF7,-0.006046985470044271,0.02060447056004778,-0.061566307435155856,0.008854163445751401,-0.013224791958086403,-0.01661147105618952,-0.04530771843073809,0.036745459482657464,0.02138558921592756,-0.010034821053396321,0.07567311333140721
EFNA2,,,,,,,,,-0.022613945282930384,,
HBEGF,0.020129851918382655,-0.015590100521188735,0.0420074652776244,0.09924274659466994,-0.0016453104253324198,0.03244429772614429,0.03459849930898921,-0.030998512948125227,0.041933314497179144,-0.0095044347698692,0.09455083405644117
CSF3,0.04707651918128124,,0.06738022054805948,0.19142790090917977,,-0.01457281903952051,,-0.0331117546212531,-0.05183575448228995,-0.03399653995914009,0.16054523014121788
PI3,0.07137913366077417,,0.00516294782084888,0.10282222565575427,,0.030597568127569506,,0.04701663093586151,-0.052304197450143,0.12929555659242864,0.07586439288813036
PCSK1N,-0.08823420575771011,-0.012153340412618773,0.008190894938085348,-0.12542542069352955,-0.06210943889095036,0.0728207938114416,0.04754220405351857,0.004095705903674008,-0.014377527606868695,-0.023445497348273434,-0.13538146504843898
NTS,,,,-0.03152155103220562,-0.014776055328150465,-0.017911747583861895,0.04281839474296149,0.04283598761162575,-0.027550801027567528,-0.02646803985388083,
SFRP1,-0.012298090911618053,0.07251072270487198,,-0.02626935075317244,-0.008673020117969846,-0.0525650558778156,0.009776090314066338,0.07176581087197646,0.013744463540869303,-0.03758755626427946,0.09305339429338755
CXCL13,,-0.012878375158929303,0.02583280323548235,-0.026033262071327726,,,,0.016437134583394245,-0.016053816624428886,-0.012504131933429533,-0.040509590906862694
MICA,-0.05317859528476775,0.025002066787408506,0.05649713269805563,0.01543223346750969,0.03159551094911592,-0.03263278958821987,-0.055935761313325824,0.09388957443636403,0.08187111977286934,-0.023570865967630774,0.045250134550213005
TG,0.07979602920762521,-0.029548188231793993,,0.0205386859779354,-0.017055463013020435,-0.01758808878008635,,-0.020549495537323992,-0.009413029803378528,0.0282977572331691,-0.009937324291023808
ADA,-0.04143353706557506,0.06420271123161561,0.015337176890015307,-0.00842855067343073,0.0030501832544115384,-0.08447898599937624,-0.05956333256028506,-0.03843929471298991,0.046570705535623654,-0.029538816865535653,-0.042977245991139244
LAMC3,-0.018240118668941326,-0.02594614968628285,0.005294141551501121,-0.030801613349928324,0.002465214727157744,-0.04112733977587358,0.025883834237961482,-0.026271317180491523,0.04265656318003617,-0.026402968272634563,0.0006854230372925999
CCL7,,,,0.04257448919829555,,,,0.10627179714346763,,,0.08138918213426699
NGF,0.09222331901455663,,,0.1785691782472049,-0.016275486279949545,,-0.01757057082793023,0.09158668771701427,0.14322472217136856,0.01691192237149435,0.017394646352424645
TNFSF15,-0.02505066967804352,,,0.002678307388824833,-0.01976200846847964,,,0.1290954534916278,,-0.02111126766604868,0.04065654787529036
HMGB1,-0.09011127252736303,-0.057990609267328866,0.04563496726734025,-0.08633268877362177,0.07762711973613223,-0.10376509922298933,-0.03956056186455018,-0.0021924159175973285,0.028521704284289233,-0.04130658026538893,-0.028884878701091275
ITGB3BP,0.08781408666750944,0.016747670328746984,0.021749961272373688,-0.02593185732705551,0.047960826972230995,-0.08096961250943442,0.03130671321233543,0.04993968999064547,-0.002567525748492031,0.016568943458505937,0.01890144601808405
AANAT,0.0840230474700262,,,-0.023026592616597345,,0.01627699485889511,-0.016518920615277214,-0.020334431674675624,0.09133441797006471,,-0.013728662669311744
RELN,-0.0349138356867879,-0.02004584291920404,0.0032837799008898277,-0.02469567314186241,0.05843800431279408,0.03614720253923022,-0.05804382694158276,,,0.019146326383213296,-0.05436337678461405
IL15,-0.00302920715489553,0.03877622270029968,,0.028010691399500572,-0.01406184386315138,-0.03428771775046821,0.06256906581810888,0.009537552583053817,-0.0004277554121863105,0.031511163896778396,0.01872775788438329
UTS2,,,,,,-0.0433609335901409,,0.032056677136501906,,,
BSG,0.060150876246720525,-0.003377669691406206,0.03157566788624124,-0.0039581859286573874,0.019450389058305508,0.0549673678587988,0.06758274464855471,0.11345575972303822,0.07278028108452729,0.09519613995119859,0.0657258071328696
ADAMTS3,-0.04391524302253175,0.05380297594117451,,-0.039709996447763976,0.012145944902617908,-0.05998967387973515,-0.026525504988108253,0.06839025381127065,-0.027698991438242077,0.04234521307731359,0.0457485217998443
CD34,-0.07275539522389882,0.024652108837545518,0.041081406600527316,-0.05624753179935155,-0.022968869316319692,-0.04605523658779086,0.06346370240689009,0.0300650407103521,0.10905887518127541,-0.006400409033887925,0.009727175659510959
CCL23,,,,,,-0.014957011144075934,,,,,
PLAT,-0.13571582121138745,-0.03418790959903758,-0.021978150110535485,-0.005310092989002459,0.04966243079639843,-0.10673912096100098,0.04459305024803526,0.09048273062975011,0.0930735021671153,-0.012804328932156911,0.02988071136621808
NTF3,,,,,,,,0.06454735591656309,0.003113583018911118,-0.011216935198223199,
LTA,,-0.006143100731176245,,,,,,,,,
CKLF,-0.02263383181498318,0.00017025884595374803,-0.010259261030050164,-0.02716220919350702,0.011427660129908894,-0.13038954608625458,-0.01870778660577963,0.08971282773514948,0.09397861331560985,0.017609513639213193,0.05529810413884785
CD24,0.05858787989874235,0.050157431502345924,0.023315925076956373,-0.08631648783269236,0.07567238803895567,-0.00019681046006972733,0.008205481324765378,0.021663034146802585,0.009526422425826173,-0.04327028375930705,-0.003398745186346818
HSP90AA1,0.0346269431067157,-0.055036403493323414,0.015731159331664933,-0.005241876698709844,-0.010876948267635545,0.11601581586973646,0.049584090645014026,-0.01685504083793854,-0.08248850939272194,0.024415681006713735,-0.07792752985779881
BMP4,-0.016349005122125525,-0.02303489413572469,0.04988327534795025,0.08908383323829616,0.026452478392474117,0.012297170779768513,-0.0053566625665540666,-0.04739031101916919,0.04583955756667856,0.017690101942567357,0.01684797065733903
SCGB3A1,,,-0.04332732313066098,0.05530415437144152,-0.017950192393493117,,0.06383148536352552,0.10492600143558527,-0.015068970090719136,-0.043841441407989575,-0.03499631738692281
IGFBP4,0.028955099454317332,0.038479081196514275,0.07306574719437571,0.07889772724904351,0.00023773370916500242,-0.03492675699722386,0.031140882983821856,0.0391970156143249,0.05040226702919831,0.048128418096356713,-0.0805410755491901
RSPO4,-0.024736357412519495,0.012169733018950343,,0.0053326771689794225,,,,,,0.021018221945601042,-0.010937616657766549
LEFTY2,-0.011802358798985477,-0.02199670588270274,0.039093449347752454,-0.04912452592122545,0.017226989803085305,-0.07679714809393443,-0.01757057082793023,-0.019676257525066018,0.03556423217567466,-0.021398984207226534,0.0027629822699561084
PF4,,-0.01976623423513255,,,,,,,-0.02072724648817355,,-0.012194702587657275
ANGPTL2,-0.08487126628007798,0.011130596695594146,0.0036601427558376576,-0.057858409789895676,0.00479551727466147,-0.01952790293649956,0.005104346058009615,0.04193776174575504,0.03202092148325777,-0.04153375481839704,-0.0054291561614445765
LRIG2,-0.04533908530349772,0.05058471099438506,0.04024092417397046,-0.026088770426294376,0.09265273960529895,-0.07074558149101771,0.0008095849715251169,-0.026043704778093,0.027656620902116347,0.0075975287098095775,0.06820721183399579
ICOSLG,0.02753767519832688,-0.015523835227480966,-0.021307046103160525,0.007728940226691644,0.08336390151804471,-0.07052094186683042,0.06401807409946243,0.1023881341316469,0.041514315849906815,0.02275809669754586,0.050797667363297626
WIF1,-0.0575654571534015,,0.011911673244477804,-0.06961635245636909,-0.03266009455076885,0.11514350705344198,-0.013092088849326205,,,0.027667399939816817,-0.01815710703563703
NPPC,-0.050483309190702305,,0.12074673052085026,0.18579411707128052,0.05429547187268096,0.06023302210900525,-0.019212459741244116,0.05878122854243248,-0.007443923790342056,-0.00204645897444597,-0.01105170083331701
