,UKF275,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,0.03606019170063646,-0.03527079405104661,
BMP1,-0.10132152664196202,0.0521248932686449,0.019973077062711782,-0.014920885645277644
NDP,0.01447952422875522,0.028040354180825476,0.11314699204713424,0.10928441618901825
TNFSF18,-0.03260938226905209,0.08850004741904878,-0.013793873404359546,0.1539698948806282
RTN4,-0.04470289680102264,0.016916527798918297,-0.07900229196602175,0.011395095870422768
HEBP1,0.010983217591521804,-0.04280520539159528,0.0938246758820909,0.033105259903555506
WNT7B,0.019071768122809984,0.002174616852157936,-0.04117043861874986,0.1033043384438263
PTMA,0.04192029515153316,-0.02741848665720181,-0.08179782290680591,-0.10582356214396438
FASLG,,,0.08501901391916261,
CEACAM1,0.008981310762757821,-0.027324002051846426,0.027587515011841892,
PDAP1,0.036064529347648845,-0.016939076150970366,0.00019066964154718343,0.024391186715379022
QDPR,0.015973098440837427,-0.06565875214712188,0.008379492802656334,0.07922688800301068
POMC,0.021594491264075973,-0.006173536510181349,0.06558840107311122,0.008807426665344073
CCL17,0.0015686729620045536,-0.024310988448622912,-0.027726714246420082,
VEGFD,0.007820282595535124,-0.025640589243273074,,
TNFSF13,,0.11030411530179995,-0.0063145032739810245,0.06706320213627198
WNT5A,-0.018004324459859018,0.09499675548917197,0.061905252919343436,-0.03923236434920524
CXCL8,-0.043512021533552804,-0.02027132010823735,-0.049388262658962824,-0.09647538059464508
GRN,0.00749412273251845,0.023605595282407178,0.050893543215795,-0.018195057477754004
MIA,-0.014846414038419388,0.05570681587476006,-0.005617388809755438,0.03272678870721022
COL4A4,-0.0036900892773296824,-0.03744911252572259,-0.018420269728480248,-0.040895550259965795
TAC1,0.05047680430974271,,-0.03644958524789133,-0.011524625471874928
RARRES2,0.08586397286331336,-0.0022406072295310174,0.10646492366781589,-0.06407699100315399
FGF7,-0.00708410525738343,-0.033772666227172364,0.05101042345653311,0.05338334878523377
HBEGF,-0.031221240882456442,-0.040773604345683015,0.00777126490658756,-0.05488807263198013
CSF3,,,-0.00034028078085162537,-0.019023530937527455
PI3,,-0.02065614971974327,-0.06342441525227145,-0.010628382077985233
PCSK1N,0.007159306404608554,0.012081301170779522,0.0757664015857081,0.011953688590705882
NTS,0.009345057365338083,,0.05972235777382709,
SFRP1,0.06113462479614754,-0.0440884628407561,0.05391984289375475,-0.05366771969571438
CXCL13,,,,-0.03489298709848477
MICA,0.02278795884901178,0.12502914368245985,0.09108289665721693,-0.04421486023983249
TG,0.04567228281306123,,-0.008672232071231365,-0.011076864631159231
ADA,-0.01057160056790045,0.05810660995733273,0.020564380033822428,-0.045026670037444295
LAMC3,0.03713661901487092,0.050145388984025215,0.04370355652697337,-0.024914834240179307
CCL7,,,-0.03059033677010497,-0.07284254146739791
NGF,,,0.04595710913739422,0.03303890392821047
TNFSF15,,,0.09359421910105492,-0.01459887923456996
HMGB1,-0.01505392799348611,-0.035349831403822994,-0.09447626709272848,0.06736843999304785
ITGB3BP,-0.0026617306765829916,0.02250744430718125,0.011618317285397497,-0.03399855576866604
AANAT,-0.013020709022544026,-0.030071912763918025,-0.0059009738238680895,-0.007274079049010483
RELN,-0.02126253965589061,-0.037606781166183954,,0.04507186969072167
IL15,0.03698912611449954,0.04956777879758146,0.09668515166356832,0.023227352018632075
BSG,-0.09230487110982873,0.03609187967746067,-0.006164407613554921,-0.07892351468670089
ADAMTS3,-0.025992711424391395,0.07321000313958761,-0.01795995503473406,-0.026963718156456453
CD34,-0.02904786921053805,0.062401767622000205,0.036819207746868796,-0.00415099191794727
PLAT,-0.05560955477624161,0.04475051773382606,-0.025372360365413724,0.02885128879936656
LTA,-0.03548838760188927,,0.09521894603419975,
CKLF,0.052007710333925095,0.018211636924769556,0.03486552570724122,0.0026200989387218957
CD24,0.04484995141497091,0.08400613101708879,0.03477836900130167,0.03575952382695198
HSP90AA1,0.07055701827095374,-0.0689585788789523,-0.1323300749109871,0.06008441149934809
BMP4,-0.005448817217803495,0.056870749210883434,0.06337527521524909,0.05098693373874182
SCGB3A1,,,0.02530130130879946,-0.05278247452463968
IGFBP4,0.0050966563191845995,0.04409788795618233,0.028927233387120176,-0.10200986030024872
RSPO4,-0.025962059293773994,,0.044317878486749944,-0.03312088459621212
LEFTY2,0.0021174377425474305,0.018022333592281434,-0.06185241433907503,0.07938034809755491
PF4,,,0.03427370853374159,-0.02594546303916551
ANGPTL2,-0.0009676729146190908,-0.008291979820397312,0.04168656758200318,-0.040671935218539186
LRIG2,0.01373454284660094,0.03161555823057474,0.06081107808068373,0.033301934015016035
