,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0013304833531802849,,,,,,,0.04660260033375511,
BMP1,0.04938741448290192,0.043246173455400855,0.09602463663894081,0.020150743168691525,-0.028820900703455863,0.06020635369094954,0.024978541946635558,0.07067820336408923,0.0054618318835206806,-0.01623219624648766,0.06618897770714012,-0.04508520241519753,0.00695498556768179,-0.00785332359625514,0.08901884703923299,0.012470567351712272
NDP,0.056028770329245664,0.05498980283875876,0.023537095149293426,0.06616275086840524,0.054986958077121555,-0.0490840563625843,-0.014293131882208352,0.02325010281541136,0.03516213472031787,-0.033358152579345726,0.10527057190367115,0.05181219684080166,0.003418074381008369,-0.0061787389457852535,0.043075108662359925,0.012075023039931545
TNFSF18,-0.019279987219288242,0.13927631899860815,-0.03429528173698773,,,,-0.017240375526078978,-0.02075059035400057,0.005211359915357116,,0.04186220732906147,,,,0.12605815276930252,0.05061837867503312
RTN4,-0.014382524886861262,-0.11116941271820648,0.03172209353750884,0.08299279762200065,-0.01631538011701624,-0.00890117705810515,-0.05050489608970143,-0.05844270093822441,0.051844150499032786,-0.03839050991297638,0.0532693994988795,-0.00845275885390905,-0.08097640118372912,0.018471230231930952,-0.001147059597335552,-0.016689892023695176
HEBP1,-0.030211284227078077,-0.0029549910308576755,0.021891872542571023,-0.05925864683331311,0.021534588393665025,-0.038919130924609656,0.006918494913447946,0.04176461241273415,-0.01743331328296251,-0.020296505812550474,-0.0020763664419958484,0.03856462665142704,-0.020571435996558134,0.02851063967438883,0.0009288587197328688,0.06718695756312192
WNT7B,0.09162484446521604,-0.06374422256365847,-0.03958928998897547,-0.020500185959645898,-0.01029087693013757,0.047529074710312764,0.10840243939645605,0.02006761015322977,-0.009465563893377287,-0.023329738804343317,,-0.018270525224024066,-0.001489005328009231,0.060642081571795424,-0.0034437205335688605,0.10072945106133058
PTMA,-0.025250206548550994,-0.06776966616084988,0.0436554775000496,0.07086996792376252,0.00841189296570231,-0.024378528911233297,0.019806393471969646,-0.0911581223720651,-0.04754507171822836,0.022489319659867463,-0.054265763079111747,-0.021880034117336886,0.05602982388708024,0.016430694532507343,-0.037053108192311716,-0.063060193027846
FASLG,-0.0169850696758353,,,,,,,,,,,,,,-0.024422852007598764,
CEACAM1,-0.02358391789291431,,-0.015323250372855132,,-0.0270222298840925,-0.033885534852023454,,0.006479392858586677,0.061301233411458544,,0.007132275805343445,-1.3131358640464582e-05,-0.02609465192006926,-0.005290163560022906,0.014837863912740076,
