,UKF260,UKF266,UKF269,UKF296,UKF313,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.014513720008306781,,,,,0.03859458285193002,
BMP1,-0.0026916346696575504,0.013794013729461735,0.013304242996563805,0.009871317803956831,-0.009622564563202523,-0.05263218315269876,-0.0025908186632489856,0.03699415270929241,0.025926579610030875
NDP,0.04877831879692881,0.041168747231849996,0.03150001926455357,0.013666567550834193,-0.025411936893756433,0.053833698160468166,0.05339461232971363,0.02275371568072537,0.015847952384828244
TNFSF18,,-0.013117668804275081,0.049431325519773854,,,,,0.0713171647241046,0.0018615195679767761
RTN4,0.055135225041535375,-0.06390784393736586,-0.04098476288383094,-0.015223088739343839,0.10923458423862403,-0.07761149370660371,-0.02746311951585268,-0.013229079661589153,-0.025156718641050506
HEBP1,-0.0404966151967993,0.028972000604801682,-0.021305363888641172,0.017172400106527846,0.09139261425178043,-0.04380556241621679,0.04122066804688831,0.021943109472966953,0.002700401562800275
WNT7B,0.03908770475129578,0.0254098214168364,0.022194733629703804,-0.010229013769844888,0.02773092331647982,-0.028461553770841152,0.0030430414007988687,-0.033023077579913254,0.064091901963845
PTMA,-0.018457651223512443,0.07543504110548013,0.04011695140672627,0.01162938971617098,0.05365369898043116,0.0033241003522273362,0.0031034499105375346,0.05223201711531417,0.00753955877294718
FASLG,,,,,,,,-0.013418615615000523,
CEACAM1,0.05478123304239637,,0.014462609231240571,,,-0.03969402192870975,-0.013249208991714174,0.026245887358042418,
PDAP1,0.004437120571104003,0.04636733680458938,0.02090653599215464,-0.0935310956100621,-0.01175877880533382,-0.01378893659335736,-0.011213358701194644,0.04021062192454237,-0.06391740666827875
QDPR,0.09710540650188738,-0.04340789039983686,-0.03363307043573406,-0.019746452297740563,0.11024285120087396,0.01187131691747397,0.04721487946829104,0.019807821360006975,-0.053314594846004794
POMC,-0.017681480924939964,-0.034607056013704805,-0.012559510944916192,0.014609170524098247,-0.04010533419619263,0.05027908078662805,0.04178271794684612,0.03669930437242375,0.05664335636595832
CCL18,,,,,0.05283736481520791,0.1301635602471833,-0.019768630416915425,,
CCL17,,,,0.0760884910495472,,,-0.019126064957379434,-0.012162467881205636,
VEGFD,0.03170383070515611,,-0.0077682100825819346,-0.009286741036160477,0.0027632278453432074,,-0.013249208991714174,,
TNFSF13,,0.13040716741380243,,,,,-0.0016648406225300487,-0.01981772625247855,-0.0018922258179831454
WNT5A,0.029864848345354644,0.0771052130143282,0.018625094474779,-0.008424782574003436,0.005866452955786114,0.004235594338218187,-0.0027164045457435744,0.042843577194633886,-0.0019800138189021055
CXCL8,-0.04846732335805779,-0.01809536958708984,-0.01967601982092135,-0.00864821705379736,-0.03676291803798249,-0.02108356165246,-0.034457376931746865,-0.02629841709523457,0.02675297789120081
GRN,0.011403582293121184,0.058758391941611636,0.03570826739675209,-0.04174853510550393,-0.047962708723654573,0.012464844116459558,-0.0002474922171447812,0.004248019304160166,-0.06917945087078217
MIA,-0.07744560814269079,0.02500549180262951,0.02736467246985655,-0.010561712159181027,0.019604790581519545,0.008353616101830646,0.0963569643107233,-0.01547122915631517,0.03100753528449743
COL4A4,0.016631661089986254,-0.012103852194583709,-0.014302193784893022,0.014360868447912905,,0.006145736699946827,0.07779511126707868,0.09608301805453036,0.015259732042834248
TAC1,0.07078824681370148,-0.031822161241966504,0.00463485475432305,0.010712452475680787,,,,-0.015988800761633115,0.026632619376754055
RARRES2,-0.09473429864043617,0.05501250693517806,0.021765082328551087,-0.0425221336098726,-0.09970173688160767,0.011525631980971543,-0.021949747670984697,1.9492963941032645e-05,0.00455831784175904
FGF7,-0.01017073604267842,-0.0241594353955316,-0.0017121376348466879,-0.02773268722439197,0.07741907262964927,-0.06965201609296474,0.014281720297171879,-0.04175936548969991,0.04156588985362549
EFNA2,,,,,,,-0.01259248646878843,,
HBEGF,-0.07022621727126502,-0.003636501145660524,-0.008431743703592127,-4.285553086426313e-06,0.03796853227403339,0.030162608025574713,-0.021331937300520888,-0.03995240241261444,0.049727143155580765
CSF3,-0.057564141974590435,,-0.015131445741370335,,-0.009454015457824615,,-0.045736742623131585,-0.012805202396783545,0.024851689578763183
PI3,-0.0331357715416021,,-0.01703820761824968,,,,-0.05012691787112483,-0.02782145069676256,-0.0006776352079114234
PCSK1N,0.021950839685989668,-0.002101790733743034,-0.050149606366427846,-0.04093171615986047,0.043966931091731526,-0.038882986085214184,-0.03675252580328876,-0.021945871627357453,0.012867370770442156
NTS,-0.04594973511267829,-0.014776053435385714,-0.01859836699840371,-0.0013391174716505367,,,-0.015341555168871878,-0.01896275861664745,
SFRP1,0.0591740795250112,0.09515102630426069,-0.021874961185680202,-0.012660651696028594,0.051011317078200016,-0.04208364972663175,0.002960166018414918,-0.018522112147443363,-0.028042646974234604
CXCL13,0.012340298509111313,,,,0.04758401509810758,,-0.03235368747909693,,0.14293028257544163
MICA,-0.034798420094256044,0.06134439431594682,0.016975704519725732,0.03652461573512924,-0.056524277957325925,-0.052248835306037425,-0.0001102255379079292,-0.001718296035465654,0.026827124013327094
TG,0.022145822094170316,0.09300384869968017,-0.018262301230019092,-0.009162458559728852,0.07980352733272936,0.02299624723865427,0.11067669842971674,-0.007482192372580535,-0.035007355232986315
