,MGH258,UKF248,UKF260,ZH1007inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015714764982612494,
BMP1,-0.02518704006276634,0.0757168657726501,-0.034959559596337,0.030565211268890106,-0.010419727856749373,-0.019817844218562298,0.001518191195602697
NDP,-0.076573720281879,0.0018388412828025755,-0.03502959810302631,0.02389507966512163,0.011138947817525124,0.02970419804341141,-0.06312062770921183
TNFSF18,-0.019279972921484746,-0.019318396937784643,,-0.027738332629365967,,-0.026507999014078267,-0.029753375635308183
RTN4,-0.040358337605178374,0.024609763999355386,0.015821993410050576,-0.008466401918903877,-0.039327949626799974,0.003598209281689009,-0.07766213671306382
HEBP1,-0.02672599869111904,0.012766349229323029,0.051554129824186265,-0.01737842290395377,-0.011245814022653917,0.01060393462777017,0.061780775499220716
WNT7B,-0.01698505227828391,0.03044264506179691,0.02956942762286701,-0.03053719681360671,-0.01727470751888926,-0.03354184119222203,0.15774038536064433
PTMA,0.06562590810774065,0.0039015548306520764,-0.034938107584517944,0.01834833254324132,-0.007930035075946537,-0.05408729432867501,0.1453653798697634
FASLG,-0.016985057079914677,,,,,-0.013629410308250274,
CEACAM1,0.0561209419310701,-0.019506060962389167,-0.01752851007327118,,-0.0149473399013013,0.024797644599655052,
PDAP1,-0.08663049642686987,-0.07870579147768755,0.0008295727922654315,0.05390767414832463,-0.03661041055139241,0.010601975407173966,0.004675241570127499
QDPR,-0.02186490195623145,-0.026767578915170134,0.04271559661326574,0.10176040289257171,0.026837442009240646,0.05612868874006442,-0.12228086675215596
POMC,-0.009858346373904614,0.10691518040107756,0.020881114903855687,-0.02547516126235957,0.002409893586551141,-0.029747325506016657,-0.053832520951930384
CCL18,,-0.02434172106986776,,,-0.03650041423170027,,
CCL17,,,,,-0.021577423533065635,-0.012353529594256922,
VEGFD,,-0.024341728799504296,-0.016770286006143567,,-0.0149473399013013,,
TNFSF13,,-0.018369049673601198,,,0.04580113805353846,-0.020129045366622404,0.032681784354815606
WNT5A,0.004434791573305856,0.0848200122126684,0.0773358813354377,0.018417459474264902,0.014167534802459894,0.01825326367366823,0.11055877880738625
CXCL8,,0.04061095609676249,-0.03411530744075026,,-0.09795868646051897,0.051992578512845944,0.13051794864377617
GRN,0.09067546273614499,0.0007678723873464584,0.0736189719274533,0.017948664559392417,0.009829076593265,-0.014403203236908286,-0.029746418296120798
MIA,-0.022231974719859996,-0.04849712202005276,-0.04276616768983231,-0.053633560775101695,0.025835685086505397,-0.017670699426810793,0.03197743429866399
COL4A4,-0.01967076571672231,0.046794293705580706,0.04499760476514821,,0.06137691497963479,0.03776254360740866,0.06616966478326276
TAC1,-0.016985047839043987,-0.062001979504511244,0.04033830185059288,,,-0.016239970811411736,-0.036217705708211416
RARRES2,0.04617133116316963,-0.01215613589913984,-0.09288028883982355,0.07591393900888835,-0.035226554618163104,0.07338764512571745,0.055834207972838036
FGF7,-0.021776012616635122,,0.017372762540506525,0.03123351645385116,0.007495661359983648,-0.003888318360879711,-0.0545457603801893
EFNA2,,,,,-0.014206446254205073,,
HBEGF,-0.062452720309942096,0.06876873518344889,-0.028722077693534007,-0.06985825472076343,-0.00883554581081682,0.037011714414758354,0.03439421441816356
CSF3,,,-0.04251275246074106,,-0.0610914391292291,-0.013006360905878442,0.060287773124579495
PI3,,-0.02560851685516149,-0.03603874332143102,,-0.06673975560434049,0.03366822058717012,0.02566196360269098
PCSK1N,-0.06220280638509929,-0.0546749187807321,-0.01856693920342988,0.061118145932356246,0.023407799053710862,-0.01160859916215551,-0.1533629387895751
NTS,,,-0.05617841117886888,,-0.017307858896867253,-0.019260646938397786,
SFRP1,-0.024713673644498668,-0.032704874151647294,-0.019131992108075868,-0.020335047005067455,0.0515591259419071,-0.01881307829927897,-0.0474735446434458
CXCL13,,,0.020368308958337678,,-0.03650041025943314,,-0.03086573810393092
