,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.029821022688140544,,,,,,,,,,,0.036103892328112154
BMP1,0.09440732562019492,0.05591452967092496,0.06936832758924442,0.019788722201388057,-0.030154638065161502,0.1403380715745511,0.057434266219097196,-0.0028163710938987206,0.010833219102223684,0.05786284629836969,0.09387259217635288,-0.033351803021631724,0.053995660324258794,0.05098571768248459,0.0457885767480916,-0.0571870293792408,-0.04189199369077974,0.11564512737904914
NDP,0.14263170884768356,-0.009337784154081282,0.017766888974578784,-0.030265416403616425,0.02507788461879072,-0.0007025835676243688,0.03377240392432923,0.03199087502725927,-0.015375357097724586,0.07512812448091344,0.03502921021028163,0.048825304840793775,-0.043039951627386996,-0.05141235420960918,0.004250069571160786,0.06571143195684709,0.03049509879232614,0.06296065440849793
TNFSF18,0.009980864606100127,-0.02493503798527779,,,,0.005607886029929277,-0.027261583290291817,0.03196891107840203,,,,0.0815020524328597,,-0.010803176850477233,,,,0.02943692550180262
IL36G,,,,,,,,,,,-0.005510901850291681,,,,,,,
RTN4,-0.07700673742362124,-0.00598012919173805,-0.03128876488756226,0.02664169585570341,0.08341302189992669,-0.08533946759626594,-0.08309454354599616,0.04350060976003853,0.01059857087385278,-0.06374298317989212,-0.042532724141345575,-0.052726165960048026,-0.01289930800021829,0.05800359538707669,-0.044059344956433065,-0.043805090434933476,0.08559013408117416,-0.05565732116773298
HEBP1,0.028633759178860282,0.013659342357737404,0.05015928725726785,-0.0436295822368041,-0.017402834195099033,-0.03592250419792924,0.013823788857985417,-0.01951802684966057,0.025152397977081443,0.017999074445617623,-0.014516739365996735,0.004736012295120776,0.041080887561889844,0.00894414197497368,-0.014489295042031322,0.07494145221585648,0.0869359620786333,0.04680545621202482
WNT7B,-0.02734148890685783,-0.005634524078827719,-0.005143092267551552,-0.020404402802586756,0.01430330503238321,0.015592065189570117,0.010464088840156092,-0.01749516976171016,0.04025268916673374,0.009330051921297213,-0.032667953172916854,0.1584379340469852,0.012420442689820656,,0.057677338222477115,-0.039633826216177295,-0.00974992162064718,0.05070019278143117
PTMA,-0.1496992067242992,-0.01161367689408064,0.11554120589324472,-0.009558483124606235,-0.09003462035814586,0.15860736045232032,-0.04571031807180148,0.04379044098419863,0.021427447526993663,0.053363590710907016,0.055823379180147625,-0.05004623535618013,0.04977110114625598,0.028032755261287064,-0.037656508025232606,-0.01433288398521696,0.02845668145602443,0.059171664240301576
FASLG,,,,,,,,,,,,,,,,,,-0.023030338186169654
