,UKF269,UKF334,ZH1007nec
IGFL3,0.14618576182936258,,
BMP1,0.05159969320519314,0.010162256388626544,0.07687109715933944
NDP,0.01580399324038582,0.04905847222385886,0.16716265580262388
TNFSF18,-0.0026429114916804316,,
IL36G,,0.01619250985796903,
RTN4,-0.08111505198529563,0.004408621321572621,0.011703779826621564
HEBP1,0.026916673912001463,0.04345058532970205,0.0957325670007985
WNT7B,-0.0011491918914781254,-0.021024704876680077,-0.016946636065396533
PTMA,-0.07699085147499289,0.006608946112885299,0.01681185554429815
CEACAM1,-0.02766788552046344,,-0.04382962647890841
PDAP1,0.048252432778084005,0.03712398359421239,-0.07576643350048018
QDPR,-0.06207181140212062,-0.07391558272435463,-0.048315553210156306
POMC,0.0006951942122840739,0.005345547810617326,-0.02334689155475299
CCL18,,,-0.037581613298432716
CCL17,,0.00177432391522663,
VEGFD,0.07290232796338256,-0.01872813403094812,-0.042339888304757586
WNT5A,0.08995735472784087,0.06056700578321177,-0.011555558120614935
CXCL8,0.01894659852962248,-0.02508337397187384,-0.04287031247043311
GRN,0.056522343177987336,-0.016716574308363978,0.017725673598037384
MIA,0.08454575786321654,-0.012422441146206895,0.029998300806494096
COL4A4,-0.013952277995233976,0.09879741589586451,
TAC1,-0.020352901648127485,-0.04409348537515516,
RARRES2,0.0697543309031272,0.008332796573903432,-0.004364769972221699
FGF7,0.06723292496788044,0.026845423641391062,0.042339343539730616
HBEGF,0.0036041437809468196,-0.02904894105113475,-0.053775441349695925
CSF3,-0.014761241570953675,,
PI3,-0.016621352836194356,,-0.060158338176495435
PCSK1N,0.012324386136574113,0.0053964932587013004,-0.07680174406872911
NTS,0.06630407915518345,,
SFRP1,0.012870869675022484,0.0426538167180109,0.059346292720783615
MICA,-0.051805867860124304,0.06471072387580055,-0.07037824147324662
TG,0.06728069925977787,0.14489525746256732,-0.037311887460636885
ADA,0.03282747283866992,0.051476801803088855,0.09598708149239678
LAMC3,0.0493207358451117,0.0767806122698877,0.17799494939360758
HMGB1,0.047373471029237765,0.028224948656805655,0.043922966388424245
ITGB3BP,0.0762696918419921,0.06214644375687986,0.1049189990417307
AANAT,0.1869950794085501,0.032958572373878794,-0.008994743378120684
RELN,-0.03907050322294719,0.026836785821570824,
IL15,0.010653909805718818,-0.021740058713560502,0.042815346164543855
UTS2,-0.016025888112979628,,-0.008040666560556721
BSG,-0.027709299331862686,0.004099910958243739,-0.04895579006432368
ADAMTS3,0.03591504927126336,0.04235137225804732,0.0919384521079077
CD34,0.04659273812801978,0.03257662033710871,0.11141758578960397
CCL23,0.01007303464998168,,
PLAT,0.08928019582218512,0.06475838534036488,0.07818211104691097
LTA,,0.039073266802183565,
CKLF,0.054151479188027735,-0.013814413729171006,-0.0015609553305108578
CD24,0.07179340337632023,0.05235228602515007,0.04346708362827428
HSP90AA1,-0.06890740458423668,-0.027143608823563294,-0.09571676856581766
BMP4,-0.030973287591664588,0.14661993881168864,0.10926938964938748
SCGB3A1,,-0.015169927342652748,0.11172294455408482
IGFBP4,0.040004184028145526,0.04702906952973314,-0.00015047982384275014
RSPO4,,0.0646815183914202,
LEFTY2,0.09177528743981227,0.07578815393402355,0.04230462889777489
ANGPTL2,0.03569645787707736,0.08459470211966891,0.14307675507022596
LRIG2,0.025605082508119482,-0.03812988142723324,0.02687153501236636
ICOSLG,-0.009593962043560583,0.02599389586408744,0.061301237961972226
WIF1,-0.006070741329432144,-0.021816917235180127,
NPPC,0.08914696529511423,0.04426423725993727,-0.052894372623261056
LYZ,0.09541506836830384,0.07562441910133111,0.003501377805791384
SPTAN1,-0.05203021724281558,0.016637642980805643,0.05394526667521477
LIPC,0.04896586435690818,0.007691760779848268,-0.038134966182249805
COL8A1,-0.013245986611029834,0.045346764737526614,0.06330562613210491
GSTM2,-0.030746530011897016,0.05796436095585528,-0.013783857363547428
IL4,,,0.08047522677383387
SPX,0.009910295152861587,-0.0388561760229544,
MFGE8,-0.012065765472393323,0.04547055382909376,0.1440039206728513
TGFA,0.019927233759525195,-0.0070988400989192325,-0.05654043556022756
SLIT2,-0.02664384083424746,-0.04096768477019918,-0.018877442921548762
PLTP,0.01461601492984009,-0.00026415413540407023,0.016419567234533788
APOD,0.04715785829792543,-0.024088944376648325,0.009832169351601189
B2M,0.10437501968671035,0.06712997010891546,0.014317333636293372
OMG,-0.040599829027996366,0.010772439086530939,0.08027787164308361
CXCL3,0.07061873032738537,-0.01565678103517819,-0.0068710227981661764
CXCL10,0.11133323154742539,0.06978939599809335,-0.014300947126151395
RSPO3,0.05154012833907617,-0.016361034426865685,
CORT,-0.01785666455421819,0.14825033309610647,
NCAN,-0.019579372555899786,0.07366606710621043,0.13744378278977765
PRG4,-0.018940164732208154,0.016986119431315724,
ZG16B,-0.020448951498599825,,
TGM2,0.03848757130056126,0.051005055359543465,0.019689672753427246
VEGFC,0.03787950862482067,-0.019521655746666422,0.07041296989615954
WNT6,-0.018625171906872896,-0.01703751535207705,-0.02282824440767868
NRG4,0.1382457780480995,0.08183011230254521,
COL9A1,-0.0485480801292081,0.07938198243003441,0.06594123181993229
GDF11,0.03865703838206175,0.06612218001416452,0.028138105389836937
SORBS1,0.0005508320130997437,0.02222045897014399,0.0871619646538173
DLL1,0.03635149228844283,-0.0014125340193141339,0.07759567380609922
TLN1,0.015379197168598015,0.0906407699442419,0.1394316355097455
COL2A1,-0.01748201614170461,-0.015894847135078802,
SHH,-0.013742988863424958,-0.015169926016706662,-0.010719536722253948
PON2,-0.0005364417486220206,0.046493890378452495,0.09788032833443291
ICAM5,-0.0341615679337185,-0.02962604607713877,
HPX,-0.025457457681139252,0.10570546763996368,0.11354897506303335
SFRP2,0.0951225518109253,-0.02975951265563114,-0.03645340959727123
HP,0.04771648218661091,0.015724952733640156,0.1023794263370282
CXCL2,0.03620306073967936,0.027627519682748024,-0.05161329341124151
NPPB,,0.04820513493687489,
CCK,-0.05739000326313671,-0.03209216029427669,
SEMA6A,0.03392101665439352,0.03361258646077032,-0.02474362450321896
IRAK4,-0.013368113735137086,0.010646795676274008,0.034578492644427486
GSTP1,0.07711761508164507,0.0650605329264193,0.03128743693501565
VCAM1,0.06286737905345623,0.023034444744873216,-0.04857517758181658
NXPH3,-0.004483647478023482,0.03118963282466312,0.12328922249641541
MTMR4,0.012951575846262407,-0.01900172222907084,-0.0629146770462323
IL10,-0.02294030848929336,-0.0174746585708306,0.08688830584895577
SEMA4D,-0.004295553881544667,-0.0343352945233997,0.04933332808936343
TRH,0.028507174036472318,0.09874875946650413,-0.0015298183722231905
SEMA6D,0.03258387695638725,0.013520731790440452,-0.09255034647410296
CEL,,,0.12478991740286588
PDCD1LG2,-0.02206525935024914,0.02886654084228796,0.037615176207474316
SPINT1,-0.006568193228613383,-0.012582306671545506,0.06356943675089724
CTHRC1,0.09142173026769548,0.0286008232533575,0.014897099850771974
PODXL,0.07655264454360779,0.055647727616621206,0.01895934645954645
JAM3,0.031651664974690547,0.0728857572022847,-0.05053237631249503
TGFB2,0.06380992601797368,0.008950953166014053,0.03457918848528519
COL18A1,0.06839956290415206,0.0964790369329503,0.11852892055179956
NODAL,0.040710297012416574,-0.001438745888550826,0.14054976328367877
INHBB,0.029463504266196084,0.07353861792890856,0.040533876268653776
LCN1,-0.015341483210539299,,
ARF4,0.005771840319798207,0.11345568376893246,0.07789285038908933
CXCL14,0.037964613239732256,0.017617210210723034,0.06780384452990099
LIF,0.032706934671946596,-0.021241892258518996,-0.09560446705528429
IL17B,0.09611458328070704,,0.18976988097379982
MMP1,,,0.14631118337843574
MATN1,0.2018766199002927,-0.01589484515704113,
ADAM28,0.028953012615642988,-0.007993940703410933,0.018753347433012314
TCN2,0.07665513170666907,0.011151012749942658,0.1091693136686648
THPO,-0.03130254782098607,0.06767580778989807,0.0479544849262551
CUBN,0.15672358512384107,0.09276804250488582,0.11144532417860027
TIMP3,0.021857372752694625,0.08053106367414124,0.08474640062591048
PIGF,0.03555758792675485,-0.011343666140616281,0.08322166246574342
CRH,-0.007168080166915811,0.026659748623940084,
BDNF,-0.04108495702947758,0.0570494456387293,0.013971401075201176
CCL5,-0.011350965749207308,-0.02156327137651649,-0.05486185444091323
GAD1,-0.014189045998452455,-0.042046030597407885,0.12867784130461526
COL14A1,0.015801273995723012,-0.0007777310206926588,0.10015942473105559
HLA-A,0.10273946003869357,0.0217125484605525,-0.01642032429732833
ADM,0.03017682546910407,0.004399260152876861,-0.1350298107261614
GNAI2,0.015031953558296727,0.05198996149456251,0.019510784406828352
HDC,0.018991637569343696,,
COL11A1,-0.027892107840894496,-0.01750860340276488,0.007778296840813929
NUCB2,0.04269576407515436,0.0890070998028942,-0.013201114595892094
CXCL1,-0.039244099990170124,0.08993885980620756,-0.03470149262054103
VCAN,0.012885424489675876,0.06463215212632972,0.03962359231208074
MMP7,-0.011198017540348527,0.0029626547155383555,-0.02937845675233238
PTPN6,0.06334118098085877,-0.010417712164409962,-0.009021154709253663
PTGS2,0.026433318401937234,-0.0274703695502359,0.034168180403470055
CD58,0.05959316768101338,0.049244874817356295,0.06593052485907215
TNFSF14,0.09286412934890853,,0.059762792882975535
CNTN4,0.015245549623388133,-0.035685065393418605,
MFNG,0.09781867226725596,-0.027331375024696354,0.07565582355638592
ICAM1,0.09469756898724542,0.009861209244743537,-0.0705948248448632
PROS1,0.038829617638132426,0.018366520185903783,0.03009240930174957
CLCF1,-0.0038466815212420406,0.05927245803314367,-0.08716709953397131
PSAP,0.006761610414238513,-0.010440598847883965,0.002370168936410417
EFEMP1,0.06267716795119058,0.08030706747811178,-0.12403697401520132
C1QTNF1,0.039743711930627784,-0.04085312810094974,-0.014607571721078388
ALB,-0.018783265541866146,0.09850292099715524,-0.05161337341612513
EFNA3,-0.04048859535465017,-0.028413070647440353,0.017214278681258875
DRAXIN,0.07267897048460925,0.06424347430758613,-0.042199707531694004
NPTX2,-0.04064482259716856,0.015232647972328473,-0.012687637774843486
FGF11,0.016556250726706596,0.04576104054029667,-0.02746561053450156
CD59,-0.028017596809156,0.0361305136459098,0.11553617502843107
COL9A2,0.05507999943996639,-0.006778783303827226,0.12927033990484552
DLL3,0.012136087782179589,0.06948552489888256,0.01190187139062292
FGF5,-0.014957008611460118,,
LIN7C,0.0005162581359281046,0.023848540997026362,0.04356236688095958
GDF7,0.030868738673434117,,
PSPN,0.041197924039418896,-0.005878492149392701,0.08371618503524594
ANGPT1,0.08223936708915237,0.05503664164353899,0.012279829585108376
PNOC,-0.031489443824617484,-0.03145057851077352,
L1CAM,-0.0028814664235817323,-0.02411366710471362,-0.010428795257377207
APOA1,-0.03201026064222554,0.024116531853495896,-0.04148966677284934
PSEN1,-0.016212951807687098,0.046539550383334634,0.04779296822687158
CALM2,-0.0782255425846206,-0.017292873398849662,0.008416310347617032
CLEC2B,0.038485955641941974,0.013117881831543715,-0.010836833704060115
NTNG1,-0.012521047148379552,-0.024522856778472754,-0.01564114142144417
LRIG1,0.04237771173376033,0.04135582473064798,0.08742616864024337
CPAMD8,-0.013530627152109773,-0.02935756855922918,
GHRL,0.05083358245703052,0.02987220839980932,-0.052469858913318235
NPY,-0.05720154290490656,0.03958579733505239,-0.028980488230488922
MMP2,0.03143603593835266,0.06597342692489558,0.0502275845809874
ALKAL2,-0.015341480724126473,0.0016663149740480724,-0.047156498071241074
CSF1,0.022193756894221123,0.030676231560008906,-0.08691970697490443
SEMA4C,-0.027141613506442536,0.02263733641098216,0.0915090618976361
ICAM2,0.03433421494021596,0.01002891492291171,0.06600813273849031
SYTL3,-0.01906820973968672,-0.034888769379184253,-0.014473408873824548
IL1A,-0.037215310010421464,-0.03054985775919186,-0.08229294388739108
HLA-G,,,-0.041322469109876935
PGF,0.038834472496503944,0.0279136353939521,0.11559797525459742
