,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
PDAP1,0.03308842845376988,0.037751218712570034,0.005205946825098816,0.021320214305095328,-0.026129214489764258,0.08148945820585667,0.011162761260396446,0.012370759310011411,0.015618650581277248,0.06808818285476137,0.03394464624626167,-0.020584137318314343,-0.04010750700209752,-0.10204706829627959,-0.005740297498279528,-0.031609346206872384,-0.00837205174759062,-0.06737655229320119,-0.02455595952755572,0.04643266329498683,0.006658859873498708
QDPR,-0.04413445588861189,0.07752026855535916,-0.013794137672038173,0.009396774738746541,0.07944694151092521,-0.11558542427918467,0.023694380688503283,-0.02085294881170069,0.015725852559402412,0.04327062948135992,-0.003227084558701952,0.060239559348467066,-0.10015791428453864,0.004944974454058502,0.019527513770215794,0.046863550422366666,0.09972435416953562,-0.0215738470163822,-0.01572976554578237,0.07470914636753771,-0.08541174619004235
POMC,0.02194996104333895,0.10011275029871092,0.028691612087248557,0.004263624937804231,0.03749263534537493,-0.04351450466677191,-0.028070194495051246,-0.01625390852532754,0.037519928793789147,0.007799983099185494,0.0048042494905309015,0.056199155583109096,0.08246754439053904,0.01819721693755495,-0.002373433679897245,0.007433376213745006,-0.01969191699271922,0.007400775824250862,-0.006310469621951783,0.0992789975377441,-0.03410207649971823
CCL18,,-0.03972745832076459,-0.03209874901885417,,,,,,-0.06259963846284383,0.08383433946573493,,,-0.039815399419248235,,-0.019670884143289918,-0.030038759461585792,0.12574973439984588,,-0.01968690224494279,,
CCL17,,,,-0.02705866808825905,,,0.027696761824069667,0.020558725935454655,,,-0.016933825002201676,,,,,-0.02531651343623899,-0.02800887052059104,-0.03516653990178847,,-0.02782002970499169,
VEGFD,,-0.00608110973783937,-0.021022263760244464,-0.012152130550315034,0.04989536260454607,0.04450167025151549,-0.032145525582475146,-0.021267670704274926,0.08133897973569913,-0.016365753349455624,-0.01814850475192397,,-0.044856498065520334,-0.030101225680748477,,,-0.0327381506721204,-0.00994049815565048,,,
TNFSF13,,,0.0039273614050593765,-0.02832284593331022,,,,,,,,,,,,0.10583959442986739,0.11799413932687912,0.002425923071641447,-0.029282580276223862,0.10022610431641567,-0.04683062000935826
WNT5A,0.04379323296535231,-0.014351664510335916,-0.01955364747023247,-0.006264955593777857,0.023849755965085775,0.06450220725167521,-0.014547659891910553,0.0047869756905402775,0.012145769011666542,-0.005956531008899874,0.022829806917456973,-0.0006745675766289904,0.08425559812005966,-0.037081801105564735,-0.025512259721865552,0.004100680920921341,0.03793655227799535,0.0020576945040052946,-0.019369151735052558,0.08876182534638459,0.027027387869901737
CXCL8,,-0.07484146478192473,-0.014862420845590106,0.09627020233734067,0.01917684675218951,0.02456275088282675,-0.01187702211490546,-0.018718589695161974,0.016292200812797655,-0.02351043780956487,0.05778886233682018,,0.15179669465262904,0.076872480652456,0.1339751670863641,-0.09647032336025889,-0.13160058852029533,0.11721803101389908,-0.00821892294070937,-0.022066032608114232,0.007315306194091134
GRN,-0.050664301550104714,-0.0472774775300172,0.02388332756990815,0.006803080389485901,0.014777239660987306,0.08674501422710615,0.025287347119798465,-0.01675944381688545,-0.056301970701762155,0.006763566118772751,0.05305348748626644,-0.011025972146406554,0.11389364993025157,-0.04035797030336133,-0.020069300787775086,0.030215140995021376,-0.03326100459238605,0.020087460479650508,0.0024599268539843315,0.019428151070424997,-0.12696549192874826
MIA,0.10816395133649295,0.09083756500716594,-0.040096737909701634,-0.002905222008980956,-0.03739354076327346,-0.020084933757633667,-0.024596919122107947,0.04153936930523712,,-0.022194901697227272,0.07009851855040569,0.02388154370836915,-0.03095672925904704,0.07740505966022748,-0.03966095201236378,0.17506314557639777,0.14051255271061075,0.11462185476898216,-0.027405071179985134,0.06892703188940404,0.011271381162449601
COL4A4,-0.031756529021426505,0.10398611007853717,-0.038550336776819016,0.04498280285878684,0.0100320635878726,-0.00876316237081204,0.03137132887325763,0.014556127173739938,,,-0.010089482398889682,,,-0.049259896057657786,0.0868644997030505,0.10287375459668248,0.034075087727118855,-0.014521719804341597,-0.03846172509324078,0.031320059654164956,0.03669793120574089
TAC1,-0.027420699956401832,-0.011175046979945999,-0.031079432115405523,-0.016098163981274567,0.006641233997034979,-0.053335666753411115,0.04065724912873292,-0.027714797303285653,-0.008403292484766803,,-0.03503396994465407,,,,,,,,-0.009593501727373496,0.09648587281554917,-0.001157127027901601
RARRES2,0.0630188262033077,0.02128934549344928,-0.04278613216696023,0.048361852749586876,-0.00230596447790166,0.1588240158687957,0.0728817260802566,0.017373416841260047,0.002998228433657393,-0.11052332035035008,0.04974430484803868,0.0788609506111505,0.07263768508638584,0.07148475792702198,0.022366243409417664,-0.0715044760042686,-0.06549186954122403,0.006556407521513886,0.007680978785079803,0.06930383327878184,0.11605708612334971
FGF7,0.06274038791281118,0.02320138523313903,,0.1156925905763312,0.024918253748676077,0.060057975149479026,0.006885863057118979,0.012949693958348194,-0.04742083612661781,0.008777721825834002,0.07381829743658913,0.024800764274062012,0.04183191998018266,-0.07117669432906389,-0.050654750949618375,0.09792794944146471,0.07187379474538472,-0.021867464473062596,0.07887722578909293,0.0036702739902524637,-0.009651148426585947
EFNA2,,,,,,,,,,,,,,,,,-0.031115421276066358,,,,
HBEGF,0.006055961068365289,0.048656360611231124,0.013654374334925804,0.08825472326820431,-0.01884167289783839,0.08083108092424424,-0.02527870532895658,-0.008533803426507107,0.029168901553692998,0.012680668503665763,0.02637629202838373,-0.04312088383322391,-0.05028652925852368,0.1679726551255256,-0.001701002768221589,0.012877169415819702,0.04005704613433627,0.0023499685866571625,-0.006664712558607762,-0.043598149084825955,0.07597001843870706
CSF3,,-0.04505995791633511,,0.030727997079056688,-0.005305573954894028,0.0019876661330156258,,,,-0.024586700681921467,,,,,,-0.07746727289978082,-0.015227210533207346,,-0.037384759046035075,-0.014383066615494816,0.02747139651164815
PI3,,-0.053380239537131814,-0.033769237307400925,0.03204837876296895,-0.011579003243225822,-0.0022228811129642013,,,,,,,0.09181687526403152,,,-0.12599485308516167,-0.0741516144755399,0.08692915946763283,0.011286395134778308,-0.050197223812114354,0.026264802762188205
PCSK1N,0.025156558809819905,-0.008881367106201356,0.02752547772106861,-0.054597826777247796,-0.028824222566504194,0.023741832341937646,-0.03512015862782019,-0.031915111438418894,-0.009508695378226574,0.07207809308973442,-0.03528037301488286,-0.01691407889999123,0.08492593546805492,-0.017114037359370008,-0.02236722498225241,-0.0013036973617698297,-0.029797829875467863,-0.020627210488585873,0.0171950676624673,0.0859567875981741,-0.1193827404538384
NTS,,,,,-0.040734871153961356,0.10236016743640368,0.019220171472643887,0.00888001497731861,-0.01839003684421309,,,,,,,-0.059060790494820575,0.0413317221242117,,0.0813160812796719,0.007243717600046596,
SFRP1,0.029353623266192102,0.059701974550191154,-0.0479121227346686,-0.003967933358930058,0.05480775510325144,0.057426861099428544,0.07365389431608725,-0.028294196864988925,-0.003342156328751769,0.10044552711068408,0.0024425810870818032,-0.03776903667139691,-0.10116529762944955,-0.058970416943520836,0.005404033303774357,0.03771785601109355,0.0498298606063084,0.013687361112959158,0.017526830262405486,0.020922853865314662,-0.019507117406920564
CXCL13,,,,,-0.023077804309835914,,,,,0.022366736616284924,,,,,,-0.01474749712476342,0.025491179913644902,,0.09272105486558714,,0.023718831770241592
MICA,0.001269355732584379,-0.020714556973173766,-0.03754934111563452,0.06727077153514016,-0.04090434094593658,0.0801091607349196,0.022881394637800607,0.014781000551703696,0.09797810444420701,-0.016662698004589693,-0.0009298374194532105,0.00970804745208975,-0.019829610891371564,0.028456265207078075,0.08460013829988249,0.025716900710847423,0.06632308259801706,0.05783722727772534,0.039249543836508693,0.027627746096990494,0.06510822004676602
TG,0.08394847407358179,-0.0019487914064327415,-0.050547742545438895,-0.02308329540638582,0.014501347816781585,0.04174010692175453,-0.012402800584862721,0.06848322471949067,,0.06832904984712732,0.13954991492723054,0.03362648727073994,0.0474419615542198,0.025286782933389047,-0.008915972900335845,0.01962696769415943,0.13375650577568934,,-0.03076823117080815,-0.02517933316878639,-0.007946692317835865
ADA,0.04236036964998359,0.07785918166464818,0.026457404480686435,0.058075374724230105,0.007834979400339318,0.09321608643991076,0.03790572191663041,-0.0431798777254187,0.010842826886139929,0.14061598227616018,0.0024523716557960655,0.10362919134178102,-0.00028378467629178606,0.026177113278033716,-0.06462976154091142,0.06982082194461146,0.0378146434682325,0.06454615923894065,0.042713776136078116,0.07013949867250248,0.027160000198037933
LAMC3,0.028494801138730028,-0.01909248262739993,0.0719120183374683,-0.06280709572590835,-0.01598268624144193,0.03708572954351029,0.017443828554231877,-0.02740737660905079,0.008588239248871834,0.0574782236336717,0.02685884857307909,-0.015309834939498015,-0.16292434134859146,-0.08863281497418099,0.13092358788950534,0.05126746373054391,0.05484014362892046,0.07322609014980068,0.03191290926916216,0.054055193167009526,-0.0030748645943255177
CCL7,,,-0.020417516006574855,-0.017776420622118372,0.02995197464626697,,,,,,,,,,,0.010059554830529907,,,,-0.003724806030675415,-0.021546235896495278
NGF,,-0.02596032265242548,-0.0035635113630789706,0.07383794338465875,-0.010720292043190093,,,,-0.018390048952832194,0.026394203598005476,,,,0.11846488380610481,0.047943569098656845,-0.011539892317567925,-0.0018349188517685256,,0.019716715071594025,0.07191792667716303,0.06347500013958003
TNFSF15,,-0.03211615905774646,,-0.021929824875437536,0.1066271914603935,,,,,0.008378386895447025,,0.07869037214214648,,-0.01498060163009638,0.04585793449373451,0.03323907807661794,,,-0.023215293550465903,0.03041695252564991,0.11076999206309474
HMGB1,-0.013868500568868892,-0.02864012187586332,-0.011412233063816125,-0.01805270056471001,-0.0008775121045674976,0.053252007255760174,0.06746203246803709,0.011064671826260001,0.04168508555050555,0.051546000480061804,0.020491059026765474,0.007862408574679819,-0.05246054755939482,-0.12545747663177903,-0.05345019114059431,-0.028074983235078673,-0.06348959525551981,-0.06523057823137648,0.044410031693482205,0.0016019169496586257,-0.05752948330771278
ITGB3BP,0.0030976872287236936,0.012981719473427085,-0.06474988259451485,0.07877288757434678,0.03333256937703815,0.07381500963165193,0.024823575457386154,-0.001047907279021683,-0.003486424483133133,0.00597053281738651,0.05370895102549412,0.007231449379193239,0.07365531985460493,0.010656185373608656,-0.03681108768436163,0.02647531593626128,0.03747548487487083,0.05354741957616244,0.03251112282366342,0.03891318378265844,0.10016066487430572
AANAT,,0.00454478454463194,-0.006699608101781263,-0.007098050548591604,0.015992295662822845,0.008303314617167394,-0.027336172762674492,-0.0010256239230055208,-0.01728935057021604,,-0.0227151065025969,,-0.054223101542616434,,0.19070942669989885,-0.02039897443967624,0.0874558638293987,0.013871181462414813,,0.07112564685061731,0.030061992832428434
RELN,0.04276462679309228,-0.01909876866879117,-0.0004561708937397937,-0.01666296478304292,0.050278785213532136,-0.016378015864682988,0.02734402781611556,-0.04638352395425985,0.03179486114461256,,-0.025147583519627748,,,0.005805060221354085,,,,0.05075877446650925,0.02547544516114097,,0.041873072874891754
IL15,-0.03827006543305521,0.03370324642161718,0.010176789075529262,-0.0009512630543712449,0.012961472255281626,0.07798688372439662,0.059587995359429755,0.051118466967312794,-0.03542974116678439,-0.03681632580588152,0.04310626600348946,0.014015914964952149,0.0471208939453874,-0.07185987325390378,-0.013993449574809986,0.024296536500898806,0.027419312713870075,-0.023491928127671098,0.0697237641367121,0.06570714932144904,-0.041796255880114395
UTS2,,,,,,0.07556895846073279,,,,,,0.032162862502308785,0.04026529834231271,,,0.03664215822728849,,,,,
BSG,0.030040795521656574,0.09644250176658362,-0.026877106281282162,-0.012301522019625585,-0.025485628494169223,0.01773801898808286,-0.04520982961946663,0.03233095497259837,-0.04063311188018667,-0.04438833103194296,0.037827813113240766,0.0541812835161084,0.07164271431488588,0.026262641178134066,0.053952762504495974,0.038339876978039464,0.041057780599488676,0.0953310966666003,-0.044765009496477895,0.05708980174708866,0.0004270487367833403
ADAMTS3,-0.008662913172156348,0.002293352360524497,0.03166855634737578,0.07745640456760354,-0.030677742404288555,0.1120570444227833,0.018104006691786145,-0.015563972776045565,-0.027762634464583734,0.04475611577948336,0.06628748814051062,0.0003492292468619878,-0.07168965446031053,,0.034111833901593065,0.05537106236145268,0.022176508790615855,-0.0015053800908869906,-0.004952635194117394,0.027185993631141252,0.01643911601617962
CD34,0.03473609863429385,0.017333233305154523,0.0013019388761984724,-0.02275079503186255,0.011579420274109391,0.04093851852729961,0.009822720437268109,0.053962928120916714,-0.033668329993202135,0.04102841580633077,0.03548718116058658,-0.011678087895739183,-0.09469122160024188,0.07547739804238493,0.020247984996124655,0.053351901856810005,0.07617374604448855,0.08227775853539428,0.020289185224179683,0.06339080071982313,0.03208218250237215
CCL23,,,,,,0.0022073837189379927,,,,,,0.10427615687829099,,,,,,,,,
PLAT,0.09358396846048486,0.019072991111934043,0.0477513078063348,-0.03870610610238309,0.05336786428567296,0.11662172232120277,-0.016127310743758644,0.017691783006053632,-0.02648969298614061,-0.00840610530881711,0.07362622933313939,-0.020210358958462987,-0.04516689777546958,-0.020633723571886187,0.05915093854687887,0.09792489096536978,0.10298866002336417,-0.003158470817871771,0.026041503361525928,0.034086217563302164,-0.05191115238797758
NTF3,,,,,,,,-0.010784700233801766,,-0.033350965399080224,,,,,,0.05314197571438278,0.08250202745509799,,-0.004763399993697917,,
LTA,,,,0.004959161084061401,,,-0.00517162916794246,,,,0.05844596941173432,,,,,,,,,0.024477988821786704,
CKLF,-0.035692266198919465,0.006412140093663005,-0.009580980106270169,-0.042888753246405356,-0.034738150560984164,0.11574805095340915,0.0036055027747881135,0.051070836007399416,-0.025201146571852264,0.0009795635202282517,0.04561009881812241,0.004022862614418381,0.0019584636290491167,-0.010431651997685629,0.028599299519039684,0.1566878727531746,0.08091807307098134,-0.016277225330671257,-0.025292533877324084,0.03192982578442739,-0.05578425805674044
APELA,,,,,,,,,,-0.028863382829809433,,,,,,,,,,,
CD24,0.0624605940729148,-0.09228609718720805,0.007468565372774062,0.10558966827892668,-0.019632104678632762,0.035948495472597326,0.0025097730340440353,0.03312118518175983,0.05629231988737568,0.025986152334038132,0.05904578847778031,0.014740665357226772,-0.05719248288877492,-0.07545433621578054,0.055404640275090906,0.0038493637180269926,0.04420886826644476,0.0633533521359823,0.015181461277407554,0.02109633739189137,0.020266110519209075
HSP90AA1,-0.04526079527699138,0.061020110931086245,-0.04182688561455856,-0.0393997300829763,0.025369100782213726,-0.09420980655124253,-0.008725478361914632,0.03448832692176721,0.008299395196415519,-0.07657365052144985,-0.01943532756002298,-0.08872913783140587,0.019374800169385097,-0.0022388737829859553,-0.0696303420372721,-0.17203050011621027,-0.14985633919415706,-0.11305873466645518,-0.009956815507601816,-0.07208776782921225,-0.1173395914805725
BMP4,-0.03268207126434917,0.08614570373889674,0.031357937977310714,0.0322904319198327,-0.039613696722894484,0.027200216538429287,0.03910509892998272,0.03268058774619756,-0.02757688931896088,0.09452258761707431,0.11317355618983126,-0.07429242765186107,-0.040980735921645015,0.007457340633540667,-0.0012704346569054764,0.07653428275281077,0.05037419161082786,0.07798949507502755,-0.0031216195047476126,0.05705706661263233,0.03334698338821186
SCGB3A1,,,-0.020417513964850535,,0.007072230647168817,,,-0.019535689575880713,-0.03043409539375221,-0.00891966471157838,0.007889434707040217,0.05600681210465783,-0.04485645446095586,0.03690037043966735,,0.10483327300817431,-0.01461158736179525,,-0.03212923482030773,-0.0320462563410581,0.03870333980974863
IGFBP4,0.10327826981667595,0.0251900286904014,0.051116654357890375,-0.0619077799003231,0.034991179347363906,0.07080306432456078,-0.0350510062665505,-0.044252152735034696,-0.022595612500720282,0.05223383440170365,0.016655786592080595,-0.0018296330395685414,-0.09486383496595063,0.05565845068743038,-0.0381239632331812,0.018967860967006523,-0.06627088676134203,0.03843420751600964,0.05043141169824607,0.04204675738253039,-0.021002060189415934
RSPO4,,0.21977193949794843,,-0.02631308138136817,0.02438265334813836,,-0.03062058209663772,-5.7564981561579534e-05,,,0.006029527028123446,,,0.0499546660532545,,,,,0.10937590614280143,-0.020662618748306032,0.010498155471730114
LEFTY2,-0.031442536293603614,0.027193011012449662,0.041395442987741365,-0.010010227076736569,-0.034701786014391084,0.061410569893904074,-0.005517944809635738,0.021692558735982387,-0.018390048952832194,-0.017703543863880466,-0.026007240420156934,-0.009425151407447211,-0.01598029007164939,,7.913273699159255e-05,0.04936043531327367,-0.03577714404827173,0.06600936387884367,-0.009109572636839789,0.050623619022959816,-0.01007518431528658
PF4,,,-0.021179893248134345,-0.024388811790960658,,,,,,,,,,,,,0.07713706725260622,,,0.032096192046752174,-0.00259252901047176
ANGPTL2,0.0348580220413026,-0.0002470488677665114,0.045521989593109664,0.009800172424019765,0.008625224613678335,0.10818650823115479,0.09794859786767213,-0.018931650182176893,0.051443587024909636,0.040875548256474964,0.029797496953353427,0.023623192757284174,-0.01339874142966403,-0.04183406086889565,0.01709380206955287,0.12724691176518438,0.1283188811210648,-0.005696374341313808,0.011951003470322982,0.07711259226580958,-0.01453885831687168
LRIG2,0.01408152418352377,-0.04876039205754789,-0.027967155869651462,-0.018279779171727024,-0.0004256101447422025,0.0741449323282846,0.019274536351254368,0.022370354525949595,-0.01986812811428805,0.08151616341541654,0.05480208751971749,-0.0011424711027478822,-0.019710779045116825,-0.01794443373161312,0.055428392005013254,0.03386890180105908,0.061211383520448526,0.012689396980414179,0.054068607296570044,0.01558445565574898,0.00928391337047038
ICOSLG,-0.05019907979160944,-0.004813490336366869,0.014372108099662722,0.030978938716314106,0.0588410186042844,0.07655114462944666,-0.011868248048769394,-0.02828700433370362,0.013617900125712106,0.02122165005462659,0.022460167823488683,-0.037557439241249,0.05123358771098509,-0.01711547631203083,-0.0073937147922056344,0.07709359412768106,0.13879957409442994,0.06128495503439929,0.03528163725797314,0.05925831064997245,-0.05110330235206116
WIF1,,-0.01490799835091478,-0.010440103628963315,,0.09514693414592912,-0.05141775522832217,-0.02362917793458759,0.017741056430449525,0.05060699187768257,,-0.00816421300269338,,,,,,,,0.06080758050705407,,0.08582956039361977
