,MGH258,UKF259,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0051327388545246355,
BMP1,0.07101600311893111,-0.0003168437920613848,-0.06003514072915586,0.012536936345744933,0.00711176081734313,-0.014502788075475007,-0.015294294684548617,0.021483463621819923,-0.038942692155382146
NDP,0.09093149066784918,-0.026163293670169823,0.034624650361327225,0.11694558041130652,-0.07643465888524995,-0.0146967451866225,-0.003231955330064933,0.03999286119521923,0.023092268683794864
TNFSF18,0.21019550562421893,,,-0.05071176919157276,,,,-0.04579256288639989,-0.02430872834009309
RTN4,0.05839216265333701,0.04259825270064838,0.04522871515738881,0.018463034312289833,-0.007971670426284617,0.07261070622839269,0.05987891985366962,0.0032355341532357062,0.05169145721885372
HEBP1,0.03527324261612841,0.004701216596699908,-0.04594361621466341,0.013541164402170704,0.08605663099862725,-0.009086645431852712,0.008831039935646367,0.003383286975303159,0.00915786328923113
WNT7B,0.3766594166141672,-0.01662110549498623,0.1107970228571275,,0.04544673067366141,0.01325099459434144,-0.020366673885378588,0.002195233335779414,-0.02101269140175742
PTMA,0.044836825708089986,-0.007223688499373745,-0.0981532502927911,-0.12348031068852103,-0.04306107417956827,-0.04709774757902941,-0.02744548945003326,-0.04535311363346417,-0.0847155734332887
FASLG,0.08882793604323917,,,,,,,-0.0050094544779625706,
CEACAM1,0.08909605145229857,-0.02388977636088698,0.06673487446717075,-0.03565898025774579,0.17120026760813,-0.01920074365637742,-0.01351765766452986,-0.005942329024482352,
PDAP1,-0.057944658253634145,-0.03241780561811408,0.048956435604819416,-0.03809231263033073,-0.059686563516947864,-0.032543831268674876,-0.010886664823300245,0.02397692614032961,-0.026695402358209552
QDPR,0.04877103616556245,0.02636415183857045,0.049048343908673554,0.05862265939517414,0.015101101110686941,0.023033951362563393,-0.023070136082418605,-0.028287728678534633,0.06077907143452149
POMC,0.00996612254181046,-0.03602026305319097,-0.03764343934861526,-0.0217225559752676,0.0609040959088389,-0.016121296725593166,0.11773588999304627,-0.0035763491167508763,0.022893559392698763
CCL18,,,-0.042980751077309504,,-0.014296499565963343,-0.0468869445427847,-0.046551375588747355,,
CCL17,,-0.02241933027083137,,,-0.014604115036376809,-0.01284386931400907,,-0.001999047903271051,
VEGFD,,-0.0010683257726599217,-0.04842262053565874,0.1568041387685857,,-0.01920074365637742,,,
TNFSF13,,-0.015464352261391852,,,0.03568188901650901,-0.016334642532418914,-0.015179423569579693,0.013028937870045419,-0.026444429044639093
WNT5A,-0.06911433601814201,0.0051208307915210005,-0.022632797176152148,0.024711544939095144,0.043991576817347104,-0.016813633929421198,-0.007352728314425321,0.0409732308918584,-0.07929379320761842
CXCL8,,0.04607641479093372,0.04155446966898851,-0.017207934116226287,-0.01922790484423455,-0.04316236838689071,-0.0173474035071021,-0.0576394654132938,-0.07413236565377607
GRN,0.012349312433334793,-0.0063836644834513205,-0.1406499783181689,-0.021421448378065113,-0.02492459909344169,-0.010524372469734679,-0.007067291163401896,0.0018328604110239262,0.03239234495611937
MIA,0.11458274426255219,-0.03474940281422824,0.07879617425794433,-0.029882770162119654,0.027030010717876692,-0.02454530426572705,0.02125094612814959,0.0012533663806796726,-0.001642966806397729
COL4A4,0.046012491631974205,0.02421609046751841,,0.1385945081343539,-0.026533915003128062,0.09595865040437528,-0.027242752328947763,0.020332777916732693,-0.029555653615902948
TAC1,-0.017710092635806213,-0.02106606913519983,,,,,-0.02332181041532054,0.03188011288129411,0.02588678023139405
RARRES2,0.007878793891207247,0.020578311341273508,-0.014490433898531246,0.05816126534616718,0.008772183951146036,0.04228861572897624,-0.07278025559392001,0.05096190298778154,-0.014605316463210054
FGF7,0.007755556943265982,0.021571090336636078,-0.06602881766836417,0.05503120128021487,-0.005235166969509264,0.008370674842311378,-0.01813902363691555,0.03958756195200164,0.15218093943363445
EFNA2,,,,,,-0.018249021872537158,,,
HBEGF,0.03505526949482147,0.021630511600196512,-0.011754106811862442,-0.0957115496416228,0.04019889008167426,-0.027316277911734924,-0.0284926650822089,0.017524598518646784,0.0005054044538842991
CSF3,,0.027538668179886004,,,-0.0008017416309399058,-0.04971845380673898,-0.019379408756106446,-0.022468485810239174,-0.03108916596764781
PI3,,0.04505307731561767,0.08371092264037788,,-0.006027221849986085,-0.05293166393533239,-0.014388424966867914,-0.013928549959569412,-0.02335534903270689
PCSK1N,-0.05239062073712834,-0.0026480141836351216,0.042773189310944516,0.1495850756559563,0.04164978267971949,0.016064910562639277,-0.011851135470131832,0.006553538349124851,0.011370814104496424
NTS,,,,,-0.034069880147518716,0.08862703301668876,-0.009758681387269872,0.03177219368587665,
SFRP1,0.15228743930235986,-0.019561732248911688,-0.026714617878995605,-0.011571856738447484,0.030772941737272238,-0.011234615288355964,0.033437996379333194,0.059952014047741344,0.08453343505249436
CXCL13,,,,,0.021809329958394946,-0.03677489684856935,-0.03161184845612294,,0.01567195530483382
MICA,0.056913854560311054,0.02085349369630794,-0.0719342861285914,-0.0890341315722517,0.022342171939590698,0.05615879900698237,0.030799653117180505,0.09729668319461984,0.028798001898965163
TG,0.20223924236526333,0.0068101288366782305,-0.04928979349394773,0.0035469680313891775,0.09389521830889781,0.03496585156472057,-0.01594955120152648,-0.034447634755750585,-0.027789855963083834
ADA,0.06211856166355057,0.046643000417633085,-0.12757113329322745,-0.003996575434482814,-0.0015474264315598876,0.011132611185267214,-0.018490608264510766,0.01588299096189676,-0.026088501714592482
LAMC3,-0.0188261364537617,0.007540987551687677,-0.05292885551777988,-0.10418405972860197,0.02458931869347052,0.020319242621497254,-0.04495584980020418,0.06927319450137916,-0.080646141202229
CCL7,,-0.015262646904911527,,,0.016806008866675246,,,0.15564163488283755,-0.04277209123321065
NGF,,0.059047144377776785,,-0.002196208822832691,-0.025279121237056824,0.026743601044718256,0.04067028827905684,-0.003281565199448331,0.03871444557997724
TNFSF15,,0.0007034118732847535,,-0.0206341355980607,-0.021338539294259096,,-0.012034280134144542,0.05421203844661416,-0.004304699582417508
HMGB1,-0.06198156460786789,-0.019452198325518585,-0.07879815590496501,-0.08398109563489424,-0.029367854725330707,0.018479965699221612,-0.01411158332403538,-0.07470239173623071,0.08428161516827958
ITGB3BP,0.07029194724066143,0.016138871484782866,-0.0698945362246744,-0.00177653126082717,0.027832020189929495,-0.01587984754054174,0.06334893114780366,0.05542122775592884,-0.0639668023525078
AANAT,,0.0035262823791323873,-0.039122796455082785,,-0.019202129396529613,-0.024558240772531287,,0.027046531382260836,0.08552130349454372
RELN,0.09015814080783943,-0.01614371704843482,,0.0497029746588962,,,-0.014536106219093087,,0.0027559985907048648
IL15,-0.0473933986665784,-0.013690492569288632,-0.06746637498252962,0.0829988415554117,0.020362391799074345,0.004787571191420857,-0.003900544885040401,0.08582730748196067,-0.014495195959514949
UTS2,,,-0.009458789541357315,,0.035490874279600626,,,,
BSG,-0.06408321028991029,0.016026402835102586,0.0850590609027141,0.09798008934831282,0.026058104082305376,-0.056397771876644846,0.016694327776232566,0.04716515158057726,0.033494760194414594
ADAMTS3,-0.019143691836846742,-0.0011598988923734413,0.0037354499734667357,,0.0033230378881977138,0.04409091258727637,0.027731984923238553,0.014943905845167154,0.0033961026792037998
CD34,-0.0123485371373678,-0.01609601663266643,-0.000515512572197348,0.010587319454913615,0.010936645108689295,-0.035840459535894764,-0.03595409126512399,-0.0022148952193108526,-0.013651611348278294
PLAT,-0.0001576759533266711,-0.011483983164910552,-0.018272307136748864,-0.03289166958962864,0.002117655836073624,0.05192489134834804,0.01414684166317925,-0.017476916127115383,0.0028434424720747762
NTF3,,,,,-0.014455672942288287,-0.03359034699039516,-0.04568367344935309,,
LTA,,-0.004695219157408025,,,,,,0.15890503403715228,
CKLF,0.02191865768713404,-0.006218901287684097,0.09803740955768948,-0.08565160884862479,-0.009680392806672572,0.029287472541575727,0.019295175389383537,0.035522169025874746,0.007521873767355482
CD24,0.051504978652342985,-0.0001607946780798274,0.018091848796467944,0.10980793461611961,0.050854014301441,0.039712129050400946,0.01134726399353945,0.07342618793021274,0.08104627693602316
HSP90AA1,0.02660510272806909,-0.041990411742671784,-0.048880795045611984,-0.023175384351425125,-0.057254284301737866,-0.03330619395224645,-0.025190665248065083,-0.033400248566188256,0.03516968320562371
BMP4,-0.02110823248647643,0.031161830137573027,-0.04423873263372721,-0.011386065010712616,-0.025589814992719027,0.01692773785221366,-0.02343992557581979,0.0894756727296942,-0.0331179852935621
SCGB3A1,,,-0.04842257346450138,-0.052015373102120566,-0.02010699035460583,0.002171902812220401,0.037047055789241085,0.01732401436343004,0.07834801531459207
IGFBP4,0.0526827931468709,-0.013743911483544246,-0.15853204420157832,0.043515793988183914,0.009931295305212477,-0.01342241470954259,-0.0490771416967819,-0.0009623856424889222,-0.09015277004084142
