,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.027894572915318924,,,,,,,,-0.01799641691184195,,-0.017065642457760214,
BMP1,-0.006740990275040494,-0.027532222364543064,-0.0164005010775509,-0.013688491264624923,-0.04844339619114598,-0.0005729165522610224,0.05253850579989377,0.08590060757956632,-0.1312169762160308,-0.06203018752748785,-0.00988838632681452,-0.06740654181265258,-0.0733786506002248,-0.02286315387488515,-0.02813128746874818,0.0381569756822323,0.05172535362133974,-0.01093732555496502,0.078514583633595,-0.011052755665480371
NDP,-0.004679147663203487,0.008352817265505826,0.05495258342330937,0.06349670701341406,-0.035446357007914285,0.030129871646416135,0.01471672301858546,0.06477957693375178,0.06063545344727567,0.023980495706766265,-0.030209496798235105,-0.03845407570220512,-0.040088340620517686,-0.043895878941425825,0.07425321763846428,0.14314120379025605,-0.07931890995140846,-0.0012097082753577055,-0.01766790102241473,0.04614477867129884
TNFSF18,0.028255466260397762,-0.02385245100737523,-0.03755181554424043,-0.02299847887847548,,,,0.01024191082200454,-0.004938371775164174,-0.01690524380491464,,,,,,,-0.018559387105769782,,-0.04334839413923018,-0.0025675655609595873
IL36G,,,,,,,,,,,,,-0.023858988616869123,,,,,,,
RTN4,0.021078104396241762,0.1031408835907511,0.020606229428262696,0.062155062134151284,-0.020195787205888896,-0.06745818792971585,0.04533799341781387,-0.03041835087328507,0.1506281823936375,0.08176440230912707,0.08764602017885534,0.2394401076540638,0.12325668421807588,-0.00308685918872772,-0.003032149215453665,0.05907349282525316,0.08576453040905824,0.06323847905655924,-0.006459808521193671,0.08945050761917815
HEBP1,-0.036904786376575946,-0.03461432368053349,0.016857292270712365,0.011881720044727867,0.024071522029908938,-0.004720645781016686,0.05712871899521168,-0.0008396234414449766,-0.0778660304824951,-0.004383834219185816,0.024215461994615564,-0.06084637144575643,-0.03128275393313613,0.0657605023127824,0.03617204156524152,0.06447924537269474,0.03219082346667878,0.05772845765157114,0.044427126486846484,-0.04079282330005506
WNT7B,0.03741628576808611,0.07125257085011551,-0.008125736263553165,-0.014285942155062473,0.02255442723726402,-0.03658987481962489,0.03926196269185305,0.09064437597007306,0.051240842300448654,0.014519100234313279,0.02674128047673224,,0.026111502364015906,-0.06333370318977614,0.04912907265202447,0.014364756893637845,-0.03880917985351413,0.027407569583621824,0.004683661485805928,0.09033980429269428
PTMA,0.04695321921297034,-0.07238261381535743,-0.018629326756291517,0.004743726205040839,0.047705915266803595,-0.00502127824594283,-0.018844866433128205,0.027444464669552523,0.06326563601884239,0.08312622732750947,-0.05925415364609933,-0.29282364578172143,-0.08715003600743829,0.09714318678830207,-0.013859968285960882,-0.033505032218408975,0.027383561480638974,-0.007866611889833326,0.029702037600895216,-0.020431340499068668
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,,,-0.026683261123803,
CEACAM1,0.015057238307135372,,0.013893666778787978,-0.010963601362448333,,0.0579716812894954,0.017618876606134582,,-0.03373230803093878,0.013936853580762376,,,,-0.002142957670814647,-0.0015571107362142417,-0.022973112774993035,0.16874070426338705,0.06919219932984853,0.010941028369597275,
PDAP1,-0.028991851208937085,0.017953709173369446,-0.04553056106440755,0.01875904301448869,-0.03314083255254319,0.03179620092796221,0.05752312241662241,0.04585633473894088,-0.04247904245177966,0.020630808233915384,-0.031319842218292135,0.03456523550834765,-0.061107352103855574,0.0445095538213268,-0.010073391086303179,-0.0009822700863158465,0.011068569089179314,0.009545533336293278,-0.03307436196910274,-0.028463016664547643
QDPR,0.07428335960070034,0.12143479558180842,-0.02689681258444426,-0.063175441719638,0.05744878242960917,0.037414753301829196,0.03555391767860221,-0.09227066697603678,0.05527807263727543,0.05323859796763962,0.11359088152981286,-0.2335088319952998,0.08554803807603588,-0.05709813277924509,0.0566681317348975,0.11344736034927344,0.031253597996343516,0.08078990846077452,0.0517107070322519,0.023948318944044127
POMC,-0.023578759901093895,0.08489082359659031,-0.005675449072366158,0.013630712601665596,,0.06172328713569183,-0.015610614003902125,-0.0344356815613288,-0.025068648872365436,0.008617913717317016,0.02367297625370356,-0.014798543260753813,0.00542411054690928,0.06269373624098654,0.05638333542556593,0.09329316949845563,-0.039649701969180516,0.0070725915173840675,0.019556184203524993,0.12346570707816774
CCL18,,0.06537639069265086,-0.002255122161964724,,,,,,,,,-0.0714953485523025,,0.07209073314399995,0.00496190607831626,-0.05957146113295458,,-0.08144033462551936,,
CCL17,,,,,,0.04868892077053411,,,,-0.021084130374600146,0.0018108647638063198,,0.04059672394481282,,-0.046159786887867926,-0.01293081032912343,-0.02372723613489697,,-0.006442923050528898,
VEGFD,,-0.03604123686923894,-0.018393250996768883,-0.015703159331315542,,-0.028729351947793334,0.06234617526100549,,-0.03001794528658386,-0.02246335759385386,-0.02721119102389861,-0.029963229947871477,0.006050885172099976,-0.04607085370829314,,-0.04798339914910459,-0.025024910727046188,,,
TNFSF13,,,-0.01631686657140936,,,0.08137578654877765,,0.04120549008556232,,,,,,,0.025538903110441966,0.06913074596722725,-0.025444392274699974,-0.018165239379059072,0.01608009441644137,-0.03234388089600589
WNT5A,0.0020358231139016303,-0.001933488050172887,-0.01896517127564993,-0.01403220777619484,0.026484171467667482,-0.0020991958360746486,0.043493722546320814,0.08724587480238552,-0.1024279822842917,-0.01741303421296385,-0.0049971094279600645,0.03018505579142018,0.034379128955553125,0.09413006748948012,0.07423910451951536,0.05820513737125419,-0.0260453280843055,0.05399962439256554,0.07889320716548508,0.015672186446163403
CXCL8,,-0.10112094558694934,-0.06758739186438133,0.030190872121782862,-0.04877130433393357,0.02358434704791488,-0.027531543191628153,0.03843968451867643,-0.02870601507464554,-0.03693928893633325,-0.002845249818451915,-0.07727175649120434,-0.04946397361679625,0.09435344469610132,-0.11929305067308303,-0.14675564472727848,-0.03368750313906193,-0.04511627171774324,-0.013458530161718203,-0.00737156449468868
GRN,0.10081908620893507,-0.02413687634801327,-0.017154086209622194,-0.005900650129777167,0.00835174013746599,-0.008712993135063483,-0.04149439006962226,0.008152170506948053,-0.08539454037429678,-0.027356222579825028,-0.028317174878892383,-0.17800664963694754,0.026982437590421935,0.04557793195736072,0.009829305088268115,0.031820406015351396,-0.007212605247322687,0.02012764605735036,0.09380691064120333,0.004474710230063458
MIA,-0.0017923012473830718,-0.017673723766967697,0.0250719878254769,-0.013965291743002485,-0.035530606426915856,0.037167752069004294,-0.017336949994915293,0.10310574591583363,-0.009961848197133557,-0.04144113715022938,-0.01257104205477169,,0.04461862842621266,0.016283132813911777,0.17611117224272152,0.0775855650692287,0.0068672414341426485,0.06922055055204296,-0.004116618095357061,0.008244262862813281
COL4A4,-0.019670780304333193,-0.03628179486028244,0.017204450042147153,-0.010050171853965839,-0.03622684561885184,-0.016186140294544585,0.08749308558126813,-0.007489319526424344,-0.013556900127162166,0.0036166891322883463,-0.01224187094151089,,-0.009160117694887749,,0.06367338666293297,0.12623143829416716,0.06937146080139686,0.002843777864492129,-0.006673286959301083,0.009139273092753164
TAC1,-0.016985060434957754,0.11159762641110216,0.02286966691121561,0.04106451166101787,-0.04988977392737373,0.04101996122013199,-0.01530277440228016,0.06285073886585955,0.1733890576516311,0.1307194960593654,0.08304469059869722,0.2374775793672613,0.053520346282846964,,,,,-0.05416763212858364,0.00761465866401307,0.04985257923550755
