,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.015200527242663513,,,,,,,-0.020322181224363314,,,,
BMP1,-0.05918490146188503,-0.0268091543050443,0.06264912599730395,0.02305431387889161,-0.07766226906358403,0.036677898055115836,-0.047900836239180115,-0.02998028391583138,-0.04467556917842887,0.110053326665566,0.0322307848240811,-0.07601242481293392,-0.023981221341042466,0.005782137005994363,-0.00792270251088347,0.01804676864453313,0.006017998411619209,-0.014834012428753863
NDP,0.02330845234436999,-0.06945054533242506,0.006168397725658226,-0.014074575584527719,0.00928920747298634,0.03307253612440763,0.009341785529100663,-0.004109937748500996,-0.06005005702952546,0.021874722786442192,-0.017738069232275746,-0.06334440132513033,0.03176591899347579,0.02131368398025303,-0.01686954231717663,-0.028882025183130936,-0.03812945530841596,-0.017305734342464133
TNFSF18,-0.02115380653898456,-0.02072416387470675,0.04467978157693999,,,0.06759292639511005,-0.022572326623022602,-0.011533387213693127,,-0.026346371462544878,0.04082656883696181,,,-0.020957906789122162,,0.034620647034645846,-0.03363548787833251,
RTN4,0.01072322692936728,0.18058339836814025,0.07245280682028485,-0.0014452459398144697,0.015379966142980006,0.01623240074237992,0.08986559295641978,0.10629274201332149,0.08217977720813012,0.05004156746055692,0.07072004337075634,0.029880832096518796,0.04211185866408143,0.0807237702077876,-0.00720688191229633,0.07473246323385872,0.15167950363288754,-0.01905562220981149
HEBP1,0.03560802825551466,-0.0780520115821496,0.021934607159850815,-0.029347237750619364,0.05386860939485932,0.009482115591390554,-0.01092836290843133,-0.03269016081811346,-0.0902353631769038,0.034753898134114246,0.06651956984899804,0.005409223657935486,0.02099626823495643,-0.011870688517383123,0.10434734927399984,0.02355319678150878,0.025450828885217196,-0.04657990326260038
WNT7B,-0.018635841005200295,0.282729592123369,0.04297101161452225,-0.02697617862123243,0.03133026550337189,0.051530172248449614,0.015733412747621474,-0.01648680408047008,,-0.02900478343187689,,0.06614033710278489,0.02813333922995903,0.08790691546985682,0.021434430541926532,-0.030607584161447675,-0.03718671381507766,0.06967468520545478
PTMA,0.026468820064081577,-0.04902177472112042,0.07989739181519558,-0.007535505559387699,0.0007692838829502121,-0.01636578343556562,-0.02409836934485699,0.03416493907554941,-0.13693066462860637,0.02399473221694186,-0.03569952301237378,-0.006454412358466862,-0.0338965651336203,0.06312883248174843,0.1078607166355098,0.03919582612136924,-0.0015316356289031168,-0.1566394093783511
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,,,
CEACAM1,-0.007592730866578025,,-0.022480782309771515,-0.01128501391759119,-0.016785829918042436,,-0.029703896212302846,0.044365157367427244,,,-0.033214041615579996,0.013153091509782366,0.0368976820486509,-0.030114324020884813,0.023103179080802477,,,
PDAP1,-0.0003072987519597686,-0.003187619521251528,0.03143122810058913,0.031039903331256488,-0.014935759904644321,0.005718380478656604,0.011385472730801784,0.045760059485911456,0.011184949363566269,-0.025102588380471174,0.0661212568341279,-0.0014560936482016825,-0.017705660849189373,-0.032272693222200874,0.0168485794360343,0.028129707670620462,0.00909735940548085,-0.012010645904473772
QDPR,0.013783946766843656,0.08541346792784227,0.015999788779780262,0.05112852207718382,0.13059138838138432,0.0042267928197204895,0.011601394098292953,0.024468406114335827,-0.06154201162794842,0.07566229704600808,0.11611930274656124,0.03781090456430641,0.07221223107733991,-0.033264399595172814,-0.012226502497534488,0.10320949892211033,0.11751924790485041,-0.14908886086078224
