,UKF255,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,,,-0.015714766071395284
BMP1,0.05635629287486791,-0.04128176671904561,0.027082909519841797,0.020366672831488443,-0.02526794927633591,-0.03692681057589251,0.08850013679105129,0.050469762407553534
NDP,0.10804681568056863,-0.028097995193215087,0.02735994586013116,0.01956905529667456,-0.07451736719701922,0.003435106204598263,-0.03523728198050902,0.045491094333670254
TNFSF18,,-0.012622089446573373,,,,0.05211454571829683,,0.03750796723032637
RTN4,0.06826833003998435,0.06068697301007345,-0.04881000278099134,-0.02357742615655331,-0.05702554838576165,-0.030613887524422637,-0.05320907658935,-0.06610428584181957
HEBP1,0.04721672228438702,-0.02219336125801977,-0.005711304983297047,-0.01879628836424428,-0.025262621731574363,-0.04799666791580739,0.014966325833251729,0.04915712827848547
WNT7B,0.10928120723242085,-0.028402079839452993,0.012765238201329273,-0.01643126405886347,-0.05900668337325482,,-0.04252987312890966,-0.020884112783373376
PTMA,-0.039925617546675535,0.029497702763864427,0.039070351972289655,0.058084461026868144,-0.1668971089356162,0.0016670096044434975,-0.017186694734144508,-0.00411966920910169
FASLG,,,,,,,,-0.013629411252551217
CEACAM1,,-0.01985153968813039,,,0.16725964530738316,-0.013276469601943673,-0.0019255905212700315,0.22141436578853105
PDAP1,-0.017650115095429304,0.032253576313075474,0.01171098337162257,0.04826828469690012,-0.03171008895059058,0.09072125744683583,0.018624885128368417,0.023897817767652613
QDPR,-0.015917507121191866,0.0377046332780502,-0.0456344257139316,0.005430863164382961,-0.04323297064824934,0.03447899764282576,-0.04486366450499309,-0.015532745879891162
POMC,,-0.014645674462481979,0.0498735184901366,0.0009296370699318327,-0.06113257396255079,0.06049379104918131,0.05839484080765223,-0.01333236592834489
CCL18,,,,0.06604297468499042,0.020063675394646343,,-0.02704293035534246,
CCL17,,-0.01574220298520926,0.02806961352005501,,,,,-0.012353530450159661
VEGFD,,0.04773114958387347,0.05160270495428211,0.022917478637050674,-0.05340076452987805,-0.05313437805064716,,
TNFSF13,,,,,,,,0.02104685298078403
