,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,5.5781858635869606e-05,,,,,,,,,0.07370880566883699,,,-0.026101625784701665,,
BMP1,0.036494096046306365,0.06358334361020511,-0.02623562484544773,0.048655199862484226,0.05043794183417774,-0.045062376511469535,-0.05070312367429668,0.038901011805650275,0.012307625187399633,-0.012416680706753138,-0.04591871851135707,-0.1071896035268126,-0.01856210599224123,0.006447671809729346,-0.06353027300052633,0.004974344669823706,-0.023088947725350008,-0.057801442734881005,0.018385423998960437,0.02257419818129492,-0.05379395066503949,-0.03184481064275654
NDP,-0.004049830678499459,0.03817112779758936,0.0011084947077599765,-0.025012265682486934,0.05869680945941755,0.06438789939894693,-0.020069783391504226,0.044779336364293924,0.035084497308280845,0.02039645132245997,-0.014286621716083062,-0.030017514967986665,-0.036492081632115904,0.02455970588543857,0.031910540863852775,0.0204834784447345,0.05485564126445427,0.01562479604374185,-0.01780577019581386,-0.0020468973243656314,0.1144402495988303,0.05815685549598636
TNFSF18,0.0032109993096404972,-0.034571946390550834,-0.029141446379959864,-0.025289795932966704,,,-0.021408852272823915,-0.04083178010294259,0.010331956870345134,,,,,,,,-0.012959199069589457,,0.11855884498251877,-0.02422503957664888,-0.052509346242606315,
IL36G,,,,,,,,,,,,0.019910437698954245,,,,,,,,,,
RTN4,0.008577155165296632,0.14211847435609984,0.03246123565968363,-0.015982816884592965,0.03854038187872867,0.08263330286614479,0.055697549687396,-0.036590113148731895,-0.010313714388576218,0.01767921407898393,0.10703331187794035,0.16623831587607668,-0.019033461873155997,0.06728052267477501,-0.01649357520476547,-0.043589628096367884,0.01755634180560132,0.05580679246367384,-0.05517493921313099,0.02997629922920889,0.05835786948700287,-0.07984088395241347
HEBP1,-0.03908664525036003,0.0018999192320835758,-0.012218019790175696,0.011635986989623976,-0.05661268118444296,-0.028795461811836818,0.003642340141969763,0.007313729643337695,0.034894530711636985,0.045353961981343026,-0.03705495179344486,0.07818232707239609,-0.009976057888080583,-0.06030740373208226,0.004122963707305838,0.020905654556917418,-0.010772184885501851,0.06175615973093666,0.051309326593915607,0.03170787022042284,0.09172787023140014,-0.00383151062906404
WNT7B,-0.03220826383889938,0.1213912820389888,-0.03494591248629417,-0.015709237281333,-0.016408948171927732,0.07373511869046298,0.06312235652271371,-0.026532992165025016,-0.011573516126017026,-0.029216755269834613,,-0.007880257757705556,0.06780955593243483,-0.03613093907964966,0.02163898527106922,0.0035090261817983157,-0.031108998211293034,0.050374809299863856,-0.045827061769450214,-0.03198964073228103,0.04321222686706544,0.05043701720605567
PTMA,-0.023036389785929683,-0.06475012751125504,0.0885739424877745,0.06194626601536569,0.006032507268067349,-0.04957142110080188,-0.01056751553375308,-0.01445975869151037,-0.03132271018587877,0.06816930908805363,-0.11542855316023916,-0.15154570188244013,0.009645513180500465,0.013689753818219403,-0.04245476714651436,0.008465342882041418,0.05800866040024311,-0.06870092542159782,0.04241837639271109,-0.016656986084383,-0.05600232380813606,0.026449425656040828
FASLG,0.10573376447265638,,,,,,,,,,,,,,,,,,,0.17967756355017744,,
CEACAM1,-0.033709165195666864,,-0.018547731979193332,-0.012055894766423509,-0.02727800916265641,-0.019683709951428964,,-0.00631227633837657,0.012195273028897391,,,,0.12683548847646683,-0.010674201355146223,-0.0231779264164379,0.011917015655896954,0.0214758313432991,0.005531526676363343,,0.12059032918455324,,
PDAP1,0.01532555011603902,-0.08299336293723449,0.10233595811041218,-0.02043647619926284,-0.07538348563137778,-0.01211768046089557,0.0010680360774260103,0.0282393458281738,-0.04071000752616028,0.02172168936714511,0.008450772135878658,-0.10326042367205883,-0.10152581345918592,-0.058601438136115076,-0.038806370897359645,-0.019546592528209627,-0.07166927885589668,0.03211241119160747,-0.021459226188983025,-0.056416805489428935,0.0005916084354795982,0.12385286071487901
QDPR,-0.06946612457895772,0.1115072170677423,0.03863716676438179,0.009743510389384775,0.025315548884667735,0.06363611074890242,-0.0011516245974888203,-0.06893546798562637,0.013079051697444551,0.030642168301438916,-0.07912795411118494,0.027717819727443912,-0.09464875727197428,0.06618121288904051,-0.0018551011584820648,0.04725915980649479,-0.017286078543614865,0.0014412728546363566,0.007913703302862524,-0.010113947573593048,0.10607018768979375,-0.0436405298508531
POMC,0.010712968422441915,0.10528172104826215,0.006156412176098524,-0.021421401571167453,0.004987645408116394,0.05431963474451713,0.053558899705450455,-0.046050806492960644,0.06422691979883204,0.06685062051807002,-0.04498362896053555,0.03861733922873828,0.0008495101023550009,-0.030131306519526828,-0.02205423968156252,0.04394224355138681,0.04977397611328198,-0.010463761769169452,,-0.03742218230535977,0.055633056087241034,-0.00248676698599518
CCL18,,-0.008909113664035719,0.03651906991174137,,,,,,,,-0.020113595084836608,,-0.03522678530581069,-0.022974121419137575,0.0749885554486874,0.04645907195521106,,-0.08600796035741444,,,,
CCL17,,,,,-0.019419161790632463,,,,-0.03106905931402431,0.05202780776517662,,-0.02556736936672925,,,-0.016443616949289915,0.031171177077767388,0.10330733485735362,,,0.0003141223459975309,,
VEGFD,,-0.05223847681343951,-0.02314582439550204,-0.017267650486376726,-0.040305004941960654,-0.005377220589479915,,0.021192300147910847,0.050779071046607005,-0.026525376366948173,0.014057713620981956,-0.015115056121078444,-0.03968691134517903,,,-0.02318717686379657,-0.0019108888577058542,,,,,
TNFSF13,,,0.021676823822383232,,0.06831965229961776,,0.052844229853163255,,,,,,,,0.07035170847027003,-0.012703907641746816,0.021006065158166904,0.01676740911355947,,0.0051458536123018565,0.01029726304348807,
WNT5A,0.01285712726797251,-0.04979629523310142,-0.0034203142275597113,0.014254357694963674,8.047916373965843e-05,-0.022899849426820093,0.017719469959306042,0.006592796286741005,0.000628586347210515,0.04050461100674036,0.02251146420312395,-0.018254470411123973,0.0760647321196733,-0.015041418564851238,0.020907500177959663,0.03201564297585535,-0.013775095900302728,0.01815567025858527,0.05677966808366296,-0.019836868003213853,-0.0040036195195874555,0.04559172585952275
