,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.07007229375296098,,,,,,,-0.015863880871190623,,0.07120802103375966
BMP1,0.06298587778946885,0.07815592892781185,0.1039585367068578,0.015745216888521377,-0.02550624653528155,-0.01633324675512275,0.12248490522199239,0.01121954562726653,0.0013514170656228036,-0.08709140948795713,0.06669722289125421,0.002213431775986079,0.093922592382998,0.04927731524872576,0.05057912556808923,0.07054070998436186
NDP,0.03584684259641303,0.060355832584368566,0.026019900412187817,0.006339402611136165,0.041744738182724214,0.010725360266278232,0.05484738436723747,-0.021419060742677066,0.006637308024528529,-0.04303192683200115,0.027691344085488255,0.004684814984502203,-0.03164438017070101,0.02251713923162779,-0.03419023355094278,-0.026241013403409057
TNFSF18,-0.028481481267984426,0.04539065178661686,-0.04176646398392365,0.006768660985251796,,,0.12982675843380334,0.03914039967865382,,,,-0.023736409847626767,,-0.01636014032851768,,-0.005739368572712165
IL36G,,,,,,,,,,,0.05969797432845351,,,,,
RTN4,0.011828569050812539,-0.05142417068936113,0.03371473909500975,0.008260860069707257,0.01088319064206408,0.05906365822897357,-0.16282968479032683,0.019576976842228522,0.007139498712864892,0.01974065461937084,-0.000778129206181037,0.05480609875641889,-0.049009911487356256,0.030925461741572915,0.04005007798844359,-0.027817476077673084
HEBP1,0.027292341925726448,0.020261764376341453,0.012521969338042926,0.043023884841938906,0.017294788099374188,0.02944800130497617,0.08163014682947115,-0.020413740979628555,-0.017867065253984436,-0.03985368394546974,0.00497961922616491,0.061244704230281284,0.06254552034176014,0.03797148072961447,0.04283085634984251,0.04930413894057162
WNT7B,0.014066403511359462,-0.03334771930075077,-0.018441296537766282,-0.0458123291044105,0.02845632358581829,-0.0380109865794198,-0.05036660510780816,-0.03532711212214913,-0.01233231221151386,0.00747912688268754,-0.01918664027154468,0.0014717272348193824,-0.053228054243366116,-0.0342103769278451,-0.02036666850899357,0.06140098818312555
PTMA,0.06340440315748337,-0.01493770010973904,-0.062463551535571225,0.006940084144558841,-0.06939803616856094,-0.014010121514614286,-0.034549141725660634,-0.029970513547610024,-0.01954930427127025,-0.08271530913627927,0.000540756366996721,-0.014397224166876704,-0.19972091130989264,0.06498913954277574,-0.03867001458863378,0.06905666150247448
FASLG,0.014591276796044956,,,,,,,,,,,,,,,-0.022373034915083075
CEACAM1,-0.03483948967666998,,-0.026583209686708558,-0.023060549235157393,,0.01385915636615155,0.023807365550974947,-0.0306846173081573,,,,,-0.05246719574335581,0.08372808301383106,-0.013517654096144931,-0.00451201146907462
PDAP1,0.06141207940197407,0.028337670039123783,-0.05034521611704675,0.0401265116201901,0.020960581320073595,0.03226700805078748,0.11137707785227564,0.03412263380361433,0.009047928880063939,-0.015872181895432397,0.0858661740801462,-0.0010334662804064902,-0.14524677487189885,-0.059546874583478245,0.01933080206504533,0.018134853276373115
QDPR,-0.029151863119735492,-0.009933781832943543,-0.021534259293365138,0.05821085231516466,-0.06525356499753626,-0.036321872929658036,-0.10923383334714942,0.01707118674213457,0.009618266565394754,-0.0001415471310518805,0.014118508313862056,0.04381020853960384,-0.015986881635796993,-0.03271792825413835,-0.017573082387779514,-0.005002845600243582
POMC,0.044871212800467464,-0.03550047394893592,0.08471334263924324,0.013912499231075088,,-0.002123349876618123,0.08147656500642445,0.05255111413031111,-0.007415079210307779,-0.02191263581069581,-0.01826350682045796,-0.03632422774879739,0.00995281566043261,0.034701506864040985,0.04543827094004271,0.04228819975366978
CCL18,,-0.03999927747665791,-0.033173334000306025,,,,,,,0.050298705176565296,,,-0.044987877371686906,,-0.038824517771446625,
CCL17,,,,,,0.043664609142682484,,0.04708172032778199,-0.015263945425954387,,-0.015946954365104755,,,-0.020915610551283312,,0.00012599135673785832
VEGFD,,-0.031583289221898216,-0.03317334453439331,0.02349345183698633,,-0.017451023989067893,0.07562665722149921,0.05133263637040388,-0.011196288563325045,-0.014805062538109941,0.06088824813337211,,-0.05068387266559392,0.022814191793608114,,
TNFSF13,,,-0.025033670312034982,,,-0.017548098158173292,,,,,,,,0.08759635545966266,0.008721966572874775,0.03046657029937577
WNT5A,0.019669808975472762,0.021013182760011056,0.040236251622677924,0.021204989975087334,-0.04162704054278268,-0.030151517828437273,0.09498146732916483,0.06369294314835049,0.035378625418995426,0.025895149415073617,-0.04266328168047333,0.03366899375810519,0.008755038517266943,0.028783629352099202,0.016161570786436718,0.04551556280472723
CXCL8,,-0.0038699713552458248,-0.02359838465237597,-0.010195277952027397,0.0758790494268248,-0.023221253101362072,0.01143802454675585,-0.004435395770585888,-0.01042647074097984,0.00418454059296194,-0.02302596053936876,,-0.010102491323159041,-0.029695607701457762,-0.03994201797187353,0.0728582693621122
GRN,-0.06630173975199409,0.0037610323302685804,0.0935813327680906,-0.008899152493868228,-0.020652850787331836,-0.003682140486684275,0.11481240924143195,-0.014091417498802866,0.004129769968340582,0.01117338723648828,-0.026337683281956466,0.10951051119686339,0.055828211455718604,0.035797373455559674,0.036700826779455464,0.09546682269089628
MIA,0.010544429002370686,0.01807070065463432,-0.01649216081085078,0.03741199134652682,0.07575402701624441,0.007803325988850796,0.07076954434944738,-0.012353665236208046,-0.012733420324366005,-0.00028655184309692676,-0.023406695354418493,0.036156037200194,-0.018253111609027452,0.0007433509488993873,0.029879900518740513,-0.002377356384213934
COL4A4,-0.011724970264810371,0.08604382072295062,0.1072276620377522,-0.0456022752124087,-0.005393752139943502,0.005393329625692993,0.17371913680198459,-0.025404192304422382,0.032589345904871246,,-0.022705362861080283,,,0.0017235428361388624,-0.013093909956225452,-0.022146595749673877
TAC1,-0.006510215620802075,-0.056820256882716094,0.02679990121362359,-0.04009467884450744,-0.043363452578455,0.052958551567480514,-0.10995754383844482,-0.03432783441472271,0.015331465565560878,,-0.031106077120580552,,,,-0.02332180425883997,0.03682012564073895
