,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.0061429849633053675,,,,,,,,
BMP1,-0.014753736932521157,0.006328957824101089,-0.06521138427807639,0.06274721335655827,0.07088918583833896,-0.06439705848114942,0.02506144353049395,-0.03496370178370295,-0.0567447760160163,0.01727988222882376,-0.03240934595979697,-0.0297971977817528,0.037015183694171234
NDP,-0.012045060402884396,-0.007807742279979539,0.02257628825924993,0.011227187157322256,0.052537618906346825,-0.02391770173237199,0.05620467242878559,0.02453392887605396,-0.07872434061289425,0.037660782079689696,0.024969322785996863,0.03506133254741541,0.04382685214919632
TNFSF18,-0.020924775728357672,,,0.17175198822207619,0.022447702421872426,-0.010647509681371023,,,,,,,-0.014186745527907664
IL36G,,,,,,,,,-0.016974020787919816,,,,
RTN4,0.03792627288596806,-0.03080576640729577,0.03341633438153984,0.0029441357321469625,-0.07135753255829479,0.02658424444846488,0.03741714987128515,0.11844143375347668,0.11437319370467108,0.012680348536559584,-0.03314182612070849,0.14539446324601454,-0.0482467021906866
HEBP1,0.010947749971321944,0.03900479651528955,-0.04870496800784927,-0.020588213819515047,0.06959564932944279,0.031577765255470513,-0.029333632114579396,-0.04894541895717043,-0.026277853478814468,0.04355479738192196,0.04572358775919875,0.034148052770212274,0.11429198617285145
WNT7B,-0.030180205975278457,-0.022753991070447847,-0.001056484480031354,0.0015587239468349975,0.014660321235360764,0.007505130464916827,-0.016890627082899724,,-0.00041000300368302766,-0.009083602135029711,0.04802437767886643,0.05344793375690813,-0.02941747052324982
PTMA,0.00798762670934036,-0.030645087842339422,-0.05813115281530191,0.024114914039256443,-0.045481731278055694,0.044872768303444055,-0.010017405497180156,-0.13112849272628246,-0.1119301933516044,-0.04424990734715213,-0.05107636081859883,-0.03491248018522812,-0.07533569731263665
CEACAM1,-0.020060548091604093,-0.026274336217329265,-0.021335363534143264,,0.010267001694256305,-0.016745996129576765,,,,0.022517934147619583,-0.012947804407386073,-0.01645308901698273,
PDAP1,-0.013107512709440699,0.007472028259860613,0.00606972927051039,0.061849138700204545,0.10409716352868774,-0.00270247496451324,-0.03109591359330623,0.00015433149362024977,-0.04701443442574452,-0.027670825424299876,-0.022549673600182625,0.0029396930996402042,-0.004656525283200688
QDPR,-0.008748763135972639,0.023725111821697654,0.09116809401192466,0.004680083744693406,-0.10895705312942021,0.04547568983566568,-0.04046839396602252,-0.10965534631561469,0.0725140457452137,-0.009563241540174423,0.11850856335598858,0.04117926193186463,-0.012891163155933503
POMC,0.015692289070187146,0.03814141251034459,0.03870246314465411,0.010909615338208774,0.015352175673761901,0.009656994892967357,-0.038853677513724594,-0.023611545197957523,0.0911032200364105,0.06661949768286102,0.02803665929432522,0.06986917638033861,0.023544940190177964
CCL18,-0.025033668616951006,,,,,,,-0.046392429585518924,,0.01638115655096234,-0.03183695403020347,-0.03568284294407553,
CCL17,,-0.015228930243627332,,,,-0.013279517579130084,0.034630512822523746,,-0.015506249882051534,-0.02773593623561389,-0.0194457976431988,,
VEGFD,-0.025033676566313296,0.051270219570231895,-0.02041246786047319,,-0.02744810563070278,-0.014148202783512946,0.0032433200691383544,0.03720806047976026,-0.016618528278894117,,0.06408645798128844,,
TNFSF13,-0.018891215662908863,-0.010504575248531005,,-0.01698100810683689,,,,,,-0.02710252893305753,0.04599990335388019,-0.004801890292011462,-0.0030820884111854062
WNT5A,0.005157351354750728,-0.012963977709971156,0.048294782852844276,0.07654019891913517,0.05818350981928772,-0.015602601870391536,-0.022835475268940347,0.0023810779082990364,0.08796967730054474,-0.03458230053968164,0.016602489702100962,0.05385350211340334,0.08200711816144192
CXCL8,0.052069869787888,0.004050459932430304,-0.024717090082488305,0.0059925331586229815,0.06866422407561287,-0.01013422439320205,0.02509616172598049,-0.028531973053322664,-0.02092043290803124,-0.061054489760271446,-0.11934755562500055,-0.046497948839214126,0.031222574967749807
GRN,-0.03283860121360305,-0.04402710226078866,-0.0350861339530666,0.033169231624059235,0.096205241558594,-0.0066216020774633386,-0.04538518004928102,-0.017429697339215396,-0.03967160305099738,-0.018694410949876783,-0.04010733627693507,-0.047030553138023616,0.019994875578017334
MIA,-0.007349681449517703,0.00730217296324924,-0.048925232530795885,-0.030704937634976,0.14446770588997182,-0.026101067462027047,0.04711810066324343,,-0.02275983606455148,0.14137473124469102,0.12758177071889165,-0.030588273032939206,0.04271574252011767
COL4A4,0.03030873866784376,0.028656993318667237,-0.035557770707298646,-0.016156678985655485,-0.022541515527420883,-0.013864227203243833,0.010929233140293088,,-0.022077885352012837,0.10692571201934765,0.004290961803110278,-0.0065249658964769705,0.005007830017573825
TAC1,0.04576693582973884,0.03783260245763119,0.14586705232628036,0.011193463149600048,-0.025734757667409583,0.062279774967235205,0.00931603459461181,0.06559403198707214,0.09177597976221628,,,-0.012915535465025777,0.022712246538548825
RARRES2,0.022876031600093057,0.035673120545660596,-0.11822316809716714,0.019048672844297884,0.042558199857300895,-0.030480683282424606,0.014168515721156827,-0.011597560633768586,-0.051377696810543765,-0.005184496289908708,-0.0378397466315413,0.027988559859028147,0.02541999780636673
FGF7,,-0.016371503623842727,-0.0020443893383973433,0.04200825778732978,0.039431529388751926,-0.01121154414964748,-0.017236250373447535,0.03248124885369442,-0.03853432546996242,0.023623995503414447,0.05241498434781059,0.05952188257045809,0.07848584516396803
EFNA2,,,,,,,,,,,-0.00896775781874267,,
HBEGF,-0.03149801779699323,-0.07635182032128447,-0.04407497973788285,0.03644587986698075,-0.023138106756721597,-0.05095968468198377,0.04442441544883956,-0.047406663426286064,-0.04924959153308341,0.019554570995711475,0.029880884236932397,0.030595647753629825,0.03061815812720249
CSF3,,-0.018151556993720196,-0.0515606961252553,,-0.023848489557714188,,,,,-0.05938636037944542,-0.07547018725694175,-0.030048588094183083,0.02629324833920565
PI3,-0.02633647484841547,0.00613009681388275,-0.029925084726811966,,0.14815989367264346,,,,,-0.09516429091248452,-0.1685174205451807,-0.07934399654979836,0.04773984931727724
PCSK1N,-0.0020104952347995493,0.000847139467091702,0.01875678485390732,0.03399724905644144,0.016582157875430954,-0.011432047265528072,-0.0195707887698405,0.12650451280179184,0.12160137314013975,0.055000315352881184,0.023708015069782092,0.11697023731291113,-0.04685161591195463
NTS,,,-0.06270747385293121,-0.01972363411189438,-0.002661902005620253,-0.015838267966539643,0.0004073672925599167,-0.029034764139278517,,-0.013083132075345583,0.020122713156942876,0.057247174017992064,
SFRP1,0.10581086245638312,-0.013287830290398069,0.008542486284598153,-0.041231041775493846,-0.011968490630725807,-0.029408340856306232,-0.007374259212572001,-0.05625560729299713,-0.007941285979968932,0.03032186300208931,0.06087115489930591,0.09595046938681698,-0.037617435441800164
CXCL13,,,-0.006885864053372252,,,,,,,0.01886631671111025,0.01316152306541573,0.01029884972528661,-0.00023727737091720538
MICA,-0.010034129479441142,-0.010937627774197163,-0.01800972547663226,0.0030780949516359384,0.03443108578496788,0.02515643134891486,-0.010568510193050384,0.04336355575392329,-0.0703920020091122,0.07785314245619983,0.01826153020646126,0.08709660216940762,0.0139226882492428
TG,0.029880228557287423,-0.014339674130680055,0.0899756429213003,-0.0227662731769068,-0.028782993220084662,-0.013378611417638507,0.023022660255266374,,0.0375241091055704,-0.03685412487564991,-0.012358799835641586,-0.02103696909639762,0.02299873546919671
ADA,-0.02714997689956543,0.00503463913073905,0.04590377165410216,0.04730491913589904,0.05983631944863563,0.011351344298045926,-0.0010760043980347711,-0.014970112334972733,-0.05091002906280486,0.01051240592736487,0.006653189267099902,0.016219481371648133,-0.01909575575432801
LAMC3,-0.030537821170104465,0.025692308734204222,0.05184086167889234,0.04181473856581591,0.1335352434396091,0.021963281786384507,-0.011633418842028436,0.01386348378819398,-0.004370226386242354,0.015665780459633967,0.10562230090515515,0.052207466562449845,-0.006304271404907901
CCL7,-0.01592352802876096,-0.010367561485564083,-0.03059690789166273,,,,,,,-0.041569775266635,,,0.03408764710527148
NGF,-0.027339906877531038,-0.023754731362958144,-0.0204750347352524,-0.021725130912802506,,,,0.12455454936613759,,0.01575707494110133,0.015430794038256668,-0.021756569661547185,0.0009528822091593329
TNFSF15,,0.03811534165954121,0.060584522247049966,-0.02637907179501877,,,,,,-0.029641125808157823,,0.0081383426266049,0.04036905706767999
HMGB1,0.002325588310699595,0.01707780602770279,0.048841373990507315,-0.006371676745662633,0.04455142527675776,-0.003536865771092105,0.007865728210745052,-0.03501938585838409,-0.025348616601788145,-0.01936076137726924,-0.07006961479703179,0.047759926757659756,-0.06917384336049572
ITGB3BP,-0.040619387967364265,0.0014747055466236513,0.05460576159440378,0.03882360773144519,0.0450892202479005,0.02521740094792181,0.006086231968344271,-0.01570947523164175,-0.07708893953857454,0.009513945106462977,0.018850036937167674,0.035991225456340536,0.03578041227330171
AANAT,0.18763401869316926,-0.010504576369664329,-0.020412470774468013,,-0.021511982966988207,-0.012031463432730795,-0.01743999523065321,-0.007304047109914873,-0.02080015102795063,-0.023257113231057773,-0.003306394733456723,,-0.02391320191945257
RELN,0.039909610469448624,-0.018233592129944746,-0.015186031737529759,0.08033316824498575,-0.018670526924913458,0.01918626009115799,0.006189042293359417,0.02912786304675409,0.022076751797740702,,,-0.016249998341954935,-0.05916265822342885
IL15,0.019926438663156704,-0.02069492945608026,-0.0507075412092791,-0.0187702777998532,-0.03409366903062645,0.013105245629599128,-0.014140295840139197,-0.03692897097999373,0.12322486942687223,-0.01826166489891543,0.05290564435341891,0.03928854496116279,0.08596321614034018
UTS2,,,,,0.04225445751733649,,,,,0.024467530685725734,,,
BSG,-0.008206894313145259,0.03588307341859335,-0.019936950007160423,0.02358577969102178,0.049124864108546974,-0.013592130475205456,0.0011666564784502296,0.1093348764742926,-0.10860732231052977,0.0582651713689154,-0.044191086510244476,-0.0042432026095067755,0.035994748838607225
ADAMTS3,0.009838136429616008,-0.01089959548251411,-0.042367299370054304,0.0677055911559894,0.06303174367281679,-0.0050632330599587735,0.025494820086790607,0.07362216943713731,0.04528024083074617,0.0933136973362879,0.08572566321895723,0.09389698781180834,0.08593754920277213
CD34,0.007614847634137198,0.04936464045250776,0.09745423972277378,0.09467740156323173,0.07845630449582315,0.034713807095039365,0.03117584963492471,-0.0025360849541435243,0.017435961185810596,0.04873970167100772,-0.03259687879321817,0.02810481400225734,-0.04388767174336516
CCL23,,,,,0.02270825095184637,,,,,,,,
PLAT,-0.01145636094970504,-0.0073379537493204645,-0.009524130100828159,0.04858035076797737,0.0625233817482673,-0.04391096928427251,-0.033012396193832304,0.004182888661610695,-0.07920929301463604,0.08522567981427077,0.07514340899017238,0.037678962379090936,-0.039645279311678015
NTF3,,,,,,,-0.02815231269201222,,,0.007738478066979364,0.026876077760066196,0.05320285488938451,
LTA,,-0.013287829668772481,,,,-0.011587553160305459,,,-0.01929118109239447,,,,
CKLF,-0.0453038554042282,0.050278646864883224,-0.0498706171043203,0.019348104460793835,0.08301362034140393,-0.012224368947493364,-0.029204381539257415,-0.05813633680433048,-0.08230413726281362,0.028443891149605036,0.08352595860161191,0.03824963157770371,0.04173081303607829
CD24,0.005649785836706413,-0.012901145177099784,0.016556550407455767,0.0670884907183612,0.07277073526374273,0.03006842673026372,-0.03561462138266724,0.004188798670389843,0.03595326895373059,0.07668809186486523,0.06734419834736356,0.13439767718771278,0.009423688353472114
HSP90AA1,0.020825543034024747,0.03582948811022647,0.0588861866504635,-0.022469509713349954,-0.04534477988026841,0.0223881712877921,-0.02784639622613062,0.13293938882612025,0.11514098623637008,-0.13400470494140454,-0.157191754024888,-0.014379567524402283,-0.06832725465637843
BMP4,-0.048251936334044516,-0.02037341931407363,-0.020349342420007254,-0.00930787548600349,-0.007553619344511303,0.030758301148318706,-0.026417370658335156,0.05669336879614036,-0.016438078769275864,0.012637476659204703,0.07533193600883312,0.01888002594735983,0.025964025777858377
SCGB3A1,-0.01592352643642943,,-0.024308732780991108,-0.00823666346750832,,,0.06398635109709906,-0.036038140344035303,0.13660082146460434,0.013872752025745234,-0.019697730338815965,0.024002762083901483,0.01716607523785493
IGFBP4,-0.002177496114486878,0.009797598484046526,-0.004070307522353626,0.022911272622629143,0.07927309734985755,-0.010078395475301151,-0.0069235931318985715,-0.01605806129289195,-0.0663338877787305,-0.03148488165259995,-0.025307441917862376,-0.01403428309815982,0.002639011534512902
RSPO4,,-0.02033935134115896,-0.028056229139282657,,,-0.013477029757715937,0.1402942889792412,,-0.026759905221074305,,,-0.008322309178531053,0.07255704898725868
LEFTY2,0.005834449567028887,0.08167548072783651,-0.0064536334990190946,0.07434912817108477,0.10864790987605256,-0.024417354783311564,0.0018213996253572682,0.08170464705336948,-0.02381474762170461,-0.009636590980524062,-0.040220289218157415,-0.06576637437028081,-0.06156759992508707
PF4,-0.016518102577915365,-0.009045493143014246,,,,,,,,,-0.03206125217629218,,-0.0026875637496666218
ANGPTL2,0.043108839345581705,0.017792005799089357,0.0001957199906100174,0.04719793833987001,0.037614013123786226,0.02002889252481281,0.021707274880846165,-0.046001121113688384,-0.07040654501054977,0.05816854149125603,0.09593390593090272,-0.018328657363781867,-0.062137876632152984
