,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.032635436226107976,,,,,,,,,,,-0.016880325673321338,
BMP1,0.062150080560928855,0.041030237218687635,-0.0032812899678447832,-0.02720316645231942,0.13051922101646923,0.007821146581701638,0.0005336807642612535,0.024972983418799923,0.03431329908015272,-0.00032095878571243125,-0.03526285358458965,-0.0328760113135242,0.020191538805371084,-0.02361655171251294,0.0158339521089548,-0.06869668747388935,0.039911145955190616,0.006586635498314424,-0.020854796508935854,-0.06266795600926607,0.0028219250372729914
NDP,-0.01637010604131987,-0.010167649568869213,0.028479077243456958,-0.00892084003316433,0.04822072819980812,-0.0058357808888896585,0.07271184458358225,0.03522569065582619,-0.021839403605647036,0.015724755859713967,-0.005434143524117398,0.0292197853992667,-0.011649835421217478,0.009947412751958939,0.013994005946668551,-0.0703707735353743,0.10000997257645881,0.068720460152461,-0.00931596363581197,-0.013947988709932007,0.09154317335170027
TNFSF18,-0.027484301907898773,-0.02409658202836683,-0.02838461989573262,0.011210594179014955,,,,-0.026599307924772574,0.0426554759815589,-0.023153910451894428,,,,,,-0.0518269151889027,,,,-0.0284740915184424,0.08054805801843969
IL36G,,,,,,,,,,,,,,-0.021869725628731566,,,,,,,
RTN4,-0.022538111850066152,0.12705776199606542,0.061537078827717424,-0.028295855725106032,0.04849947954993473,0.09147351000956981,0.11181556944537879,-0.044129121222536566,0.024769397923828367,-0.014034001161543257,0.03901995297554935,0.036099291678966895,0.017307019692576177,0.039675867625849896,0.06377550021615841,0.05049637017970237,0.08043262466858184,-0.05900166973044155,0.09854453004864726,0.02117304161271923,0.03125943462862843
HEBP1,-0.007883665409124174,-0.08724062671217263,0.02541630307453097,0.03956443043800781,0.007261608023429221,-0.05248159272132185,-0.0538873634784266,0.05968794942824395,-0.000892045540352699,0.0042070360978087714,-0.02412142736850857,0.01402963744117195,0.003330796605746392,0.043252944938580035,0.08319534703827884,0.01829532551448575,0.02184439689214679,0.06894851029588597,-0.0009071444356753304,0.01584666060966913,0.023579751221036862
WNT7B,-0.024212809148585104,0.08920337805565662,-0.02453955471700012,-0.01949686928059393,-0.0659732883257838,0.05786045590171325,-0.043552255427067935,-0.007190432905399052,0.11964555212124618,0.028100578661233215,0.0008262138936126878,,0.013501533220205874,-0.02403734876376381,0.013890171614087789,,0.06079139546828833,0.050040320705509185,0.08400494828095106,0.024472224096917083,-0.020959831922254323
PTMA,0.01608279837070695,-0.035421635692245865,-0.026086329230093717,0.009871142731718109,0.08851798685290807,0.002938601339884345,-0.13674187191388945,0.06662512618866233,-0.04511283477295608,-0.057125668604647545,-0.011331932687764952,-0.07965162760524394,0.0018477893888364952,0.003374334049409926,-0.002113610550254036,-0.019042273268042566,-0.07249417437417469,-0.09137508802404463,0.005356753482393216,-0.01643387242148394,-0.053991365453844926
FASLG,0.10874436297829423,,,,,,,,,,,,,,,,,,,-0.01464030069766528,
CEACAM1,-0.03361970690994483,,-0.025309167679405054,-0.028710162222122016,,0.026221212133386775,-0.019101147804439104,,0.033445519881726685,0.010502402750726345,,,,,-0.06561229458873512,-0.03644311715017155,-0.023141811371042192,0.10734639337216062,0.05041222447620534,-0.020369828152025166,
PDAP1,-0.023417010480895107,-0.03674332819133543,0.07932284783064142,0.011627480558572793,-0.005561757390857622,0.03677390534505122,-0.031958553534964275,0.06211770177911297,0.04118051442584614,-0.020748681240986933,0.030438211579473885,0.021485721500696477,0.046644835211017296,0.015535938469585318,-0.036103948519766345,-0.09162879336785996,0.037092134567093184,0.011730052659047453,0.08237068627396338,-0.06325548352560016,0.06064170602840747
QDPR,0.09662547296270713,0.10540762616375353,0.08621966884863194,-0.0470809693841058,0.0878623466712836,0.017525404946341822,0.06494329582094614,-0.07791322353251659,-0.1444285028424387,-0.04245760312982704,0.017262404374858733,-0.0670973330473893,0.06196982616057989,-0.029999323042014334,0.07616995891819064,-0.027803426760165863,0.03444536540649008,0.014569359072632758,0.023282176134706616,-0.06089700353067098,-0.030767492974998385
POMC,-0.015139079412524738,0.04803106720669318,-0.02824413304176746,0.035465627150291,,-0.008161797461298343,0.09640012104618155,0.030649047002226055,0.032206684473063796,0.01602908961302994,0.010742280359057967,0.005817658572045878,-0.024845190921130755,-0.022577194276074217,0.0907267007301723,0.008644195717333773,0.0027596090583390425,0.06700588297469806,0.07023714100927521,-0.015452305700000163,0.018506529567976618
CCL18,,0.02489445615219309,0.006384707091385733,,,,,,,,,0.04171364724285146,-0.04707200083838494,,-0.07976085189474826,,0.09800666927819399,0.07780769480975881,-0.010300234286062231,,
CCL17,,,,,,-0.03204559811314109,,,,-0.018815221688553305,0.007311642720063362,,,-0.019978615243146376,,,-0.010465987967729773,-0.02618676933191418,,-0.013269788189438312,
VEGFD,,-0.03641012071903563,0.012718807621839115,0.008498690182883597,,0.030554016843168504,-0.01827489674747265,,-0.027161512476127345,-0.03076646371853974,-0.014927995215561766,0.11956669378921082,-0.016786415314723475,0.011426044390423482,0.061662182820439344,-0.027900024927762255,,0.02292446946582095,,,
TNFSF13,,,-0.033130352513081926,,,-0.022104336376781115,,0.0032032741187263897,,,,,,,,,-0.010053976649414044,0.05152818869375132,0.01922611982190309,-0.021622012270472953,-0.03840959905471119
WNT5A,-0.009311524291802138,-0.017456559102395467,0.01323545048872952,0.033167577009110265,0.12991808548743586,0.08555405390169274,-0.09164986185165488,0.080771089431753,-0.009258467853349842,-0.015064297752474406,0.011097189392254542,0.030313294268110767,0.020277519429461613,-0.018218634338665312,-0.03316437142770169,0.001701318154983822,0.033921628972511046,0.07839116746335484,-0.03914094034703547,-0.027728293762982317,-0.09751237887728868
CXCL8,,-0.036967165287536574,0.022353296963334525,-0.038503779522597044,-0.15281028701592023,-0.028625595131814605,-0.01935013478792916,-0.026224426960942113,0.0004157404508759219,-0.02982143164632543,-0.01390159823554229,0.08647322291817387,-0.0007241444493062656,-0.0046611680928201745,0.02567986852311066,-0.05139971105460528,0.03779647041211514,-0.012062034397948927,-0.08948567279841614,-0.03333287250797805,-0.07272757651240755
GRN,-0.029562545961604934,0.016829871750006435,0.035193837470186284,-0.019090482012951476,0.08586279455888315,-0.05510009424822992,-0.03984143855369996,0.07703774848226567,0.022771110374787535,-0.016233122637274385,0.010034346626272008,0.0020132012699281016,0.06076277596165735,0.02151744984349567,-0.029445481143601005,0.02180988763538366,0.03479192622502825,-0.01829614936817472,-0.04014709738465426,-0.019284498527946673,0.0026956418716947705
MIA,0.01497408517414619,0.0021489356695314006,-0.03650174662783945,0.017970562442242145,-0.01016034586035309,0.03252363348544892,0.051276308807540895,-0.03821490928631852,0.030913586071072766,0.0685934669058845,0.0001836313670099456,,-0.005870696477518224,-0.018055119187948984,0.008250481981799963,-0.01986207099867862,0.06484010806656268,0.1008427797562875,-0.004156456025487449,0.050572237910256966,0.13710571659652854
COL4A4,-0.011475190448875667,-0.03665314083306779,-0.003155610642693012,-0.05605125640756481,-0.060119270593745465,0.04526268846127038,-0.076603899801396,0.07893705698624073,-0.02432024477971512,0.055854995034796025,0.011491163155879211,,,0.030857328013867775,,-0.038793629523795586,0.014284240134166539,-0.028967932800549673,0.08473305389786658,-0.015761709063721194,-0.0017428449921709623
TAC1,0.15272229909705054,0.09427346460838519,0.011176506500448515,-0.010048203445233578,0.06221610100528461,0.11042266787110515,0.15352911822916304,-0.08676096905286339,0.019720608281983163,0.04140547104488605,-0.0058281774170684305,0.006034986043832042,,0.05820720105703077,,,,,-0.007491663364186376,-0.017444485903873125,0.013312216313235833
RARRES2,-0.04203437528882537,0.08751216772797937,0.011909889967467713,0.06213330667945692,-0.06217287806861955,0.00570348253763324,-0.04663239695225627,0.0366450651498152,0.04711875851452931,0.03214892186075649,-0.030505879060767942,0.015915885496915486,0.010989023744996494,-0.0038543760669222673,0.09342561323831754,0.0029023460471357637,0.08466476468594118,0.10181781456076704,-0.001481969583631558,0.001307263181343469,-0.051351606000472366
FGF7,-0.03921813316175675,0.0446767620514668,,0.041411197110113235,0.00223564316015681,-0.034158899783108654,0.028843637917195977,0.03504052259069783,-0.009025422216446121,0.019565787081832188,0.07530972191116098,0.03023067357880837,0.005044081182029544,-0.009552143502305491,0.06583221154140216,-0.005216447514846778,0.03587669215113515,0.02022977244253526,0.04874440169807514,0.034781003561037055,0.03991042102311057
EFNA2,,,,,,,,,,,,,,,,,,-0.025141953989097365,,,
HBEGF,0.10500653864685651,-0.02437291071854932,-0.02173142665853994,0.056302662165775445,-0.002272766272485899,-0.06789759065512058,-0.008591070659872944,0.00969866478124608,0.10921077912645089,-0.01471143647760565,0.0062344412925332765,-0.05802229590547535,0.07565523156023633,-0.0241201563699416,-0.015690108616113047,-0.019059089163343368,0.009866030264979881,-0.0012405917489782675,-0.01468003626181762,0.08300612679800841,-0.04017070676664992
CSF3,,-0.036653111814666704,,,-0.031084975264593636,-0.015602329616880623,0.04523523766019747,,0.1054339844631195,,,,-0.025218672190196308,,,,0.0639252860621988,0.09472665436885355,-0.027099628438206548,-0.013971039857032819,-0.05773711164527315
