,MGH258,UKF243,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.015200527476696545,,,,,,,,,,,,
BMP1,0.030764573227045268,0.07370660578833456,-0.0511284846334929,0.05339472917222815,-0.07561422877718975,0.014153356242659742,0.0568504790479248,-0.04276182787336806,-0.05872189733732421,0.04990084646161661,0.16194734178012524,0.09077897143220588,0.049835478426113466,-0.021539272399697475,-0.044030123495883595,-0.02442619101913575,-0.09244170899342537
NDP,0.02322616998603181,-0.02884747719442289,0.06973209247763967,-0.005389611785513799,-0.054881462151222124,0.016030095284434796,0.05101021401944799,-0.04186353393639645,0.020120378193638662,0.07392521719444237,-0.04873089705756126,0.0630736765452239,-0.012800605685836505,0.08057482745932704,0.014200429385545594,-0.02934249268756969,0.0810754036321841
TNFSF18,0.009720662993970007,-0.024816093437422915,,0.018760434670664787,-0.02257232697055463,-0.012358478159750576,,,,-0.024124923262153746,,-0.04352269688758497,,,,,-0.04131046802198303
IL36G,,,,,,,,,-0.018834867705512497,,,,,,,,
RTN4,-0.08739519694621514,0.09740305654208087,0.19180497281760067,0.038859399455020434,0.14039134120032873,0.0183279891656818,-0.025866840516274418,0.2076367982672827,0.134277641473048,-0.020133907119940904,0.008217247319719838,0.13914069913471233,-0.04697353420742351,0.010660634639287276,0.03230131459256197,0.07155983316729102,0.10757387002336696
HEBP1,0.04073644573747984,0.014303759906056838,0.007965892281242589,-0.051870950642477126,-0.0799599431603957,-0.021829884058332603,0.01002503934021186,-0.024580053444884824,-0.026990350226105728,-0.019671532291600187,0.039670851540138656,0.07082969336888752,0.02963439431023822,0.0569099146209084,0.01718980507899157,0.030495506077247148,-0.06128335398117428
WNT7B,-0.02274567045103717,0.09150623166090291,0.018842487320835644,-0.005103140081173978,0.20783329691134475,0.0332887325868206,-0.01108347965141775,,0.04446617889786701,0.02942794801664618,0.047361835386490664,,-0.0207357393221395,0.08678439285977504,0.06611697926569243,0.006820463066469691,0.052978444380607455
PTMA,-9.625297556647211e-05,-0.02963033985407585,-0.13808443788122898,-0.056212546228954725,0.037196308497635326,0.027457398528952532,0.00506851070944028,-0.21396180807039525,-0.1306525107527015,0.004493879212888294,-0.11984678445989703,-0.1769748044431606,-0.0640909625082732,-0.10885321981742445,-0.005426859321510394,0.05443753714409381,-0.07113601195151888
FASLG,0.01915227383378096,,,,,,,,,,,,,,,,
CEACAM1,0.07207033878996401,,-0.01824295436974647,,-0.029703896669635202,-0.0194369419351393,,,,,0.10269206920612978,-0.030603842339149787,0.005887350622019575,0.05195056705318137,0.016605708989152854,-0.02429374213063229,
PDAP1,0.08699924279243272,-0.03838043280736879,-0.047524560355484906,-0.0718701969979642,-0.05998114014942676,-0.03867051579954046,0.047636463369286515,0.05638115873969074,-0.06988034062181293,0.06444776548897949,0.015821357563412655,0.007433338084913541,0.04242726516928619,-0.04239233632138118,-0.007416664268803458,0.060093790510710156,-0.024368115342889386
QDPR,-0.05433348132525564,0.05276038682150353,0.13989391047548602,0.03805089908663225,-0.026715189084347876,0.012289307176432503,-0.04974939663129797,-0.15848437499482296,0.041998969244969785,-0.046101198678075654,-0.02168001728140431,-0.0006484040691493039,-0.07151147389730174,0.05288961311240532,0.08753287448839782,0.031089815472482924,0.08196283687633883
POMC,0.06868220553932088,0.07093881440976707,0.0638911004559566,0.025097988527856035,0.006279609723954008,-0.014339800771142329,-0.02981016255993159,0.07522817073190095,0.04189962047572418,0.07613890794288866,0.16903732921530082,0.011932935522992879,0.1007572194938573,0.10812394462890502,0.047361522755740244,0.010164643830052385,0.05960105401879268
CCL18,,-0.03328042178367344,,,,,,-0.07529958457088777,,,-0.044987833847844945,,-0.02471927726827039,-0.04528091705065862,-0.04280697795215281,0.0035678804616968603,
