,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.059986113187036845,,,,,,,,,
BMP1,-1.163896458891893e-06,-0.010232903384918196,-0.0018093788031344148,-0.01192309870921886,0.030073984784638564,-0.020764724538622943,-0.051883769904442066,0.060092826500265664,-0.36771667776356526,-0.05254893527255529,-0.024601736257139236,-0.11893483370814215,-0.24265899427625176,0.021866980932640515,-0.04207116191634372,-0.09706622134208866,-0.04757945283326329,0.018854973489784002
NDP,-0.017774240645464734,-0.08090649908283234,0.06778197191240086,0.015913766098624355,0.020833114684239096,0.08723085178028114,0.12266843904799567,0.12815316275954453,-0.10029405710273588,-0.006300685904557337,-0.01783888972714129,-0.09787197105145184,-0.0535820484798103,0.029743296616382083,0.10079515848515393,-0.004911227393127816,-0.029768404712498052,0.036539037230785526
TNFSF18,0.11041913791910189,-0.038191608181495876,-0.01804689968748832,0.06932517868916319,,,,-0.03915937061920213,-0.07184416693399388,-0.04046492036856832,,,,,,,-0.0005555726120262417,
IL36G,,,,,,,,,,,,,-0.02184644002784259,,,,,
RTN4,0.04343747008784089,0.29996779346102265,0.06303210924920369,0.09542318880889121,-0.01359471636547369,0.0422654232306222,0.123618139823818,0.1293459645438244,0.5085788873699917,0.14523628800492364,0.10275455333149777,0.40246486343000265,0.3756386944903256,0.04064331565114846,0.015425344189864553,0.13313518890794673,0.27470545940310565,-0.09080639413856581
HEBP1,-0.04090655739737676,-0.046997700344435525,0.0032263623660062843,0.019270927738659138,-0.02664452898316215,0.04389676690113711,-0.037294555075636185,-0.025665589878385024,-0.1740882772890444,-0.04506508042123545,0.033363217545203334,-0.19133517118974738,0.020353058083903846,0.048312829381980664,0.005525374745656385,0.009302179797681168,0.009327787905933176,-0.11700299936090652
WNT7B,-0.018408450082921714,0.4180058413278818,-0.04978224284039863,0.00734304167435658,0.04524438349441852,0.033663217125347096,0.05591297644391904,0.10565899705246681,0.33491384779075606,0.035508686837200966,0.07662593674206024,,0.05455758860136772,0.06164745163703016,0.003223304442772807,-0.02216478362799934,0.016816347888904338,0.003629450927973749
PTMA,-0.03634059361998442,0.020808160436000686,0.09019761926770621,-0.10275085210240428,0.06179457318511372,0.017506346833131802,-0.157206450336007,-0.1879648176776701,0.06926088872650925,0.05675229922721536,-0.08224628302955136,-0.4796864049319918,-0.37182878128681457,-0.046802347574072575,0.0035620254189092882,-0.013994044176350735,-0.11774112337825463,-0.2929614644355548
FASLG,0.08187232244094003,,,,,,,,,,,,,,,,,
