,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.023222016084169437,,,,,,,,,,0.030411605901978382,,,0.012649356454476061,
BMP1,0.048954421911376146,0.01038009208676834,0.08820272307280724,-0.03325738735428727,-0.059830812985695855,-0.024322250031536007,-0.00428976215916829,0.03154737746969362,-0.016873133871161163,0.01630398213526168,0.031794734633290474,0.01787526438058206,0.042971012676074075,0.06739994247552168,-0.08020499858468252,0.13282671549149744,0.005209126092630667,0.0006517161231233959,0.00029245963082282595,-0.022566533067588632,0.07346428445444819,0.02750236669545189
NDP,-0.010947327019647108,-0.020173701282437888,0.01448280044349383,0.009905462642982829,-0.02697295180968427,0.040959822072004395,-0.019515510444276803,-0.0205396248801363,0.00252741828396364,-0.005335373821418731,-0.009286222981703372,-0.009180507539839537,-0.018412792680807994,0.0033549684042128362,-0.02945508744107071,0.060854091003643807,0.08672708419724075,0.0045652496682089365,0.026839129204530836,0.0043745207985797585,-0.016215111551289924,-0.024173975825973113
TNFSF18,-0.028677280797119443,0.0024753690104268077,-0.036087889680858985,-0.027734214987414393,,,0.02682583431972723,-0.0009860793872244551,0.07340248181546416,,,,,0.08759469898565568,,,,-0.02847172474790383,,0.07309540931154206,0.0057808115087785,-0.055742925063490746
IL36G,,,,,,,,,,,,,-0.021998693137081377,,,,,,,,,
RTN4,-0.021831344806658753,0.059453197821075714,0.039361095050528185,0.012250446020598337,0.00797193517632391,0.08652005245633462,-0.0013506983419094131,-0.0007199529627290282,-0.004430717435559619,0.00014711027836571928,0.06053842508021338,0.02324095185755349,0.03899517917818459,-0.0034778561320273783,-0.022923143602008242,-0.05104039765537731,-0.009255200150737008,-0.08225627048336513,0.03023855282559559,-0.07242117926662944,0.026542277868479524,0.002978552340084957
HEBP1,-0.030531576788217298,0.029047727198536457,0.03690221040436414,0.02747944995881,-0.015559278054802202,-0.02685055239827419,-0.01934924922600727,0.024354750827316283,0.0068911876701204695,0.0040702476068129,0.026650313371714883,0.02984142938553741,0.09783572531072127,0.00364275808251969,-0.021750695190784413,-0.01822289429275312,0.06053990556648422,-0.0021603436537817092,-0.02879241574386757,-0.00608625871230434,0.019537126888166337,-0.018481463990910125
WNT7B,0.06731873943941524,0.0017652102221392255,-0.019495096314091524,-0.017227634624004867,0.0012204395122835808,0.029071159580909466,0.04610951262539265,0.06854129355059639,-0.006679784771149365,0.017123844475395535,,0.04266939151926893,-0.024179098917836393,-0.04071357181838952,0.07106270712571355,-0.031995291870278664,0.01927053375008647,0.02040961997164892,-0.009213514614981976,0.019138848460569312,0.04697704913566961,0.013428845015214777
PTMA,-0.06550710880744492,-0.018231845404513926,0.0743362907554162,0.00915776504432262,-0.0057249084351348265,-0.09343025462416468,-0.016752103490004187,-0.03140893128010051,-0.040576712680172856,-0.0025113314655182983,-0.001596497106763673,0.040254605854073706,-0.034678204049301734,0.09963226875695615,0.061576893264480355,-0.16540297072005788,-0.01755447245949541,0.00717086329423815,-0.06565578643307363,-0.06198315338693279,0.004219549286658378,-0.022781755125365413
FASLG,-0.02526379332685829,,,,,,,,,,,,,,,,,,,,0.017643221706012485,
