,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,,0.025027489406801214,,,,,,,,,,,-0.0361173782608967,,,
BMP1,0.00478145787590157,0.04483268600127609,0.0005934328720622149,0.031635545985054796,0.012864390840476336,-0.023778250684292297,0.17199395899872313,0.004403708545231352,-0.05617352299938244,0.03929657029788259,0.08358476822079296,0.13107669569489402,0.07903252139198744,0.003601732282004055,-0.068138291178336,-0.004564796948467221,0.03971386454714762,0.030001504156187665,-0.09124708710517931,-0.06394689081983519,0.00581335671578049,0.16087767162904457
NDP,-0.027606379031349257,0.003209010047788205,0.019652772315933494,0.044479141539230764,-0.020298986466118035,0.013903970936584553,-0.005790558249736464,0.029649457512849167,0.006494133342969607,-0.017316838023253237,0.054944891801462205,0.01231427865868089,0.07681289231725094,0.01868639494812934,-0.02799734947949997,0.09916295447734885,0.10365530812923744,0.0477548947115453,-0.07498843384932521,0.08175094076231493,0.08113761514244658,0.15036442091123112
TNFSF18,0.08210047993948898,-0.02851837946491584,0.007245926686751263,,,,0.04405885713328142,0.024508869176140553,-0.02086831998819876,,,,,-0.022047010450956576,-0.0333210526143123,,,,0.04497993780487291,,-0.04194939721783755,
IL36G,,,,,,,,,,,,,0.02402309328791214,,,,,,,,,
RTN4,0.042985075523330994,0.027378782406176937,0.03096884556298438,0.006627005635200856,-0.03131018276279039,0.06901397928134631,-0.25146676776070825,-0.04212108882895982,0.03963124698146721,0.03478038566433452,-0.08692192458343243,-0.0683907796831764,-0.10089515176208362,0.029458895354913035,-0.02389590742562858,0.04100920853818378,-0.009928301285397312,-0.07965764903448694,0.1126504542166081,0.04593854196827606,-0.02467454047009259,0.022129035816506777
HEBP1,-0.005153589450849126,0.029741999283309763,0.01200685161615658,-0.0077765143514264565,-0.020714917367465502,0.02219265047654278,0.11963283088564569,0.05318771094917909,-0.025658789925394093,0.012167245362569998,0.08196051681044965,-0.06557645192707702,0.03462996390129984,0.020792258675216994,0.08554825366774026,0.014751636616431463,0.024082510011626344,0.11651236383557158,0.038748303859230455,0.05912990997812222,0.08432665604784734,0.18288716418393264
WNT7B,-0.022556347408100662,-0.024924982698461513,-0.008768637000495854,0.031191823705576327,-0.025249240897981466,0.07404483455322204,-0.004124769369733471,-0.13556456774707026,-0.02333679501500939,-0.01621440782139263,,0.03117432020723148,-0.0044454928280498905,0.043261031575874825,,-0.027031456450760202,-0.025615886739344777,0.04012576229988496,0.0014657128391680823,-0.023148036510141728,0.004345120127810327,-0.08091679506873853
PTMA,0.06317493758989431,0.03550030760469816,0.02922276628074213,0.024994841596997115,0.03539964218059941,-0.07142301587905703,0.31728403387272414,0.16597365074379566,0.0320206227751077,0.0888481600814612,0.16936517107721136,0.1086191213935609,0.07946507094476883,0.09721042230719143,0.008858258215777483,-0.08817890690814068,-0.07074117855188938,-0.07506665212502955,0.12450922807230205,0.025686704646577584,0.12140456729693135,0.22672429298151778
FASLG,0.14262744094269045,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03131969463623977,-0.018151166963350923,-0.023206895951850406,,-0.019201886368975653,0.03700310153138613,,0.03508082661951014,-0.015358438598111403,,,,,,-0.0014211207161979142,0.02764820336036471,0.003327905734685324,-0.01874134931106805,-0.03377048646035966,-0.02786714317240051,,
