,UKF251,UKF255,UKF259,UKF269,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1
IGFL3,,,,-0.01569721489565299,,,,,,0.11744379706869529
BMP1,0.0313034654990576,0.06598956473110504,-0.00045033496983454155,0.09563233718319135,0.023401070115563763,-0.002238753207917951,0.07058278701660595,0.0575666016073767,0.0525059820510856,0.0180634418955405
NDP,0.04381541788508537,0.007710819431757931,0.03851711959543723,-0.0024033292485982054,0.039997438726003705,0.04155146300504287,0.03907965827694003,0.012148016188922146,0.03289918100709497,-0.05097591806737447
TNFSF18,-0.020791293908731606,,,0.1076248363371304,,,0.09703616781305309,,,-0.026508012394898098
IL36G,,,,,,-0.013752911436744552,,,,
RTN4,0.0019071944154741747,-0.015310901876814989,0.026212750471766806,-0.12573353865850923,-0.07399140109202255,-0.05628150057755207,0.09718531010575471,0.038686337140209685,-0.003737677595721901,0.08199470964731122
HEBP1,-0.052710087091023934,-0.08355498576194205,-0.03067875286923017,0.038743446945876184,0.027859277378743254,0.0650632276581684,0.06928717401882926,0.0457448131972856,0.028327356277516702,0.006817719432522495
WNT7B,0.020810920217212488,-0.035287092902872935,-0.02242341295372439,-0.035009922091383865,-0.01124685362703867,-0.015116034573743229,,0.03447698348902944,0.014920765633090253,0.01722299484588763
PTMA,0.06687335559932904,0.10153634123590434,-0.03830004622074649,-0.08375787686188825,0.03287389936000168,0.05559206456863686,-0.007379870080876591,-0.04332093003572444,-0.06877586995830762,-0.05897566200187222
FASLG,,,,,,,,,,-0.013629417188161642
CEACAM1,-0.02090552385537375,,0.01978513118246495,-0.030674491393562268,,,0.05114827348067721,-0.034864161013922014,-0.025116510077757722,-0.018963332220313264
PDAP1,0.038126420429678086,-0.006297092573107697,0.0238205190182473,0.0824150009040689,-0.019087785559892066,-0.012846859122964037,-0.06722894874935915,-0.006410357322289547,-0.003338643229568112,0.0036159675177923475
QDPR,-0.00757556714427541,0.010300896969596273,0.0031478664206049897,-0.1412030116417087,-0.00029945275852146343,0.026550634245452162,-0.08674266918220107,-0.03937753616358226,0.0011773532384646694,0.05345050968872499
POMC,-0.0030033779088961903,,-0.02411225202953357,-0.03954111999226445,0.026968166649066844,-0.029465760158764898,-0.02152671269898641,0.001819762615647677,0.02909154421919678,-0.003156361210309761
CCL18,,,,,,,,-0.024719263380664755,0.08224254716272386,
CCL17,,,0.10023646959160812,,-0.013920451982762592,-0.012563675042489455,,,-0.017818948226909628,-0.012353535830123826
VEGFD,-0.008115609336587731,,0.05205366780026694,-0.026297045630237,-0.010210819875305942,-0.013464879681973988,0.07457317944836932,,,
