,MGH258,UKF248,UKF259,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02297410164155116,-0.017544606654454432,
BMP1,0.02652151847491267,0.06045985077354444,-0.028967763378294296,0.06586232155960166,0.0367324435926721,0.05341596890633042,0.03070465011712827,0.07802503778018466,-0.0018194124713789557,0.03335494232381522
NDP,0.0436072125052877,0.001891792136792827,-0.028148462042646094,-0.10439872997004127,-0.0405168268340479,0.04662989431324267,0.057637630287611576,0.054095187530181645,0.09318183336998441,-0.034953316866551905
TNFSF18,-0.01871251888680054,0.0036414032012370783,,,-0.026636529866442236,,,0.062420338296137315,0.07446282952280045,-0.0339672806362241
RTN4,0.030238359561077382,-0.030795859116220393,-0.01888562898099464,-0.014276327265761618,-0.010681550388274745,0.014146025211085348,-0.07873318702603378,-0.019282924088825613,-0.0892818825884288,-0.006752058949945113
HEBP1,-0.008369920438230085,-0.014919026172501995,-0.013751677817332754,-0.01737032477670394,0.05039640979691366,0.01970110695346728,0.026088744244682296,0.0007407105112358274,0.07442644470017877,-0.011224851075335142
WNT7B,-0.016485143046881725,0.021306166815143704,0.003788327303050233,-0.037833294013595246,,-0.025211532717969144,-0.030042900680942754,0.0711979403289559,-0.03744748399577281,0.0964773162348275
PTMA,-0.035372121444214956,-0.005347141367032524,0.041050334394833486,-0.03923745306143521,0.057524148430355776,-0.04754473382792439,-0.04994610664997267,-0.07821441242789734,-0.018890806173014172,0.03501954240956755
FASLG,0.09510810380037088,,,,,,,,-0.015216431365979279,
CEACAM1,-0.022889771864288835,0.16728367029997376,0.03268615371709023,0.13416273184598687,-0.04330690705712919,0.05584201365222739,-0.004704673475564425,0.029236570377770638,-0.021171429358791304,
PDAP1,0.015978593960756952,0.044204524427514706,-0.007611526786388779,0.03705518637651321,-0.034341256233927496,0.03923083919032509,-0.00733082840014893,-0.03567914904684072,0.025926935880678077,0.07322540820951565
QDPR,0.021022623629342062,-0.03354154019594715,0.007831466902033228,0.09802441614218844,-0.02814673292546483,-0.02221966357792037,0.043971572633729895,-0.05310594302226376,-0.017960002973926373,-0.04602437702963702
POMC,-0.04333006170419667,-0.026164132433154276,-0.024467730499159894,-0.025842462292135382,0.05257031048797041,0.03272398782533472,-0.00869377042605256,0.03220984674573791,0.09742832315318141,-0.0602093173620377
CCL18,,0.017195421828127146,,-0.0375816259409185,,-0.006711678595157447,0.05419980628959646,,,
CCL17,,,-0.015228931843954545,,,-0.032421301850501995,0.0159844493484328,-0.030290025914965085,0.07622810349548587,
VEGFD,,0.014200776578858154,-0.01696671180085197,-0.04233990254793101,0.0785271206502422,,0.07502522510373473,-0.031946628344422974,,
TNFSF13,,-0.029490759550243013,-0.0105045763524009,,,-0.03974612091923205,-0.048792394609358324,0.0925194343556908,-0.022472889901809283,-0.038128175523494394
WNT5A,-0.010728324962575557,-0.004276208853437279,0.07070457026830099,0.04746827934500782,0.03012655686000429,0.027073626702497834,-0.014803664294667285,0.09821827816670178,-0.01158242898069085,0.06557776799058224
