,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.022974103011789825,,0.011899478104689191,
BMP1,0.027944450138719514,0.03228630475141697,-0.07886504595080247,0.06753041638716947,0.10737993309995815,-0.041235487842255426,0.03341520729620783,-0.019573836341108295
NDP,0.007980616502579335,-0.058761765189823414,0.04451702340584498,0.007458915433612215,0.05338667035284496,0.007000333907440293,-0.013431577054807204,-0.034632084297955494
TNFSF18,-0.027396238712271752,7.55728824712481e-05,,,-0.023692786919326702,,-0.007602889376592707,-0.04131047157231024
RTN4,0.041979986064177174,-0.0008210751786703947,0.05418411748992984,-0.015308234731468409,-0.040237325823277055,0.006995996906565708,0.0017796583194135264,-0.047146192729889035
HEBP1,-0.13168316062821322,-0.03906949050962538,0.014382017033814294,0.08917101990530696,-0.018043482079048573,-0.006118696148815187,-0.02466580900162468,0.025401704861609812
WNT7B,-0.030160584801102966,,0.03777885630910377,-0.026570486661003485,0.046606091157121776,-0.02415945712353435,0.06313828521805723,0.006575852888914219
PTMA,-0.055025042235073,-0.13618502574780145,-0.04148688320168594,0.006192440974724459,0.01460951255765701,-0.010321426817147225,0.02367538536271304,0.014294898756951176
FASLG,,,,,,,0.00027184336434769467,
CEACAM1,,0.0006893059137784138,-0.02469762811030784,0.05428567593973394,-0.018393918056422993,0.12329339421152848,-0.028633410402712545,
PDAP1,0.07091714696679399,-0.0067869656670569685,0.014694101990423715,0.010366719401991086,0.017931625577289147,0.0314941096962196,0.034327994075127884,-0.0005486787027023624
QDPR,0.012077857275526061,0.02149843212095625,0.005746166164328896,0.00017725514258465973,0.018600164526565696,0.008754087358145306,0.0045034030605240775,-0.05947505261013734
POMC,-0.0254124329232578,0.008391742182720853,0.012030281297487509,0.023292908680166095,0.0467293945919417,-0.02623112584178775,0.017547594190357573,-0.03520121607721124
CCL18,,,-0.015449966647195092,0.009371927064271769,,0.07755351572463313,,
CCL17,,,-0.017521771745461056,0.0077391488379017345,0.07043471639606766,,-0.018653043528375546,
VEGFD,,-0.040987828451817844,,0.14861604964255595,-0.03194663024980783,,,
TNFSF13,,,0.018187576257555436,0.0005012135792097294,-0.03248213753076007,-0.018006211272057714,0.13869677863837412,0.015220432220185976
WNT5A,-0.01923724462513203,-0.04525573185589966,0.02332961102202184,0.09939128261070415,0.03652461165604651,-0.0009476255367785122,0.024726857311045645,0.033590268801744615
CXCL8,,0.17797653814204048,-0.009552299583372307,0.04922875447087381,0.1084119121901178,0.025472370299610345,-0.011457487121930105,0.0761231098695392
GRN,0.032274189548092656,0.06877938381964196,-0.017333841863466995,0.03414124199086328,-0.06603395194388491,0.021616675668204067,-0.0023754982621385723,0.002143450950298577
MIA,0.025761612949640533,-0.05910305125875361,-0.008395778627353951,-0.04984204757474356,-0.025340898716162772,-0.014876933961481183,0.008215387702676403,0.006308486335358174
COL4A4,,-0.03209427690155248,-0.024913734895340885,-0.035627069937303045,0.013578350079288018,-0.020781672749938872,0.015226754296737099,0.029810033731887675
TAC1,,,,,,0.000605664949590249,0.008776340232337728,-0.06617782158878967
RARRES2,0.08869192554798375,-0.05092826846020449,-0.0861461861731063,0.08855040799319197,-0.02443830353297101,-0.00988517612069336,0.03269199793664404,0.07761503130778595
FGF7,-0.029977932481984732,-0.01916188839083909,0.047570236325675155,-0.0336780299595246,0.03321850448335713,-0.023165523556123186,0.0024595246304011534,0.01513021411970572
EFNA2,,,,-0.021147931939170656,,,,
HBEGF,-0.035859965941888686,0.09465906714577325,-0.02123277733192601,0.08673505970488948,-0.06549181915395137,0.009688636234082466,0.061323637266304104,0.09916198413269477
CSF3,,,-0.033111659960379417,0.08664516918821405,,-0.022988338574946296,-0.019638777263778894,0.215788191933994
PI3,,,-0.0010099302279937927,0.1004199386910532,-0.025736318741365758,0.03367266108527919,0.07677159148897264,0.10722601696020702
PCSK1N,0.025660718212235572,-0.010272571527824027,-0.018556548700005674,-0.08323670603477139,-0.029088179420817612,0.013667427357157343,-0.004639331512622002,-0.05763113148636027
NTS,,,-0.008308114188667254,0.06912051381370324,,0.023722691086057568,-0.02908235116007892,
SFRP1,-0.006618517701450077,0.008930066314026316,-0.02299041512489928,0.05557209861302257,0.008260062886887017,0.04591279227383486,0.030066556028355708,-0.00031235348964246245
CXCL13,,,0.015570235882544659,0.08074814444007232,,0.00605112775418234,,0.04086725899429552
MICA,-0.00481133230740428,0.06438894245652355,0.023190586838347352,0.012234413873982887,0.0239923040861018,-0.06939594411220372,0.0261174001460455,0.06263704658293166
TG,0.008034383882118695,0.07859803664678376,-0.023282053955715826,-0.03173209623806301,,0.0004666141052619322,0.004951724670446195,-0.024445354357337787
ADA,-0.03395829060673938,-0.047801013371093846,-0.024727208686877684,0.024902560487169583,-0.006872725607432855,-0.025114305071819186,0.004642898561205403,-0.0009266871653237732
LAMC3,0.010853224229976907,-0.028566325720861614,0.04450441180099876,-0.004455463832941993,0.024377876740862895,-0.048157568216713825,-0.02404215767134817,-0.009289119418792381
CCL7,,,0.006403105750592757,,,,-0.020579534893648933,0.0787210918296668
NGF,,-0.03963108467622945,0.012334483151984375,-0.020863668154934525,,0.010834600806195612,-0.020957251810295195,0.00837301240673736
TNFSF15,-0.03236212581130289,-0.025360567952910296,-0.025601620773614442,,,-0.01427536359396378,0.03384056386318204,-0.005146876106621949
HMGB1,-0.0054456977271508545,-0.06908267901858407,-0.014546535604664958,-0.044122570434166945,-0.013049107334043788,0.028655255187279002,-0.054767791518865835,-0.07091747900967829
ITGB3BP,0.06907155043625478,-0.019169237635514393,0.04248234987183147,0.07423683738269035,-0.024336885154912904,0.00023319226560987991,0.016188693349037105,-0.04366491563537693
AANAT,,,-0.023038392088444704,0.058104699955077437,0.10902813172720108,,-0.021774006128911904,0.01483616887077883
RELN,,-0.061229227757761025,,,-0.046855784841867906,0.02733989893071056,,0.0033478045183152304
IL15,0.006607764213642442,0.1248354495531337,-0.04220727822775039,0.10007339925623202,4.1896092595439556e-05,-0.03482200534724891,0.027581254252293175,0.07406112714503134
UTS2,-0.0598094785781805,,-0.01961887698766594,,,,,
BSG,0.06196542355886335,-0.048889709198047686,0.02842340752375339,0.08645797270193369,0.032599230118699245,-0.003898841755978596,-0.001590156686685344,-0.045688628192011506
ADAMTS3,-0.12775905943082771,,0.017681262684416905,-0.04596795521148848,0.07653669473291187,-0.038912959722896615,-0.018323234453599114,-0.01730649882163557
CD34,0.04373961377064496,0.008332543869407556,0.004301176489045241,0.02834205969784873,-0.027181287015289515,-0.029404184920115692,-0.00833296025101285,-0.009490485207982655
CCL23,-0.030537209803276694,,,,,,,
PLAT,0.03451660241580412,-0.012015712976316715,-0.019393782140046573,-0.11097844316803085,0.011932519747811706,-0.017437570667072893,0.006495119377254426,-0.024714366562539093
NTF3,,,-0.06502680555241921,-0.045896599644558944,,-0.020377696264153387,,
LTA,,,,,,,-0.015420075789569138,
CKLF,-0.014320220296613992,0.14838189637254734,0.04736702516505909,-0.0008860283274971408,0.02762156045145206,-0.0345241899334768,0.0016096410458974362,-0.0350427683810578
CD24,-0.0831503672894851,-0.04913604586335469,-0.09308407725290166,-0.025985332078220603,-0.04076144550506854,-0.013897217298651888,0.062298352747502055,0.05766228006093508
HSP90AA1,0.06696398908337746,-0.07243697867082284,0.004855682604598977,0.042961918352561204,0.012916843879842621,0.10002489389508368,-0.008105552382400566,0.08144636761294902
BMP4,-0.04468343923473691,-0.006936706076587809,0.02600565683438425,0.12980338252354834,-0.041981072292004776,0.05606469062126209,0.06508026539870856,0.023295174897262166
SCGB3A1,-0.03768537014102256,0.0426856602281246,0.06424676100277883,-0.040482576294500666,,-0.029645425678961557,0.045680163675917346,0.033181998068720596
IGFBP4,0.034341415250695714,0.08409398713805244,-0.02699411874459583,0.046128915428336116,0.011607912724745182,-0.04132978752476405,0.0002227769117552616,-0.05518365497956617
RSPO4,,-0.040212379647938355,,,,-0.019964932554813918,0.016520468081134006,-0.04067844583141055
LEFTY2,0.028864600821331732,,-0.022292697575621453,-0.024316322141289246,-0.001857390364089864,-0.027150989274334646,-0.007444382848663861,0.10246133815290057
PF4,,,,0.06348128952135235,,,-0.029304524046751608,0.03389405657459036
ANGPTL2,0.029206080988426253,0.09650496482958117,-0.005822409012078972,-0.044563983308274976,-0.013360406680217974,0.018559370175037535,0.020217366570704626,-0.00240951435114976
LRIG2,-0.007140325609952242,-0.0654035138241247,0.022459719892640846,-0.02357536495170939,-0.019128995303517565,0.00048323517751056104,0.02386694468389223,0.028816249491594007
ICOSLG,0.041689588698188174,-0.03690785394490955,0.015519666233112296,0.005438135162546842,-0.02395803025212307,0.017454196872875662,0.03713192303079449,0.07330129950309952
WIF1,,,,,,0.06182060809966341,,-0.02488291483893145
NPPC,0.1382743676195195,0.035956568497426455,-0.03920308216191931,-0.03667496427018032,0.007102122233271601,0.0090107609709267,,-0.00788893068362347
LYZ,-0.09905653320593524,0.019926388030506302,0.04414082679037342,0.01939547252034265,-0.0001769991327394509,-0.043685698829658864,0.05569831654664822,0.007276383257069044
EREG,,,-0.0011038580555980352,0.08196140452276611,,0.0066757334956241,0.022988784868990624,-0.006239409006947741
SPTAN1,0.06370112393044731,0.0005605230121773564,0.026534301251418015,-0.1196978716832567,-0.015475769868840441,-0.05229105381992964,0.0012661834084201305,-0.06917189218094294
PTH2,,,,,,0.016615214425137366,,
LIPC,0.0818491625256004,0.21754638544979804,,,0.013429113090806372,,-0.0018443782830198244,-0.029767079488871844
COL8A1,0.03314897477069856,0.10860662345591604,-0.0011534663534370085,-0.025733129974621287,-0.01011459803346122,0.0013053188845914621,-0.0203209670499887,0.05287814480149461
GSTM2,0.0022336707360656525,-0.01817488574385074,-0.03296703947597197,0.024142768482068745,-0.02603066741450392,-0.04238634441297617,0.027680655529985537,0.00111829121610537
SPX,0.1349389601462787,,-0.026477647764907037,-0.024067147157433383,-0.03855453522804345,0.013641645518324681,-0.02381074103015408,-0.04613432037778544
MFGE8,0.08034692924119792,-0.003251061751090049,0.009563892568480895,0.07866779110151587,0.045530182531302955,-0.06772383440250417,-0.002006219626654578,0.01643046469394467
TGFA,0.04380618385879457,0.07088296293118586,0.04763349944557747,-0.048362187998784,-0.03804941426204753,-0.008472573163323465,0.0001442421496742041,-0.06326631369372422
SLIT2,-0.07111600259863791,-0.033487110638715054,-0.008367827884742572,0.0009981421667934907,0.015881570589189077,0.011918430429344798,0.07447709342543146,-0.01643528262996759
PLTP,0.02051037206642594,-0.03520633163542645,-0.008134624945649024,0.006518639607242596,0.03918327013960716,-0.025829486886346797,-0.022251204047044285,0.010753056585145035
