,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01569721394166752,,,,-0.01707922320804275,,-0.011424399249221255
BMP1,-0.002092834266924956,0.016279287915982675,0.014935678870125228,-0.03778327923479645,0.04298696569422381,-0.04520620170093885,0.010809132844427138,-0.05026900438796131,-0.029619579493860074,0.03312869486344079,-0.028245319278489493
NDP,-0.029376961409646987,0.05221138697767988,0.02336037581368953,-0.02228423434061112,0.01946124714524469,-0.0061682697073819435,-0.03795972991031306,-0.017537788224113168,0.016898135859555043,-0.03978736900521425,0.021518276787521863
TNFSF18,-0.026228443664620186,-0.024641784486379423,,,0.010342991256593024,-0.010647508198546762,,-0.04222232875410937,-0.017613501428461267,,-0.03639777921578932
IL36G,,,,,,,-0.014527087197101978,,,,
RTN4,0.038816081432345814,0.010549038502342184,0.014508824731810996,-0.03474331880361986,-0.0655380162084309,-0.015899330157276136,-0.024466110029227394,0.08102835504645585,-0.005173166142643529,0.03717483173598626,-0.06250926689912348
HEBP1,0.0127237823231158,-0.0400951348141751,0.010375350409955759,0.02590819341149089,-0.015904075713571914,0.019094099453576773,0.0062058874218822715,0.010257694468098507,0.0685903815535949,-0.003055318282540378,0.03163111145361469
WNT7B,-0.02902185630772479,0.05066246839903078,-0.029289769699266253,-0.0225647090464354,-0.04112859759174153,-0.0305200910994699,0.026374331910109943,,-0.036831256382101815,0.0038864066045312634,0.061901685024206864
PTMA,-0.0397199845195206,0.04981764977840121,0.04337995572767319,-0.00811238422493012,-0.037408378903218985,-0.03977859988310984,-0.040176385664311476,-0.012148621920559969,0.03766580925740303,0.08587591117223306,-0.08318490209044607
FASLG,,,,,,,,,,,-0.023544799950957998
CEACAM1,0.06565317280774492,-0.019612607381007084,,0.028657157134151356,-0.030674489529344998,-0.016745993797447463,,-0.029689462850155075,0.11055730808541157,-0.017163922567196153,-0.03275913103009615
PDAP1,-0.03778366628725441,0.02877938463756988,0.0930013530436905,-0.000569552632946559,0.013557372918631209,-0.05197090773432109,0.03878079616603859,-0.07794776978766377,-0.05667846645795221,-0.005797891610142937,0.07590230671772011
