,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,,0.08039299802476459,,,,,,,,-0.002771111120006885,,,
BMP1,-0.06690492516075251,0.022198351278379685,-0.05844435856941415,0.02819859688295783,0.13488197039595196,-0.06697617167785316,0.1396374511623679,-0.03385164855690229,-0.07522186090714139,0.0006720751577561493,0.06751686313897697,-0.11880310674463361,0.038690783197819024,-0.05483001425653667,-0.038197290505851314,-0.12728260368374453,-0.0131670993324037,0.1475908827534664,0.08579685362055585
NDP,-0.04883804589304035,-0.027372800841847032,0.08550820499809028,0.014021587498351818,0.03745153648137326,0.07349258234865595,0.0013610913564113432,0.04038129150744916,0.00827068247878271,0.080589073217011,0.04981545320850548,-0.10244205280775723,0.02197812859103177,0.0594012087239716,-0.014697926274660347,-0.027166322593281136,0.08208475654058292,0.04593578306236671,-0.04627272641889696
TNFSF18,0.11470043694128289,-0.0243384993048055,-0.029141446785775602,-0.03870800793373096,,,-0.02096132191755853,-0.05693089829874523,-0.008292492399956221,,,-0.06322238206524414,,,,-0.014826086907090353,,-0.08159776361668979,
IL36G,,,,,,,,,,,0.009364744402448067,,,,,,,,
RTN4,0.03518664217706208,0.13602081620618178,-0.06385660331121933,0.08542874501141456,0.10814432738835138,0.05198949557315873,-0.17958993413121832,0.05426741602176571,-0.008873762548241355,-0.04912410952021572,-0.07659697052317911,-0.088803673503724,0.04018758428585802,0.034894537073022355,0.006517795632632829,0.12102712760284975,-0.013512059592091813,-0.04672058438953398,0.005132751525625449
HEBP1,-0.030714474277086866,-0.08442321511014027,0.03442103326345584,0.0231549720219995,-0.007325329364649227,0.03004135879177293,0.10769510598387168,0.020630217151757512,0.03923322419881125,0.04748510307588784,-0.020145033261832573,0.06674565400062722,0.0029202030527101957,0.015352558873639727,0.043087007359978204,0.028084084828531242,0.06116052701425498,0.016471121173888076,0.06364760668710123
WNT7B,-0.023853499183227708,0.13610667666282755,-0.009458551229670023,-0.017922906378922368,0.005080192191616062,0.10146529404765635,0.02427959705462747,-0.01722781977700259,-0.0271443270386283,,-0.025642107371697035,-0.013435479402636088,-0.028462167374093506,-0.017805376502568207,0.009071752432315205,0.005012017006830553,-0.009140844948694502,-0.031474696509234665,0.007114482660874322
PTMA,0.08012811026978035,0.039822140979659526,0.028981724091173857,-0.029528868485289243,0.29438342754857494,-0.06622690878680323,0.3026345505223302,0.1747040698431666,0.01989727759127945,0.10090110351462521,0.08038232801515213,-0.013754303546373,0.018881830263626324,-0.016977326826655224,-0.0609270570679581,0.17656426818062243,0.0325153662425993,0.20072349920291496,-0.018654243426570516
FASLG,-0.023853505926550823,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03312080173743849,,-0.01854773223748393,-0.01643984023590958,,0.020588195404581414,,-0.009308456332968762,0.02749845216583161,,,,-0.05832984464900905,0.11332961651608765,-0.0202635700170512,-0.05930154632579941,0.06040718075728434,,
PDAP1,-0.08276806757610534,-0.06858898112606826,0.04338896641470289,0.08241508094169653,0.02461239189523154,-0.06322767240851826,0.10757374331011142,-0.045561090765844844,-0.025957081765725806,0.010577207067980527,0.04841324549301313,0.04227054679013412,-0.020003839043586238,0.02667220493387666,0.02464461857373165,-0.019197446612266026,0.044899952223544086,0.03637254457205059,0.05977561205501808
QDPR,0.08589603513843627,0.12923549235650547,0.04449253595975149,0.03347271138657626,0.1371953381849595,0.10665721074834998,-0.04745407618076245,0.19934839928080839,0.05056356786721688,0.16593361648115096,-0.011317063981879188,0.000940493184010278,0.06673388134766466,0.04278530757639477,0.03570999060746904,0.15114199960291072,0.002221140551071126,0.06129817107127463,-0.024124372092095118
POMC,0.022715900767172365,0.07074354686012475,-0.043960197217289956,-0.010653679025361415,,0.09952797153507285,-0.019442295098966573,0.04047750816011794,0.02102327993888577,-0.012625382444075187,0.03443706475148058,-0.027085422632264388,0.09570830159495515,0.024198551116615438,0.03370150357593531,0.05244767286808552,0.013791952135239545,,0.06743236942588543
CCL18,,-0.013597458103988087,0.08109161819322526,,,,,,,0.020386516631257855,,,-0.04601242109172219,-0.04158975393258133,-0.03195453487744038,,-0.09324025881074484,,
CCL17,,,,,,,,,0.07546418972311941,,0.09626544816616574,,,-0.016123560216208494,-0.029251735455067717,0.017410519551783164,,,
VEGFD,,-0.020566494167195706,-0.007773592470836944,-0.025219253199830708,,0.061224377939954215,,-0.03476970486529134,0.029907342949049107,-0.007871908103853105,-0.027729634889398953,,,,-0.0202635700170512,-0.0790321110097339,,,
TNFSF13,,,-0.01746658207722868,,,,-0.006940375151636327,,,,,,,0.07315895793079837,0.07256108795045274,-0.03208416150612401,-0.0003217451066188739,,
