,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.012644890691645108,,,,,,,,0.1726203456626239,,-0.003248616684201573
BMP1,0.032944834482463804,0.026581213963956976,-0.0428439237040364,0.011532626230055333,-0.02319823976336384,0.06622384932466303,-0.025822947099248136,0.01331678555686283,0.009505788420534065,0.028112906464747286,0.08229180601384246,0.06283338695252479,0.11912598122235873,0.007318950749270911,0.027151777813053817,-0.040014633794370626,-0.01901794757218763
NDP,0.024600216394570232,0.0666286898683936,0.012682489293901172,-0.010801187069029211,0.07379522669822007,0.013548467104545218,0.049538727532941924,-0.01653946722616279,0.030069605898342743,0.010411383025816802,0.15587763609546243,0.0246559239756395,-0.06456383387375546,0.014394555233795372,-0.0010101551723015441,0.00205761207924742,0.005942233462967405
TNFSF18,-0.024278992914662477,0.010964959525909306,-0.0014665451609805476,,,-0.018425353163147012,0.021287648767274864,-0.011674763628283206,,,,,-0.04504694106051647,,-0.018788962138941157,,0.05064905653432587
RTN4,-0.021604063154166304,0.029136899386700953,0.02152265164601092,-0.030808096093408857,-0.04406495527427329,-0.1307028473931963,-0.023041662874773217,-0.00956434139500674,-0.02355508401345709,-0.057001688764828785,-0.06973699131627416,-0.13069945212969178,-0.07140110457193409,-0.1052891877911736,-0.04574802291237536,0.020948106660468126,-0.08570764851978475
HEBP1,0.042088288069084295,0.015089407296074532,0.02170413283262151,0.016082164722438664,0.010126716075061541,0.025972847461154996,0.01349909128668131,-0.03373717140603309,0.0341363708406003,0.11239627470162084,0.005905490163580758,0.003649470587364376,0.03667113993531051,0.03494019111732706,-0.019595891981917943,-0.011942168281668887,0.02012592528757194
WNT7B,-0.02138903231861331,-0.02158234139221853,0.03291364415438242,-0.021402240893511924,0.006158402699212686,0.010138559549279197,0.02503873533522771,-0.02480849545874101,-0.01732798173869242,,0.07204432493147594,-0.03592558430765161,,-0.013252949976836133,-0.0392892398200124,-0.025385184127246132,0.05321326568830483
PTMA,0.04396561131900317,-0.030037958277353463,0.009083687041047606,-0.003587318771094249,0.04004471624975266,0.13878772779792722,0.02854756520604906,0.022718050081709348,-0.009111603033676157,0.06640310225263503,0.10517347696774358,0.042237160872810854,0.007385018073464972,-0.0621089766212299,-0.008874192918560054,-0.008469028173937023,-0.06692311200206981
FASLG,-0.021389038365237954,,,,,,,,,,,,,,,,-0.01925238670703098
CEACAM1,0.03487094250132632,0.047574456541331404,-0.017880852556833842,-0.012764887311429449,0.08266699997065582,,0.10153684121523401,-0.00358045127390772,,,,-0.009794847847768377,-0.043306931297770995,0.004846091394454308,0.012323394409500907,0.07220535893486049,0.004370251889348551
PDAP1,0.007245384933644107,-0.01919406970085453,0.05823799129819945,0.02773629652550369,-0.05297574723998375,0.05289779997005,0.0030294210996143914,-0.025419722905664407,-0.033643367935284475,0.022803011117362024,0.11346602686140411,-0.016460618572171754,-0.006398225430910447,-0.0029709220302779338,0.008472171165810314,-0.03161758376759393,0.026714401725942197
QDPR,-0.010383101568839053,-0.03323677425863723,-0.025912000845564505,0.016114873840442946,-0.01503671523516569,-0.06067378399902928,-0.01432395285923318,0.033390301496782196,-0.02473450402524655,0.08315800849267879,0.07101093382186956,0.04360055883856936,0.05594959475982449,0.08054285281967866,-0.09074794749231081,-0.013082739434204798,0.0466140159438266
