,UKF259,UKF260,UKF296,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,-0.024544943377627488
BMP1,-0.019459050047593084,-0.008292765626581024,-0.01605784642025406,0.00040114020837340336,0.11971262036628535
NDP,0.05384266218188773,0.028256299246903246,0.02748836826536664,0.018440898615259448,0.05828548402451306
TNFSF18,,,,,0.013811019990023418
RTN4,0.0317873987388904,-0.005456825054518181,-0.09770024438992096,-0.017676339468727254,0.008107694734985878
HEBP1,0.024453224066090774,-0.005683663650661422,0.015518510124662084,-0.050824228747941964,-0.024768394696862463
WNT7B,0.020604862744200935,0.0005947103517804334,-0.011246854250185165,-0.037322520430025326,0.03358403111439307
PTMA,0.025276366355015435,0.04694105261690287,0.03832353423764354,0.0795228168841954,-0.06492740747453582
CEACAM1,0.003719759321896343,-0.017160922814767828,,-0.01808102355186642,0.021063030372217774
PDAP1,0.00977996096218205,-0.025088349962735006,-0.042707893158703596,0.022508328523404755,0.03315743243512767
QDPR,-0.03356433635505284,-0.03792839483774367,0.03542144502715012,-0.018116898575910916,-0.03222080027899901
POMC,0.01024855831358134,-0.034531834783364225,-0.0203816318151885,0.008479954839768251,-0.0334923923139594
CCL18,,,,-0.0023623905636367955,
CCL17,0.05567524754419271,,-0.013920452754043267,-0.02610109261354196,0.0005136079292040739
VEGFD,0.018600093797522286,-0.01641859932932124,-0.010210820441049644,-0.01808102355186642,-0.03413096172612862
TNFSF13,-0.013326837753698462,,,0.028483787180390945,-0.03470308399277531
WNT5A,0.0018280622945192285,0.034402358060212954,0.0008839512537716574,0.06897641845536517,-0.031913314106546686
CXCL8,0.043965130979158544,-0.024938319632925136,-0.009508759975938483,0.028035565343771343,-6.870994672563914e-05
GRN,-0.049088731411231594,0.0626125177222765,0.008768753835751247,-0.030802916819659673,0.018529452876565166
MIA,-0.018505043430201523,-0.011841509992482685,0.012682512067639267,-0.011587251552133786,0.010001772510165758
COL4A4,0.03124624593842562,0.023604467798586277,0.04176134978263504,0.030916210533638345,0.02600734361726391
TAC1,0.041742835668049254,-0.045288074421338406,0.0077157720145760505,,
RARRES2,-0.016819466569894435,0.03344315357710859,0.01857670097717249,0.023860705913608962,0.019691345874783665
FGF7,-0.03424735125954553,-0.0314368427276859,-0.040495308453972874,-0.041654877312007475,-0.020938634742482563
EFNA2,,,,-0.01718480284831442,
HBEGF,-0.005155235982485566,0.023546220826547844,-0.0032562340454828165,0.013114793462026982,-0.026418423144188234
CSF3,0.06836715957369298,0.002058557359376213,,-0.0009764732177563985,
PI3,0.024463754218204417,0.03636955705701912,,0.04336006755469195,-0.02749602393317477
PCSK1N,-0.07028002362026757,-0.027734292210974922,-0.06318135393204523,-0.06110685961302559,-0.005094223613692915
NTS,,0.009800070400002279,0.06024368694614848,-0.020936421223644815,
SFRP1,-0.016857869470122466,-0.018730778513804707,-0.01392045289423366,-0.0627730654273557,-0.0033070658779232693
CXCL13,,0.020960534839069674,,0.03524638834348998,
MICA,0.01162553354185796,0.020019251604808688,0.05596169497118321,-0.0398450730752885,0.011141118061527436
TG,0.09279723732239296,-0.020552621444010988,-0.010074171206848863,-0.025785491431661832,
ADA,0.032939111425220984,-0.04744091749755595,0.05346347768977869,0.029639075219174752,0.05442776910185557
LAMC3,0.004978059518768248,0.00477809474110823,0.08070887630430898,0.02929995060491147,-0.0023906148740295416
CCL7,-0.013153012525559015,-0.024610369251927975,,,
NGF,0.007698415256271288,-0.026269007696553635,,-0.01695381018657025,
TNFSF15,-0.014646522752811952,-0.01822143388074452,,,
